"EG08_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_010.tcf]","Time (h)","SQ DF01 [EG08_010]"
       1,          0.000000,      0.0000
       2,          0.016667,      0.0000
       3,          0.033333,      0.0000
       4,          0.050000,      0.0000
       5,          0.066667,      0.0000
       6,          0.083333,      0.0000
       7,          0.100000,      0.0000
       8,          0.116667,      0.0000
       9,          0.133333,      0.0000
      10,          0.150000,      0.0000
      11,          0.166667,      0.0000
      12,          0.183333,      0.0000
      13,          0.200000,      0.0000
      14,          0.216667,      0.0000
      15,          0.233333,      0.0000
      16,          0.250000,      0.0000
      17,          0.266667,      0.2121
      18,          0.283333,      0.9241
      19,          0.300000,      2.1934
      20,          0.316667,      3.9868
      21,          0.333333,      6.1545
      22,          0.350000,      8.5760
      23,          0.366667,     10.6934
      24,          0.383333,     10.5677
      25,          0.400000,     10.1444
      26,          0.416667,      0.0009
      27,          0.433333,      0.0000
      28,          0.450000,      0.0000
      29,          0.466667,      0.0000
      30,          0.483333,      0.0519
      31,          0.500000,      0.4491
      32,          0.516667,      1.2583
      33,          0.533333,      2.6571
      34,          0.550000,      4.8640
      35,          0.566667,      7.9104
      36,          0.583333,     11.7277
      37,          0.600000,     16.3438
      38,          0.616667,     21.3843
      39,          0.633333,     26.7547
      40,          0.650000,     32.3838
      41,          0.666667,     38.2537
      42,          0.683333,     44.2380
      43,          0.700000,     50.1385
      44,          0.716667,     55.8977
      45,          0.733333,     61.5814
      46,          0.750000,     67.0967
      47,          0.766667,     72.4166
      48,          0.783333,     77.4075
      49,          0.800000,     82.1019
      50,          0.816667,     86.4952
      51,          0.833333,     90.5830
      52,          0.850000,     94.3666
      53,          0.866667,     97.8033
      54,          0.883333,    100.9187
      55,          0.900000,    103.7206
      56,          0.916667,    106.1025
      57,          0.933333,    104.5207
      58,          0.950000,    103.0243
      59,          0.966667,    101.6933
      60,          0.983333,    100.5104
      61,          1.000000,     99.4561
      62,          1.016667,     98.5058
      63,          1.033333,     97.5982
      64,          1.050000,     96.7386
      65,          1.066667,     95.9175
      66,          1.083333,     95.1361
      67,          1.100000,     94.3649
      68,          1.116667,     93.4831
      69,          1.133333,     92.5319
      70,          1.150000,     91.5122
      71,          1.166667,     90.4687
      72,          1.183333,     89.3145
      73,          1.200000,     88.1053
      74,          1.216667,     86.8291
      75,          1.233333,     85.4995
      76,          1.250000,     84.1210
      77,          1.266667,     82.6919
      78,          1.283333,     81.1502
      79,          1.300000,     79.4966
      80,          1.316667,     77.7638
      81,          1.333333,     75.9521
      82,          1.350000,     74.0687
      83,          1.366667,     72.1171
      84,          1.383333,     70.1053
      85,          1.400000,     68.0365
      86,          1.416667,     65.9240
      87,          1.433333,     63.7582
      88,          1.450000,     61.5996
      89,          1.466667,     59.4472
      90,          1.483333,     57.3098
      91,          1.500000,     55.1832
      92,          1.516667,     53.0690
      93,          1.533333,     50.9946
      94,          1.550000,     48.9478
      95,          1.566667,     46.9184
      96,          1.583333,     44.9094
      97,          1.600000,     42.9102
      98,          1.616667,     41.0575
      99,          1.633333,     39.3579
     100,          1.650000,     37.7750
     101,          1.666667,     36.2968
     102,          1.683333,     34.9068
     103,          1.700000,     33.5717
     104,          1.716667,     32.2702
     105,          1.733333,     30.9931
     106,          1.750000,     29.7405
     107,          1.766667,     28.4990
     108,          1.783333,     27.3652
     109,          1.800000,     26.3640
     110,          1.816667,     25.4608
     111,          1.833333,     24.6494
     112,          1.850000,     23.9026
     113,          1.866667,     23.2267
     114,          1.883333,     22.6087
     115,          1.900000,     22.0437
     116,          1.916667,     21.5350
     117,          1.933333,     21.0454
     118,          1.950000,     20.5892
     119,          1.966667,     20.1740
     120,          1.983333,     19.7971
     121,          2.000000,     19.4451
     122,          2.016667,     19.1116
     123,          2.033334,     18.7733
     124,          2.050000,     18.4182
     125,          2.066667,     18.0550
     126,          2.083333,     17.6758
     127,          2.100000,     17.2854
     128,          2.116667,     16.8699
     129,          2.133333,     16.4206
     130,          2.150000,     15.9504
     131,          2.166667,     15.4530
     132,          2.183333,     14.9382
     133,          2.200000,     14.4572
     134,          2.216667,     14.0483
     135,          2.233333,     13.6927
     136,          2.250000,     13.3757
     137,          2.266667,     13.0922
     138,          2.283334,     12.8282
     139,          2.300000,     12.5600
     140,          2.316667,     12.2936
     141,          2.333333,     12.0325
     142,          2.350000,     11.7723
     143,          2.366667,     11.5238
     144,          2.383333,     11.2950
     145,          2.400000,     11.0854
     146,          2.416667,     10.8842
     147,          2.433333,     10.7028
     148,          2.450000,     10.5193
     149,          2.466667,     10.3188
     150,          2.483333,     10.1220
     151,          2.500000,      9.8993
     152,          2.516667,      9.6827
     153,          2.533334,      9.4549
     154,          2.550000,      9.2170
     155,          2.566667,      8.9736
     156,          2.583333,      8.7279
     157,          2.600000,      8.4828
     158,          2.616667,      8.2539
     159,          2.633333,      8.0351
     160,          2.650000,      7.8239
     161,          2.666667,      7.6191
     162,          2.683333,      7.4243
     163,          2.700000,      7.2341
     164,          2.716667,      7.0425
     165,          2.733334,      6.8653
     166,          2.750000,      6.6512
     167,          2.766667,      6.4447
     168,          2.783334,      6.2288
     169,          2.800000,      6.0068
     170,          2.816667,      5.7729
     171,          2.833333,      5.5425
     172,          2.850000,      5.3081
     173,          2.866667,      5.0671
     174,          2.883333,      4.8313
     175,          2.900000,      4.6224
     176,          2.916667,      4.4020
     177,          2.933333,      4.1760
     178,          2.950000,      3.9597
     179,          2.966667,      3.7537
     180,          2.983334,      3.5610
     181,          3.000000,      3.3786
