"EG08_013 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG08_013.tcf]","Time (h)","H DF01.1 [EG08_013]","H DF01.2 [EG08_013]"
       1,          0.000000,     44.9990,     44.9990
       2,          0.016667,     44.9990,     44.9990
       3,          0.033333,     44.9990,     44.9990
       4,          0.050000,     44.9990,     44.9990
       5,          0.066667,     44.9990,     44.9990
       6,          0.083333,     44.9990,     44.9990
       7,          0.100000,     44.9990,     44.9990
       8,          0.116667,     44.9990,     44.9990
       9,          0.133333,     44.9990,     44.9990
      10,          0.150000,     44.9990,     44.9990
      11,          0.166667,     44.9990,     44.9990
      12,          0.183333,     44.9990,     44.9990
      13,          0.200000,     45.3358,     44.9990
      14,          0.216667,     45.6473,     44.9990
      15,          0.233333,     45.9018,     44.9990
      16,          0.250000,     46.1054,     44.9990
      17,          0.266667,     46.2786,     44.9990
      18,          0.283333,     46.4431,     44.9990
      19,          0.300000,     46.6017,     44.9990
      20,          0.316667,     46.7598,     44.9990
      21,          0.333333,     46.9096,     44.9990
      22,          0.350000,     47.0527,     44.9990
      23,          0.366667,     47.1952,     44.9990
      24,          0.383333,     47.3491,     44.9990
      25,          0.400000,     47.4996,     44.9990
      26,          0.416667,     47.6564,     44.9990
      27,          0.433333,     47.8034,     44.9990
      28,          0.450000,     47.9581,     44.9990
      29,          0.466667,     48.1143,     44.9990
      30,          0.483333,     48.2661,     44.9990
      31,          0.500000,     48.4121,     44.9990
      32,          0.516667,     48.5560,     44.9990
      33,          0.533333,     48.7274,     45.0599
      34,          0.550000,     48.9159,     45.2724
      35,          0.566667,     49.1078,     45.5033
      36,          0.583333,     49.2988,     45.6888
      37,          0.600000,     49.4857,     45.8951
      38,          0.616667,     49.6499,     46.0957
      39,          0.633333,     49.7951,     46.2927
      40,          0.650000,     49.9236,     46.4803
      41,          0.666667,     50.0387,     46.6459
      42,          0.683333,     50.1387,     46.7996
      43,          0.700000,     50.2196,     46.9283
      44,          0.716667,     50.2846,     47.0348
      45,          0.733333,     50.3346,     47.1225
      46,          0.750000,     50.3730,     47.2043
      47,          0.766667,     50.3993,     47.2744
      48,          0.783333,     50.4113,     47.3360
      49,          0.800000,     50.4114,     47.3894
      50,          0.816667,     50.4007,     47.4363
      51,          0.833333,     50.3802,     47.4774
      52,          0.850000,     50.3504,     47.5140
      53,          0.866667,     50.3209,     47.5303
      54,          0.883333,     50.2992,     47.5231
      55,          0.900000,     50.2807,     47.5149
      56,          0.916667,     50.2649,     47.5075
      57,          0.933333,     50.2515,     47.5012
      58,          0.950000,     50.2392,     47.4955
      59,          0.966667,     50.2282,     47.4904
      60,          0.983333,     50.2182,     47.4857
      61,          1.000000,     50.2092,     47.4815
      62,          1.016667,     50.2008,     47.4776
      63,          1.033333,     50.1917,     47.4735
      64,          1.050000,     50.1823,     47.4692
      65,          1.066667,     50.1726,     47.4648
      66,          1.083333,     50.1626,     47.4602
      67,          1.100000,     50.1517,     47.4553
      68,          1.116667,     50.1372,     47.4490
      69,          1.133333,     50.1202,     47.4414
      70,          1.150000,     50.1016,     47.4330
      71,          1.166667,     50.0797,     47.4232
      72,          1.183333,     50.0557,     47.4125
      73,          1.200000,     50.0293,     47.4006
      74,          1.216667,     50.0008,     47.3876
      75,          1.233333,     49.9702,     47.3735
      76,          1.250000,     49.9379,     47.3587
      77,          1.266667,     49.9036,     47.3429
      78,          1.283333,     49.8658,     47.3254
      79,          1.300000,     49.8244,     47.3063
      80,          1.316667,     49.7802,     47.2853
      81,          1.333333,     49.7331,     47.2633
      82,          1.350000,     49.6831,     47.2399
      83,          1.366667,     49.6304,     47.2151
      84,          1.383333,     49.5750,     47.1887
      85,          1.400000,     49.5169,     47.1607
      86,          1.416667,     49.4563,     47.1314
      87,          1.433333,     49.3929,     47.1005
      88,          1.450000,     49.3285,     47.0684
      89,          1.466667,     49.2628,     47.0357
      90,          1.483333,     49.1960,     47.0012
      91,          1.500000,     49.1280,     46.9655
      92,          1.516667,     49.0588,     46.9282
      93,          1.533333,     48.9893,     46.8898
      94,          1.550000,     48.9190,     46.8502
      95,          1.566667,     48.8475,     46.8097
      96,          1.583333,     48.7748,     46.7672
      97,          1.600000,     48.7005,     46.7219
      98,          1.616667,     48.6298,     46.6773
      99,          1.633333,     48.5633,     46.6335
     100,          1.650000,     48.4998,     46.5909
     101,          1.666667,     48.4390,     46.5480
     102,          1.683333,     48.3805,     46.5067
     103,          1.700000,     48.3230,     46.4658
     104,          1.716667,     48.2656,     46.4265
     105,          1.733333,     48.2079,     46.3872
     106,          1.750000,     48.1499,     46.3477
     107,          1.766667,     48.0909,     46.3073
     108,          1.783333,     48.0358,     46.2686
     109,          1.800000,     47.9860,     46.2324
     110,          1.816667,     47.9401,     46.1975
     111,          1.833333,     47.8980,     46.1664
     112,          1.850000,     47.8586,     46.1353
     113,          1.866667,     47.8222,     46.1074
     114,          1.883333,     47.7885,     46.0809
     115,          1.900000,     47.7571,     46.0579
     116,          1.916667,     47.7285,     46.0369
     117,          1.933333,     47.7005,     46.0166
     118,          1.950000,     47.6742,     45.9975
     119,          1.966667,     47.6499,     45.9795
     120,          1.983333,     47.6276,     45.9631
     121,          2.000000,     47.6065,     45.9477
     122,          2.016667,     47.5863,     45.9334
     123,          2.033334,     47.5656,     45.9194
     124,          2.050000,     47.5436,     45.9050
     125,          2.066667,     47.5209,     45.8900
     126,          2.083333,     47.4968,     45.8743
     127,          2.100000,     47.4718,     45.8578
     128,          2.116667,     47.4446,     45.8400
     129,          2.133333,     47.4149,     45.8209
     130,          2.150000,     47.3832,     45.8004
     131,          2.166667,     47.3491,     45.7784
     132,          2.183333,     47.3131,     45.7544
     133,          2.200000,     47.2789,     45.7285
     134,          2.216667,     47.2493,     45.7066
     135,          2.233333,     47.2232,     45.6865
     136,          2.250000,     47.1995,     45.6682
     137,          2.266667,     47.1781,     45.6516
     138,          2.283334,     47.1579,     45.6367
     139,          2.300000,     47.1371,     45.6206
     140,          2.316667,     47.1163,     45.6049
     141,          2.333333,     47.0956,     45.5897
     142,          2.350000,     47.0746,     45.5743
     143,          2.366667,     47.0544,     45.5592
     144,          2.383333,     47.0355,     45.5449
     145,          2.400000,     47.0181,     45.5307
     146,          2.416667,     47.0012,     45.5170
     147,          2.433333,     46.9859,     45.5031
     148,          2.450000,     46.9698,     45.4901
     149,          2.466667,     46.9524,     45.4771
     150,          2.483333,     46.9350,     45.4643
     151,          2.500000,     46.9152,     45.4503
     152,          2.516667,     46.8957,     45.4362
     153,          2.533334,     46.8747,     45.4214
     154,          2.550000,     46.8526,     45.4057
     155,          2.566667,     46.8296,     45.3898
     156,          2.583333,     46.8061,     45.3730
     157,          2.600000,     46.7822,     45.3568
     158,          2.616667,     46.7596,     45.3402
     159,          2.633333,     46.7376,     45.3239
     160,          2.650000,     46.7160,     45.3079
     161,          2.666667,     46.6947,     45.2921
     162,          2.683333,     46.6743,     45.2767
     163,          2.700000,     46.6539,     45.2617
     164,          2.716667,     46.6332,     45.2468
     165,          2.733334,     46.6135,     45.2327
     166,          2.750000,     46.5895,     45.2161
     167,          2.766667,     46.5659,     45.1996
     168,          2.783334,     46.5408,     45.1825
     169,          2.800000,     46.5143,     45.1640
     170,          2.816667,     46.4859,     45.1440
     171,          2.833333,     46.4573,     45.1221
     172,          2.850000,     46.4274,     45.0997
     173,          2.866667,     46.3959,     45.0742
     174,          2.883333,     46.3642,     45.0468
     175,          2.900000,     46.3355,     45.0186
     176,          2.916667,     46.3042,     44.9990
     177,          2.933333,     46.2712,     44.9990
     178,          2.950000,     46.2388,     44.9990
     179,          2.966667,     46.2070,     44.9990
     180,          2.983334,     46.1760,     44.9990
     181,          3.000000,     46.1461,     44.9990
