"M06_5m_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_06\Complete_Model\TUFLOW\runs\M06_5m_001.tcf]","Time (h)","H Loc1_P [M06_5m_001]"
           1,        0.000000,         39.0108
           2,        0.016667,         39.0114
           3,        0.033333,         39.0129
           4,        0.050000,         39.0143
           5,        0.066667,         39.0163
           6,        0.083333,         39.0191
           7,        0.100000,         39.0209
           8,        0.116667,         39.0229
           9,        0.133333,         39.0254
          10,        0.150000,         39.0286
          11,        0.166667,         39.0325
          12,        0.183333,         39.0375
          13,        0.200000,         39.0466
          14,        0.216667,         39.0560
          15,        0.233333,         39.0642
          16,        0.250000,         39.0724
          17,        0.266667,         39.0813
          18,        0.283333,         39.0907
          19,        0.300000,         39.1004
          20,        0.316667,         39.1105
          21,        0.333333,         39.1209
          22,        0.350000,         39.1340
          23,        0.366667,         39.1481
          24,        0.383333,         39.1624
          25,        0.400000,         39.1775
          26,        0.416667,         39.1940
          27,        0.433333,         39.2109
          28,        0.450000,         39.2300
          29,        0.466667,         39.2529
          30,        0.483333,         39.2798
          31,        0.500000,         39.3106
          32,        0.516667,         39.3445
          33,        0.533333,         39.3814
          34,        0.550000,         39.4232
          35,        0.566667,         39.4714
          36,        0.583333,         39.5243
          37,        0.600000,         39.5795
          38,        0.616667,         39.6355
          39,        0.633333,         39.6880
          40,        0.650000,         39.7413
          41,        0.666667,         39.7928
          42,        0.683333,         40.1034
          43,        0.700000,         41.0721
          44,        0.716667,         41.5729
          45,        0.733333,         41.8556
          46,        0.750000,         42.0271
          47,        0.766667,         42.1375
          48,        0.783333,         42.2152
          49,        0.800000,         42.2827
          50,        0.816667,         42.3591
          51,        0.833333,         42.4529
          52,        0.850000,         42.5558
          53,        0.866667,         42.6600
          54,        0.883333,         42.7589
          55,        0.900000,         42.8491
          56,        0.916667,         42.9289
          57,        0.933333,         42.9944
          58,        0.950000,         43.0448
          59,        0.966667,         43.0860
          60,        0.983333,         43.1168
          61,        1.000000,         43.1406
          62,        1.016667,         43.1589
          63,        1.033333,         43.1726
          64,        1.050000,         43.1830
          65,        1.066667,         43.1907
          66,        1.083333,         43.1962
          67,        1.100000,         43.2003
          68,        1.116667,         43.2028
          69,        1.133333,         43.2044
          70,        1.150000,         43.2048
          71,        1.166667,         43.2043
          72,        1.183333,         43.2031
          73,        1.200000,         43.2014
          74,        1.216667,         43.1991
          75,        1.233333,         43.1963
          76,        1.250000,         43.1930
          77,        1.266667,         43.1894
          78,        1.283333,         43.1853
          79,        1.300000,         43.1810
          80,        1.316667,         43.1763
          81,        1.333333,         43.1712
          82,        1.350000,         43.1659
          83,        1.366667,         43.1601
          84,        1.383333,         43.1540
          85,        1.400000,         43.1478
          86,        1.416667,         43.1413
          87,        1.433333,         43.1348
          88,        1.450000,         43.1283
          89,        1.466667,         43.1216
          90,        1.483333,         43.1149
          91,        1.500000,         43.1081
          92,        1.516667,         43.1012
          93,        1.533333,         43.0943
          94,        1.550000,         43.0874
          95,        1.566667,         43.0805
          96,        1.583333,         43.0737
          97,        1.600000,         43.0668
          98,        1.616667,         43.0601
          99,        1.633333,         43.0533
         100,        1.650000,         43.0468
         101,        1.666667,         43.0406
         102,        1.683333,         43.0349
         103,        1.700000,         43.0296
         104,        1.716667,         43.0247
         105,        1.733333,         43.0202
         106,        1.750000,         43.0158
         107,        1.766667,         43.0117
         108,        1.783333,         43.0077
         109,        1.800000,         43.0037
         110,        1.816667,         42.9998
         111,        1.833333,         42.9961
         112,        1.850000,         42.9920
         113,        1.866667,         42.9883
         114,        1.883333,         42.9845
         115,        1.900000,         42.9809
         116,        1.916667,         42.9776
         117,        1.933333,         42.9742
         118,        1.950000,         42.9712
         119,        1.966667,         42.9684
         120,        1.983333,         42.9656
         121,        2.000000,         42.9630
         122,        2.016667,         42.9605
         123,        2.033333,         42.9580
         124,        2.050000,         42.9556
         125,        2.066667,         42.9534
         126,        2.083333,         42.9512
         127,        2.100000,         42.9490
         128,        2.116667,         42.9469
         129,        2.133333,         42.9447
         130,        2.150000,         42.9426
         131,        2.166667,         42.9404
         132,        2.183333,         42.9381
         133,        2.200000,         42.9357
         134,        2.216667,         42.9333
