"M09_5m_01p_1hr_001 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_09\Complete_Model\TUFLOW\runs\M09_5m_~e1~_~e2~_001.tcf]","Time (h)","Q Loc1_L [M09_5m_01p_1hr_001]"
           1,        0.000000,          0.0000
           2,        0.016667,          0.0000
           3,        0.033333,          0.0000
           4,        0.050000,          0.0000
           5,        0.066667,          0.0000
           6,        0.083333,          0.0000
           7,        0.100000,          0.0000
           8,        0.116667,          0.0000
           9,        0.133333,          0.0000
          10,        0.150000,          0.0000
          11,        0.166667,          0.0000
          12,        0.183333,          0.0000
          13,        0.200000,          0.0000
          14,        0.216667,          0.0000
          15,        0.233333,          0.0000
          16,        0.250000,          0.0000
          17,        0.266667,          0.0000
          18,        0.283333,          0.0000
          19,        0.300000,          0.0000
          20,        0.316667,          0.0000
          21,        0.333333,          0.0000
          22,        0.350000,          0.0000
          23,        0.366667,          0.0000
          24,        0.383333,          0.0000
          25,        0.400000,          0.0000
          26,        0.416667,          0.0000
          27,        0.433333,          0.0000
          28,        0.450000,          0.0000
          29,        0.466667,          0.0000
          30,        0.483333,          0.0000
          31,        0.500000,          0.0000
          32,        0.516667,          0.0000
          33,        0.533333,          0.0000
          34,        0.550000,         -0.0000
          35,        0.566667,         -0.0814
          36,        0.583333,         -0.1159
          37,        0.600000,         29.4963
          38,        0.616667,         45.9823
          39,        0.633333,         58.2926
          40,        0.650000,         69.0677
          41,        0.666667,         76.9160
          42,        0.683333,         82.2158
          43,        0.700000,         85.1304
          44,        0.716667,         85.6177
          45,        0.733333,         82.8947
          46,        0.750000,         79.5218
          47,        0.766667,         76.5135
          48,        0.783333,         74.0432
          49,        0.800000,         72.7402
          50,        0.816667,         72.5458
          51,        0.833333,         72.9936
          52,        0.850000,         77.3783
          53,        0.866667,         84.6489
          54,        0.883333,         85.5965
          55,        0.900000,         86.9913
          56,        0.916667,         87.6582
          57,        0.933333,         88.4452
          58,        0.950000,         88.1735
          59,        0.966667,         88.0417
          60,        0.983333,         87.0126
          61,        1.000000,         86.1391
          62,        1.016667,         84.6473
          63,        1.033333,         83.0112
          64,        1.050000,         81.1236
          65,        1.066667,         78.9666
          66,        1.083333,         76.5546
          67,        1.100000,         73.8991
          68,        1.116667,         71.1909
          69,        1.133333,         68.5785
          70,        1.150000,         66.0852
          71,        1.166667,         63.6282
          72,        1.183333,         61.2004
          73,        1.200000,         58.7695
          74,        1.216667,         56.2894
          75,        1.233333,         53.7631
          76,        1.250000,         51.2435
          77,        1.266667,         48.7309
          78,        1.283333,         46.3121
          79,        1.300000,         43.9667
          80,        1.316667,         41.6598
          81,        1.333333,         39.6003
          82,        1.350000,         37.8443
          83,        1.366667,         36.3198
          84,        1.383333,         34.9796
          85,        1.400000,         33.7385
          86,        1.416667,         32.4821
          87,        1.433333,         31.2068
          88,        1.450000,         29.8575
          89,        1.466667,         28.6493
          90,        1.483333,         27.5322
          91,        1.500000,         26.5091
          92,        1.516667,         25.5594
          93,        1.533333,         24.7216
          94,        1.550000,         24.1463
          95,        1.566667,         23.4703
          96,        1.583333,         22.8462
          97,        1.600000,         22.2046
          98,        1.616667,         21.7609
          99,        1.633333,         21.2898
         100,        1.650000,         20.8877
         101,        1.666667,         20.4274
         102,        1.683333,         20.0014
         103,        1.700000,         19.5334
         104,        1.716667,         19.0551
         105,        1.733333,         18.5703
         106,        1.750000,         18.0595
         107,        1.766667,         17.5644
         108,        1.783333,         17.0428
         109,        1.800000,         16.5237
         110,        1.816667,         16.0373
         111,        1.833333,         15.5740
         112,        1.850000,         15.2006
         113,        1.866667,         14.7972
         114,        1.883333,         14.4129
         115,        1.900000,         14.0246
         116,        1.916667,         13.6598
         117,        1.933333,         13.3344
         118,        1.950000,         12.9699
         119,        1.966667,         12.6548
         120,        1.983333,         12.3436
         121,        2.000000,         12.1155
         122,        2.016667,         11.7261
         123,        2.033333,         11.4814
         124,        2.050000,         11.2331
         125,        2.066667,         10.9613
         126,        2.083333,         10.6681
         127,        2.100000,         10.4122
         128,        2.116667,         10.1771
         129,        2.133333,          9.8020
         130,        2.150000,          9.5456
         131,        2.166667,          9.2278
         132,        2.183333,          9.0415
         133,        2.200000,          8.7554
         134,        2.216667,          8.5099
         135,        2.233333,          8.2019
         136,        2.250000,          7.9522
         137,        2.266667,          7.6750
         138,        2.283333,          7.3575
         139,        2.300000,          7.0856
         140,        2.316667,          6.7802
         141,        2.333333,          6.5375
         142,        2.350000,          6.2460
         143,        2.366667,          6.0124
         144,        2.383333,          5.7216
         145,        2.400000,          5.4691
         146,        2.416667,          5.2323
         147,        2.433333,          4.9633
         148,        2.450000,          4.7998
         149,        2.466667,          4.5341
         150,        2.483333,          4.3259
         151,        2.500000,          4.0044
         152,        2.516667,          3.8704
         153,        2.533333,          3.7221
         154,        2.550000,          3.6283
         155,        2.566667,          3.4055
         156,        2.583333,          3.2160
         157,        2.600000,          3.0880
         158,        2.616667,          3.0024
         159,        2.633333,          2.9283
         160,        2.650000,          2.7861
         161,        2.666667,          2.6979
         162,        2.683333,          2.6010
         163,        2.700000,          2.5653
         164,        2.716667,          2.4888
         165,        2.733333,          2.4079
         166,        2.750000,          2.3475
         167,        2.766667,          2.2916
         168,        2.783333,          2.2682
         169,        2.800000,          2.2306
         170,        2.816667,          2.1868
         171,        2.833333,          2.1221
         172,        2.850000,          2.0861
         173,        2.866667,          2.0640
         174,        2.883333,          2.0414
         175,        2.900000,          1.9961
         176,        2.916667,          2.0015
         177,        2.933333,          1.9775
         178,        2.950000,          1.9382
         179,        2.966667,          1.8816
         180,        2.983333,          1.8753
         181,        3.000000,          1.8756

