iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,         31.863,0.738956,0.721455,0.0343933,0.0762939,0.000167847,99.4265
200,        215.000,2.5,2.5,0.389709,0.839142,0.0310364,98.1574
300,        442.094,2.02264,1.99507,0.414581,1.00246,0.08284,97.9481
400,        619.936,1.66557,1.60256,0.408813,1.00125,0.109695,97.8713
500,        762.832,1.27791,1.22629,0.393555,1.00188,0.0975342,97.7787
600,        879.338,1.12054,1.08747,0.378006,1.00092,0.0940704,97.8287
700,        984.912,1.04153,1.03199,0.371155,1.00063,0.0964355,97.8489
800,       1083.934,0.985634,0.983607,0.361038,1.00049,0.0988312,97.8507
900,       1178.552,0.942419,0.93254,0.352036,1.00043,0.0937653,97.8871
1000,       1269.939,0.9079,0.893939,0.348862,1.00031,0.0965424,97.9584
1100,       1357.580,0.877063,0.8623,0.347656,1.00031,0.100342,97.9797
1200,       1442.535,0.849201,0.845071,0.34697,1.00029,0.105591,98.0088
1300,       1525.480,0.825165,0.821918,0.347977,1.00029,0.109421,98.07
1400,       1605.692,0.804063,0.794913,0.346725,1.00026,0.123245,98.0917
1500,       1683.896,0.783321,0.779221,0.343307,1.00026,0.133743,98.1144
1600,       1760.506,0.764069,0.759493,0.338226,1.00024,0.142288,98.155
1700,       1834.955,0.74611,0.736607,0.336594,1.00024,0.15802,98.1745
1800,       1907.880,0.727362,0.712946,0.32962,1.00029,0.190842,98.2043
1900,       1978.612,0.707227,0.694026,0.320999,1.00029,0.214783,98.2199
2000,       2047.514,0.688217,0.681638,0.312943,1.00026,0.235214,98.2393
2100,       2114.723,0.672512,0.665834,0.387848,1.0002,0.248184,98.2591
2200,       2180.440,0.66243,0.659341,0.371643,1.00012,0.254486,98.2699
2300,       2245.435,0.656714,0.652174,0.346848,1.00006,0.264023,98.2805
2400,       2310.652,0.653405,0.652174,0.407593,1.00005,0.275253,98.3173
2500,       2375.516,0.651335,0.644316,0.43808,1.00002,0.286835,98.348
2600,       2440.000,0.649836,0.645161,0.381592,1.00003,0.297318,98.3684
2700,       2504.222,0.642384,0.631136,0.360352,0.990097,0.300064,98.3892
2800,       2567.125,0.629512,0.613094,0.345215,0.971313,0.300064,98.4026
2900,       2628.887,0.61737,0.617378,0.339615,0.953445,0.300049,98.4187
3000,       2689.129,0.606078,0.603971,0.335449,0.936768,0.300049,98.4211
3100,       2749.022,0.599733,0.577778,0.333908,0.927658,0.300018,98.4443
3200,       2808.119,0.596175,0.594059,0.333221,0.922577,0.300018,98.4527
3300,       2867.135,0.592578,0.584777,0.332062,0.917328,0.300018,98.4701
3400,       2925.882,0.589182,0.588235,0.330856,0.912338,0.300018,98.4894
3500,       2984.280,0.586223,0.582234,0.329773,0.907974,0.300018,98.5069
3600,       3042.524,0.585659,0.582524,0.330063,0.907318,0.300003,98.5239
3700,       3100.777,0.584678,0.582524,0.32991,0.90593,0.300003,98.5432
3800,       3159.029,0.58367,0.582524,0.32962,0.90448,0.300003,98.5649
3900,       3217.282,0.582693,0.582524,0.329315,0.903046,0.300003,98.5889
4000,       3274.615,0.581718,0.576922,0.328964,0.901611,0.300003,98.5874
4100,       3332.308,0.580981,0.576923,0.328751,0.900528,0.299988,98.5989
4200,       3390.000,0.581456,0.576923,0.329163,0.901306,0.300003,98.6102
4300,       3447.692,0.581931,0.576923,0.329422,0.902039,0.299988,98.6197
4400,       3505.385,0.582407,0.576923,0.329636,0.902756,0.300003,98.6275
4500,       3563.301,0.582912,0.582524,0.329849,0.903519,0.300003,98.6401
4600,       3621.553,0.583804,0.582524,0.330276,0.904877,0.299988,98.6602
4700,       3679.806,0.586365,0.582524,0.331573,0.908768,0.299973,98.6746
