"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time(h)","Entry LC FC01.1_R [EG14_003]","Additional LC FC01.1_R [EG14_003]","Exit LC FC01.1_R [EG14_003]","Entry LC FC01.2_R [EG14_003]","Additional LC FC01.2_R [EG14_003]","Exit LC FC01.2_R [EG14_003]","Entry LC FC04.1_C [EG14_003]","Additional LC FC04.1_C [EG14_003]","Exit LC FC04.1_C [EG14_003]","Entry LC Pipe0 [EG14_003]","Additional LC Pipe0 [EG14_003]","Exit LC Pipe0 [EG14_003]","Entry LC Pipe1 [EG14_003]","Additional LC Pipe1 [EG14_003]","Exit LC Pipe1 [EG14_003]","Entry LC Pipe10 [EG14_003]","Additional LC Pipe10 [EG14_003]","Exit LC Pipe10 [EG14_003]","Entry LC Pipe11 [EG14_003]","Additional LC Pipe11 [EG14_003]","Exit LC Pipe11 [EG14_003]","Entry LC Pipe12 [EG14_003]","Additional LC Pipe12 [EG14_003]","Exit LC Pipe12 [EG14_003]","Entry LC Pipe13 [EG14_003]","Additional LC Pipe13 [EG14_003]","Exit LC Pipe13 [EG14_003]","Entry LC Pipe14 [EG14_003]","Additional LC Pipe14 [EG14_003]","Exit LC Pipe14 [EG14_003]","Entry LC Pipe15 [EG14_003]","Additional LC Pipe15 [EG14_003]","Exit LC Pipe15 [EG14_003]","Entry LC Pipe16 [EG14_003]","Additional LC Pipe16 [EG14_003]","Exit LC Pipe16 [EG14_003]","Entry LC Pipe17 [EG14_003]","Additional LC Pipe17 [EG14_003]","Exit LC Pipe17 [EG14_003]","Entry LC Pipe19 [EG14_003]","Additional LC Pipe19 [EG14_003]","Exit LC Pipe19 [EG14_003]","Entry LC Pipe2 [EG14_003]","Additional LC Pipe2 [EG14_003]","Exit LC Pipe2 [EG14_003]","Entry LC Pipe3 [EG14_003]","Additional LC Pipe3 [EG14_003]","Exit LC Pipe3 [EG14_003]","Entry LC Pipe4 [EG14_003]","Additional LC Pipe4 [EG14_003]","Exit LC Pipe4 [EG14_003]","Entry LC Pipe5 [EG14_003]","Additional LC Pipe5 [EG14_003]","Exit LC Pipe5 [EG14_003]","Entry LC Pipe6 [EG14_003]","Additional LC Pipe6 [EG14_003]","Exit LC Pipe6 [EG14_003]","Entry LC Pipe7 [EG14_003]","Additional LC Pipe7 [EG14_003]","Exit LC Pipe7 [EG14_003]","Entry LC Pipe8 [EG14_003]","Additional LC Pipe8 [EG14_003]","Exit LC Pipe8 [EG14_003]","Entry LC Pipe9 [EG14_003]","Additional LC Pipe9 [EG14_003]","Exit LC Pipe9 [EG14_003]","LC Pit1 [EG14_003]","LC Pit10 [EG14_003]","LC Pit11 [EG14_003]","LC Pit12 [EG14_003]","LC Pit13 [EG14_003]","LC Pit14 [EG14_003]","LC Pit15 [EG14_003]","LC Pit16 [EG14_003]","LC Pit17 [EG14_003]","LC Pit18 [EG14_003]","LC Pit19 [EG14_003]","LC Pit2 [EG14_003]","LC Pit3 [EG14_003]","LC Pit4 [EG14_003]","LC Pit5 [EG14_003]","LC Pit6 [EG14_003]","LC Pit7 [EG14_003]","LC Pit8 [EG14_003]","LC Pit9 [EG14_003]"
       1,          0.000000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       2,          0.016667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.84,0.22,0.00,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.85,0.23,0.00,0.81,0.00,0.00,0.00,0.21,0.00,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       3,          0.033333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.74,0.00,0.00,0.00,0.19,0.00,0.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       4,          0.050000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.22,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.71,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       5,          0.066667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.22,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       6,          0.083333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.19,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       7,          0.100000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       8,          0.116667,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
       9,          0.133333,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
      10,          0.150000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
