"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time (h)","Q FC01.1_R [EG14_003]","Q FC01.2_R [EG14_003]","Q FC04.1_C [EG14_003]","Q Pipe0 [EG14_003]","Q Pipe1 [EG14_003]","Q Pipe10 [EG14_003]","Q Pipe11 [EG14_003]","Q Pipe12 [EG14_003]","Q Pipe13 [EG14_003]","Q Pipe14 [EG14_003]","Q Pipe15 [EG14_003]","Q Pipe16 [EG14_003]","Q Pipe17 [EG14_003]","Q Pipe19 [EG14_003]","Q Pipe2 [EG14_003]","Q Pipe3 [EG14_003]","Q Pipe4 [EG14_003]","Q Pipe5 [EG14_003]","Q Pipe6 [EG14_003]","Q Pipe7 [EG14_003]","Q Pipe8 [EG14_003]","Q Pipe9 [EG14_003]","Q Pit1 [EG14_003]","Q Pit10 [EG14_003]","Q Pit11 [EG14_003]","Q Pit12 [EG14_003]","Q Pit13 [EG14_003]","Q Pit14 [EG14_003]","Q Pit15 [EG14_003]","Q Pit16 [EG14_003]","Q Pit17 [EG14_003]","Q Pit18 [EG14_003]","Q Pit19 [EG14_003]","Q Pit2 [EG14_003]","Q Pit3 [EG14_003]","Q Pit4 [EG14_003]","Q Pit5 [EG14_003]","Q Pit6 [EG14_003]","Q Pit7 [EG14_003]","Q Pit8 [EG14_003]","Q Pit9 [EG14_003]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.002,           0.001,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.002,           0.001,           0.001,           0.000,           0.000,           0.003,           0.002,           0.002,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,           0.007,           0.007,           0.004,           0.001,           0.002,           0.001,           0.001,           0.001,           0.001,           0.001,           0.005,           0.004,           0.003,           0.003,           0.002,           0.001,           0.009,           0.012,           0.011,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,           0.011,           0.017,           0.016,           0.003,           0.008,           0.003,           0.004,           0.004,           0.003,           0.004,           0.018,           0.007,           0.006,           0.008,           0.009,           0.004,           0.014,           0.024,           0.030,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000,           0.015,           0.026,           0.039,           0.013,           0.025,           0.009,           0.008,           0.010,           0.007,           0.008,           0.036,           0.010,           0.009,           0.014,           0.023,           0.013,           0.020,           0.035,           0.052,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000,           0.019,           0.034,           0.065,           0.037,           0.052,           0.027,           0.020,           0.025,           0.020,           0.016,           0.057,           0.013,           0.012,           0.019,           0.044,           0.032,           0.025,           0.047,           0.074,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000,           0.023,           0.043,           0.089,           0.070,           0.081,           0.060,           0.048,           0.051,           0.051,           0.038,           0.075,           0.015,           0.014,           0.022,           0.068,           0.057,           0.030,           0.058,           0.094,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000,           0.027,           0.051,           0.112,           0.101,           0.108,           0.096,           0.087,           0.080,           0.104,           0.077,           0.093,           0.018,           0.017,           0.027,           0.089,           0.083,           0.036,           0.069,           0.114,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000,           0.031,           0.059,           0.133,           0.130,           0.133,           0.129,           0.126,           0.107,           0.101,           0.120,           0.111,           0.021,           0.020,           0.033,           0.110,           0.107,           0.041,           0.078,           0.133,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000,           0.035,           0.067,           0.154,           0.156,           0.156,           0.158,           0.159,           0.133,           0.115,           0.159,           0.130,           0.023,           0.023,           0.038,           0.131,           0.131,           0.046,           0.089,           0.152,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
