"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time (h)","H ds1.1 [EG14_002]","H ds1.2 [EG14_002]","H ds2.2 [EG14_002]","H ds3.2 [EG14_002]","H ds4.2 [EG14_002]","H ds5.2 [EG14_002]","H ds_weir.2 [EG14_002]","H FC01.01.1 [EG14_002]","H FC01.02.1 [EG14_002]","H FC01.03.1 [EG14_002]","H FC01.04.1 [EG14_002]","H FC01.05.1 [EG14_002]","H FC01.06.1 [EG14_002]","H FC01.07.1 [EG14_002]","H FC01.08.1 [EG14_002]","H FC01.09.1 [EG14_002]","H FC01.12.1 [EG14_002]","H FC01.12.2 [EG14_002]","H FC01.13.1 [EG14_002]","H FC01.14.1 [EG14_002]","H FC01.15.1 [EG14_002]","H FC01.16.1 [EG14_002]","H FC01.17.1 [EG14_002]","H FC01.18.1 [EG14_002]","H FC01.19.1 [EG14_002]","H FC01.1_R.1 [EG14_002]","H FC01.1_R.2 [EG14_002]","H FC01.20.1 [EG14_002]","H FC01.21.1 [EG14_002]","H FC01.22.1 [EG14_002]","H FC01.23.1 [EG14_002]","H FC01.24.1 [EG14_002]","H FC01.25.1 [EG14_002]","H FC01.26.1 [EG14_002]","H FC01.27.1 [EG14_002]","H FC01.28A.1 [EG14_002]","H FC01.28B.1 [EG14_002]","H FC01.29.1 [EG14_002]","H FC01.30.1 [EG14_002]","H FC01.31.1 [EG14_002]","H FC01.32.1 [EG14_002]","H FC01.33.1 [EG14_002]","H FC01.36.1 [EG14_002]","H FC01.37.1 [EG14_002]","H FC01.38.1 [EG14_002]","H FC01.39.1 [EG14_002]","H FC01.40.1 [EG14_002]","H FC02.01.1 [EG14_002]","H FC02.02.1 [EG14_002]","H FC02.03.1 [EG14_002]","H FC02.04.1 [EG14_002]","H FC02.05.1 [EG14_002]","H FC02.06.1 [EG14_002]"
     124,          2.050000,     36.5725,     36.2950,     35.7507,     35.6840,     35.6743,     35.6744,     35.6744,     36.7550,     36.7657,     36.7862,     36.9653,     37.0988,     37.1555,     37.1646,     37.2204,     37.8950,     38.8061,     37.9003,     39.2907,     39.4218,     39.5279,     39.6105,     39.6717,     39.6804,     39.6898,     44.8461,     44.8431,     39.8892,     39.9060,     39.9533,     40.3314,     40.5119,     41.0021,     41.3204,     41.5624,     41.9363,     42.2199,     42.6498,     42.8544,     43.1124,     43.2620,     44.8423,     44.8713,     44.9197,     45.0977,     45.9790,     48.5390,     40.3360,     40.4878,     40.9775,     42.7810,     42.7810,     43.7026
     125,          2.066667,     36.5659,     36.2879,     35.7496,     35.6862,     35.6770,     35.6772,     35.6772,     36.7474,     36.7580,     36.7784,     36.9566,     37.0894,     37.1458,     37.1549,     37.2111,     37.8902,     38.8029,     37.8955,     39.2844,     39.4150,     39.5204,     39.6023,     39.6633,     39.6721,     39.6816,     44.8444,     44.8415,     39.8836,     39.8998,     39.9509,     40.3284,     40.5076,     40.9983,     41.3149,     41.5569,     41.9292,     42.2127,     42.6425,     42.8474,     43.1064,     43.2561,     44.8409,     44.8679,     44.9142,     45.0938,     45.9790,     48.5390,     40.3330,     40.4839,     40.9758,     42.7800,     42.7800,     43.7012
     126,          2.083333,     36.5594,     36.2808,     35.7485,     35.6883,     35.6798,     35.6798,     35.6798,     36.7398,     36.7504,     36.7707,     36.9480,     37.0801,     37.1363,     37.1453,     37.2018,     37.8856,     38.7996,     37.8908,     39.2782,     39.4083,     39.5129,     39.5942,     39.6549,     39.6637,     39.6735,     44.8428,     44.8399,     39.8786,     39.8949,     39.9497,     40.3242,     40.5034,     40.9940,     41.3094,     41.5511,     41.9217,     42.2051,     42.6349,     42.8403,     43.1004,     43.2499,     44.8393,     44.8643,     44.9087,     45.0900,     45.9790,     48.5390,     40.3290,     40.4801,     40.9740,     42.7789,     42.7789,     43.6999
     127,          2.100000,     36.5530,     36.2737,     35.7474,     35.6905,     35.6825,     35.6823,     35.6823,     36.7323,     36.7428,     36.7630,     36.9394,     37.0707,     37.1268,     37.1357,     37.1928,     37.8809,     38.7963,     37.8862,     39.2721,     39.4017,     39.5056,     39.5863,     39.6466,     39.6554,     39.6654,     44.8413,     44.8385,     39.8738,     39.8903,     39.9458,     40.3194,     40.4992,     40.9896,     41.3037,     41.5451,     41.9140,     42.1974,     42.6272,     42.8332,     43.0946,     43.2443,     44.8380,     44.8611,     44.9034,     45.0867,     45.9790,     48.5390,     40.3241,     40.4769,     40.9724,     42.7778,     42.7778,     43.6989
     128,          2.116667,     36.5467,     36.2667,     35.7464,     35.6923,     35.6847,     35.6849,     35.6849,     36.7249,     36.7353,     36.7554,     36.9310,     37.0615,     37.1173,     37.1263,     37.1838,     37.8764,     38.7931,     37.8816,     39.2661,     39.3952,     39.4983,     39.5785,     39.6383,     39.6472,     39.6575,     44.8400,     44.8374,     39.8689,     39.8848,     39.9459,     40.3145,     40.4950,     40.9852,     41.2980,     41.5393,     41.9063,     42.1897,     42.6195,     42.8264,     43.0897,     43.2397,     44.8368,     44.8584,     44.8987,     45.0842,     45.9790,     48.5390,     40.3192,     40.4742,     40.9705,     42.7768,     42.7768,     43.6983
     129,          2.133333,     36.5407,     36.2598,     35.7458,     35.6945,     35.6873,     35.6872,     35.6871,     36.7177,     36.7281,     36.7481,     36.9227,     37.0525,     37.1080,     37.1169,     37.1750,     37.8720,     38.7899,     37.8772,     39.2600,     39.3888,     39.4912,     39.5707,     39.6302,     39.6392,     39.6497,     44.8388,     44.8362,     39.8640,     39.8794,     39.9450,     40.3095,     40.4902,     40.9810,     41.2924,     41.5335,     41.8986,     42.1820,     42.6121,     42.8204,     43.0854,     43.2353,     44.8357,     44.8562,     44.8945,     45.0822,     45.9790,     48.5390,     40.3144,     40.4721,     40.9691,     42.7762,     42.7762,     43.6977
     130,          2.150000,     36.5346,     36.2528,     35.7453,     35.6963,     35.6895,     35.6895,     35.6895,     36.7106,     36.7209,     36.7408,     36.9144,     37.0434,     37.0987,     37.1076,     37.1662,     37.8676,     38.7868,     37.8729,     39.2541,     39.3824,     39.4840,     39.5630,     39.6222,     39.6313,     39.6420,     44.8376,     44.8351,     39.8591,     39.8745,     39.9430,     40.3045,     40.4857,     40.9768,     41.2868,     41.5277,     41.8909,     42.1747,     42.6054,     42.8150,     43.0813,     43.2309,     44.8346,     44.8540,     44.8908,     45.0806,     45.9790,     48.5390,     40.3094,     40.4706,     40.9679,     42.7756,     42.7756,     43.6971
     131,          2.166667,     36.5285,     36.2459,     35.7443,     35.6979,     35.6916,     35.6918,     35.6918,     36.7034,     36.7136,     36.7334,     36.9061,     37.0345,     37.0895,     37.0984,     37.1574,     37.8634,     38.7836,     37.8687,     39.2482,     39.3761,     39.4769,     39.5552,     39.6143,     39.6234,     39.6344,     44.8366,     44.8341,     39.8545,     39.8697,     39.9426,     40.2994,     40.4812,     40.9724,     41.2812,     41.5222,     41.8836,     42.1679,     42.5993,     42.8100,     43.0774,     43.2270,     44.8337,     44.8519,     44.8875,     45.0792,     45.9790,     48.5390,     40.3045,     40.4693,     40.9660,     42.7747,     42.7747,     43.6964
     132,          2.183333,     36.5225,     36.2389,     35.7438,     35.6999,     35.6938,     35.6940,     35.6939,     36.6962,     36.7064,     36.7261,     36.8979,     37.0255,     37.0802,     37.0891,     37.1486,     37.8592,     38.7805,     37.8645,     39.2424,     39.3697,     39.4697,     39.5475,     39.6063,     39.6155,     39.6267,     44.8354,     44.8329,     39.8500,     39.8648,     39.9399,     40.2946,     40.4766,     40.9677,     41.2757,     41.5167,     41.8764,     42.1615,     42.5935,     42.8051,     43.0734,     43.2227,     44.8326,     44.8498,     44.8840,     45.0773,     45.9790,     48.5390,     40.2996,     40.4675,     40.9638,     42.7741,     42.7741,     43.6954
     133,          2.200000,     36.5165,     36.2319,     35.7432,     35.7018,     35.6962,     35.6961,     35.6961,     36.6891,     36.6992,     36.7188,     36.8896,     37.0166,     37.0713,     37.0801,     37.1403,     37.8552,     38.7771,     37.8605,     39.2365,     39.3634,     39.4626,     39.5399,     39.5982,     39.6075,     39.6189,     44.8341,     44.8317,     39.8449,     39.8593,     39.9384,     40.2894,     40.4717,     40.9631,     41.2703,     41.5113,     41.8697,     42.1554,     42.5876,     42.7999,     43.0690,     43.2181,     44.8314,     44.8473,     44.8801,     45.0745,     45.9790,     48.5390,     40.2946,     40.4649,     40.9613,     42.7731,     42.7731,     43.6940
     134,          2.216667,     36.5107,     36.2250,     35.7429,     35.7036,     35.6984,     35.6983,     35.6983,     36.6820,     36.6921,     36.7116,     36.8816,     37.0078,     37.0623,     37.0711,     37.1318,     37.8509,     38.7736,     37.8562,     39.2307,     39.3570,     39.4555,     39.5320,     39.5900,     39.5992,     39.6109,     44.8325,     44.8302,     39.8396,     39.8536,     39.9370,     40.2841,     40.4671,     40.9587,     41.2652,     41.5062,     41.8630,     42.1491,     42.5816,     42.7944,     43.0640,     43.2122,     44.8299,     44.8445,     44.8757,     45.0711,     45.9790,     48.5390,     40.2892,     40.4615,     40.9586,     42.7720,     42.7720,     43.6923
     135,          2.233333,     36.5050,     36.2180,     35.7427,     35.7055,     35.7005,     35.7005,     35.7005,     36.6751,     36.6850,     36.7045,     36.8736,     36.9991,     37.0532,     37.0620,     37.1232,     37.8465,     38.7702,     37.8519,     39.2247,     39.3506,     39.4483,     39.5240,     39.5815,     39.5909,     39.6028,     44.8308,     44.8286,     39.8342,     39.8477,     39.9354,     40.2786,     40.4623,     40.9541,     41.2599,     41.5008,     41.8559,     42.1426,     42.5752,     42.7881,     43.0582,     43.2061,     44.8284,     44.8416,     44.8707,     45.0671,     45.9790,     48.5390,     40.2837,     40.4576,     40.9563,     42.7709,     42.7709,     43.6907
     136,          2.250000,     36.4993,     36.2112,     35.7426,     35.7072,     35.7025,     35.7025,     35.7025,     36.6682,     36.6781,     36.6975,     36.8656,     36.9903,     37.0442,     37.0529,     37.1147,     37.8423,     38.7666,     37.8476,     39.2188,     39.3441,     39.4408,     39.5158,     39.5729,     39.5823,     39.5945,     44.8291,     44.8270,     39.8288,     39.8419,     39.9339,     40.2730,     40.4577,     40.9495,     41.2547,     41.4954,     41.8490,     42.1360,     42.5681,     42.7813,     43.0522,     43.2000,     44.8269,     44.8386,     44.8656,     45.0627,     45.9790,     48.5390,     40.2781,     40.4535,     40.9542,     42.7700,     42.7700,     43.6890
     137,          2.266667,     36.4937,     36.2043,     35.7423,     35.7089,     35.7045,     35.7045,     35.7045,     36.6613,     36.6711,     36.6903,     36.8575,     36.9814,     37.0351,     37.0438,     37.1061,     37.8378,     38.7632,     37.8432,     39.2127,     39.3373,     39.4331,     39.5075,     39.5640,     39.5735,     39.5860,     44.8273,     44.8253,     39.8233,     39.8363,     39.9310,     40.2672,     40.4530,     40.9451,     41.2491,     41.4898,     41.8415,     42.1288,     42.5604,     42.7741,     43.0461,     43.1933,     44.8252,     44.8355,     44.8601,     45.0575,     45.9790,     48.5390,     40.2722,     40.4496,     40.9520,     42.7689,     42.7689,     43.6872
     138,          2.283334,     36.4882,     36.1975,     35.7423,     35.7106,     35.7063,     35.7064,     35.7064,     36.6545,     36.6642,     36.6833,     36.8495,     36.9727,     37.0260,     37.0347,     37.0976,     37.8335,     38.7597,     37.8388,     39.2066,     39.3305,     39.4254,     39.4990,     39.5550,     39.5646,     39.5774,     44.8252,     44.8234,     39.8181,     39.8305,     39.9312,     40.2610,     40.4484,     40.9403,     41.2431,     41.4837,     41.8338,     42.1212,     42.5521,     42.7665,     43.0395,     43.1860,     44.8233,     44.8323,     44.8541,     45.0515,     45.9790,     48.5390,     40.2660,     40.4454,     40.9498,     42.7678,     42.7678,     43.6850
     139,          2.300000,     36.4827,     36.1906,     35.7423,     35.7122,     35.7081,     35.7081,     35.7081,     36.6477,     36.6573,     36.6764,     36.8415,     36.9639,     37.0169,     37.0255,     37.0890,     37.8290,     38.7558,     37.8344,     39.2002,     39.3235,     39.4175,     39.4902,     39.5457,     39.5553,     39.5687,     44.8230,     44.8213,     39.8131,     39.8252,     39.9282,     40.2546,     40.4434,     40.9354,     41.2365,     41.4774,     41.8256,     42.1130,     42.5434,     42.7585,     43.0324,     43.1777,     44.8212,     44.8289,     44.8481,     45.0445,     45.9790,     48.5390,     40.2596,     40.4411,     40.9474,     42.7667,     42.7667,     43.6828
     140,          2.316667,     36.4772,     36.1838,     35.7419,     35.7135,     35.7098,     35.7099,     35.7099,     36.6408,     36.6503,     36.6692,     36.8334,     36.9549,     37.0076,     37.0162,     37.0802,     37.8243,     38.7520,     37.8297,     39.1936,     39.3164,     39.4094,     39.4814,     39.5363,     39.5461,     39.5599,     44.8208,     44.8191,     39.8080,     39.8196,     39.9261,     40.2481,     40.4385,     40.9303,     41.2296,     41.4708,     41.8168,     42.1044,     42.5342,     42.7498,     43.0247,     43.1691,     44.8191,     44.8254,     44.8416,     45.0357,     45.9790,     48.5390,     40.2531,     40.4367,     40.9450,     42.7656,     42.7656,     43.6804
     141,          2.333333,     36.4717,     36.1769,     35.7419,     35.7150,     35.7115,     35.7115,     35.7115,     36.6338,     36.6433,     36.6621,     36.8252,     36.9459,     36.9984,     37.0069,     37.0715,     37.8194,     38.7484,     37.8249,     39.1871,     39.3093,     39.4013,     39.4725,     39.5270,     39.5368,     39.5511,     44.8184,     44.8169,     39.8027,     39.8141,     39.9237,     40.2414,     40.4330,     40.9249,     41.2225,     41.4639,     41.8076,     42.0956,     42.5243,     42.7405,     43.0171,     43.1600,     44.8169,     44.8219,     44.8349,     45.0227,     45.9790,     48.5390,     40.2463,     40.4321,     40.9425,     42.7645,     42.7645,     43.6776
     142,          2.350000,     36.4662,     36.1699,     35.7419,     35.7165,     35.7132,     35.7132,     35.7132,     36.6269,     36.6363,     36.6550,     36.8170,     36.9368,     36.9890,     36.9975,     37.0627,     37.8146,     38.7448,     37.8201,     39.1805,     39.3021,     39.3931,     39.4633,     39.5173,     39.5273,     39.5421,     44.8160,     44.8145,     39.7975,     39.8078,     39.9247,     40.2342,     40.4276,     40.9194,     41.2148,     41.4567,     41.7979,     42.0862,     42.5139,     42.7312,     43.0093,     43.1506,     44.8146,     44.8183,     44.8274,     45.0222,     45.9790,     48.5390,     40.2392,     40.4278,     40.9403,     42.7634,     42.7634,     43.6750
     143,          2.366667,     36.4607,     36.1628,     35.7419,     35.7179,     35.7148,     35.7148,     35.7148,     36.6199,     36.6293,     36.6479,     36.8088,     36.9277,     36.9796,     36.9881,     37.0539,     37.8099,     38.7412,     37.8154,     39.1739,     39.2948,     39.3848,     39.4541,     39.5074,     39.5175,     39.5329,     44.8134,     44.8120,     39.7921,     39.8020,     39.9226,     40.2270,     40.4218,     40.9135,     41.2072,     41.4496,     41.7879,     42.0763,     42.5029,     42.7219,     43.0010,     43.1404,     44.8121,     44.8150,     44.8213,     45.0224,     45.9790,     48.5390,     40.2321,     40.4241,     40.9375,     42.7623,     42.7623,     43.6724
     144,          2.383333,     36.4552,     36.1557,     35.7419,     35.7193,     35.7165,     35.7165,     35.7165,     36.6129,     36.6222,     36.6407,     36.8005,     36.9184,     36.9700,     36.9784,     37.0450,     37.8053,     38.7374,     37.8109,     39.1672,     39.2873,     39.3763,     39.4447,     39.4975,     39.5077,     39.5238,     44.8107,     44.8095,     39.7867,     39.7964,     39.9196,     40.2195,     40.4159,     40.9077,     41.1995,     41.4424,     41.7772,     42.0660,     42.4919,     42.7123,     42.9922,     43.1303,     44.8096,     44.8117,     44.8159,     45.0221,     45.9790,     48.5390,     40.2249,     40.4208,     40.9342,     42.7612,     42.7612,     43.6696
     145,          2.400000,     36.4498,     36.1485,     35.7419,     35.7208,     35.7181,     35.7181,     35.7181,     36.6059,     36.6151,     36.6335,     36.7922,     36.9091,     36.9603,     36.9686,     37.0360,     37.8008,     38.7336,     37.8063,     39.1603,     39.2797,     39.3677,     39.4354,     39.4876,     39.4980,     39.5148,     44.8080,     44.8069,     39.7812,     39.7899,     39.9200,     40.2117,     40.4100,     40.9016,     41.1914,     41.4347,     41.7658,     42.0556,     42.4805,     42.7023,     42.9831,     43.1198,     44.8070,     44.8085,     44.8111,     45.0217,     45.9790,     48.5390,     40.2171,     40.4173,     40.9306,     42.7601,     42.7601,     43.6666
     146,          2.416667,     36.4443,     36.1416,     35.7419,     35.7220,     35.7195,     35.7196,     35.7196,     36.5988,     36.6079,     36.6262,     36.7837,     36.8998,     36.9507,     36.9590,     37.0271,     37.7962,     38.7296,     37.8017,     39.1534,     39.2722,     39.3590,     39.4258,     39.4775,     39.4881,     39.5056,     44.8054,     44.8044,     39.7755,     39.7842,     39.9150,     40.2035,     40.4040,     40.8957,     41.1830,     41.4269,     41.7538,     42.0451,     42.4688,     42.6917,     42.9732,     43.1097,     44.8045,     44.8054,     44.8066,     45.0216,     45.9790,     48.5390,     40.2089,     40.4138,     40.9273,     42.7592,     42.7592,     43.6631
     147,          2.433333,     36.4389,     36.1345,     35.7419,     35.7233,     35.7211,     35.7212,     35.7212,     36.5918,     36.6008,     36.6189,     36.7753,     36.8903,     36.9408,     36.9491,     37.0181,     37.7915,     38.7258,     37.7971,     39.1466,     39.2647,     39.3506,     39.4165,     39.4676,     39.4783,     39.4967,     44.8029,     44.8020,     39.7695,     39.7772,     39.9164,     40.1950,     40.3974,     40.8896,     41.1744,     41.4192,     41.7415,     42.0347,     42.4567,     42.6807,     42.9633,     43.1006,     44.8021,     44.8028,     44.8032,     45.0215,     45.9790,     48.5390,     40.2008,     40.4133,     40.9234,     42.7581,     42.7581,     43.6596
     148,          2.450000,     36.4335,     36.1273,     35.7423,     35.7250,     35.7227,     35.7226,     35.7226,     36.5846,     36.5936,     36.6115,     36.7667,     36.8808,     36.9310,     36.9392,     37.0092,     37.7871,     38.7219,     37.7927,     39.1400,     39.2574,     39.3422,     39.4071,     39.4577,     39.4686,     39.4879,     44.8007,     44.7999,     39.7634,     39.7707,     39.9148,     40.1865,     40.3903,     40.8837,     41.1658,     41.4115,     41.7288,     42.0248,     42.4441,     42.6701,     42.9539,     43.0929,     44.7999,     44.8008,     44.8010,     45.0215,     45.9790,     48.5390,     40.1927,     40.4127,     40.9189,     42.7570,     42.7570,     43.6569
     149,          2.466667,     36.4282,     36.1200,     35.7426,     35.7261,     35.7240,     35.7241,     35.7241,     36.5775,     36.5863,     36.6041,     36.7580,     36.8713,     36.9211,     36.9293,     37.0003,     37.7827,     38.7181,     37.7884,     39.1334,     39.2502,     39.3338,     39.3978,     39.4477,     39.4588,     39.4791,     44.7989,     44.7981,     39.7574,     39.7646,     39.9098,     40.1778,     40.3832,     40.8782,     41.1570,     41.4038,     41.7162,     42.0149,     42.4317,     42.6604,     42.9454,     43.0875,     44.7981,     44.7989,     44.7992,     45.0214,     45.9790,     48.5390,     40.1844,     40.4122,     40.9140,     42.7559,     42.7559,     43.6546
     150,          2.483333,     36.4229,     36.1128,     35.7426,     35.7272,     35.7254,     35.7254,     35.7254,     36.5703,     36.5791,     36.5968,     36.7494,     36.8617,     36.9113,     36.9194,     36.9915,     37.7784,     38.7145,     37.7840,     39.1268,     39.2429,     39.3254,     39.3885,     39.4376,     39.4489,     39.4703,     44.7972,     44.7964,     39.7514,     39.7581,     39.9082,     40.1691,     40.3770,     40.8721,     41.1483,     41.3961,     41.7038,     42.0054,     42.4196,     42.6517,     42.9383,     43.0836,     44.7965,     44.7972,     44.7973,     45.0212,     45.9790,     48.5390,     40.1762,     40.4120,     40.9089,     42.7548,     42.7548,     43.6519
     151,          2.500000,     36.4175,     36.1054,     35.7427,     35.7285,     35.7268,     35.7268,     35.7268,     36.5630,     36.5717,     36.5892,     36.7407,     36.8520,     36.9013,     36.9094,     36.9824,     37.7743,     38.7108,     37.7800,     39.1200,     39.2355,     39.3168,     39.3788,     39.4274,     39.4391,     39.4617,     44.7957,     44.7950,     39.7456,     39.7512,     39.9102,     40.1606,     40.3706,     40.8653,     41.1402,     41.3878,     41.6917,     41.9967,     42.4078,     42.6443,     42.9323,     43.0812,     44.7951,     44.7956,     44.7955,     45.0213,     45.9790,     48.5390,     40.1679,     40.4116,     40.9038,     42.7539,     42.7539,     43.6490
     152,          2.516667,     36.4123,     36.0979,     35.7428,     35.7296,     35.7279,     35.7280,     35.7280,     36.5558,     36.5644,     36.5818,     36.7320,     36.8424,     36.8914,     36.8994,     36.9737,     37.7704,     38.7070,     37.7762,     39.1135,     39.2283,     39.3084,     39.3695,     39.4173,     39.4293,     39.4534,     44.7943,     44.7937,     39.7399,     39.7454,     39.9062,     40.1518,     40.3641,     40.8587,     41.1322,     41.3791,     41.6807,     41.9886,     42.3963,     42.6384,     42.9272,     43.0787,     44.7937,     44.7942,     44.7942,     45.0208,     45.9790,     48.5390,     40.1600,     40.4107,     40.8992,     42.7531,     42.7531,     43.6457
     153,          2.533334,     36.4071,     36.0905,     35.7430,     35.7306,     35.7291,     35.7291,     35.7291,     36.5486,     36.5571,     36.5743,     36.7234,     36.8329,     36.8815,     36.8895,     36.9649,     37.7667,     38.7031,     37.7725,     39.1069,     39.2211,     39.3001,     39.3602,     39.4072,     39.4194,     39.4453,     44.7931,     44.7925,     39.7343,     39.7394,     39.9049,     40.1432,     40.3579,     40.8521,     41.1236,     41.3708,     41.6706,     41.9809,     42.3848,     42.6343,     42.9226,     43.0769,     44.7925,     44.7932,     44.7931,     45.0202,     45.9790,     48.5390,     40.1520,     40.4105,     40.8952,     42.7523,     42.7524,     43.6410
     154,          2.550000,     36.4019,     36.0831,     35.7431,     35.7316,     35.7302,     35.7302,     35.7302,     36.5413,     36.5497,     36.5668,     36.7147,     36.8232,     36.8715,     36.8795,     36.9563,     37.7633,     38.6990,     37.7691,     39.1006,     39.2140,     39.2918,     39.3508,     39.3973,     39.4098,     39.4376,     44.7921,     44.7915,     39.7288,     39.7334,     39.9043,     40.1347,     40.3517,     40.8455,     41.1149,     41.3631,     41.6611,     41.9736,     42.3739,     42.6320,     42.9182,     43.0753,     44.7914,     44.7921,     44.7923,     45.0194,     45.9790,     48.5390,     40.1442,     40.4100,     40.8915,     42.7517,     42.7517,     43.6410
     155,          2.566667,     36.3969,     36.0757,     35.7433,     35.7326,     35.7313,     35.7313,     35.7313,     36.5342,     36.5425,     36.5595,     36.7061,     36.8136,     36.8616,     36.8696,     36.9481,     37.7600,     38.6950,     37.7657,     39.0942,     39.2068,     39.2835,     39.3415,     39.3874,     39.4002,     39.4297,     44.7911,     44.7905,     39.7236,     39.7276,     39.9033,     40.1262,     40.3456,     40.8389,     41.1066,     41.3560,     41.6512,     41.9668,     42.3638,     42.6309,     42.9135,     43.0742,     44.7905,     44.7911,     44.7912,     45.0183,     45.9790,     48.5390,     40.1365,     40.4100,     40.8882,     42.7511,     42.7511,     43.6410
     156,          2.583333,     36.3920,     36.0685,     35.7434,     35.7334,     35.7322,     35.7323,     35.7323,     36.5271,     36.5353,     36.5521,     36.6976,     36.8041,     36.8518,     36.8597,     36.9399,     37.7566,     38.6911,     37.7624,     39.0878,     39.1997,     39.2752,     39.3322,     39.3776,     39.3907,     39.4221,     44.7905,     44.7899,     39.7186,     39.7224,     39.9011,     40.1178,     40.3395,     40.8324,     41.0989,     41.3495,     41.6414,     41.9606,     42.3546,     42.6306,     42.9088,     43.0749,     44.7899,     44.7904,     44.7902,     45.0183,     45.9790,     48.5390,     40.1293,     40.4109,     40.8849,     42.7506,     42.7506,     43.6410
     157,          2.600000,     36.3870,     36.0610,     35.7437,     35.7344,     35.7333,     35.7334,     35.7334,     36.5199,     36.5281,     36.5448,     36.6890,     36.7946,     36.8419,     36.8498,     36.9316,     37.7533,     38.6869,     37.7591,     39.0815,     39.1926,     39.2670,     39.3231,     39.3677,     39.3811,     39.4144,     44.7897,     44.7891,     39.7138,     39.7173,     39.8990,     40.1094,     40.3335,     40.8262,     41.0915,     41.3429,     41.6315,     41.9550,     42.3463,     42.6310,     42.9042,     43.0750,     44.7891,     44.7897,     44.7896,     45.0183,     45.9790,     48.5390,     40.1222,     40.4126,     40.8811,     42.7500,     42.7500,     43.6410
     158,          2.616667,     36.3821,     36.0535,     35.7441,     35.7354,     35.7344,     35.7345,     35.7345,     36.5128,     36.5208,     36.5374,     36.6805,     36.7851,     36.8320,     36.8399,     36.9238,     37.7500,     38.6825,     37.7558,     39.0753,     39.1855,     39.2588,     39.3139,     39.3578,     39.3716,     39.4071,     44.7891,     44.7886,     39.7091,     39.7125,     39.8966,     40.1011,     40.3281,     40.8202,     41.0842,     41.3367,     41.6216,     41.9502,     42.3389,     42.6316,     42.8993,     43.0760,     44.7886,     44.7891,     44.7892,     45.0183,     45.9790,     48.5390,     40.1151,     40.4146,     40.8770,     42.7495,     42.7495,     43.6410
     159,          2.633333,     36.3771,     36.0461,     35.7444,     35.7364,     35.7355,     35.7356,     35.7356,     36.5057,     36.5136,     36.5301,     36.6720,     36.7756,     36.8223,     36.8302,     36.9160,     37.7467,     38.6781,     37.7525,     39.0692,     39.1785,     39.2505,     39.3048,     39.3480,     39.3623,     39.4004,     44.7886,     44.7880,     39.7046,     39.7071,     39.8990,     40.0931,     40.3232,     40.8142,     41.0771,     41.3306,     41.6117,     41.9463,     42.3323,     42.6319,     42.8950,     43.0771,     44.7880,     44.7886,     44.7886,     45.0183,     45.9790,     48.5390,     40.1085,     40.4165,     40.8726,     42.7489,     42.7489,     43.6410
     160,          2.650000,     36.3722,     36.0387,     35.7448,     35.7374,     35.7366,     35.7365,     35.7365,     36.4985,     36.5064,     36.5228,     36.6636,     36.7663,     36.8126,     36.8205,     36.9084,     37.7434,     38.6737,     37.7492,     39.0632,     39.1716,     39.2424,     39.2959,     39.3385,     39.3533,     39.3942,     44.7880,     44.7875,     39.7001,     39.7024,     39.8976,     40.0852,     40.3185,     40.8084,     41.0699,     41.3246,     41.6018,     41.9433,     42.3263,     42.6319,     42.8916,     43.0778,     44.7875,     44.7881,     44.7881,     45.0183,     45.9790,     48.5390,     40.1022,     40.4181,     40.8682,     42.7484,     42.7484,     43.6410
     161,          2.666667,     36.3674,     36.0314,     35.7451,     35.7384,     35.7376,     35.7375,     35.7374,     36.4915,     36.4993,     36.5155,     36.6552,     36.7569,     36.8030,     36.8109,     36.9009,     37.7399,     38.6696,     37.7458,     39.0572,     39.1647,     39.2346,     39.2871,     39.3292,     39.3446,     39.3884,     44.7876,     44.7870,     39.6956,     39.6980,     39.8948,     40.0776,     40.3144,     40.8025,     41.0629,     41.3187,     41.5922,     41.9413,     42.3206,     42.6319,     42.8887,     43.0781,     44.7870,     44.7876,     44.7876,     45.0183,     45.9790,     48.5390,     40.0962,     40.4196,     40.8639,     42.7479,     42.7479,     43.6410
     162,          2.683333,     36.3627,     36.0241,     35.7452,     35.7389,     35.7383,     35.7385,     35.7385,     36.4845,     36.4921,     36.5083,     36.6469,     36.7476,     36.7935,     36.8013,     36.8937,     37.7366,     38.6654,     37.7425,     39.0512,     39.1581,     39.2268,     39.2783,     39.3200,     39.3361,     39.3830,     44.7870,     44.7865,     39.6912,     39.6931,     39.8962,     40.0701,     40.3104,     40.7965,     41.0559,     41.3133,     41.5828,     41.9400,     42.3151,     42.6319,     42.8863,     43.0779,     44.7865,     44.7870,     44.7871,     45.0183,     45.9790,     48.5390,     40.0906,     40.4210,     40.8595,     42.7474,     42.7474,     43.6410
