"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time(h)","V FC01.1_R [EG14_003]","V FC01.2_R [EG14_003]","V FC04.1_C [EG14_003]","V Pipe0 [EG14_003]","V Pipe1 [EG14_003]","V Pipe10 [EG14_003]","V Pipe11 [EG14_003]","V Pipe12 [EG14_003]","V Pipe13 [EG14_003]","V Pipe14 [EG14_003]","V Pipe15 [EG14_003]","V Pipe16 [EG14_003]","V Pipe17 [EG14_003]","V Pipe19 [EG14_003]","V Pipe2 [EG14_003]","V Pipe3 [EG14_003]","V Pipe4 [EG14_003]","V Pipe5 [EG14_003]","V Pipe6 [EG14_003]","V Pipe7 [EG14_003]","V Pipe8 [EG14_003]","V Pipe9 [EG14_003]","V Pit1 [EG14_003]","V Pit10 [EG14_003]","V Pit11 [EG14_003]","V Pit12 [EG14_003]","V Pit13 [EG14_003]","V Pit14 [EG14_003]","V Pit15 [EG14_003]","V Pit16 [EG14_003]","V Pit17 [EG14_003]","V Pit18 [EG14_003]","V Pit19 [EG14_003]","V Pit2 [EG14_003]","V Pit3 [EG14_003]","V Pit4 [EG14_003]","V Pit5 [EG14_003]","V Pit6 [EG14_003]","V Pit7 [EG14_003]","V Pit8 [EG14_003]","V Pit9 [EG14_003]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.382,    0.344,    0.188,    0.102,    0.223,    0.228,    0.181,    0.230,    0.216,    0.230,    0.298,    0.350,    0.304,    0.280,    0.168,    0.147,    0.399,    0.370,    0.348,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,    0.481,    0.507,    0.423,    0.183,    0.347,    0.327,    0.335,    0.334,    0.318,    0.337,    0.459,    0.440,    0.409,    0.407,    0.368,    0.322,    0.510,    0.546,    0.542,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,    0.538,    0.596,    0.592,    0.296,    0.497,    0.412,    0.418,    0.425,    0.347,    0.422,    0.603,    0.490,    0.472,    0.500,    0.509,    0.380,    0.573,    0.647,    0.689,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000,    0.579,    0.660,    0.734,    0.476,    0.656,    0.519,    0.503,    0.528,    0.395,    0.500,    0.718,    0.527,    0.515,    0.568,    0.646,    0.544,    0.619,    0.716,    0.792,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000,    0.613,    0.709,    0.839,    0.664,    0.791,    0.667,    0.621,    0.657,    0.544,    0.593,    0.811,    0.557,    0.548,    0.596,    0.759,    0.705,    0.656,    0.769,    0.870,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000,    0.642,    0.750,    0.918,    0.767,    0.894,    0.820,    0.774,    0.786,    0.747,    0.727,    0.872,    0.583,    0.575,    0.359,    0.849,    0.812,    0.689,    0.813,    0.934,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       8,          0.116667,    0.000,    0.000,    0.000,    0.668,    0.786,    0.983,    0.822,    0.972,    0.937,    0.913,    0.889,    0.891,    0.879,    0.929,    0.606,    0.599,    0.214,    0.918,    0.899,    0.717,    0.853,    0.989,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       9,          0.133333,    0.000,    0.000,    0.000,    0.692,    0.818,    1.037,    0.872,    1.036,    1.025,    1.018,    0.969,    0.243,    1.004,    0.981,    0.626,    0.621,    0.228,    0.977,    0.969,    0.743,    0.702,    1.036,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      10,          0.150000,    0.000,    0.000,    0.000,    0.713,    0.847,    1.087,    0.920,    1.091,    1.096,    1.099,    1.036,    0.194,    1.098,    1.029,    0.645,    0.640,    0.243,    1.031,    1.030,    0.767,    0.715,    1.082,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
      11,          0.166667,    0.000,    0.000,    0.000,    0.733,    0.655,    1.136,    0.282,    1.144,   -0.009,   -0.026,    0.094,    0.022,   -0.015,    1.072,    0.662,    0.658,    0.260,    1.080,    0.487,    0.790,    0.549,    1.128,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
