"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Node ID","Hmax","Time Hmax"
     1,"ds1.1",     37.4437,      0.6905
     2,"ds1.2",     37.0629,      0.6938
     3,"ds2.2",     36.5670,      0.6698
     4,"ds3.2",     36.1842,      0.6302
     5,"ds4.2",     35.7500,      3.0001
     6,"ds5.2",     35.7500,      3.0001
     7,"ds_weir.2",     35.7500,      3.0001
     8,"FC01.01.1",     37.7514,      0.6853
     9,"FC01.02.1",     37.7703,      0.6834
    10,"FC01.03.1",     37.8029,      0.6819
    11,"FC01.04.1",     38.0846,      0.6722
    12,"FC01.05.1",     38.3132,      0.6657
    13,"FC01.06.1",     38.4075,      0.6611
    14,"FC01.07.1",     38.4213,      0.6589
    15,"FC01.08.1",     38.4741,      0.6564
    16,"FC01.09.1",     38.8771,      0.6233
    17,"FC01.12.1",     39.3723,      0.6109
    18,"FC01.12.2",     38.8836,      0.6238
    19,"FC01.13.1",     40.1508,      0.6053
    20,"FC01.14.1",     40.3546,      0.6016
    21,"FC01.15.1",     40.5554,      0.5994
    22,"FC01.16.1",     40.7225,      0.5979
    23,"FC01.17.1",     40.8279,      0.5947
    24,"FC01.18.1",     40.8388,      0.5931
    25,"FC01.19.1",     40.8459,      0.5916
    26,"FC01.1_R.1",     45.2184,      0.5063
    27,"FC01.1_R.2",     45.1571,      0.5075
    28,"FC01.20.1",     40.9532,      0.5896
    29,"FC01.21.1",     40.9721,      0.5869
    30,"FC01.22.1",     40.9938,      0.5858
    31,"FC01.23.1",     41.0910,      0.5813
    32,"FC01.24.1",     41.2501,      0.5620
    33,"FC01.25.1",     41.7259,      0.5360
    34,"FC01.26.1",     42.1515,      0.5322
    35,"FC01.27.1",     42.4511,      0.5310
    36,"FC01.28A.1",     42.9960,      0.5300
    37,"FC01.28B.1",     43.3292,      0.5281
    38,"FC01.29.1",     43.7604,      0.5248
    39,"FC01.30.1",     43.9247,      0.5220
    40,"FC01.31.1",     44.0856,      0.5189
    41,"FC01.32.1",     44.1857,      0.5164
    42,"FC01.33.1",     45.0877,      0.5155
    43,"FC01.36.1",     45.5708,      0.5118
    44,"FC01.37.1",     45.6910,      0.5150
    45,"FC01.38.1",     45.7478,      0.5194
    46,"FC01.39.1",     45.9790,      3.0001
    47,"FC01.40.1",     48.5390,      3.0001
    48,"FC02.01.1",     41.0924,      0.5821
    49,"FC02.02.1",     41.0970,      0.5764
    50,"FC02.03.1",     41.1132,      0.5779
    51,"FC02.04.1",     42.8599,      1.0198
    52,"FC02.05.1",     42.8599,      1.0260
    53,"FC02.06.1",     43.8315,      0.5090
