"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"ds1",          10.369,          0.6812,      1.3017,          0.6763
     2,"ds2",          10.369,          0.6941,      1.0118,          0.7709
     3,"ds3",          10.425,          0.7149,      0.8720,          0.8921
     4,"ds4",          11.035,          0.7433,      1.4634,          0.5817
     5,"ds5",           9.724,          0.6891,      0.8785,          0.4509
     6,"ds_weir",           0.746,          0.4637,      0.5983,          0.4633
     7,"FC01.01",          10.372,          0.6767,      1.2098,          0.6553
     8,"FC01.02",          10.378,          0.6694,      0.6047,          0.6421
     9,"FC01.03",          10.381,          0.6686,      0.6229,          0.6293
    10,"FC01.04",          10.387,          0.6622,      1.2031,          0.6234
    11,"FC01.05",          10.394,          0.6560,      1.0232,          0.5395
    12,"FC01.06",          10.408,          0.6395,      0.6761,          0.5891
    13,"FC01.07",          10.423,          0.6288,      0.4660,          0.5736
    14,"FC01.08",          10.438,          0.6215,      0.6950,          0.2830
    15,"FC01.09",          10.475,          0.6087,      1.1330,          0.3078
    16,"FC01.12",          10.262,          0.6009,      1.4284,          0.3980
    17,"FC01.13",          10.036,          0.5971,      1.2919,          0.5846
    18,"FC01.14",           9.810,          0.5900,      0.9802,          0.5874
    19,"FC01.15",           9.582,          0.5928,      1.0084,          0.5847
    20,"FC01.16",           9.355,          0.5865,      0.7589,          0.5828
    21,"FC01.17",           9.129,          0.5796,      0.7268,          0.5583
    22,"FC01.18",           8.903,          0.5765,      0.3461,          0.5450
    23,"FC01.19",           8.675,          0.5628,      0.3412,          0.2108
    24,"FC01.1_R",           4.029,          0.5063,      2.0111,          0.5063
    25,"FC01.20",           8.450,          0.5612,      0.7744,          0.2124
    26,"FC01.21",           8.228,          0.5479,      0.3928,          0.2326
    27,"FC01.22",           8.007,          0.5468,      0.5075,          0.2093
    28,"FC01.23",           7.779,          0.5362,      1.1736,          0.2109
    29,"FC01.24",           6.863,          0.5230,      1.1859,          0.2637
    30,"FC01.25",           6.630,          0.5208,      1.3248,          0.3704
    31,"FC01.26",           6.394,          0.5242,      1.1867,          0.5237
    32,"FC01.27",           6.158,          0.5310,      1.5841,          0.5310
    33,"FC01.28A",           5.922,          0.5300,      1.3153,          0.5300
    34,"FC01.28B",           5.685,          0.5196,      1.1840,          0.5139
    35,"FC01.29",           5.449,          0.5167,      1.1286,          0.5115
    36,"FC01.2_R",          10.527,          0.5737,      1.0657,          0.2997
    37,"FC01.30",           5.213,          0.5115,      0.8595,          0.5058
    38,"FC01.31",           4.977,          0.5102,      0.8375,          0.5034
    39,"FC01.32",           4.741,          0.5063,      0.8279,          0.5012
    40,"FC01.33",           0.000,          3.0001,      0.0000,          3.0001
    41,"FC01.34",           4.267,          0.5076,      0.5134,          0.5076
    42,"FC01.36",           3.020,          0.5119,      0.8596,          0.5134
    43,"FC01.37",           2.013,          0.5170,      0.5123,          0.5306
    44,"FC01.38",           1.006,          0.5229,      0.2708,          0.0690
    45,"FC01.39",           0.000,          3.0001,      0.0000,          3.0001
    46,"FC01.40",           0.000,          3.0001,      0.0000,          3.0001
    47,"FC02.01",           0.732,          0.9472,      0.1497,          0.0543
    48,"FC02.02",           0.540,          0.9711,      0.3783,          0.0822
    49,"FC02.03",           0.396,          0.9958,      0.5019,          1.1744
    50,"FC02.04",           0.296,          1.0199,      0.6059,          1.0199
    51,"FC02.05",           0.199,          1.0109,      0.0189,          0.0554
    52,"FC02.06",           0.294,          0.1068,      0.7345,          0.1006
    53,"FC_weir1",           4.503,          0.5156,      0.9438,          0.5156
    54,"RD_weir",           0.000,          3.0001,      0.0000,          3.0001
