"EG14_001 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_001.tcf]","Node ID","Hmax","Time Hmax"
     1,"ds1.1",     38.9561,      1.4080
     2,"ds1.2",     38.8652,      1.4149
     3,"ds2.2",     38.3959,      1.4243
     4,"ds3.2",     37.3133,      1.4396
     5,"ds4.2",     35.8347,      1.4627
     6,"ds5.2",     34.2420,      1.4881
     7,"ds_weir.2",     33.2534,      1.4883
     8,"FC01.01.1",     39.0829,      1.3966
     9,"FC01.02.1",     39.1182,      1.3929
    10,"FC01.03.1",     39.1829,      1.3892
    11,"FC01.04.1",     39.5890,      1.3771
    12,"FC01.05.1",     39.9337,      1.3697
    13,"FC01.06.1",     40.1253,      1.3613
    14,"FC01.07.1",     40.1596,      1.3553
    15,"FC01.08.1",     40.2605,      1.3518
    16,"FC01.09.1",     40.5589,      1.3370
    17,"FC01.12.1",     42.3005,      1.3203
    18,"FC01.12.2",     42.2949,      1.3200
    19,"FC01.13.1",     42.3168,      1.3196
    20,"FC01.14.1",     42.3498,      1.3154
    21,"FC01.15.1",     42.4067,      1.3043
    22,"FC01.16.1",     42.4822,      1.2798
    23,"FC01.17.1",     42.5465,      1.2605
    24,"FC01.18.1",     42.5593,      1.2543
    25,"FC01.19.1",     42.5706,      1.2532
    26,"FC01.1_R.1",     49.8933,      0.9717
    27,"FC01.1_R.2",     47.1298,      0.9790
    28,"FC01.20.1",     42.6446,      1.2357
    29,"FC01.21.1",     42.6642,      1.2337
    30,"FC01.22.1",     42.6796,      1.2290
    31,"FC01.23.1",     42.7224,      1.2253
    32,"FC01.24.1",     42.8209,      1.2026
    33,"FC01.25.1",     43.1728,      1.1448
    34,"FC01.26.1",     43.6483,      1.0560
    35,"FC01.27.1",     44.0643,      1.0343
    36,"FC01.28A.1",     44.8269,      1.0197
    37,"FC01.28B.1",     45.1364,      1.0137
    38,"FC01.29.1",     45.5061,      1.0029
    39,"FC01.30.1",     46.1245,      0.9958
    40,"FC01.31.1",     46.5394,      0.9909
    41,"FC01.32.1",     46.7627,      0.9864
    42,"FC01.33.1",     46.8195,      0.9827
    43,"FC01.36.1",     49.9096,      0.9675
    44,"FC01.37.1",     49.9524,      0.9658
    45,"FC01.38.1",     50.0637,      0.9689
    46,"FC01.39.1",     50.5660,      0.9436
    47,"FC01.40.1",     52.0243,      0.9250
    48,"FC02.01.1",     42.7224,      1.2277
    49,"FC02.02.1",     42.7224,      1.2328
    50,"FC02.03.1",     42.7224,      1.2334
    51,"FC02.04.1",     40.4990,      3.0001
    52,"FC02.05.1",     40.4990,      3.0001
    53,"FC02.06.1",     43.6390,      3.0001
