"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time(h)","F ds1 [EG14_002]","F ds2 [EG14_002]","F ds3 [EG14_002]","F ds4 [EG14_002]","F ds5 [EG14_002]","F ds_weir [EG14_002]","F FC01.01 [EG14_002]","F FC01.02 [EG14_002]","F FC01.03 [EG14_002]","F FC01.04 [EG14_002]","F FC01.05 [EG14_002]","F FC01.06 [EG14_002]","F FC01.07 [EG14_002]","F FC01.08 [EG14_002]","F FC01.09 [EG14_002]","F FC01.12 [EG14_002]","F FC01.13 [EG14_002]","F FC01.14 [EG14_002]","F FC01.15 [EG14_002]","F FC01.16 [EG14_002]","F FC01.17 [EG14_002]","F FC01.18 [EG14_002]","F FC01.19 [EG14_002]","F FC01.1_R [EG14_002]","F FC01.20 [EG14_002]","F FC01.21 [EG14_002]","F FC01.22 [EG14_002]","F FC01.23 [EG14_002]","F FC01.24 [EG14_002]","F FC01.25 [EG14_002]","F FC01.26 [EG14_002]","F FC01.27 [EG14_002]","F FC01.28A [EG14_002]","F FC01.28B [EG14_002]","F FC01.29 [EG14_002]","F FC01.2_R [EG14_002]","F FC01.30 [EG14_002]","F FC01.31 [EG14_002]","F FC01.32 [EG14_002]","F FC01.33 [EG14_002]","F FC01.34 [EG14_002]","F FC01.36 [EG14_002]","F FC01.37 [EG14_002]","F FC01.38 [EG14_002]","F FC01.39 [EG14_002]","F FC01.40 [EG14_002]","F FC02.01 [EG14_002]","F FC02.02 [EG14_002]","F FC02.03 [EG14_002]","F FC02.04 [EG14_002]","F FC02.05 [EG14_002]","F FC02.06 [EG14_002]","F FC_weir1 [EG14_002]","F RD_weir [EG14_002]"
     142,          2.350000,,,,,A,,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,A,,,,E,E,,,,,,N,,E
     143,          2.366667,,,,,A,,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,A,,,,E,E,,,,,,N,,E
     144,          2.383333,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,,,N,E,E,,,,,,N,,E
     145,          2.400000,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,A,,,,E,E,,,,,,N,,E
     146,          2.416667,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,A,,,,E,E,,,,,,N,,E
     147,          2.433333,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,A,A,,N,E,E,,,,,,N,,E
     148,          2.450000,,,,,,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,,N,E,E,,,,,,N,,E
     149,          2.466667,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,A,,,N,E,E,,,,,,N,,E
     150,          2.483333,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,,,N,E,E,,,,,,N,,E
     151,          2.500000,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,A,N,E,E,,,,,,N,,E
     152,          2.516667,,,,,A,,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,,N,E,E,,,,,,N,,E
     153,          2.533334,,,,,,,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,A,,A,N,E,E,,,,,,E,,E
     154,          2.550000,,,,,,,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,,N,E,E,,,,,,E,,E
     155,          2.566667,,,,,,,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,,E,E,E,,,,,,E,,E
     156,          2.583333,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,A,E,E,E,,,,,,E,,E
     157,          2.600000,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,A,E,E,E,,,,,,E,,E
     158,          2.616667,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,,E,E,E,,,,,,E,,E
     159,          2.633333,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,,A,E,E,E,,,,,,E,,E
     160,          2.650000,,,,,,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,A,E,E,E,,,,,,E,,E
     161,          2.666667,,,,,,,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,,E,E,E,,,,,,E,,E
     162,          2.683333,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,,,,,,,,,,A,,,,E,A,,,E,E,E,,,,,,E,,E
     163,          2.700000,,,,,,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,,E,E,E,,,,,,E,,E
     164,          2.716667,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,,E,E,E,,,,,,E,,E
     165,          2.733334,,,,,,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,A,,E,E,E,,,,,,E,,E
     166,          2.750000,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,,E,E,E,,,,,,E,,E
     167,          2.766667,,,,,,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,A,E,E,E,,,,,,E,,E
     168,          2.783334,,,,,,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,,E,E,E,,,,,,E,,E
     169,          2.800000,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,N,A,,,,E,,A,,E,E,E,,,,,,E,,E
     170,          2.816667,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,A,,E,E,E,,,,,,E,,E
     171,          2.833333,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,N,A,,,,E,A,A,,E,E,E,,,,,,E,,E
     172,          2.850000,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,N,A,,,,E,,A,,E,E,E,,,,,,E,,E
     173,          2.866667,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,A,A,E,E,E,,,,,,E,,E
     174,          2.883333,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,A,,E,E,E,,,,,,E,,E
     175,          2.900000,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,,,E,E,E,,,,,,E,,E
     176,          2.916667,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,A,E,E,E,,,,,,E,,E
     177,          2.933333,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,,,E,E,E,,,,,,E,,E
     178,          2.950000,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,A,E,E,E,,,,,,E,,E
     179,          2.966667,,,,,A,,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,A,A,A,E,E,E,,,,,,E,,E
     180,          2.983334,,,,,A,  L,,,,,,,,,,,,,,,,,,D,,A,N,,N,,,,,,,A,,,,E,,,A,E,E,E,,,,,,E,,E
     181,          3.000000,,,,,A,,,,,,,,,,,,,,,,,,,D,,A,N,,,,,,,,,A,,,,E,,A,,E,E,E,,,,,,E,,E
