"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time(h)","F ds1 [EG14_002]","F ds2 [EG14_002]","F ds3 [EG14_002]","F ds4 [EG14_002]","F ds5 [EG14_002]","F ds_weir [EG14_002]","F FC01.01 [EG14_002]","F FC01.02 [EG14_002]","F FC01.03 [EG14_002]","F FC01.04 [EG14_002]","F FC01.05 [EG14_002]","F FC01.06 [EG14_002]","F FC01.07 [EG14_002]","F FC01.08 [EG14_002]","F FC01.09 [EG14_002]","F FC01.12 [EG14_002]","F FC01.13 [EG14_002]","F FC01.14 [EG14_002]","F FC01.15 [EG14_002]","F FC01.16 [EG14_002]","F FC01.17 [EG14_002]","F FC01.18 [EG14_002]","F FC01.19 [EG14_002]","F FC01.1_R [EG14_002]","F FC01.20 [EG14_002]","F FC01.21 [EG14_002]","F FC01.22 [EG14_002]","F FC01.23 [EG14_002]","F FC01.24 [EG14_002]","F FC01.25 [EG14_002]","F FC01.26 [EG14_002]","F FC01.27 [EG14_002]","F FC01.28A [EG14_002]","F FC01.28B [EG14_002]","F FC01.29 [EG14_002]","F FC01.2_R [EG14_002]","F FC01.30 [EG14_002]","F FC01.31 [EG14_002]","F FC01.32 [EG14_002]","F FC01.33 [EG14_002]","F FC01.34 [EG14_002]","F FC01.36 [EG14_002]","F FC01.37 [EG14_002]","F FC01.38 [EG14_002]","F FC01.39 [EG14_002]","F FC01.40 [EG14_002]","F FC02.01 [EG14_002]","F FC02.02 [EG14_002]","F FC02.03 [EG14_002]","F FC02.04 [EG14_002]","F FC02.05 [EG14_002]","F FC02.06 [EG14_002]","F FC_weir1 [EG14_002]","F RD_weir [EG14_002]"
      30,          0.483333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      31,          0.500000,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      32,          0.516667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      33,          0.533333,,,,,,,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      34,          0.550000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      35,          0.566667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      36,          0.583333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,E,E,,,,E,,T,,E
      37,          0.600000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,E,E,,,,E,,T,,E
      38,          0.616667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,E,E,,,,E,,T,,E
      39,          0.633333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,E,E,,,,E,,T,,E
      40,          0.650000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F,,,,E,,,,,E,E,,,,E,,T,,E
      41,          0.666667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,F L,,,,E,,,,,E,E,,,,E,,T,,E
      42,          0.683333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      43,          0.700000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      44,          0.716667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      45,          0.733333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      46,          0.750000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,E,,T,,E
      47,          0.766667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      48,          0.783333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,E,,T,,E
      49,          0.800000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,,,T,,E
      50,          0.816667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      51,          0.833333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      52,          0.850000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,,,T,,E
      53,          0.866667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,,,T,,E
      54,          0.883333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      55,          0.900000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      56,          0.916667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      57,          0.933333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      58,          0.950000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      59,          0.966667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,,,T,,E
      60,          0.983333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      61,          1.000000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      62,          1.016667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      63,          1.033333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D,,,,E,,,,,E,E,,,,,,T,,E
      64,          1.050000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      65,          1.066667,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      66,          1.083333,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
      67,          1.100000,,,,,,  L,,,,,,,,,,,,,,,,,,A,,A,,,,,,,,,,D L,,,,E,,,,,E,E,,,,,,T,,E
