"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time (h)","SQ Pipe7 [EG14_003]","SQ Pipe6 [EG14_003]","SQ Pipe5 [EG14_003]","SQ Pipe19 [EG14_003]","SQ Pipe3 [EG14_003]","SQ Pipe2 [EG14_003]","SQ Pipe1 [EG14_003]","SQ Pipe0 [EG14_003]","SQ Pipe17 [EG14_003]","SQ Pipe16 [EG14_003]","SQ Pipe15 [EG14_003]","SQ Pipe14 [EG14_003]","SQ Pipe13 [EG14_003]","SQ Pipe12 [EG14_003]","SQ Pipe11 [EG14_003]","SQ Pipe10 [EG14_003]","SQ Pipe9 [EG14_003]","SQ Pipe8 [EG14_003]","SQ Pipe4 [EG14_003]","SQ FC04.1_C [EG14_003]","SQ FC01.2_R [EG14_003]","SQ FC01.1_R [EG14_003]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0029,      0.0002,      0.0002,      0.0008,      0.0008,      0.0016,      0.0015,      0.0024,      0.0002,      0.0002,      0.0002,      0.0002,      0.0002,      0.0002,      0.0001,      0.0002,      0.0015,      0.0020,      0.0006,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0086,      0.0011,      0.0020,      0.0054,      0.0032,      0.0045,      0.0075,      0.0067,      0.0013,      0.0011,      0.0013,      0.0013,      0.0012,      0.0015,      0.0009,      0.0037,      0.0112,      0.0116,      0.0031,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0142,      0.0042,      0.0085,      0.0176,      0.0061,      0.0072,      0.0168,      0.0108,      0.0037,      0.0026,      0.0038,      0.0036,      0.0033,      0.0077,      0.0035,      0.0163,      0.0305,      0.0236,      0.0079,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0196,      0.0129,      0.0234,      0.0358,      0.0089,      0.0099,      0.0256,      0.0149,      0.0079,      0.0067,      0.0100,      0.0081,      0.0093,      0.0250,      0.0131,      0.0391,      0.0524,      0.0354,      0.0137,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0250,      0.0318,      0.0445,      0.0571,      0.0117,      0.0126,      0.0342,      0.0189,      0.0164,      0.0197,      0.0250,      0.0199,      0.0267,      0.0520,      0.0373,      0.0646,      0.0739,      0.0467,      0.0190,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0304,      0.0575,      0.0677,      0.0745,      0.0145,      0.0153,      0.0425,      0.0229,      0.0377,      0.0508,      0.0508,      0.0479,      0.0596,      0.0811,      0.0703,      0.0891,      0.0945,      0.0577,      0.0216,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0357,      0.0828,      0.0890,      0.0928,      0.0172,      0.0180,      0.0508,      0.0269,      0.0766,      0.1041,      0.0795,      0.0875,      0.0957,      0.1082,      0.1013,      0.1121,      0.1144,      0.0687,      0.0269,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0411,      0.1070,      0.1100,      0.1114,      0.0198,      0.0206,      0.0590,      0.0309,      0.1203,      0.1006,      0.1070,      0.1256,      0.1286,      0.1330,      0.1299,      0.1335,      0.1330,      0.0783,      0.0325,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0464,      0.1305,      0.1309,      0.1302,      0.0226,      0.0233,      0.0671,      0.0349,      0.1590,      0.1154,      0.1330,      0.1592,      0.1581,      0.1561,      0.1561,      0.1543,      0.1520,      0.0888,      0.0383,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0517,      0.1088,      0.1511,      0.1478,      0.0252,      0.0259,      0.0733,      0.0389,     -0.0043,      0.0139,      0.0267,     -0.0074,     -0.0026,      0.1792,      0.0759,      0.1759,      0.1722,      0.1001,      0.0444,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0570,     -0.0303,     -0.0320,     -0.0283,      0.0279,      0.0095,      0.0308,      0.0408,      0.0294,      0.0064,     -0.0309,      0.0251,      0.0201,      0.0126,      0.0163,      0.0104,      0.0078,      0.0354,     -0.0110,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0483,     -0.0232,     -0.0154,     -0.0069,     -0.1164,      0.0182,      0.0646,      0.0335,      0.0756,      0.0234,     -0.0306,      0.0856,      0.0953,      0.1187,      0.1054,      0.1313,      0.1428,      0.0876,     -0.0982,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0649,      0.2142,      0.2028,      0.1927,      0.0304,      0.0306,      0.0912,      0.0470,     -0.1215,      0.0011,      0.1518,     -0.0548,      0.0471,      0.2394,      0.1871,      0.2340,      0.2221,      0.1281,      0.0573,      0.0000,      0.0000,      0.8724
      15,          0.233333,      0.0735,      0.2345,      0.2390,      0.2227,      0.0368,      0.0252,      0.0936,      0.0528,     -0.1153,      0.0005,      0.1549,     -0.0518,      0.0591,      0.2611,      0.1869,      0.2594,      0.2455,      0.1469,      0.0734,      0.0000,      0.0000,      1.8008
      16,          0.250000,      0.0788,      0.2297,      0.2449,      0.2273,      0.0394,      0.0154,      0.0895,      0.0574,     -0.0914,      0.0004,      0.1398,     -0.0236,      0.0563,      0.2561,      0.1634,      0.2633,      0.2518,      0.1579,      0.0787,      0.0000,      0.0000,      2.4688
      17,          0.266667,      0.0804,      0.2227,      0.2454,      0.2276,      0.0402,      0.0132,      0.0871,      0.0543,     -0.0617,      0.0004,      0.1243,     -0.0000,      0.0618,      0.2486,      0.1406,      0.2620,      0.2533,      0.1608,      0.0803,      0.0000,      0.0000,      2.9900
      18,          0.283333,      0.0818,      0.2115,      0.2448,      0.2274,      0.0408,      0.0103,      0.0845,      0.0512,     -0.0464,      0.0006,      0.1129,      0.0036,      0.0563,      0.2380,      0.1271,      0.2606,      0.2528,      0.1635,      0.0816,      0.0000,      0.0000,      3.4291
      19,          0.300000,      0.0831,      0.1972,      0.2425,      0.2259,      0.0415,      0.0085,      0.0807,      0.0482,     -0.0440,      0.0005,      0.1056,      0.0015,      0.0505,      0.2257,      0.1168,      0.2577,      0.2523,      0.1658,      0.0830,      0.0000,      0.0000,      3.7830
      20,          0.316667,      0.0844,      0.1835,      0.2400,      0.2250,      0.0426,      0.0072,      0.0771,      0.0452,     -0.0411,      0.0004,      0.0991,      0.0017,      0.0473,      0.2118,      0.1101,      0.2538,      0.2520,      0.1678,      0.0847,      0.0000,      0.0000,      4.2773
      21,          0.333333,      0.0869,      0.1699,      0.2374,      0.2246,      0.0436,      0.0058,      0.0739,      0.0428,     -0.0371,      0.0004,      0.0918,      0.0030,      0.0457,      0.1992,      0.1039,      0.2497,      0.2514,      0.1698,      0.0864,      0.0000,      0.0000,      4.7758
      22,          0.350000,      0.0866,      0.1549,      0.2333,      0.2251,      0.0442,      0.0046,      0.0722,      0.0409,     -0.0329,      0.0004,      0.0831,      0.0044,      0.0444,      0.1857,      0.0995,      0.2458,      0.2504,      0.1707,      0.0876,      0.0000,      0.0000,      5.2782
      23,          0.366667,      0.0880,      0.1408,      0.2280,      0.2250,      0.0443,      0.0033,      0.0708,      0.0395,     -0.0294,      0.0004,      0.0753,      0.0038,      0.0403,      0.1725,      0.0922,      0.2417,      0.2501,      0.1722,      0.0885,      0.0000,      0.0000,      5.8236
      24,          0.383333,      0.0891,      0.1277,      0.2205,      0.2246,      0.0440,      0.0024,      0.0686,      0.0379,     -0.0276,      0.0004,      0.0684,      0.0026,      0.0366,      0.1590,      0.0856,      0.2375,      0.2487,      0.1730,      0.0887,      0.0000,      0.0000,      6.5092
      25,          0.400000,      0.0902,      0.1181,      0.2130,      0.2219,      0.0429,      0.0014,      0.0683,      0.0368,     -0.0238,      0.0004,      0.0623,      0.0035,      0.0339,      0.1439,      0.0778,      0.2325,      0.2476,      0.1739,      0.0896,      0.0000,      0.0000,      7.2117
      26,          0.416667,      0.0911,      0.1106,      0.2037,      0.2187,      0.0444,      0.0004,      0.0686,      0.0372,     -0.0220,      0.0004,      0.0581,      0.0024,      0.0300,      0.1315,      0.0704,      0.2261,      0.2462,      0.1745,      0.0886,      0.0000,      0.0000,      8.0269
      27,          0.433333,      0.0918,      0.1054,      0.1940,      0.2189,      0.0406,      0.0000,      0.0616,      0.0338,     -0.0215,      0.0004,      0.0554,      0.0008,      0.0262,      0.1220,      0.0640,      0.2185,      0.2446,      0.1747,      0.0873,      0.0000,      0.0000,      8.9891
      28,          0.450000,      0.0923,      0.1002,      0.1851,      0.2160,      0.0389,     -0.0007,      0.0591,      0.0324,     -0.0198,      0.0003,      0.0521,      0.0008,      0.0242,      0.1152,      0.0601,      0.2096,      0.2428,      0.1749,      0.0863,      0.0000,      0.0000,     10.1407
      29,          0.466667,      0.0928,      0.0953,      0.1747,      0.2140,      0.0373,     -0.0016,      0.0569,      0.0311,     -0.0184,      0.0004,      0.0490,      0.0010,      0.0230,      0.1099,      0.0573,      0.2006,      0.2397,      0.1748,      0.0854,      0.0000,      0.0000,     11.3503
      30,          0.483333,      0.0932,      0.0906,      0.1649,      0.2112,      0.0359,     -0.0024,      0.0543,      0.0298,     -0.0169,      0.0004,      0.0464,      0.0011,      0.0216,      0.1047,      0.0542,      0.1912,      0.2368,      0.1744,      0.0846,      0.0000,      0.0000,     13.1022
      31,          0.500000,      0.0937,      0.0860,      0.1546,      0.2086,      0.0344,     -0.0032,      0.0518,      0.0282,     -0.0161,      0.0003,      0.0439,      0.0004,      0.0200,      0.1003,      0.0514,      0.1822,      0.2339,      0.1744,      0.0837,      0.0000,      0.0000,     14.9184
      32,          0.516667,      0.0946,      0.0814,      0.1452,      0.2065,      0.0325,     -0.0042,      0.0493,      0.0268,     -0.0147,      0.0003,      0.0412,      0.0009,      0.0192,      0.0958,      0.0490,      0.1731,      0.2313,      0.1745,      0.0830,      0.0000,      0.0000,     16.8542
      33,          0.533333,      0.0954,      0.0752,      0.1354,      0.2040,      0.0308,     -0.0052,      0.0473,      0.0257,     -0.0132,      0.0003,      0.0375,      0.0012,      0.0181,      0.0916,      0.0468,      0.1640,      0.2287,      0.1747,      0.0817,      0.0000,      2.6206,     19.5766
      34,          0.550000,      0.0960,      0.0696,      0.1263,      0.2008,      0.0292,     -0.0061,      0.0454,      0.0247,     -0.0118,      0.0003,      0.0342,      0.0012,      0.0171,      0.0872,      0.0442,      0.1552,      0.2262,      0.1747,      0.0800,      0.0000,      3.6561,     23.3379
      35,          0.566667,      0.0964,      0.0645,      0.1181,      0.1969,      0.0280,     -0.0072,      0.0438,      0.0239,     -0.0107,      0.0003,      0.0312,      0.0011,      0.0158,      0.0827,      0.0417,      0.1466,      0.2238,      0.1743,      0.0776,      0.0000,      4.7953,     27.8980
      36,          0.583333,      0.0964,      0.0600,      0.1110,      0.1919,      0.0271,     -0.0084,      0.0427,      0.0232,     -0.0097,      0.0003,      0.0287,      0.0010,      0.0144,      0.0776,      0.0387,      0.1382,      0.2207,      0.1736,      0.0757,      0.0000,      5.4861,     30.9843
      37,          0.600000,      0.0963,      0.0565,      0.1053,      0.1862,      0.0263,     -0.0098,      0.0414,      0.0224,     -0.0087,      0.0003,      0.0266,      0.0010,      0.0135,      0.0734,      0.0364,      0.1306,      0.2171,      0.1726,      0.0735,      0.0000,      6.7880,     33.8573
      38,          0.616667,      0.0961,      0.0536,      0.1004,      0.1801,      0.0251,     -0.0114,      0.0394,      0.0214,     -0.0083,      0.0003,      0.0251,      0.0008,      0.0124,      0.0692,      0.0339,      0.1246,      0.2128,      0.1715,      0.0706,      0.0000,      8.1484,     36.3338
      39,          0.633333,      0.0957,      0.0510,      0.0962,      0.1735,      0.0239,     -0.0131,      0.0374,      0.0203,     -0.0078,      0.0003,      0.0237,      0.0006,      0.0115,      0.0657,      0.0318,      0.1193,      0.2081,      0.1700,      0.0679,      0.0000,     10.1345,     38.4640
      40,          0.650000,      0.0952,      0.0488,      0.0924,      0.1668,      0.0229,     -0.0148,      0.0352,      0.0192,     -0.0074,      0.0003,      0.0225,      0.0006,      0.0110,      0.0630,      0.0304,      0.1148,      0.2029,      0.1683,      0.0654,      0.0000,     12.2032,     40.3588
      41,          0.666667,      0.0944,      0.0465,      0.0887,      0.1599,      0.0220,     -0.0166,      0.0330,      0.0181,     -0.0068,      0.0003,      0.0213,      0.0006,      0.0105,      0.0606,      0.0291,      0.1109,      0.1975,      0.1665,      0.0632,      0.0000,     14.7682,     42.1248
      42,          0.683333,      0.0935,      0.0442,      0.0848,      0.1525,      0.0215,     -0.0183,      0.0314,      0.0172,     -0.0064,      0.0003,      0.0200,      0.0006,      0.0100,      0.0585,      0.0280,      0.1074,      0.1920,      0.1647,      0.0614,      0.0000,     17.7377,     43.7717
      43,          0.700000,      0.0925,      0.0421,      0.0812,      0.1451,      0.0208,     -0.0201,      0.0297,      0.0162,     -0.0059,      0.0002,      0.0189,      0.0006,      0.0096,      0.0564,      0.0269,      0.1040,      0.1863,      0.1627,      0.0593,      0.0000,     20.7403,     45.0704
      44,          0.716667,      0.0914,      0.0400,      0.0776,      0.1380,      0.0194,     -0.0220,      0.0284,      0.0167,     -0.0055,      0.0002,      0.0178,      0.0006,      0.0092,      0.0544,      0.0258,      0.1007,      0.1805,      0.1607,      0.0559,      0.0000,     23.7989,     45.9538
      45,          0.733333,      0.0901,      0.0373,      0.0727,      0.1300,      0.0182,     -0.0240,      0.0270,      0.0157,     -0.0049,      0.0002,      0.0162,      0.0007,      0.0089,      0.0526,      0.0249,      0.0976,      0.1744,      0.1586,      0.0528,      0.0000,     26.4491,     46.5136
      46,          0.750000,      0.0887,      0.0343,      0.0679,      0.1222,      0.0169,     -0.0258,      0.0253,      0.0147,     -0.0042,      0.0002,      0.0147,      0.0008,      0.0085,      0.0508,      0.0239,      0.0950,      0.1688,      0.1567,      0.0488,      0.0000,     28.9550,     46.8591
      47,          0.766667,      0.0860,      0.0300,      0.0611,      0.1118,      0.0158,     -0.0266,      0.0226,      0.0127,     -0.0032,      0.0002,      0.0123,      0.0010,      0.0078,      0.0476,      0.0219,      0.0897,      0.1592,      0.1518,      0.0459,      0.0000,     31.5910,     47.0775
      48,          0.783333,      0.0835,      0.0254,      0.0539,      0.1010,      0.0143,     -0.0271,      0.0203,      0.0110,     -0.0025,      0.0002,      0.0101,      0.0009,      0.0069,      0.0444,      0.0198,      0.0849,      0.1499,      0.1466,      0.0423,      0.0000,     34.5437,     47.2012
      49,          0.800000,      0.0809,      0.0212,      0.0470,      0.0901,      0.0123,     -0.0277,      0.0187,      0.0097,     -0.0018,      0.0002,      0.0082,      0.0009,      0.0061,      0.0411,      0.0178,      0.0798,      0.1403,      0.1412,      0.0375,      0.0000,     38.1620,     47.2760
      50,          0.816667,      0.0784,      0.0170,      0.0403,      0.0796,      0.0100,     -0.0286,      0.0183,      0.0089,     -0.0012,      0.0002,      0.0063,      0.0007,      0.0051,      0.0369,      0.0152,      0.0730,      0.1301,      0.1355,      0.0316,      0.0000,     42.2836,     47.3293
      51,          0.833333,      0.0756,      0.0133,      0.0332,      0.0685,      0.0073,     -0.0293,      0.0180,      0.0083,     -0.0006,      0.0002,      0.0046,      0.0006,      0.0043,      0.0325,      0.0132,      0.0663,      0.1202,      0.1295,      0.0243,      0.0000,     46.6653,     47.3690
      52,          0.850000,      0.0727,      0.0096,      0.0252,      0.0556,      0.0041,     -0.0295,      0.0174,      0.0076,     -0.0002,      0.0001,      0.0030,      0.0005,      0.0035,      0.0285,      0.0112,      0.0600,      0.1108,      0.1230,      0.0154,      0.0000,     50.6181,     47.3989
      53,          0.866667,      0.0696,      0.0071,      0.0197,      0.0464,      0.0018,     -0.0290,      0.0174,      0.0073,      0.0000,      0.0001,      0.0020,      0.0003,      0.0027,      0.0247,      0.0094,      0.0543,      0.1025,      0.1161,      0.0079,      0.0000,     53.7512,     47.4174
      54,          0.883333,      0.0662,      0.0054,      0.0160,      0.0393,      0.0001,     -0.0280,      0.0173,      0.0070,      0.0000,      0.0001,      0.0014,      0.0001,      0.0021,      0.0215,      0.0079,      0.0492,      0.0947,      0.1088,      0.0023,      0.0000,     56.2017,     47.4306
      55,          0.900000,      0.0625,      0.0044,      0.0136,      0.0343,      0.0000,     -0.0265,      0.0162,      0.0064,      0.0000,      0.0001,      0.0010,      0.0000,      0.0016,      0.0188,      0.0067,      0.0445,      0.0875,      0.1011,      0.0000,      0.0000,     58.1432,     47.4414
