"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time (h)","SQ FC01.1_R [EG14_002]","SQ FC01.2_R [EG14_002]","SQ FC02.04 [EG14_002]","SQ FC_weir1 [EG14_002]","SQ ds_weir [EG14_002]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0041,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0739,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.3444,      0.1389,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.8181,      0.2195,      0.0000,      0.0000,      0.0000
       6,          0.083333,      1.2900,      0.3195,      0.0000,      0.0000,      0.0000
       7,          0.100000,      1.6992,      0.4240,      0.0000,      0.9087,      0.0000
       8,          0.116667,      2.0148,      0.4901,      0.0000,      1.9931,      0.0000
       9,          0.133333,      2.3201,      0.6344,      0.0000,      2.4849,      0.0000
      10,          0.150000,      2.5736,      0.7858,      0.0000,      2.8068,      0.0000
      11,          0.166667,      2.7858,      0.9499,      0.0000,      3.0633,      0.0000
      12,          0.183333,      2.9766,      1.1617,      0.0000,      3.2871,      0.0000
      13,          0.200000,      3.1399,      1.4951,      0.0000,      3.4751,      0.0000
      14,          0.216667,      3.2860,      2.0500,      0.0000,      3.6405,      0.0000
      15,          0.233333,      3.4189,      2.8332,      0.0000,      3.7919,      0.0000
      16,          0.250000,      3.5418,      3.8385,      0.0000,      3.9303,      0.0000
      17,          0.266667,      3.6404,      4.8625,      0.0000,      4.0490,      0.0000
      18,          0.283333,      3.7188,      5.7534,      0.0000,      4.1412,      0.0000
      19,          0.300000,      3.7857,      6.5390,      0.0000,      4.2176,      0.0000
      20,          0.316667,      3.8441,      7.1769,      0.0000,      4.2839,      0.0000
      21,          0.333333,      3.8961,      7.7010,      0.0000,      4.3430,      0.0000
      22,          0.350000,      3.9322,      8.1364,      0.0000,      4.3891,      0.0000
      23,          0.366667,      3.9560,      8.5401,      0.0000,      4.4178,      0.0000
      24,          0.383333,      3.9732,      8.8838,      0.0000,      4.4381,      0.0000
      25,          0.400000,      3.9847,      9.1785,      0.0000,      4.4519,      0.0000
      26,          0.416667,      3.9925,      9.4217,      0.0000,      4.4624,      0.0000
      27,          0.433333,      4.0004,      9.6015,      0.0000,      4.4713,      0.0000
      28,          0.450000,      4.0079,      9.7574,      0.0000,      4.4799,      0.0000
      29,          0.466667,      4.0153,      9.9225,      0.0000,      4.4879,      0.3910
      30,          0.483333,      4.0216,     10.0586,      0.0000,      4.4949,      0.3940
      31,          0.500000,      4.0285,     10.1781,      0.0000,      4.5025,      0.3641
      32,          0.516667,      4.0258,     10.2728,      0.0000,      4.5026,      0.3477
      33,          0.533333,      4.0161,     10.3471,      0.0000,      4.4921,      0.3342
      34,          0.550000,      4.0034,     10.4032,      0.0000,      4.4788,      0.3296
      35,          0.566667,      3.9878,     10.4462,      0.0000,      4.4626,      0.3299
      36,          0.583333,      3.9703,     10.4718,      0.0000,      4.4438,      0.3328
      37,          0.600000,      3.9356,     10.4824,      0.0000,      4.4109,      0.3366
      38,          0.616667,      3.8877,     10.4771,      0.0000,      4.3603,      0.3311
      39,          0.633333,      3.8327,     10.4508,      0.0000,      4.2989,      0.3358
      40,          0.650000,      3.7724,     10.4116,      0.0000,      4.2340,      0.3503
      41,          0.666667,      3.7088,     10.3496,      0.0000,      4.1620,      0.3510
      42,          0.683333,      3.6429,     10.3174,      0.0000,      4.0890,      0.3514
      43,          0.700000,      3.5768,     10.1928,      0.0000,      4.0145,      0.3460
      44,          0.716667,      3.5099,     10.0927,      0.0000,      3.9394,      0.4007
      45,          0.733333,      3.4422,      9.9870,      0.0000,      3.8645,      0.4222
      46,          0.750000,      3.3745,      9.8696,      0.0000,      3.7903,      0.4334
      47,          0.766667,      3.2971,      9.7435,      0.0000,      3.7071,      0.4450
      48,          0.783333,      3.2121,      9.6096,      0.0000,      3.6132,      0.4446
      49,          0.800000,      3.1235,      9.4722,      0.0013,      3.5157,      0.4678
      50,          0.816667,      3.0315,      9.2940,      0.0226,      3.4132,      0.4936
      51,          0.833333,      2.9380,      9.0993,      0.0556,      3.3082,      0.4985
      52,          0.850000,      2.8403,      8.9046,      0.0936,      3.2020,      0.5073
      53,          0.866667,      2.7399,      8.6987,      0.1326,      3.0887,      0.5014
      54,          0.883333,      2.6298,      8.4941,      0.1692,      2.9724,      0.5027
      55,          0.900000,      2.5249,      8.2795,      0.2019,      2.8525,      0.4914
      56,          0.916667,      2.4167,      8.0745,      0.2294,      2.7383,      0.5003
      57,          0.933333,      2.3212,      7.8674,      0.2513,      2.6223,      0.4830
      58,          0.950000,      2.2303,      7.6605,      0.2685,      2.5182,      0.4878
      59,          0.966667,      2.1420,      7.4472,      0.2812,      2.4198,      0.4836
      60,          0.983333,      2.0563,      7.2317,      0.2896,      2.3237,      0.4860
      61,          1.000000,      1.9717,      7.0163,      0.2944,      2.2297,      0.4744
      62,          1.016667,      1.8874,      6.8050,      0.2960,      2.1354,      0.4552
      63,          1.033333,      1.8032,      6.5872,      0.2951,      2.0414,      0.4594
      64,          1.050000,      1.7205,      6.3633,      0.2919,      1.9485,      0.4548
      65,          1.066667,      1.6388,      6.1487,      0.2871,      1.8567,      0.4393
      66,          1.083333,      1.5567,      5.9369,      0.2806,      1.7648,      0.4434
      67,          1.100000,      1.4884,      5.7340,      0.2741,      1.6846,      0.4355
      68,          1.116667,      1.4285,      5.5359,      0.2675,      1.6148,      0.4063
      69,          1.133333,      1.3732,      5.3460,      0.2600,      1.5527,      0.4064
      70,          1.150000,      1.3217,      5.1563,      0.2525,      1.4932,      0.3979
      71,          1.166667,      1.2723,      4.9752,      0.2451,      1.4382,      0.4042
      72,          1.183333,      1.2248,      4.7980,      0.2372,      1.3850,      0.3902
      73,          1.200000,      1.1773,      4.6253,      0.2293,      1.3323,      0.3608
      74,          1.216667,      1.1305,      4.4637,      0.2216,      1.2800,      0.3694
      75,          1.233333,      1.0840,      4.3033,      0.2139,      1.2283,      0.3279
      76,          1.250000,      1.0387,      4.1495,      0.2076,      1.1765,      0.3311
      77,          1.266667,      1.0010,      4.0027,      0.2006,      1.1320,      0.3107
      78,          1.283333,      0.9694,      3.8641,      0.1951,      1.0941,      0.3070
      79,          1.300000,      0.9408,      3.7312,      0.1897,      1.0621,      0.2857
      80,          1.316667,      0.9156,      3.6076,      0.1844,      1.0319,      0.2786
      81,          1.333333,      0.8917,      3.4888,      0.1792,      1.0050,      0.2743
      82,          1.350000,      0.8691,      3.3734,      0.1740,      0.9797,      0.2588
      83,          1.366667,      0.8472,      3.2672,      0.1690,      0.9552,      0.2832
      84,          1.383333,      0.8255,      3.1662,      0.1654,      0.9311,      0.2403
      85,          1.400000,      0.8045,      3.0677,      0.1620,      0.9078,      0.2314
      86,          1.416667,      0.7841,      2.9766,      0.1586,      0.8851,      0.2481
      87,          1.433333,      0.7678,      2.8896,      0.1553,      0.8641,      0.2169
      88,          1.450000,      0.7530,      2.8097,      0.1521,      0.8474,      0.2190
      89,          1.466667,      0.7406,      2.7335,      0.1489,      0.8335,      0.1777
      90,          1.483333,      0.7296,      2.6623,      0.1458,      0.8197,      0.2028
      91,          1.500000,      0.7194,      2.5964,      0.1432,      0.8082,      0.1832
      92,          1.516667,      0.7066,      2.5333,      0.1401,      0.7949,      0.1946
      93,          1.533333,      0.6924,      2.4726,      0.1370,      0.7808,      0.1646
      94,          1.550000,      0.6775,      2.4160,      0.1339,      0.7637,      0.1659
      95,          1.566667,      0.6623,      2.3596,      0.1309,      0.7465,      0.1963
      96,          1.583333,      0.6458,      2.3067,      0.1280,      0.7287,      0.1683
      97,          1.600000,      0.6264,      2.2540,      0.1250,      0.7090,      0.1564
      98,          1.616667,      0.6057,      2.2020,      0.1221,      0.6866,      0.1734
      99,          1.633333,      0.5830,      2.1516,      0.1192,      0.6614,      0.1355
     100,          1.650000,      0.5589,      2.1011,      0.1164,      0.6360,      0.1594
     101,          1.666667,      0.5343,      2.0508,      0.1133,      0.6095,      0.1254
     102,          1.683333,      0.5153,      2.0035,      0.1103,      0.5853,      0.1497
     103,          1.700000,      0.4985,      1.9576,      0.1075,      0.5655,      0.1511
     104,          1.716667,      0.4843,      1.9128,      0.1048,      0.5480,      0.1292
     105,          1.733333,      0.4712,      1.8679,      0.1021,      0.5331,      0.1406
     106,          1.750000,      0.4596,      1.8234,      0.0994,      0.5193,      0.1295
     107,          1.766667,      0.4476,      1.7792,      0.0968,      0.5071,      0.1312
     108,          1.783333,      0.4348,      1.7357,      0.0942,      0.4929,      0.1308
     109,          1.800000,      0.4216,      1.6928,      0.0917,      0.4782,      0.1314
     110,          1.816667,      0.4086,      1.6493,      0.0891,      0.4636,      0.1320
     111,          1.833333,      0.3954,      1.6072,      0.0866,      0.4490,      0.1087
     112,          1.850000,      0.3848,      1.5671,      0.0842,      0.4373,      0.1091
     113,          1.866667,      0.3757,      1.5270,      0.0817,      0.4262,      0.1104
     114,          1.883333,      0.3674,      1.4875,      0.0794,      0.4154,      0.0997
     115,          1.900000,      0.3598,      1.4503,      0.0777,      0.4061,      0.0879
     116,          1.916667,      0.3523,      1.4141,      0.0765,      0.3982,      0.0882
     117,          1.933333,      0.3442,      1.3790,      0.0751,      0.3888,      0.0885
     118,          1.950000,      0.3341,      1.3438,      0.0730,      0.3783,      0.0888
     119,          1.966667,      0.3241,      1.3093,      0.0709,      0.3667,      0.0967
     120,          1.983333,      0.3137,      1.2751,      0.0687,      0.3553,      0.0971
     121,          2.000000,      0.3025,      1.2419,      0.0669,      0.3437,      0.0838
     122,          2.016667,      0.2903,      1.2095,      0.0650,      0.3319,      0.0841
     123,          2.033334,      0.2783,      1.1790,      0.0631,      0.3182,      0.0843
     124,          2.050000,      0.2664,      1.1481,      0.0611,      0.3047,      0.0846
     125,          2.066667,      0.2541,      1.1182,      0.0590,      0.2910,      0.0711
     126,          2.083333,      0.2416,      1.0881,      0.0570,      0.2771,      0.0851
     127,          2.100000,      0.2304,      1.0593,      0.0549,      0.2650,      0.0843
     128,          2.116667,      0.2212,      1.0320,      0.0530,      0.2550,      0.0611
