"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time(h)","V ds1 [EG14_002]","V ds2 [EG14_002]","V ds3 [EG14_002]","V ds4 [EG14_002]","V ds5 [EG14_002]","V ds_weir [EG14_002]","V FC01.01 [EG14_002]","V FC01.02 [EG14_002]","V FC01.03 [EG14_002]","V FC01.04 [EG14_002]","V FC01.05 [EG14_002]","V FC01.06 [EG14_002]","V FC01.07 [EG14_002]","V FC01.08 [EG14_002]","V FC01.09 [EG14_002]","V FC01.12 [EG14_002]","V FC01.13 [EG14_002]","V FC01.14 [EG14_002]","V FC01.15 [EG14_002]","V FC01.16 [EG14_002]","V FC01.17 [EG14_002]","V FC01.18 [EG14_002]","V FC01.19 [EG14_002]","V FC01.1_R [EG14_002]","V FC01.20 [EG14_002]","V FC01.21 [EG14_002]","V FC01.22 [EG14_002]","V FC01.23 [EG14_002]","V FC01.24 [EG14_002]","V FC01.25 [EG14_002]","V FC01.26 [EG14_002]","V FC01.27 [EG14_002]","V FC01.28A [EG14_002]","V FC01.28B [EG14_002]","V FC01.29 [EG14_002]","V FC01.2_R [EG14_002]","V FC01.30 [EG14_002]","V FC01.31 [EG14_002]","V FC01.32 [EG14_002]","V FC01.33 [EG14_002]","V FC01.34 [EG14_002]","V FC01.36 [EG14_002]","V FC01.37 [EG14_002]","V FC01.38 [EG14_002]","V FC01.39 [EG14_002]","V FC01.40 [EG14_002]","V FC02.01 [EG14_002]","V FC02.02 [EG14_002]","V FC02.03 [EG14_002]","V FC02.04 [EG14_002]","V FC02.05 [EG14_002]","V FC02.06 [EG14_002]","V FC_weir1 [EG14_002]","V RD_weir [EG14_002]"
     127,          2.100000,    0.600,    0.519,    0.217,    0.093,    0.009,    0.000,    0.528,    0.251,    0.270,    0.546,    0.455,    0.292,    0.199,    0.315,    0.605,    0.812,    0.521,    0.407,    0.392,    0.275,    0.280,    0.136,    0.148,    0.295,    0.352,    0.150,    0.388,    0.646,    0.459,    0.528,    0.419,    0.582,    0.463,    0.447,    0.450,    0.623,    0.357,    0.362,    0.344,    0.000,    0.043,    0.130,    0.144,    0.152,    0.000,    0.000,    0.062,    0.205,    0.368,    0.367,    0.001,    0.319,    0.431,    0.000
     128,          2.116667,    0.596,    0.513,    0.212,    0.090,    0.009,    0.000,    0.522,    0.248,    0.267,    0.540,    0.450,    0.289,    0.197,    0.313,    0.601,    0.805,    0.515,    0.403,    0.387,    0.271,    0.277,    0.135,    0.148,    0.284,    0.350,    0.148,    0.317,    0.638,    0.455,    0.521,    0.412,    0.574,    0.456,    0.441,    0.443,    0.619,    0.351,    0.357,    0.339,    0.000,    0.042,    0.125,    0.140,    0.151,    0.000,    0.000,    0.062,    0.204,    0.365,    0.363,    0.001,    0.318,    0.427,    0.000
     129,          2.133333,    0.591,    0.506,    0.206,    0.087,    0.008,    0.000,    0.517,    0.245,    0.264,    0.535,    0.446,    0.286,    0.195,    0.311,    0.597,    0.798,    0.509,    0.399,    0.383,    0.268,    0.273,    0.134,    0.147,    0.276,    0.348,    0.146,    0.392,    0.628,    0.451,    0.514,    0.406,    0.566,    0.449,    0.434,    0.436,    0.614,    0.347,    0.352,    0.334,    0.000,    0.040,    0.121,    0.135,    0.150,    0.000,    0.000,    0.062,    0.203,    0.362,    0.361,    0.001,    0.316,    0.423,    0.000
     130,          2.150000,    0.587,    0.500,    0.201,    0.085,    0.009,    0.000,    0.511,    0.243,    0.261,    0.530,    0.441,    0.283,    0.193,    0.309,    0.593,    0.791,    0.503,    0.395,    0.378,    0.265,    0.270,    0.133,    0.147,    0.268,    0.346,    0.144,    0.364,    0.621,    0.448,    0.508,    0.400,    0.558,    0.441,    0.428,    0.430,    0.610,    0.343,    0.348,    0.329,    0.000,    0.039,    0.117,    0.132,    0.150,    0.000,    0.000,    0.062,    0.204,    0.360,    0.359,    0.001,    0.314,    0.419,    0.000
     131,          2.166667,    0.582,    0.494,    0.196,    0.083,    0.008,    0.000,    0.506,    0.240,    0.259,    0.525,    0.437,    0.280,    0.191,    0.307,    0.588,    0.784,    0.497,    0.390,    0.374,    0.262,    0.268,    0.132,    0.146,    0.259,    0.344,    0.142,    0.399,    0.614,    0.444,    0.503,    0.394,    0.550,    0.435,    0.422,    0.424,    0.605,    0.339,    0.344,    0.325,    0.000,    0.037,    0.113,    0.129,    0.149,    0.000,    0.000,    0.062,    0.204,    0.358,    0.355,    0.001,    0.311,    0.416,    0.000
     132,          2.183333,    0.578,    0.488,    0.191,    0.080,    0.008,    0.000,    0.501,    0.238,    0.256,    0.520,    0.432,    0.277,    0.189,    0.305,    0.584,    0.778,    0.492,    0.386,    0.369,    0.258,    0.265,    0.131,    0.146,    0.250,    0.342,    0.139,    0.396,    0.605,    0.440,    0.497,    0.388,    0.542,    0.428,    0.417,    0.419,    0.600,    0.334,    0.340,    0.320,    0.000,    0.036,    0.110,    0.126,    0.148,    0.000,    0.000,    0.061,    0.204,    0.354,    0.353,    0.001,    0.308,    0.412,    0.000
     133,          2.200000,    0.574,    0.481,    0.186,    0.078,    0.007,    0.000,    0.495,    0.235,    0.254,    0.514,    0.428,    0.275,    0.188,    0.303,    0.580,    0.771,    0.486,    0.382,    0.365,    0.255,    0.261,    0.130,    0.145,    0.239,    0.339,    0.136,    0.380,    0.597,    0.435,    0.492,    0.382,    0.534,    0.422,    0.411,    0.413,    0.596,    0.330,    0.335,    0.314,    0.000,    0.034,    0.105,    0.122,    0.146,    0.000,    0.000,    0.061,    0.203,    0.351,    0.349,    0.001,    0.303,    0.408,    0.000
     134,          2.216667,    0.569,    0.475,    0.181,    0.076,    0.007,    0.000,    0.490,    0.232,    0.251,    0.509,    0.424,    0.272,    0.186,    0.301,    0.576,    0.764,    0.480,    0.378,    0.360,    0.252,    0.258,    0.128,    0.144,    0.227,    0.336,    0.133,    0.360,    0.588,    0.432,    0.486,    0.376,    0.526,    0.415,    0.406,    0.407,    0.591,    0.325,    0.329,    0.307,    0.000,    0.033,    0.100,    0.118,    0.145,    0.000,    0.000,    0.060,    0.201,    0.346,    0.344,    0.001,    0.297,    0.403,    0.000
     135,          2.233333,    0.565,    0.469,    0.177,    0.073,    0.007,    0.000,    0.484,    0.230,    0.248,    0.504,    0.419,    0.269,    0.184,    0.299,    0.571,    0.757,    0.474,    0.373,    0.356,    0.248,    0.255,    0.127,    0.143,    0.215,    0.332,    0.131,    0.355,    0.578,    0.428,    0.481,    0.370,    0.518,    0.409,    0.400,    0.401,    0.586,    0.319,    0.322,    0.300,    0.000,    0.031,    0.095,    0.113,    0.142,    0.000,    0.000,    0.059,    0.199,    0.342,    0.340,    0.001,    0.291,    0.398,    0.000
     136,          2.250000,    0.561,    0.462,    0.172,    0.072,    0.007,    0.000,    0.479,    0.227,    0.246,    0.499,    0.415,    0.266,    0.182,    0.297,    0.566,    0.750,    0.469,    0.369,    0.351,    0.245,    0.251,    0.126,    0.142,    0.201,    0.329,    0.128,    0.347,    0.569,    0.424,    0.475,    0.364,    0.511,    0.402,    0.394,    0.394,    0.581,    0.313,    0.315,    0.293,    0.000,    0.029,    0.089,    0.108,    0.140,    0.000,    0.000,    0.059,    0.197,    0.338,    0.336,    0.001,    0.285,    0.392,    0.000
     137,          2.266667,    0.557,    0.456,    0.168,    0.069,    0.007,    0.000,    0.474,    0.225,    0.243,    0.494,    0.410,    0.263,    0.180,    0.295,    0.562,    0.743,    0.463,    0.364,    0.346,    0.241,    0.247,    0.124,    0.141,    0.186,    0.325,    0.125,    0.355,    0.562,    0.420,    0.469,    0.359,    0.503,    0.395,    0.387,    0.386,    0.576,    0.306,    0.308,    0.285,    0.000,    0.026,    0.083,    0.102,    0.136,    0.000,    0.000,    0.058,    0.195,    0.333,    0.331,    0.001,    0.278,    0.386,    0.000
     138,          2.283334,    0.553,    0.450,    0.163,    0.068,    0.006,    0.000,    0.468,    0.222,    0.241,    0.489,    0.406,    0.260,    0.178,    0.293,    0.557,    0.736,    0.457,    0.359,    0.341,    0.238,    0.243,    0.123,    0.141,    0.172,    0.322,    0.122,    0.383,    0.551,    0.416,    0.463,    0.354,    0.495,    0.388,    0.380,    0.378,    0.571,    0.299,    0.300,    0.276,    0.000,    0.024,    0.077,    0.096,    0.133,    0.000,    0.000,    0.057,    0.193,    0.329,    0.327,    0.001,    0.270,    0.379,    0.000
     139,          2.300000,    0.549,    0.444,    0.159,    0.066,    0.007,    0.000,    0.463,    0.220,    0.238,    0.484,    0.401,    0.257,    0.176,    0.291,    0.552,    0.728,    0.451,    0.355,    0.336,    0.234,    0.239,    0.121,    0.140,    0.089,    0.318,    0.119,    0.370,    0.545,    0.412,    0.456,    0.348,    0.487,    0.380,    0.372,    0.369,    0.566,    0.291,    0.291,    0.266,    0.000,    0.022,    0.071,    0.089,    0.128,    0.000,    0.000,    0.056,    0.190,    0.324,    0.322,    0.001,    0.262,    0.371,    0.000
     140,          2.316667,    0.544,    0.438,    0.155,    0.064,    0.006,    0.000,    0.458,    0.217,    0.235,    0.478,    0.397,    0.254,    0.174,    0.288,    0.546,    0.720,    0.444,    0.350,    0.331,    0.230,    0.235,    0.120,    0.139,    0.059,    0.314,    0.115,    0.377,    0.540,    0.408,    0.449,    0.341,    0.478,    0.371,    0.363,    0.360,    0.561,    0.283,    0.281,    0.257,    0.000,    0.020,    0.064,    0.082,    0.123,    0.000,    0.000,    0.054,    0.188,    0.319,    0.317,    0.001,    0.253,    0.363,    0.000
     141,          2.333333,    0.540,    0.432,    0.151,    0.062,    0.006,    0.000,    0.452,    0.214,    0.233,    0.473,    0.392,    0.251,    0.172,    0.286,    0.541,    0.712,    0.438,    0.345,    0.325,    0.226,    0.231,    0.118,    0.139,    0.051,    0.310,    0.111,    0.375,    0.527,    0.402,    0.441,    0.334,    0.468,    0.362,    0.354,    0.350,    0.556,    0.274,    0.270,    0.246,    0.000,    0.017,    0.056,    0.073,    0.075,    0.000,    0.000,    0.054,    0.185,    0.313,    0.312,    0.001,    0.243,    0.355,    0.000
     142,          2.350000,    0.536,    0.425,    0.147,    0.060,    0.006,    0.000,    0.447,    0.212,    0.230,    0.468,    0.387,    0.248,    0.170,    0.283,    0.535,    0.704,    0.431,    0.340,    0.320,    0.222,    0.227,    0.117,    0.138,    0.044,    0.306,    0.108,    0.373,    0.510,    0.397,    0.433,    0.327,    0.458,    0.352,    0.345,    0.340,    0.552,    0.265,    0.260,    0.235,    0.000,    0.015,    0.048,    0.062,    0.093,    0.000,    0.000,    0.053,    0.182,    0.309,    0.307,    0.001,    0.233,    0.345,    0.000
     143,          2.366667,    0.532,    0.419,    0.143,    0.059,    0.006,    0.000,    0.441,    0.209,    0.227,    0.462,    0.383,    0.245,    0.168,    0.281,    0.529,    0.696,    0.425,    0.335,    0.315,    0.218,    0.223,    0.115,    0.137,    0.037,    0.301,    0.104,    0.370,    0.498,    0.391,    0.425,    0.319,    0.447,    0.342,    0.335,    0.329,    0.547,    0.256,    0.250,    0.222,    0.000,    0.013,    0.040,    0.052,    0.077,    0.000,    0.000,    0.052,    0.180,    0.306,    0.302,    0.001,    0.223,    0.335,    0.000
     144,          2.383333,    0.527,    0.412,    0.139,    0.057,    0.006,    0.000,    0.435,    0.207,    0.225,    0.457,    0.378,    0.242,    0.165,    0.278,    0.523,    0.688,    0.418,    0.330,    0.309,    0.214,    0.219,    0.114,    0.137,    0.031,    0.299,    0.100,    0.367,    0.495,    0.385,    0.416,    0.311,    0.436,    0.332,    0.325,    0.317,    0.542,    0.246,    0.241,    0.210,    0.000,    0.011,    0.033,    0.043,    0.071,    0.000,    0.000,    0.052,    0.178,    0.303,    0.297,    0.001,    0.212,    0.324,    0.000
     145,          2.400000,    0.523,    0.406,    0.134,    0.055,    0.006,    0.000,    0.430,    0.204,    0.222,    0.451,    0.373,    0.239,    0.163,    0.276,    0.517,    0.680,    0.412,    0.324,    0.304,    0.210,    0.215,    0.113,    0.137,    0.025,    0.296,    0.097,    0.366,    0.475,    0.379,    0.406,    0.303,    0.424,    0.321,    0.314,    0.305,    0.537,    0.234,    0.232,    0.196,    0.000,    0.009,    0.027,    0.034,    0.077,    0.000,    0.000,    0.052,    0.176,    0.300,    0.292,    0.001,    0.201,    0.313,    0.000
     146,          2.416667,    0.518,    0.400,    0.130,    0.053,    0.005,    0.000,    0.424,    0.201,    0.219,    0.445,    0.368,    0.236,    0.161,    0.273,    0.511,    0.671,    0.405,    0.319,    0.298,    0.206,    0.210,    0.111,    0.137,    0.019,    0.293,    0.093,    0.362,    0.467,    0.373,    0.397,    0.294,    0.411,    0.310,    0.302,    0.292,    0.531,    0.222,    0.222,    0.182,    0.000,    0.007,    0.020,    0.025,    0.067,    0.000,    0.000,    0.051,    0.173,    0.296,    0.287,    0.001,    0.187,    0.301,    0.000
     147,          2.433333,    0.514,    0.393,    0.126,    0.051,    0.005,    0.000,    0.418,    0.199,    0.216,    0.440,    0.363,    0.232,    0.159,    0.271,    0.505,    0.662,    0.398,    0.314,    0.293,    0.202,    0.206,    0.110,    0.137,    0.014,    0.290,    0.089,    0.358,    0.454,    0.366,    0.386,    0.285,    0.398,    0.298,    0.290,    0.278,    0.526,    0.208,    0.211,    0.169,    0.000,    0.005,    0.014,    0.017,    0.064,    0.000,    0.000,    0.051,    0.173,    0.293,    0.282,    0.001,    0.175,    0.290,    0.000
     148,          2.450000,    0.509,    0.387,    0.122,    0.049,    0.005,    0.000,    0.412,    0.196,    0.213,    0.434,    0.358,    0.229,    0.156,    0.268,    0.499,    0.653,    0.392,    0.309,    0.287,    0.197,    0.202,    0.108,    0.137,    0.011,    0.286,    0.086,    0.355,    0.437,    0.359,    0.375,    0.275,    0.385,    0.285,    0.278,    0.264,    0.521,    0.194,    0.199,    0.157,    0.000,    0.004,    0.011,    0.012,    0.064,    0.000,    0.000,    0.052,    0.172,    0.290,    0.276,    0.001,    0.165,    0.279,    0.000
     149,          2.466667,    0.505,    0.380,    0.119,    0.049,    0.005,    0.000,    0.406,    0.193,    0.210,    0.428,    0.353,    0.226,    0.154,    0.266,    0.493,    0.645,    0.385,    0.303,    0.281,    0.193,    0.197,    0.107,    0.136,    0.010,    0.282,    0.082,    0.353,    0.431,    0.351,    0.365,    0.265,    0.371,    0.273,    0.266,    0.248,    0.516,    0.185,    0.188,    0.147,    0.000,    0.004,    0.010,    0.011,    0.063,    0.000,    0.000,    0.053,    0.172,    0.286,    0.271,    0.001,    0.158,    0.269,    0.000
     150,          2.483333,    0.500,    0.374,    0.115,    0.047,    0.005,    0.000,    0.400,    0.190,    0.207,    0.422,    0.348,    0.222,    0.152,    0.264,    0.487,    0.636,    0.378,    0.298,    0.276,    0.189,    0.193,    0.105,    0.136,    0.009,    0.278,    0.078,    0.348,    0.417,    0.345,    0.357,    0.255,    0.358,    0.260,    0.253,    0.238,    0.512,    0.176,    0.179,    0.140,    0.000,    0.003,    0.009,    0.010,    0.064,    0.000,    0.000,    0.053,    0.169,    0.282,    0.265,    0.001,    0.151,    0.261,    0.000
     151,          2.500000,    0.496,    0.367,    0.111,    0.045,    0.005,    0.000,    0.394,    0.187,    0.204,    0.416,    0.343,    0.219,    0.149,    0.261,    0.480,    0.628,    0.372,    0.293,    0.270,    0.185,    0.188,    0.104,    0.136,    0.006,    0.274,    0.075,    0.350,    0.399,    0.338,    0.348,    0.245,    0.348,    0.247,    0.244,    0.229,    0.506,    0.169,    0.170,    0.136,    0.000,    0.002,    0.006,    0.008,    0.063,    0.000,    0.000,    0.053,    0.167,    0.278,    0.260,    0.000,    0.149,    0.253,    0.000
     152,          2.516667,    0.491,    0.360,    0.108,    0.044,    0.004,    0.000,    0.388,    0.184,    0.201,    0.410,    0.338,    0.216,    0.147,    0.258,    0.474,    0.619,    0.365,    0.288,    0.264,    0.181,    0.184,    0.103,    0.136,    0.005,    0.270,    0.071,    0.344,    0.388,    0.330,    0.339,    0.237,    0.337,    0.235,    0.236,    0.219,    0.500,    0.162,    0.162,    0.131,    0.000,    0.002,    0.005,    0.004,    0.068,    0.000,    0.000,    0.054,    0.169,    0.274,    0.255,    0.000,    0.162,    0.245,    0.000
     153,          2.533334,    0.487,    0.354,    0.104,    0.042,    0.004,    0.000,    0.382,    0.182,    0.199,    0.404,    0.333,    0.213,    0.145,    0.255,    0.468,    0.610,    0.358,    0.283,    0.259,    0.176,    0.179,    0.101,    0.136,    0.004,    0.265,    0.067,    0.343,    0.374,    0.323,    0.330,    0.229,    0.327,    0.224,    0.228,    0.209,    0.494,    0.156,    0.155,    0.128,    0.000,    0.002,    0.004,    0.004,    0.074,    0.000,    0.000,    0.055,    0.169,    0.271,    0.251,    0.000,    0.000,    0.238,    0.000
     154,          2.550000,    0.482,    0.347,    0.101,    0.041,    0.004,    0.000,    0.376,    0.179,    0.196,    0.398,    0.328,    0.209,    0.142,    0.253,    0.462,    0.601,    0.352,    0.277,    0.253,    0.172,    0.175,    0.100,    0.137,    0.004,    0.261,    0.064,    0.338,    0.368,    0.316,    0.321,    0.221,    0.317,    0.215,    0.220,    0.200,    0.488,    0.151,    0.149,    0.124,    0.000,    0.002,    0.004,    0.004,    0.090,    0.000,    0.000,    0.056,    0.169,    0.268,    0.248,    0.000,    0.000,    0.232,    0.000
     155,          2.566667,    0.477,    0.341,    0.097,    0.039,    0.004,    0.000,    0.369,    0.176,    0.193,    0.393,    0.323,    0.206,    0.140,    0.251,    0.456,    0.592,    0.347,    0.272,    0.247,    0.168,    0.170,    0.099,    0.138,    0.004,    0.256,    0.061,    0.336,    0.355,    0.309,    0.312,    0.214,    0.308,    0.207,    0.212,    0.191,    0.481,    0.148,    0.143,    0.121,    0.000,    0.001,    0.004,    0.005,    0.000,    0.000,    0.000,    0.056,    0.169,    0.266,    0.244,    0.000,    0.000,    0.226,    0.000
     156,          2.583333,    0.473,    0.334,    0.094,    0.038,    0.004,    0.000,    0.363,    0.173,    0.190,    0.387,    0.318,    0.203,    0.138,    0.249,    0.450,    0.583,    0.341,    0.267,    0.242,    0.164,    0.166,    0.098,    0.139,    0.003,    0.251,    0.057,    0.332,    0.342,    0.301,    0.302,    0.206,    0.299,    0.199,    0.204,    0.182,    0.474,    0.145,    0.138,    0.120,    0.000,    0.001,    0.003,    0.003,    0.000,    0.000,    0.000,    0.058,    0.170,    0.264,    0.241,    0.000,    0.000,    0.222,    0.000
     157,          2.600000,    0.468,    0.327,    0.091,    0.037,    0.004,    0.000,    0.357,    0.170,    0.187,    0.381,    0.313,    0.200,    0.136,    0.246,    0.444,    0.575,    0.335,    0.261,    0.236,    0.160,    0.161,    0.097,    0.140,    0.003,    0.247,    0.054,    0.329,    0.331,    0.293,    0.293,    0.199,    0.289,    0.191,    0.196,    0.174,    0.468,    0.142,    0.133,    0.118,    0.000,    0.001,    0.002,    0.001,    0.000,    0.000,    0.000,    0.060,    0.170,    0.261,    0.238,    0.000,    0.000,    0.217,    0.000
     158,          2.616667,    0.463,    0.321,    0.088,    0.035,    0.003,    0.000,    0.351,    0.168,    0.184,    0.375,    0.308,    0.196,    0.134,    0.244,    0.439,    0.567,    0.329,    0.256,    0.231,    0.155,    0.157,    0.096,    0.141,    0.002,    0.242,    0.051,    0.329,    0.319,    0.286,    0.285,    0.192,    0.280,    0.182,    0.187,    0.167,    0.461,    0.140,    0.128,    0.117,    0.000,    0.001,    0.002,    0.002,    0.000,    0.000,    0.000,    0.061,    0.172,    0.258,    0.235,    0.000,    0.000,    0.214,    0.000
     159,          2.633333,    0.459,    0.314,    0.084,    0.034,    0.003,    0.000,    0.344,    0.165,    0.181,    0.369,    0.303,    0.193,    0.132,    0.242,    0.434,    0.559,    0.324,    0.251,    0.225,    0.152,    0.152,    0.095,    0.143,    0.002,    0.238,    0.048,    0.329,    0.308,    0.279,    0.276,    0.185,    0.271,    0.174,    0.179,    0.160,    0.455,    0.137,    0.123,    0.116,    0.000,    0.001,    0.002,    0.002,    0.000,    0.000,    0.000,    0.062,    0.172,    0.256,    0.231,    0.000,    0.000,    0.210,    0.000
     160,          2.650000,    0.454,    0.307,    0.081,    0.033,    0.003,    0.000,    0.338,    0.162,    0.179,    0.364,    0.298,    0.190,    0.129,    0.240,    0.429,    0.552,    0.318,    0.245,    0.220,    0.148,    0.148,    0.094,    0.145,    0.002,    0.234,    0.045,    0.326,    0.297,    0.272,    0.268,    0.178,    0.261,    0.166,    0.172,    0.154,    0.449,    0.135,    0.119,    0.115,    0.000,    0.001,    0.002,    0.002,    0.000,    0.000,    0.000,    0.063,    0.173,    0.253,    0.228,    0.000,    0.000,    0.206,    0.000
     161,          2.666667,    0.450,    0.301,    0.078,    0.031,    0.003,    0.000,    0.332,    0.159,    0.176,    0.358,    0.293,    0.187,    0.127,    0.238,    0.424,    0.544,    0.313,    0.240,    0.215,    0.144,    0.144,    0.094,    0.147,    0.002,    0.230,    0.043,    0.321,    0.287,    0.266,    0.260,    0.171,    0.252,    0.157,    0.164,    0.149,    0.444,    0.132,    0.116,    0.113,    0.000,    0.001,    0.002,    0.002,    0.000,    0.000,    0.000,    0.065,    0.174,    0.250,    0.225,    0.000,    0.000,    0.203,    0.000
     162,          2.683333,    0.445,    0.294,    0.075,    0.031,    0.003,    0.000,    0.326,    0.157,    0.173,    0.352,    0.288,    0.184,    0.125,    0.235,    0.419,    0.536,    0.307,    0.235,    0.209,    0.140,    0.140,    0.094,    0.149,    0.002,    0.226,    0.040,    0.330,    0.274,    0.259,    0.251,    0.163,    0.242,    0.149,    0.156,    0.144,    0.438,    0.130,    0.113,    0.111,    0.000,    0.001,    0.002,    0.002,    0.000,    0.000,    0.000,    0.066,    0.174,    0.247,    0.222,    0.000,    0.000,    0.199,    0.000
     163,          2.700000,    0.441,    0.288,    0.072,    0.028,    0.003,    0.000,    0.319,    0.154,    0.170,    0.346,    0.283,    0.181,    0.123,    0.233,    0.413,    0.528,    0.301,    0.231,    0.204,    0.136,    0.136,    0.093,    0.151,    0.002,    0.222,    0.038,    0.327,    0.262,    0.253,    0.243,    0.156,    0.232,    0.140,    0.149,    0.139,    0.433,    0.127,    0.110,    0.109,    0.000,    0.001,    0.002,    0.002,    0.000,    0.000,    0.000,    0.067,    0.174,    0.244,    0.218,    0.000,    0.000,    0.195,    0.000
     164,          2.716667,    0.436,    0.281,    0.069,    0.028,    0.003,    0.000,    0.313,    0.151,    0.167,    0.341,    0.278,    0.178,    0.121,    0.231,    0.408,    0.520,    0.296,    0.226,    0.199,    0.133,    0.132,    0.093,    0.153,    0.002,    0.218,    0.036,    0.318,    0.257,    0.246,    0.235,    0.148,    0.222,    0.132,    0.143,    0.134,    0.429,    0.125,    0.107,    0.107,    0.000,    0.001,    0.002,    0.002,    0.000,    0.000,    0.000,    0.069,    0.174,    0.241,    0.215,    0.000,    0.000,    0.191,    0.000
     165,          2.733334,    0.432,    0.275,    0.068,    0.027,    0.003,    0.000,    0.307,    0.149,    0.164,    0.335,    0.274,    0.175,    0.119,    0.229,    0.403,    0.513,    0.290,    0.221,    0.194,    0.129,    0.129,    0.093,    0.155,    0.002,    0.214,    0.034,    0.318,    0.247,    0.240,    0.227,    0.139,    0.212,    0.123,    0.139,    0.129,    0.425,    0.122,    0.104,    0.105,    0.000,    0.001,    0.002,    0.002,    0.000,    0.000,    0.000,    0.070,    0.174,    0.238,    0.211,    0.000,    0.000,    0.187,    0.000
     166,          2.750000,    0.427,    0.268,    0.064,    0.026,    0.003,    0.000,    0.301,    0.146,    0.162,    0.329,    0.269,    0.172,    0.117,    0.227,    0.398,    0.504,    0.285,    0.216,    0.189,    0.126,    0.126,    0.093,    0.157,    0.002,    0.210,    0.033,    0.313,    0.238,    0.237,    0.219,    0.132,    0.204,    0.113,    0.134,    0.123,    0.422,    0.118,    0.101,    0.103,    0.000,    0.001,    0.002,    0.002,    0.000,    0.000,    0.000,    0.071,    0.174,    0.236,    0.208,    0.000,    0.000,    0.184,    0.000
     167,          2.766667,    0.422,    0.262,    0.062,    0.025,    0.003,    0.000,    0.294,    0.143,    0.159,    0.324,    0.264,    0.168,    0.115,    0.225,    0.392,    0.496,    0.279,    0.212,    0.184,    0.123,    0.122,    0.093,    0.159,    0.001,    0.206,    0.032,    0.314,    0.228,    0.204,    0.212,    0.130,    0.198,    0.105,    0.133,    0.114,    0.419,    0.113,    0.098,    0.101,    0.000,    0.001,    0.001,    0.001,    0.000,    0.000,    0.000,    0.072,    0.174,    0.233,    0.204,    0.000,    0.000,    0.181,    0.000
     168,          2.783334,    0.418,    0.256,    0.059,    0.024,    0.003,    0.000,    0.288,    0.141,    0.156,    0.318,    0.259,    0.166,    0.114,    0.223,    0.387,    0.488,    0.274,    0.207,    0.180,    0.119,    0.119,    0.093,    0.161,    0.001,    0.202,    0.030,    0.309,    0.221,    0.229,    0.206,    0.102,    0.193,    0.108,    0.131,    0.103,    0.418,    0.114,    0.094,    0.100,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,    0.000,    0.073,    0.173,    0.231,    0.200,    0.000,    0.000,    0.178,    0.000
     169,          2.800000,    0.413,    0.250,    0.058,    0.023,    0.002,    0.000,    0.282,    0.138,    0.154,    0.313,    0.255,    0.163,    0.112,    0.221,    0.381,    0.481,    0.269,    0.203,    0.175,    0.116,    0.116,    0.093,    0.162,    0.001,    0.198,    0.028,    0.303,    0.214,    0.227,    0.200,    0.126,    0.187,    0.107,    0.130,    0.089,    0.419,    0.114,    0.091,    0.099,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,    0.000,    0.073,    0.173,    0.229,    0.196,    0.000,    0.000,    0.176,    0.000
     170,          2.816667,    0.409,    0.244,    0.055,    0.022,    0.002,    0.000,    0.276,    0.136,    0.151,    0.308,    0.250,    0.160,    0.110,    0.219,    0.376,    0.474,    0.264,    0.199,    0.171,    0.113,    0.113,    0.093,    0.162,    0.001,    0.195,    0.027,    0.296,    0.208,    0.223,    0.194,    0.125,    0.183,    0.106,    0.129,    0.111,    0.419,    0.114,    0.089,    0.099,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,    0.000,    0.073,    0.172,    0.226,    0.192,    0.000,    0.000,    0.175,    0.000
     171,          2.833333,    0.404,    0.238,    0.053,    0.021,    0.002,    0.000,    0.270,    0.133,    0.148,    0.302,    0.246,    0.157,    0.108,    0.217,    0.371,    0.467,    0.259,    0.194,    0.167,    0.110,    0.110,    0.094,    0.163,    0.001,    0.191,    0.026,    0.291,    0.203,    0.194,    0.189,    0.123,    0.179,    0.106,    0.129,    0.089,    0.421,    0.113,    0.088,    0.100,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,    0.000,    0.073,    0.171,    0.224,    0.188,    0.000,    0.000,    0.174,    0.000
     172,          2.850000,    0.399,    0.232,    0.050,    0.020,    0.002,    0.000,    0.264,    0.130,    0.146,    0.297,    0.241,    0.154,    0.106,    0.219,    0.366,    0.460,    0.254,    0.190,    0.163,    0.108,    0.108,    0.094,    0.163,    0.001,    0.187,    0.024,    0.286,    0.198,    0.219,    0.185,    0.121,    0.176,    0.107,    0.129,    0.089,    0.425,    0.113,    0.088,    0.099,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,    0.000,    0.073,    0.170,    0.222,    0.184,    0.000,    0.000,    0.173,    0.000
     173,          2.866667,    0.395,    0.226,    0.048,    0.019,    0.002,    0.000,    0.258,    0.128,    0.143,    0.292,    0.237,    0.152,    0.105,    0.222,    0.362,    0.452,    0.249,    0.187,    0.159,    0.105,    0.105,    0.094,    0.163,    0.001,    0.184,    0.024,    0.281,    0.194,    0.190,    0.181,    0.120,    0.173,    0.108,    0.129,    0.108,    0.437,    0.113,    0.088,    0.099,    0.000,    0.000,    0.001,    0.001,    0.000,    0.000,    0.000,    0.072,    0.169,    0.220,    0.180,    0.000,    0.000,    0.173,    0.000
