"EG14_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_002.tcf]","Time (h)","Q ds1 [EG14_002]","Q ds2 [EG14_002]","Q ds3 [EG14_002]","Q ds4 [EG14_002]","Q ds5 [EG14_002]","Q ds_weir [EG14_002]","Q FC01.01 [EG14_002]","Q FC01.02 [EG14_002]","Q FC01.03 [EG14_002]","Q FC01.04 [EG14_002]","Q FC01.05 [EG14_002]","Q FC01.06 [EG14_002]","Q FC01.07 [EG14_002]","Q FC01.08 [EG14_002]","Q FC01.09 [EG14_002]","Q FC01.12 [EG14_002]","Q FC01.13 [EG14_002]","Q FC01.14 [EG14_002]","Q FC01.15 [EG14_002]","Q FC01.16 [EG14_002]","Q FC01.17 [EG14_002]","Q FC01.18 [EG14_002]","Q FC01.19 [EG14_002]","Q FC01.1_R [EG14_002]","Q FC01.20 [EG14_002]","Q FC01.21 [EG14_002]","Q FC01.22 [EG14_002]","Q FC01.23 [EG14_002]","Q FC01.24 [EG14_002]","Q FC01.25 [EG14_002]","Q FC01.26 [EG14_002]","Q FC01.27 [EG14_002]","Q FC01.28A [EG14_002]","Q FC01.28B [EG14_002]","Q FC01.29 [EG14_002]","Q FC01.2_R [EG14_002]","Q FC01.30 [EG14_002]","Q FC01.31 [EG14_002]","Q FC01.32 [EG14_002]","Q FC01.33 [EG14_002]","Q FC01.34 [EG14_002]","Q FC01.36 [EG14_002]","Q FC01.37 [EG14_002]","Q FC01.38 [EG14_002]","Q FC01.39 [EG14_002]","Q FC01.40 [EG14_002]","Q FC02.01 [EG14_002]","Q FC02.02 [EG14_002]","Q FC02.03 [EG14_002]","Q FC02.04 [EG14_002]","Q FC02.05 [EG14_002]","Q FC02.06 [EG14_002]","Q FC_weir1 [EG14_002]","Q RD_weir [EG14_002]"
       1,          0.000000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.007,           0.007,           0.005,           0.004,           0.003,           0.007,           0.004,           0.005,           0.000,           0.002,          -0.008,           0.015,           0.004,           0.009,           0.005,           0.005,           0.006,           0.005,           0.003,           0.004,           0.004,           0.008,           0.015,           0.023,           0.000,           0.018,           0.013,           0.010,           0.011,           0.000,           0.000,           0.002,           0.007,           0.012,           0.000,          -0.000,           0.005,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.018,           0.030,           0.033,           0.021,           0.013,           0.020,           0.020,           0.022,           0.021,           0.000,           0.009,          -0.044,           0.077,           0.028,           0.056,           0.029,           0.033,           0.034,           0.027,           0.022,           0.023,           0.074,           0.042,           0.059,           0.056,           0.000,           0.062,           0.024,           0.062,           0.062,           0.000,           0.000,           0.022,           0.038,           0.046,           0.000,          -0.004,           0.040,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.010,           0.065,           0.068,           0.067,           0.042,           0.028,           0.038,           0.045,           0.061,           0.055,           0.344,           0.013,          -0.095,           0.195,           0.094,           0.146,           0.075,           0.103,           0.085,           0.068,           0.060,           0.065,           0.139,           0.111,           0.118,           0.085,           0.000,           0.247,           0.143,           0.184,           0.151,           0.000,           0.000,           0.073,           0.104,           0.083,           0.000,           0.005,           0.097,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.007,           0.062,           0.125,           0.123,           0.111,           0.075,           0.048,           0.065,           0.093,           0.116,           0.096,           0.818,           0.020,          -0.032,           0.347,           0.228,           0.264,           0.168,           0.232,           0.175,           0.142,           0.136,           0.157,           0.220,           0.213,           0.186,           0.113,           0.000,           0.497,           0.444,           0.335,           0.249,           0.000,           0.000,           0.138,           0.188,           0.112,           0.000,           0.002,           0.146,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.005,           0.073,           0.164,           0.186,           0.199,           0.173,           0.125,           0.080,           0.109,           0.162,           0.183,           0.158,           1.290,           0.093,           0.241,           0.631,           0.525,           0.424,           0.344,           0.380,           0.304,           0.260,           0.267,           0.298,           0.320,           0.320,           0.249,           0.142,           0.000,           0.886,           0.782,           0.515,           0.339,           0.000,           0.000,           0.194,           0.269,           0.138,           0.000,          -0.024,           0.101,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.001,           0.066,           0.185,           0.237,           0.258,           0.289,           0.248,           0.191,           0.135,           0.173,           0.249,           0.279,           0.282,           1.699,           0.275,           0.574,           1.006,           0.910,           0.651,           0.577,           0.557,           0.489,           0.434,           0.446,           0.446,           0.424,           0.412,           0.402,           0.722,           0.000,           1.544,           1.113,           0.708,           0.392,           0.000,           0.000,           0.289,           0.317,           0.153,           0.000,          -0.023,           0.095,           0.909,           0.000
       8,          0.116667,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.017,           0.137,           0.235,           0.321,           0.354,           0.395,           0.331,           0.272,           0.214,           0.261,           0.364,           0.457,           0.554,           2.015,           0.626,           0.978,           1.398,           1.329,           0.899,           0.815,           0.776,           0.711,           0.642,           0.653,           0.745,           0.490,           1.198,           1.803,           2.039,           0.000,           2.071,           1.377,           0.870,           0.425,           0.000,           0.000,           0.379,           0.333,           0.163,           0.000,          -0.015,           0.151,           1.993,           0.000
       9,          0.133333,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.005,           0.057,           0.199,           0.309,           0.401,           0.462,           0.554,           0.420,           0.379,           0.325,           0.398,           0.583,           0.802,           0.993,           2.320,           1.129,           1.422,           1.745,           1.698,           1.182,           1.091,           1.068,           1.049,           1.067,           1.355,           1.836,           0.634,           2.330,           2.562,           2.598,           0.000,           2.434,           1.605,           1.005,           0.470,           0.000,           0.000,           0.431,           0.346,           0.175,           0.000,          -0.026,           0.173,           2.485,           0.000
      10,          0.150000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.000,           0.004,           0.026,           0.111,           0.275,           0.403,           0.513,           0.609,           0.702,           0.530,           0.526,           0.499,           0.643,           0.952,           1.245,           1.491,           2.574,           1.688,           1.903,           2.140,           2.106,           1.647,           1.642,           1.831,           1.990,           2.128,           2.446,           2.714,           0.786,           2.885,           2.969,           2.944,           0.000,           2.712,           1.806,           1.137,           0.530,           0.000,           0.000,           0.429,           0.363,           0.186,           0.000,          -0.035,           0.184,           2.807,           0.000
