"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Time (h)","H FC01.1_R.1 [EG14_003]","H FC01.1_R.2 [EG14_003]","H FC01.2_R.1 [EG14_003]","H FC01.2_R.2 [EG14_003]","H FC04.1_C.1 [EG14_003]","H FC04.1_C.2 [EG14_003]","H Pipe16.2 [EG14_003]","H Pit1 [EG14_003]","H Pit1.1 [EG14_003]","H Pit10 [EG14_003]","H Pit10.1 [EG14_003]","H Pit11 [EG14_003]","H Pit11.1 [EG14_003]","H Pit12 [EG14_003]","H Pit12.1 [EG14_003]","H Pit13 [EG14_003]","H Pit13.1 [EG14_003]","H Pit14 [EG14_003]","H Pit14.1 [EG14_003]","H Pit15 [EG14_003]","H Pit15.1 [EG14_003]","H Pit16 [EG14_003]","H Pit16.1 [EG14_003]","H Pit17 [EG14_003]","H Pit17.1 [EG14_003]","H Pit18 [EG14_003]","H Pit18.1 [EG14_003]","H Pit19 [EG14_003]","H Pit19.1 [EG14_003]","H Pit2 [EG14_003]","H Pit2.1 [EG14_003]","H Pit3 [EG14_003]","H Pit3.1 [EG14_003]","H Pit4 [EG14_003]","H Pit4.1 [EG14_003]","H Pit5 [EG14_003]","H Pit5.1 [EG14_003]","H Pit6 [EG14_003]","H Pit6.1 [EG14_003]","H Pit7 [EG14_003]","H Pit7.1 [EG14_003]","H Pit8 [EG14_003]","H Pit8.1 [EG14_003]","H Pit9 [EG14_003]","H Pit9.1 [EG14_003]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.7990,     41.6009,     43.2445,     40.7645,     42.7528,     40.6586,     42.7759,     40.5253,     42.8113,     39.9990,     42.8368,     40.8677,     42.8596,     40.9729,     42.9892,     41.1447,     43.1357,     41.3168,     43.2811,     41.4118,     43.3220,     41.6968,     43.3397,     41.4668,     43.2164,     41.3484,     43.2770,     41.4497,     43.3075,     41.8990,     43.2767,     41.6710,     43.2528,     41.1545,     43.1470,     40.9873,     43.0050,     40.8067,     42.8642
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8030,     41.6420,     43.2445,     40.7770,     42.7528,     40.6720,     42.7759,     40.5380,     42.8113,     40.0090,     42.8368,     40.8804,     42.8596,     40.9846,     42.9892,     41.1582,     43.1357,     41.3498,     43.2811,     41.4523,     43.3220,     41.7424,     43.3397,     41.4991,     43.2164,     41.3714,     43.2770,     41.4696,     43.3075,     41.9231,     43.2767,     41.7045,     43.2528,     41.1702,     43.1470,     40.9991,     43.0050,     40.8199,     42.8642
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8117,     41.6712,     43.2445,     40.7931,     42.7528,     40.6889,     42.7759,     40.5559,     42.8113,     40.0236,     42.8368,     40.8978,     42.8596,     41.0005,     42.9892,     41.1825,     43.1357,     41.4088,     43.2811,     41.5054,     43.3220,     41.7769,     43.3397,     41.5443,     43.2164,     41.4113,     43.2770,     41.4972,     43.3075,     41.9473,     43.2767,     41.7282,     43.2528,     41.2066,     43.1470,     41.0202,     43.0050,     40.8378,     42.8642
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8266,     41.6911,     43.2445,     40.8136,     42.7528,     40.7093,     42.7759,     40.5771,     42.8113,     40.0425,     42.8368,     40.9205,     42.8596,     41.0287,     42.9892,     41.2245,     43.1357,     41.4717,     43.2811,     41.5475,     43.3220,     41.8007,     43.3397,     41.5803,     43.2164,     41.4647,     43.2770,     41.5263,     43.3075,     41.9660,     43.2767,     41.7442,     43.2528,     41.2663,     43.1470,     41.0630,     43.0050,     40.8687,     42.8642
       5,          0.066667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8477,     41.7074,     43.2445,     40.8479,     42.7528,     40.7362,     42.7759,     40.6020,     42.8113,     40.0723,     42.8368,     40.9543,     42.8596,     41.0761,     42.9892,     41.2796,     43.1357,     41.5225,     43.2811,     41.5793,     43.3220,     41.8198,     43.3397,     41.6083,     43.2164,     41.5170,     43.2770,     41.5518,     43.3075,     41.9807,     43.2767,     41.7572,     43.2528,     41.3309,     43.1470,     41.1271,     43.0050,     40.9254,     42.8642
       6,          0.083333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8900,     41.7215,     43.2445,     40.9094,     42.7528,     40.7826,     42.7759,     40.6375,     42.8113,     40.1162,     42.8368,     41.0076,     42.8596,     41.1339,     42.9892,     41.3336,     43.1357,     41.5630,     43.2811,     41.6054,     43.3220,     41.8364,     43.3397,     41.6313,     43.2164,     41.5636,     43.2770,     41.5732,     43.3075,     41.9930,     43.2767,     41.7687,     43.2528,     41.3840,     43.1470,     41.1923,     43.0050,     41.0001,     42.8642
       7,          0.100000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.9784,     41.7342,     43.2445,     40.9847,     42.7528,     40.8549,     42.7759,     40.6984,     42.8113,     40.1773,     42.8368,     41.0702,     42.8596,     41.1888,     42.9892,     41.3799,     43.1357,     41.5968,     43.2811,     41.6281,     43.3220,     41.8513,     43.3397,     41.6512,     43.2164,     41.5956,     43.2770,     41.6034,     43.3075,     42.0039,     43.2767,     41.7789,     43.2528,     41.4261,     43.1470,     41.2458,     43.0050,     41.0682,     42.8642
       8,          0.116667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     40.1326,     41.7460,     43.2445,     41.0466,     42.7528,     40.9277,     42.7759,     40.7763,     42.8113,     40.2585,     42.8368,     41.1237,     42.8596,     41.2342,     42.9892,     41.4162,     43.1357,     41.6264,     43.2811,     41.6487,     43.3220,     41.8650,     43.3397,     41.6691,     43.2164,     41.6257,     43.2770,     41.6331,     43.3075,     42.0137,     43.2767,     41.7884,     43.2528,     41.4607,     43.1470,     41.2879,     43.0050,     41.1244,     42.8642
       9,          0.133333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     40.3586,     41.7569,     43.2445,     41.0937,     42.7528,     40.9838,     42.7759,     40.8433,     42.8113,     40.3685,     42.8368,     41.1666,     42.8596,     41.2719,     42.9892,     41.4480,     43.1357,     41.6517,     43.2811,     41.6719,     43.3220,     41.8777,     43.3397,     41.6855,     43.2164,     41.6537,     43.2770,     41.6612,     43.3075,     42.0227,     43.2767,     41.7972,     43.2528,     41.4901,     43.1470,     41.3223,     43.0050,     41.1720,     42.8642
      10,          0.150000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     40.5940,     41.7670,     43.2445,     41.1314,     42.7528,     41.0268,     42.7759,     40.8933,     42.8113,     40.6024,     42.8368,     41.2028,     42.8596,     41.3047,     42.9892,     41.4770,     43.1357,     41.6761,     43.2811,     41.6964,     43.3220,     41.8896,     43.3397,     41.7008,     43.2164,     41.6796,     43.2770,     41.6873,     43.3075,     42.0313,     43.2767,     41.8054,     43.2528,     41.5166,     43.1470,     41.3516,     43.0050,     41.2126,     42.8642
