"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Node ID","Hmax","Time Hmax"
     1,"FC01.1_R.1",     49.8555,      0.9547
     2,"FC01.1_R.2",     47.3914,      0.9623
     3,"FC01.2_R.1",     42.7359,      1.2834
     4,"FC01.2_R.2",     40.7336,      1.2958
     5,"FC04.1_C.1",     43.3490,      3.0001
     6,"FC04.1_C.2",     43.0199,      1.2578
     7,"Pipe16.2",     43.5431,      3.0001
     8,"Pit1",     43.5464,      3.0001
     9,"Pit1.1",     43.5424,      3.0001
    10,"Pit10",     43.5436,      3.0001
    11,"Pit10.1",     43.5424,      3.0001
    12,"Pit11",     43.5436,      3.0001
    13,"Pit11.1",     43.5424,      3.0001
    14,"Pit12",     43.5436,      3.0001
    15,"Pit12.1",     43.5424,      3.0001
    16,"Pit13",     43.5436,      3.0001
    17,"Pit13.1",     43.5424,      3.0001
    18,"Pit14",     43.5436,      3.0001
    19,"Pit14.1",     43.5424,      3.0001
    20,"Pit15",     43.5437,      3.0001
    21,"Pit15.1",     43.5424,      3.0001
    22,"Pit16",     43.5443,      3.0001
    23,"Pit16.1",     43.5424,      3.0001
    24,"Pit17",     43.5464,      3.0001
    25,"Pit17.1",     43.5424,      3.0001
    26,"Pit18",     43.5473,      3.0001
    27,"Pit18.1",     43.5424,      3.0001
    28,"Pit19",     43.5477,      3.0001
    29,"Pit19.1",     43.5424,      3.0001
    30,"Pit2",     43.5463,      3.0001
    31,"Pit2.1",     43.5424,      3.0001
    32,"Pit3",     43.5457,      3.0001
    33,"Pit3.1",     43.5424,      3.0001
    34,"Pit4",     43.5451,      3.0001
    35,"Pit4.1",     43.5424,      3.0001
    36,"Pit5",     43.5451,      3.0001
    37,"Pit5.1",     43.5424,      3.0001
    38,"Pit6",     43.5454,      3.0001
    39,"Pit6.1",     43.5424,      3.0001
    40,"Pit7",     43.5447,      3.0001
    41,"Pit7.1",     43.5424,      3.0001
    42,"Pit8",     43.5439,      3.0001
    43,"Pit8.1",     43.5424,      3.0001
    44,"Pit9",     43.5436,      3.0001
    45,"Pit9.1",     43.5424,      3.0001
