"EG14_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG14_003.tcf]","Chan ID","Qmax","Time Qmax","Vmax","Time Vmax"
     1,"FC01.1_R",          47.461,          0.9544,      8.1380,          0.9544
     2,"FC01.2_R",          70.953,          1.2345,      4.9273,          1.2345
     3,"FC04.1_C",           0.000,          3.0001,      0.0000,          3.0001
     4,"Pipe0",           0.062,          0.1984,      0.7516,          0.1832
     5,"Pipe1",           0.101,          0.2221,      0.8541,          0.1541
     6,"Pipe10",           0.263,          0.2534,      1.1499,          0.1714
     7,"Pipe11",           0.193,          0.2239,      0.9380,          0.1600
     8,"Pipe12",           0.262,          0.2295,      1.1438,          0.1667
     9,"Pipe13",           0.172,          0.1600,      1.0961,          0.1500
    10,"Pipe14",           0.175,          0.1592,      1.1345,          0.1592
    11,"Pipe15",           0.160,          0.2246,      1.0823,          0.1626
    12,"Pipe16",           0.149,          0.1271,      0.9771,          0.1269
    13,"Pipe17",           0.174,          0.1578,      1.1328,          0.1576
    14,"Pipe19",           0.229,          0.2640,      1.3470,          0.0769
    15,"Pipe2",           0.034,          0.2223,      0.6777,          0.1827
    16,"Pipe3",           0.051,          0.4131,      0.6860,          0.1957
    17,"Pipe4",           0.094,          0.4230,      0.6183,          0.0828
    18,"Pipe5",           0.247,          0.2644,      1.0937,          0.1718
    19,"Pipe6",           0.235,          0.2290,      1.0769,          0.1641
    20,"Pipe7",           0.096,          0.5846,      0.8141,          0.1862
    21,"Pipe8",           0.175,          0.4422,      0.8687,          0.1240
    22,"Pipe9",           0.253,          0.2675,      1.1507,          0.1759
    23,"Pit1",           0.002,          0.2327,      0.1568,          0.2327
    24,"Pit10",           0.000,          0.2073,      0.0000,          0.2073
    25,"Pit11",           0.000,          0.2078,      0.0000,          0.2078
    26,"Pit12",           0.000,          0.2084,      0.0000,          0.2084
    27,"Pit13",           0.000,          0.2089,      0.0000,          0.2089
    28,"Pit14",           0.000,          0.2092,      0.0000,          0.2092
    29,"Pit15",           0.000,          0.2163,      0.0000,          0.2163
    30,"Pit16",           0.006,          0.2643,      0.3219,          0.2562
    31,"Pit17",           0.001,          0.2483,      0.1396,          0.2483
    32,"Pit18",           0.001,          0.2912,      0.1004,          0.2912
    33,"Pit19",           0.001,          0.3363,      0.2296,          0.3333
    34,"Pit2",           0.000,          0.2218,      0.0000,          0.2218
    35,"Pit3",           0.016,          0.4216,      0.3803,          0.3907
    36,"Pit4",           0.001,          0.5226,      0.1225,          0.5226
    37,"Pit5",           0.003,          0.4132,      0.6483,          0.3059
    38,"Pit6",           0.000,          0.2225,      0.0000,          0.2225
    39,"Pit7",           0.000,          0.2264,      0.0000,          0.2264
    40,"Pit8",           0.000,          0.2156,      0.0000,          0.2156
    41,"Pit9",           0.000,          0.2096,      0.0000,          0.2096
