"M10_5m_003 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_10\Complete_Model\TUFLOW\runs\M10_5m_003.tcf]","Time (h)","H DF01.1 [M10_5m_003]","H DF01.2 [M10_5m_003]"
     147,          2.433333,     46.7564,     45.9118
     148,          2.450000,     46.7400,     45.9043
     149,          2.466667,     46.7219,     45.8968
     150,          2.483333,     46.7013,     45.8975
     151,          2.500000,     46.6805,     45.8893
     152,          2.516667,     46.6596,     45.8808
     153,          2.533334,     46.6372,     45.8694
     154,          2.550000,     46.6133,     45.8599
     155,          2.566667,     46.5904,     45.8503
     156,          2.583333,     46.5663,     45.8343
     157,          2.600000,     46.5406,     45.8252
     158,          2.616667,     46.5184,     45.8132
     159,          2.633333,     46.4951,     45.8058
     160,          2.650000,     46.4740,     45.7932
     161,          2.666667,     46.4539,     45.7890
     162,          2.683333,     46.4368,     45.7813
     163,          2.700000,     46.4176,     45.7736
     164,          2.716667,     46.3956,     45.7613
     165,          2.733334,     46.3714,     45.7447
     166,          2.750000,     46.3480,     45.7352
     167,          2.766667,     46.3215,     45.7249
     168,          2.783334,     46.2948,     45.7143
     169,          2.800000,     46.2665,     45.7031
     170,          2.816667,     46.2368,     45.6913
     171,          2.833333,     46.2057,     45.6785
     172,          2.850000,     46.1735,     45.6654
     173,          2.866667,     46.1394,     45.6515
     174,          2.883333,     46.1073,     45.6380
     175,          2.900000,     46.0745,     45.6246
     176,          2.916667,     46.0419,     45.6115
     177,          2.933333,     46.0086,     45.5990
     178,          2.950000,     45.9756,     45.5875
     179,          2.966667,     45.9443,     45.5773
     180,          2.983334,     45.9138,     45.5669
     181,          3.000000,     45.8858,     45.5603
