"M10_5m_004 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_10\Complete_Model\TUFLOW\runs\M10_5m_004.tcf]","Time (h)","H Loc1_P [M10_5m_004]"
          75,        1.233333,         42.8001
          76,        1.250000,         42.7958
          77,        1.266667,         42.7917
          78,        1.283333,         42.7878
          79,        1.300000,         42.7842
          80,        1.316667,         42.7808
          81,        1.333333,         42.7776
          82,        1.350000,         42.7745
          83,        1.366667,         42.7717
          84,        1.383333,         42.7690
          85,        1.400000,         42.7664
          86,        1.416667,         42.7640
          87,        1.433333,         42.7616
          88,        1.450000,         42.7594
          89,        1.466667,         42.7573
          90,        1.483333,         42.7552
          91,        1.500000,         42.7533
          92,        1.516667,         42.7514
          93,        1.533333,         42.7496
          94,        1.550000,         42.7479
          95,        1.566667,         42.7463
          96,        1.583333,         42.7447
          97,        1.600000,         42.7431
          98,        1.616667,         42.7417
          99,        1.633333,         42.7402
         100,        1.650000,         42.7389
         101,        1.666667,         42.7375
         102,        1.683333,         42.7362
         103,        1.700000,         42.7350
         104,        1.716667,         42.7338
         105,        1.733333,         42.7326
         106,        1.750000,         42.7315
         107,        1.766667,         42.7304
         108,        1.783333,         42.7293
         109,        1.800000,         42.7283
         110,        1.816667,         42.7273
         111,        1.833333,         42.7263
         112,        1.850000,         42.7253
         113,        1.866667,         42.7244
         114,        1.883333,         42.7235
         115,        1.900000,         42.7226
         116,        1.916667,         42.7218
         117,        1.933333,         42.7209
         118,        1.950000,         42.7201
         119,        1.966667,         42.7193
         120,        1.983333,         42.7185
         121,        2.000000,         42.7178
         122,        2.016667,         42.7170
         123,        2.033333,         42.7163
         124,        2.050000,         42.7156
         125,        2.066667,         42.7149
         126,        2.083333,         42.7142
         127,        2.100000,         42.7136
         128,        2.116667,         42.7129
         129,        2.133333,         42.7123
         130,        2.150000,         42.7117
         131,        2.166667,         42.7111
         132,        2.183333,         42.7105
         133,        2.200000,         42.7099
         134,        2.216667,         42.7093
         135,        2.233333,         42.7088
         136,        2.250000,         42.7082
         137,        2.266667,         42.7077
         138,        2.283333,         42.7071
         139,        2.300000,         42.7066
         140,        2.316667,         42.7061
         141,        2.333333,         42.7056
         142,        2.350000,         42.7051
         143,        2.366667,         42.7046
         144,        2.383333,         42.7042
         145,        2.400000,         42.7037
         146,        2.416667,         42.7033
         147,        2.433333,         42.7028
         148,        2.450000,         42.7024
         149,        2.466667,         42.7019
         150,        2.483333,         42.7015
         151,        2.500000,         42.7011
         152,        2.516667,         42.7006
         153,        2.533333,         42.7003
         154,        2.550000,         42.6999
         155,        2.566667,         42.6995
         156,        2.583333,         42.6991
         157,        2.600000,         42.6987
         158,        2.616667,         42.6983
         159,        2.633333,         42.6979
         160,        2.650000,         42.6976
         161,        2.666667,         42.6972
         162,        2.683333,         42.6968
         163,        2.700000,         42.6965
         164,        2.716667,         42.6961
         165,        2.733333,         42.6958
         166,        2.750000,         42.6955
         167,        2.766667,         42.6951
         168,        2.783333,         42.6948
         169,        2.800000,         42.6945
         170,        2.816667,         42.6942
         171,        2.833333,         42.6938
         172,        2.850000,         42.6935
         173,        2.866667,         42.6932
         174,        2.883333,         42.6929
         175,        2.900000,         42.6926
         176,        2.916667,         42.6923
         177,        2.933333,         42.6920
         178,        2.950000,         42.6917
         179,        2.966667,         42.6915
         180,        2.983333,         42.6912
         181,        3.000000,         42.6909

