"Time (h) ","All 1D Domains:","H V In      ","H V Out     ","Q V In      ","Q V Out     ","QR V In     ","QR V Out    ","X1DH V In   ","X1DH V Out  ","X1DQ V In   ","X1DQ V Out  ","SX2D V In   ","SX2D V Out  ","HX2D V In   ","HX2D V Out  ","Q2D V In    ","Q2D V Out   ","Vol In-Out  ","dVol        ","Vol Err     ","Q ME (%)    ","Total Vol   ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  1.419657    , 0.4727007E-02,  0.000000    , 0.2308563E-01,  5.079493    ,  0.000000    ,  6.471337    ,  6.468787    ,-0.2549636E-02,-0.3906313E-01,  6.468787    ,  6.526962    ,-0.2549636E-02,-0.3906313E-01,-0.3906313E-01
         0.033,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  4.390365    , 0.2900911E-01,  0.000000    ,  1.240231    ,  15.23246    ,  0.000000    ,  18.35358    ,  18.35401    , 0.4312622E-03, 0.2064239E-02,  24.82280    ,  27.41902    ,-0.2118373E-02,-0.7725925E-02,-0.7725925E-02
         0.050,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  7.301095    , 0.1107828    ,  0.000000    ,  6.580519    ,  25.38321    ,  0.000000    ,  25.99300    ,  25.99206    ,-0.9437823E-03,-0.2396870E-02,  50.81486    ,  66.79463    ,-0.3062156E-02,-0.4584434E-02,-0.4584434E-02
         0.067,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  10.72878    , 0.3220030    ,  0.000000    ,  16.78095    ,  36.60188    ,  0.000000    ,  30.22770    ,  30.22695    ,-0.7552346E-03,-0.1172113E-02,  81.04181    ,  131.2282    ,-0.3817390E-02,-0.2908971E-02,-0.2908971E-02
         0.083,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  14.17629    , 0.8140400    ,  0.000000    ,  28.81803    ,  47.36830    ,  0.000000    ,  31.91252    ,  31.91496    , 0.2441018E-02, 0.2677240E-02,  112.9568    ,  222.4049    ,-0.1376372E-02,-0.6188586E-03,-0.6188586E-03
         0.100,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  17.69350    ,  1.957587    ,  0.000000    ,  44.17795    ,  68.77033    ,  0.000000    ,  40.32829    ,  40.32930    , 0.1007596E-02, 0.7598801E-03,  153.2861    ,  355.0043    ,-0.3687757E-03,-0.1038792E-03,-0.1038792E-03
         0.117,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  21.44779    ,  4.509437    ,  0.000000    ,  67.93570    ,  96.81365    ,  0.000000    ,  45.81629    ,  45.81452    ,-0.1776168E-02,-0.9313617E-03,  199.1006    ,  545.7108    ,-0.2144944E-02,-0.3930550E-03,-0.3930550E-03
         0.133,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  25.00899    ,  7.537732    ,  0.000000    ,  95.29792    ,  123.7682    ,  0.000000    ,  45.94158    ,  45.94447    , 0.2888979E-02, 0.1148184E-02,  245.0451    ,  797.3237    , 0.7440356E-03, 0.9331662E-04, 0.9331662E-04
         0.150,,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  28.48169    ,  15.16542    ,  0.000000    ,  123.9530    ,  151.4618    ,  0.000000    ,  40.82508    ,  40.82199    ,-0.3095039E-02,-0.9700436E-03,  285.8670    ,  1116.386    ,-0.2351004E-02,-0.2105907E-03,-0.2105907E-03
