"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time (h)","H FC01.1_R.1 [EG02_014]","H FC01.1_R.2 [EG02_014]","H FC01.2_R.1 [EG02_014]","H FC01.2_R.2 [EG02_014]","H FC04.1_C.1 [EG02_014]","H FC04.1_C.2 [EG02_014]","H Pipe16.2 [EG02_014]","H Pit1 [EG02_014]","H Pit1.1 [EG02_014]","H Pit10 [EG02_014]","H Pit10.1 [EG02_014]","H Pit11 [EG02_014]","H Pit11.1 [EG02_014]","H Pit12 [EG02_014]","H Pit12.1 [EG02_014]","H Pit13 [EG02_014]","H Pit13.1 [EG02_014]","H Pit14 [EG02_014]","H Pit14.1 [EG02_014]","H Pit15 [EG02_014]","H Pit15.1 [EG02_014]","H Pit16 [EG02_014]","H Pit16.1 [EG02_014]","H Pit17 [EG02_014]","H Pit17.1 [EG02_014]","H Pit18 [EG02_014]","H Pit18.1 [EG02_014]","H Pit19 [EG02_014]","H Pit19.1 [EG02_014]","H Pit2 [EG02_014]","H Pit2.1 [EG02_014]","H Pit3 [EG02_014]","H Pit3.1 [EG02_014]","H Pit4 [EG02_014]","H Pit4.1 [EG02_014]","H Pit5 [EG02_014]","H Pit5.1 [EG02_014]","H Pit6 [EG02_014]","H Pit6.1 [EG02_014]","H Pit7 [EG02_014]","H Pit7.1 [EG02_014]","H Pit8 [EG02_014]","H Pit8.1 [EG02_014]","H Pit9 [EG02_014]","H Pit9.1 [EG02_014]"
       1,          0.000000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.7990,     41.6009,     43.2445,     40.7645,     42.7528,     40.6586,     42.7759,     40.5253,     42.8113,     39.9990,     42.8368,     40.8677,     42.8596,     40.9729,     42.9892,     41.1447,     43.1357,     41.3168,     43.2811,     41.4118,     43.3220,     41.6968,     43.3397,     41.4668,     43.2164,     41.3484,     43.2770,     41.4497,     43.3075,     41.8990,     43.2767,     41.6710,     43.2528,     41.1545,     43.1470,     40.9873,     43.0050,     40.8067,     42.8642
       2,          0.016667,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8026,     41.6224,     43.2445,     40.7786,     42.7531,     40.6681,     42.7759,     40.5343,     42.8113,     40.0071,     42.8368,     40.8772,     42.8596,     40.9822,     42.9892,     41.1547,     43.1357,     41.3268,     43.2811,     41.4262,     43.3230,     41.7085,     43.3397,     41.4830,     43.2164,     41.3574,     43.2770,     41.4553,     43.3075,     41.9075,     43.2776,     41.6849,     43.2528,     41.1626,     43.1470,     40.9947,     43.0050,     40.8182,     42.8642
       3,          0.033333,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8080,     41.6360,     43.2479,     40.7935,     42.7545,     40.6817,     42.7759,     40.5431,     42.8113,     40.0148,     42.8368,     40.8872,     42.8600,     40.9906,     42.9892,     41.1620,     43.1357,     41.3414,     43.2826,     41.4363,     43.3224,     41.7188,     43.3397,     41.5015,     43.2186,     41.3671,     43.2770,     41.4641,     43.3075,     41.9194,     43.2777,     41.6993,     43.2528,     41.1723,     43.1470,     41.0017,     43.0050,     40.8272,     42.8642
       4,          0.050000,     45.3990,     44.4990,     37.5990,     37.4990,     43.3490,     42.7490,     39.8143,     41.6460,     43.2445,     40.8141,     42.7543,     40.7021,     42.7769,     40.5555,     42.8123,     40.0240,     42.8372,     40.8978,     42.8602,     40.9967,     42.9913,     41.1718,     43.1385,     41.3569,     43.2816,     41.4475,     43.3238,     41.7235,     43.3397,     41.5182,     43.2183,     41.3818,     43.2770,     41.4736,     43.3075,     41.9304,     43.2767,     41.7178,     43.2538,     41.1848,     43.1484,     41.0094,     43.0050,     40.8350,     42.8642
       5,          0.066667,     45.3990,     44.4990,     37.6067,     37.4990,     43.3490,     42.7508,     39.8244,     41.6591,     43.2504,     40.8362,     42.7554,     40.7307,     42.7774,     40.5824,     42.8133,     40.0392,     42.8382,     40.9100,     42.8596,     41.0065,     42.9917,     41.1837,     43.1357,     41.3769,     43.2818,     41.4562,     43.3225,     41.7316,     43.3419,     41.5334,     43.2185,     41.3996,     43.2770,     41.4851,     43.3075,     41.9437,     43.2778,     41.7316,     43.2545,     41.2006,     43.1470,     41.0225,     43.0050,     40.8451,     42.8642
       6,          0.083333,     45.3990,     44.4990,     37.6090,     37.4990,     43.3490,     42.7685,     39.8414,     41.6632,     43.2514,     40.8562,     42.7561,     40.7589,     42.7779,     40.6130,     42.8123,     40.0633,     42.8397,     40.9211,     42.8602,     41.0165,     42.9911,     41.2014,     43.1357,     41.3979,     43.2818,     41.4670,     43.3257,     41.7403,     43.3424,     41.5573,     43.2192,     41.4201,     43.2770,     41.4980,     43.3075,     41.9552,     43.2784,     41.7424,     43.2549,     41.2201,     43.1487,     41.0391,     43.0050,     40.8638,     42.8678
       7,          0.100000,     45.3990,     44.4990,     37.6124,     37.4990,     43.3490,     42.7827,     39.8747,     41.6600,     43.2445,     40.8815,     42.7581,     40.7859,     42.7787,     40.6453,     42.8129,     40.0980,     42.8387,     40.9371,     42.8605,     41.0336,     42.9892,     41.2229,     43.1399,     41.4199,     43.2839,     41.4875,     43.3239,     41.7527,     43.3437,     41.5737,     43.2202,     41.4478,     43.2770,     41.5145,     43.3085,     41.9676,     43.2789,     41.7535,     43.2556,     41.2433,     43.1488,     41.0594,     43.0050,     40.8910,     42.8706
       8,          0.116667,     45.3990,     44.4990,     37.6160,     37.5007,     43.3490,     42.7968,     39.9377,     41.6665,     43.2445,     40.9181,     42.7607,     40.8202,     42.7791,     40.6873,     42.8144,     40.1368,     42.8397,     40.9679,     42.8624,     41.0574,     42.9892,     41.2478,     43.1357,     41.4418,     43.2811,     41.5050,     43.3241,     41.7720,     43.3423,     41.5891,     43.2214,     41.4766,     43.2770,     41.5321,     43.3090,     41.9754,     43.2793,     41.7640,     43.2560,     41.2671,     43.1490,     41.0861,     43.0083,     40.9262,     42.8665
       9,          0.133333,     45.3990,     44.4990,     37.6204,     37.5094,     43.3490,     42.8035,     40.0349,     41.6838,     43.2536,     40.9592,     42.7637,     40.8608,     42.7802,     40.7303,     42.8150,     40.1869,     42.8412,     41.0036,     42.8639,     41.0878,     42.9892,     41.2789,     43.1357,     41.4639,     43.2842,     41.5281,     43.3250,     41.7888,     43.3433,     41.6103,     43.2234,     41.5025,     43.2770,     41.5502,     43.3097,     41.9870,     43.2802,     41.7686,     43.2566,     41.2914,     43.1470,     41.1113,     43.0074,     40.9700,     42.8730
      10,          0.150000,     45.3990,     44.4990,     37.6241,     37.5289,     43.3490,     42.8057,     40.1802,     41.6912,     43.2445,     41.0084,     42.7673,     40.9130,     42.7817,     40.7805,     42.8157,     40.2473,     42.8430,     41.0456,     42.8656,     41.1219,     42.9892,     41.3110,     43.1357,     41.4882,     43.2845,     41.5509,     43.3259,     41.8042,     43.3444,     41.6389,     43.2257,     41.5370,     43.2770,     41.5698,     43.3107,     41.9967,     43.2808,     41.7808,     43.2576,     41.3166,     43.1484,     41.1402,     43.0095,     41.0206,     42.8700
      11,          0.166667,     45.3990,     44.4990,     37.6272,     37.4990,     43.3490,     42.8066,     40.3493,     41.6927,     43.2445,     41.0556,     42.7720,     40.9659,     42.7829,     40.8414,     42.8175,     40.3584,     42.8443,     41.0857,     42.8667,     41.1592,     42.9933,     41.3476,     43.1396,     41.5159,     43.2811,     41.5708,     43.3268,     41.8180,     43.3456,     41.6602,     43.2278,     41.5710,     43.2770,     41.5904,     43.3118,     42.0118,     43.2822,     41.7962,     43.2589,     41.3449,     43.1485,     41.1683,     43.0050,     41.0701,     42.8713
      12,          0.183333,     45.3990,     44.4990,     37.6318,     37.5008,     43.3490,     42.8075,     40.5491,     41.7086,     43.2546,     41.0999,     42.7765,     41.0161,     42.7844,     40.8983,     42.8189,     40.5573,     42.8453,     41.1256,     42.8677,     41.1985,     42.9920,     41.3840,     43.1357,     41.5484,     43.2836,     41.5940,     43.3283,     41.8350,     43.3472,     41.6796,     43.2300,     41.6049,     43.2811,     41.6160,     43.3134,     42.0299,     43.2839,     41.8151,     43.2609,     41.3767,     43.1487,     41.2019,     43.0074,     41.1180,     42.8729
      13,          0.200000,     45.5334,     44.4990,     37.6004,     37.5400,     43.3579,     42.8085,     41.1974,     41.7237,     43.2503,     41.1929,     42.7806,     41.1924,     42.7861,     41.1954,     42.8200,     41.2044,     42.8461,     41.2039,     42.8685,     41.2409,     42.9920,     41.4203,     43.1397,     41.5854,     43.2844,     41.6191,     43.3299,     41.8530,     43.3491,     41.7017,     43.2328,     41.6393,     43.2861,     41.6494,     43.3151,     42.0490,     43.2859,     41.8396,     43.2636,     41.4131,     43.1490,     41.2402,     43.0077,     41.1960,     42.8744
      14,          0.216667,     45.7127,     44.4990,     37.7211,     37.5708,     43.3793,     42.8145,     41.6018,     41.7355,     43.2511,     41.6236,     42.7839,     41.6192,     42.7874,     41.6130,     42.8207,     41.6037,     42.8467,     41.5982,     42.8693,     41.5860,     42.9926,     41.5774,     43.1357,     41.6271,     43.2854,     41.6453,     43.3314,     41.8750,     43.3519,     41.7261,     43.2370,     41.6784,     43.2770,     41.6887,     43.3169,     42.0685,     43.2881,     41.8578,     43.2658,     41.5974,     43.1493,     41.6045,     43.0081,     41.6206,     42.8757
      15,          0.233333,     45.8228,     44.5526,     37.6458,     37.5930,     43.4010,     42.8280,     42.0852,     41.9457,     43.2521,     42.1464,     42.7868,     42.1341,     42.7888,     42.1142,     42.8214,     42.0891,     42.8473,     42.0690,     42.8700,     42.0302,     42.9932,     41.9915,     43.1402,     42.1509,     43.2864,     42.1484,     43.3351,     42.1460,     43.3585,     41.9509,     43.2410,     41.9589,     43.2872,     41.9492,     43.3184,     42.0866,     43.2902,     42.1501,     43.2708,     42.1441,     43.1496,     42.1478,     43.0086,     42.1485,     42.8771
      16,          0.250000,     45.9015,     44.6673,     37.6243,     37.6188,     43.4244,     42.8446,     42.8890,     43.0979,     43.2530,     42.8749,     42.8303,     42.8686,     42.8296,     42.8731,     42.8546,     42.8902,     42.8831,     42.9020,     42.8983,     42.9692,     42.9939,     43.0106,     43.1388,     43.2076,     43.2894,     43.2316,     43.3467,     43.2413,     43.3713,     43.0933,     43.2442,     43.0868,     43.2881,     43.0889,     43.3196,     43.0998,     43.2925,     43.2158,     43.2762,     43.1011,     43.1503,     43.0069,     43.0119,     42.9293,     42.9132
      17,          0.266667,     45.9588,     44.7498,     37.6300,     37.6161,     43.4490,     42.8562,     42.9133,     43.2325,     43.2538,     42.9063,     42.8709,     42.8992,     42.8701,     42.9024,     42.8782,     42.9141,     42.9018,     42.9368,     42.9093,     43.0164,     43.0164,     43.1067,     43.1357,     43.2922,     43.3029,     43.3345,     43.3645,     43.3502,     43.3894,     43.2352,     43.2531,     43.2135,     43.2889,     43.2340,     43.3205,     43.2346,     43.2946,     43.2970,     43.3046,     43.1636,     43.1638,     43.0420,     43.0406,     42.9518,     42.9223
      18,          0.283333,     46.0069,     44.8155,     37.6250,     37.6393,     43.4734,     42.8686,     42.9358,     43.2497,     43.2591,     42.9382,     42.9146,     42.9310,     42.9138,     42.9292,     42.9124,     42.9365,     42.9162,     42.9527,     42.9199,     43.0274,     43.0227,     43.1222,     43.1400,     43.3046,     43.3153,     43.3491,     43.3803,     43.3654,     43.4054,     43.2454,     43.2637,     43.2253,     43.2770,     43.2523,     43.3212,     43.2584,     43.2989,     43.3087,     43.3148,     43.1756,     43.1767,     43.0523,     43.0470,     42.9687,     42.9301
      19,          0.300000,     46.0548,     44.8760,     37.7502,     37.6354,     43.4970,     42.8814,     42.9633,     43.2591,     43.2720,     42.9677,     42.9485,     42.9610,     42.9479,     42.9587,     42.9462,     42.9639,     42.9430,     42.9767,     42.9446,     43.0374,     43.0294,     43.1299,     43.1357,     43.3162,     43.3269,     43.3625,     43.3951,     43.3787,     43.4186,     43.2589,     43.2717,     43.2412,     43.2812,     43.2693,     43.3218,     43.2798,     43.3100,     43.3197,     43.3245,     43.1883,     43.1898,     43.0661,     43.0567,     42.9920,     42.9528
      20,          0.316667,     46.1029,     44.9307,     37.6600,     37.6536,     43.5195,     42.8933,     42.9933,     43.2654,     43.2794,     42.9963,     42.9779,     42.9902,     42.9776,     42.9886,     42.9777,     42.9938,     42.9769,     43.0047,     42.9774,     43.0502,     43.0355,     43.1455,     43.1454,     43.3258,     43.3361,     43.3723,     43.4050,     43.3885,     43.4285,     43.2690,     43.2781,     43.2520,     43.2812,     43.2825,     43.3223,     43.2933,     43.3257,     43.3292,     43.3339,     43.1998,     43.2006,     43.0812,     43.0684,     43.0177,     42.9811
      21,          0.333333,     46.1494,     44.9903,     37.7375,     37.6544,     43.5393,     42.9049,     43.0209,     43.2755,     43.2838,     43.0257,     43.0099,     43.0198,     43.0092,     43.0175,     43.0081,     43.0216,     43.0070,     43.0317,     43.0077,     43.0639,     43.0408,     43.1567,     43.1548,     43.3340,     43.3430,     43.3813,     43.4120,     43.3992,     43.4419,     43.2730,     43.2822,     43.2661,     43.2872,     43.2953,     43.3243,     43.3048,     43.3357,     43.3374,     43.3420,     43.2098,     43.2100,     43.0975,     43.0793,     43.0440,     43.0113
      22,          0.350000,     46.1951,     45.0521,     37.7102,     37.7030,     43.5570,     42.9148,     43.0498,     43.2803,     43.2888,     43.0549,     43.0409,     43.0493,     43.0401,     43.0470,     43.0395,     43.0504,     43.0390,     43.0615,     43.0391,     43.0753,     43.0479,     43.1667,     43.1633,     43.3389,     43.3468,     43.3857,     43.4162,     43.4033,     43.4458,     43.2793,     43.2868,     43.2669,     43.2817,     43.3031,     43.3304,     43.3137,     43.3434,     43.3423,     43.3471,     43.2179,     43.2169,     43.1127,     43.0895,     43.0698,     43.0414
