"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time (h)","Q RL_03 [EG02_014]","Q RL_04 [EG02_014]","Q RL_05 [EG02_014]"
     126,          2.083333,          -0.001,          29.921,           0.052
     127,          2.100000,          -0.000,          28.107,           0.053
     128,          2.116667,          -0.000,          26.425,           0.053
     129,          2.133333,          -0.000,          24.949,           0.048
     130,          2.150000,          -0.000,          23.625,           0.049
     131,          2.166667,          -0.001,          22.448,           0.048
     132,          2.183333,          -0.001,          21.451,           0.046
     133,          2.200000,          -0.000,          20.604,           0.044
     134,          2.216667,          -0.000,          19.832,           0.045
     135,          2.233333,          -0.000,          19.142,           0.045
     136,          2.250000,          -0.000,          18.508,           0.043
     137,          2.266667,          -0.000,          17.924,           0.041
     138,          2.283334,          -0.000,          17.404,           0.040
     139,          2.300000,          -0.000,          16.901,           0.040
     140,          2.316667,          -0.000,          16.415,           0.038
     141,          2.333333,          -0.000,          15.950,           0.036
     142,          2.350000,          -0.000,          15.519,           0.035
     143,          2.366667,          -0.000,          15.116,           0.035
     144,          2.383333,          -0.000,          14.770,           0.033
     145,          2.400000,          -0.000,          14.441,           0.032
     146,          2.416667,          -0.000,          14.129,           0.031
     147,          2.433333,          -0.000,          13.797,           0.031
     148,          2.450000,          -0.000,          13.486,           0.029
     149,          2.466667,          -0.000,          13.216,           0.028
     150,          2.483333,          -0.000,          12.955,           0.027
     151,          2.500000,          -0.000,          12.712,           0.027
     152,          2.516667,          -0.000,          12.503,           0.026
     153,          2.533334,          -0.000,          12.263,           0.024
     154,          2.550000,          -0.000,          12.026,           0.023
     155,          2.566667,          -0.000,          11.819,           0.023
     156,          2.583333,          -0.000,          11.587,           0.023
     157,          2.600000,          -0.000,          11.404,           0.021
     158,          2.616667,          -0.000,          11.181,           0.020
     159,          2.633333,          -0.000,          10.956,           0.020
     160,          2.650000,          -0.000,          10.710,           0.020
     161,          2.666667,          -0.000,          10.465,           0.019
     162,          2.683333,          -0.000,          10.244,           0.017
     163,          2.700000,          -0.000,          10.040,           0.017
     164,          2.716667,          -0.000,           9.819,           0.017
     165,          2.733334,          -0.000,           9.574,           0.016
     166,          2.750000,          -0.000,           9.375,           0.015
     167,          2.766667,          -0.000,           9.129,           0.014
     168,          2.783334,          -0.000,           8.907,           0.014
     169,          2.800000,          -0.000,           8.668,           0.014
     170,          2.816667,          -0.000,           8.459,           0.013
     171,          2.833333,          -0.000,           8.234,           0.012
     172,          2.850000,          -0.000,           8.006,           0.012
     173,          2.866667,          -0.000,           7.881,           0.012
     174,          2.883333,          -0.000,           7.682,           0.011
     175,          2.900000,          -0.000,           7.484,           0.011
     176,          2.916667,          -0.000,           7.274,           0.011
     177,          2.933333,          -0.000,           7.056,           0.011
     178,          2.950000,          -0.000,           6.872,           0.010
     179,          2.966667,          -0.000,           6.687,           0.009
     180,          2.983334,          -0.000,           6.496,           0.010
     181,          3.000000,          -0.000,           6.267,           0.009
