"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time(h)","F FC01.1_R [EG02_014]","F FC01.2_R [EG02_014]","F FC04.1_C [EG02_014]","F Pipe0 [EG02_014]","F Pipe1 [EG02_014]","F Pipe10 [EG02_014]","F Pipe11 [EG02_014]","F Pipe12 [EG02_014]","F Pipe13 [EG02_014]","F Pipe14 [EG02_014]","F Pipe15 [EG02_014]","F Pipe16 [EG02_014]","F Pipe17 [EG02_014]","F Pipe19 [EG02_014]","F Pipe2 [EG02_014]","F Pipe3 [EG02_014]","F Pipe4 [EG02_014]","F Pipe5 [EG02_014]","F Pipe6 [EG02_014]","F Pipe7 [EG02_014]","F Pipe8 [EG02_014]","F Pipe9 [EG02_014]","F Pit1 [EG02_014]","F Pit10 [EG02_014]","F Pit11 [EG02_014]","F Pit12 [EG02_014]","F Pit13 [EG02_014]","F Pit14 [EG02_014]","F Pit15 [EG02_014]","F Pit16 [EG02_014]","F Pit17 [EG02_014]","F Pit18 [EG02_014]","F Pit19 [EG02_014]","F Pit2 [EG02_014]","F Pit3 [EG02_014]","F Pit4 [EG02_014]","F Pit5 [EG02_014]","F Pit6 [EG02_014]","F Pit7 [EG02_014]","F Pit8 [EG02_014]","F Pit9 [EG02_014]"
       1,          0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
       2,          0.016667,G,G,G,D,A,D,D,A,A,D,A,A,A,A,A,A,A,D,D,A,A,D,E,E,E,E,E,E,E,E,E,N,E,E,E,E,N,E,E,E,E
       3,          0.033333,G,G,G,A,A,D,A,A,D,D,A,A,A,A,A,A,A,A,A,A,A,A,E,N,E,E,E,E,E,E,N,E,E,N,E,E,N,E,E,E,E
       4,          0.050000,G,G,G,A,A,A,A,A,D,A,A,D,A,D,A,A,A,D,A,A,A,A,E,N,N,E,E,E,E,N,E,N,E,E,E,E,E,N,N,E,E
       5,          0.066667,G,A,G,A,A,A,A,A,A,D,A,A,A,A,A,A,A,D,A,A,A,A,N,N,N,N,N,E,N,E,E,E,N,E,E,E,N,N,E,E,E
       6,          0.083333,G,A,G,A,D,D,D,A,A,A,A,D,A,A,A,A,A,A,A,A,A,D,N,N,N,E,N,E,E,E,E,E,N,N,E,E,N,N,N,E,N
       7,          0.100000,G,A,G,A,A,D,D,A,A,A,A,D,A,D,A,A,A,D,A,A,A,A,E,N,N,E,N,E,E,N,N,N,N,N,E,N,N,N,N,E,N
       8,          0.116667,G,A,G,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,N,N,N,N,N,E,E,E,N,N,N,E,N,N,N,N,N,E
       9,          0.133333,G,A,G,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,N,N,N,N,N,N,E,E,N,N,N,N,E,N,N,N,E,E,N
      10,          0.150000,G,A,G,A,A,A,D,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,E,N,N,N,N,N,E,E,N,N,N,N,E,N,N,N,E,N,N
      11,          0.166667,G,A,G,A,A,A,D,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,E,N,N,N,N,N,N,N,E,N,N,N,E,N,N,N,N,E,N
      12,          0.183333,G,A,G,A,A,A,D,A,A,A,A,D,A,A,A,A,A,A,A,A,A,A,N,N,N,N,N,N,E,E,N,N,N,N,E,N,N,N,N,N,N
      13,          0.200000,A,G,A,A,A,A,D,A,D,H L,D,F L,F L,A,A,A,D,A,D,A,A,A,N,N,N,N,N,N,N,N,N,N,N,N,E,N,N,N,N,N,N
      14,          0.216667,A,A,A,A,A,H,F,F,F L,F L,F L,F L,F L,A,A,A,D,H,F,A,A,D,N,N,N,N,N,N,N,E,N,N,N,N,E,N,N,N,N,N,N
      15,          0.233333,A,A,A,J,H,F,F L,F L,F,F,F,F L,F,F,D,A,H,F,F,H L,F L,F L,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
      16,          0.250000,A,J,A,F L,F L,F,F,F,F L,F,F,F,F,F,F L,F L,F,F,F,F L,F L,F,N,R,R,R,R,R,N,N,N,N,N,N,N,N,N,N,N,D,R
      17,          0.266667,A,A,A,F L,F L,F,F,F,F L,F L,F,F,F,F,F,F L,F L,F,F,F,F,F,N,R,R,R,R,R,D,E,D,D,D,D,N,N,N,D,D,R,R
      18,          0.283333,A,J,A,F L,F L,F,F,F,F L,F L,F L,F,F L,F,F,F,F L,F,F,F,F,F,D,R,R,R,R,R,R,N,D,D,D,D,E,N,N,D,D,R,R
      19,          0.300000,A,A,A,F L,F L,F,F,F,F,F,F,F,F L,F,F,F L,F,F,F,F,F,F,D,R,R,R,R,R,R,E,D,D,D,D,E,N,D,D,D,R,R
      20,          0.316667,A,J,A,F L,F L,F,F,F,F L,F,F L,F,F,F,F,F L,F,F,F,F,F,F,D,R,R,R,R,R,R,D,D,D,D,D,E,N,D,D,D,R,R
      21,          0.333333,A,A,A,F L,F L,F,F,F,F L,F L,F L,F,F L,F,F,F L,F,F,F,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,N,N,D,D,D,R,R
      22,          0.350000,A,D,A,F L,F L,F,F L,F,F L,F,F L,F,F,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,E,N,D,D,R,R,R
      23,          0.366667,A,A,A,F,F,F,F,F,F L,F L,F L,F,F,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      24,          0.383333,A,J,A,F,F L,F,F,F,F,F,F L,F,F L,F,F,F L,F,F,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      25,          0.400000,A,A,A,F,F,F,F L,F,F,F,F L,F,F,F,F,F,F,F,F,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      26,          0.416667,A,A,A,F L,F L,F,F,F L,F L,F,F,F,F,F,F L,F L,F,F,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      27,          0.433333,A,A,A,F,F L,F,F,F,F,F,F L,F,F L,F,F L,F L,F L,F,F L,F,F L,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      28,          0.450000,A,J,A,F,F L,F,F L,F L,F,F,F L,F,F,F,F,F L,F L,F,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      29,          0.466667,A,D,A,F,F L,F,F,F L,F,F,F,F,F,F,F,F,F L,F,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,D,D,D,D,D,R,R,R
      30,          0.483333,A,D,A,F,F,F,F L,F L,F,F,F,F,F,F,F,F,F,F L,F L,F,F,F,D,R,R,R,R,R,R,R,D,D,D,R,D,D,D,D,R,R,R
      31,          0.500000,A,D,A,F,F,F,F L,F L,F L,F,F,F,F,F,F,F,F,F,F L,F,F,F,D,R,R,R,R,R,R,R,R,D,D,R,D,D,D,D,R,R,R
      32,          0.516667,A,D,A,F,F,F,F,F L,F,F,F,F,F,F,F L,F,F,F,F,F,F,F,D,R,R,R,R,R,R,R,R,D,D,R,D,D,D,D,R,R,R
      33,          0.533333,A,D,A,F,F,F,F,F L,F,F,F,F,F,F,F L,F,F,F,F L,F,F L,F,R,R,R,R,R,R,R,R,R,D,D,R,R,D,D,D,R,R,R
      34,          0.550000,A,D,A,F,F,F,F,F L,F,F,F,F,F,F,F,F L,F,F L,F L,F,F,F,R,R,R,R,R,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      35,          0.566667,B,D,A,F,F L,F,F,F,F,F,F,F,F,F,F,F,F L,F L,F,F,F,F,R,R,R,R,R,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      36,          0.583333,L,D,A,F,F,F,F,F,F,F,F,F,F,F L,F,F L,F,F,F,F,F,F,R,R,R,R,R,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      37,          0.600000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,D,R,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      38,          0.616667,L,F,A,F,F L,F,F,F L,F,F,F,F,F,F,F,F,F L,F L,F,F,F,F,R,R,R,D,D,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      39,          0.633333,L,F,A,F,F,F,F,F,F,F,F,F,F,F L,F,F,F,F,F,F,F,F,R,R,R,D,D,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      40,          0.650000,L,F,A,F,F,F L,F,F,F,F,F,F,F,F,F L,F L,F,F,F,F,F,F,R,R,R,D,D,R,R,R,R,D,D,R,R,D,D,R,R,R,R
      41,          0.666667,L,F,A,F,F,F L,F,F,F,F,F,F,F,F,F L,F,F L,F,F,F,F L,F,R,R,R,D,D,D,R,R,R,D,D,R,R,D,D,R,R,R,R
      42,          0.683333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,R,R,R,D,D,D,R,R,R,D,D,R,R,D,D,R,R,R,R
      43,          0.700000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,D,R,D,D,D,D,R,R,R,D,D,R,R,D,D,R,R,R,R
      44,          0.716667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,D,R,D,D,D,D,D,R,R,D,D,R,R,D,D,R,R,R,R
      45,          0.733333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,D,R,D,D,D,D,D,R,R,D,D,R,R,D,D,R,R,R,R
      46,          0.750000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,R,D,D,D,D,D,R,R,D,D,R,R,D,D,R,R,R,R
      47,          0.766667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,D,R,D,D,D,D,D,R,R,D,D,D,R,D,D,R,R,R,R
      48,          0.783333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,F,D,D,D,D,D,D,D,R,R,D,D,D,R,D,D,R,R,R,R
      49,          0.800000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,R,R,R,R
      50,          0.816667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F L,F,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,R,R,R,R
      51,          0.833333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,R,R,R,R
      52,          0.850000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,R,D,R,R,R,R,D
      53,          0.866667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,R,R,R,D
      54,          0.883333,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,R,R,R,D
      55,          0.900000,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,R,D,D,R,R,R,D
      56,          0.916667,L,F,A,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,D,D,D,D,D,D,D,D,R,D,D,D,D,R,D,R,R,D,D
