"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time(h)","V FC01.1_R [EG02_014]","V FC01.2_R [EG02_014]","V FC04.1_C [EG02_014]","V Pipe0 [EG02_014]","V Pipe1 [EG02_014]","V Pipe10 [EG02_014]","V Pipe11 [EG02_014]","V Pipe12 [EG02_014]","V Pipe13 [EG02_014]","V Pipe14 [EG02_014]","V Pipe15 [EG02_014]","V Pipe16 [EG02_014]","V Pipe17 [EG02_014]","V Pipe19 [EG02_014]","V Pipe2 [EG02_014]","V Pipe3 [EG02_014]","V Pipe4 [EG02_014]","V Pipe5 [EG02_014]","V Pipe6 [EG02_014]","V Pipe7 [EG02_014]","V Pipe8 [EG02_014]","V Pipe9 [EG02_014]","V Pit1 [EG02_014]","V Pit10 [EG02_014]","V Pit11 [EG02_014]","V Pit12 [EG02_014]","V Pit13 [EG02_014]","V Pit14 [EG02_014]","V Pit15 [EG02_014]","V Pit16 [EG02_014]","V Pit17 [EG02_014]","V Pit18 [EG02_014]","V Pit19 [EG02_014]","V Pit2 [EG02_014]","V Pit3 [EG02_014]","V Pit4 [EG02_014]","V Pit5 [EG02_014]","V Pit6 [EG02_014]","V Pit7 [EG02_014]","V Pit8 [EG02_014]","V Pit9 [EG02_014]"
       1,          0.000000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000,    0.272,    0.256,    0.123,    0.106,    0.181,    0.241,    0.141,    0.203,    0.196,    0.198,    0.198,    0.240,    0.191,    0.158,    0.141,    0.120,    0.223,    0.243,    0.142,    0.000,    0.129,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000,    0.358,    0.354,    0.208,    0.284,    0.244,    0.282,    0.245,    0.277,    0.263,    0.267,    0.273,    0.327,    0.283,    0.244,    0.264,    0.267,    0.293,    0.306,    0.306,    0.223,    0.725,    0.000,    0.000,    0.000,    0.186,    0.000,    0.000,    0.725,    0.186,    0.000,    0.725,    0.000,    0.000,    0.725,    0.000,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000,    0.399,    0.421,    0.336,    0.326,    0.294,    0.406,    0.391,    0.334,    0.188,    0.335,    0.341,    0.405,    0.341,    0.304,    0.271,    0.303,    0.318,    0.359,    0.371,    0.000,    0.966,    0.725,    0.186,    0.155,    0.186,    0.223,    0.725,    0.186,    0.725,    0.000,    0.242,    0.000,    0.000,    0.000,    0.725,    0.725,    0.000,    0.000
       5,          0.066667,    0.000,    0.210,    0.000,    0.442,    0.465,    0.401,    0.333,    0.358,    0.486,    0.509,    0.387,    0.383,    0.440,    0.420,    0.452,    0.396,    0.359,    0.340,    0.350,    0.355,    0.395,    0.450,    0.725,    0.966,    0.966,    0.725,    0.725,    0.000,    0.725,    0.000,    0.186,    0.186,    0.725,    0.242,    0.000,    0.000,    0.966,    0.966,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.243,    0.000,    0.455,    0.556,    0.482,    0.121,    0.422,    0.541,    0.564,    0.427,    0.362,    0.531,    0.486,    0.485,    0.437,    0.410,    0.435,    0.392,    0.391,    0.434,    0.531,    0.725,    0.966,    0.966,    0.186,    0.966,    0.186,    0.223,    0.000,    0.186,    0.186,    0.725,    0.966,    0.000,    0.000,    0.966,    0.966,    0.725,    0.000,    0.725
       7,          0.100000,    0.000,    0.284,    0.000,    0.448,    0.580,    0.581,    0.194,    0.487,    0.604,    0.629,    0.479,    0.488,    0.612,    0.625,    0.517,    0.477,    0.465,    0.514,    0.452,    0.435,    0.498,    0.571,    0.000,    0.966,    0.966,    0.186,    0.966,    0.186,    0.000,    0.725,    0.725,    0.966,    0.725,    0.966,    0.000,    0.725,    0.966,    0.966,    0.725,    0.000,    0.725
       8,          0.116667,    0.000,    0.323,    0.000,    0.469,    0.617,    0.594,    0.183,    0.560,    0.686,    0.704,    0.563,    0.665,    0.704,    0.631,    0.545,    0.500,    0.517,    0.571,    0.522,    0.496,    0.546,    0.624,    0.000,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.000,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.725,    0.725,    0.223
       9,          0.133333,    0.000,    0.365,    0.000,    0.516,    0.665,    0.650,    0.287,    0.621,    0.771,    0.786,    0.648,    0.765,    0.791,    0.688,    0.557,    0.532,    0.564,    0.644,    0.600,    0.543,    0.603,    0.673,    0.725,    0.966,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.725,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.000,    0.186,    0.725
      10,          0.150000,    0.000,    0.397,    0.000,    0.540,    0.725,    0.705,    0.338,    0.685,    0.866,    0.886,    0.737,    0.872,    0.887,    0.759,    0.588,    0.557,    0.612,    0.713,    0.677,    0.582,    0.655,    0.724,    0.000,    0.956,    0.966,    0.966,    0.966,    0.966,    0.000,    0.000,    0.725,    0.966,    0.966,    0.966,    0.000,    0.966,    0.966,    0.966,    0.129,    0.725,    0.966
