"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","ID (Lowest)","Q Below","Q Above","Q Total","A Below","A Above","A Total","V Below","V Above","V Combined","h U/S","h D/S","dh","Time"
       1,"Pipe7",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     3.000
       2,"Pipe6",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     2.999
       3,"Pipe5",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     3.000
       4,"Pipe19",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     3.000
       5,"Pipe3",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     3.000
       6,"Pipe2",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     2.999
       7,"Pipe1",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     2.999
       8,"Pipe0",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     2.999
       9,"Pipe17",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     3.000
      10,"Pipe16",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.579,     0.001,     3.000
      11,"Pipe15",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     2.999
      12,"Pipe14",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     2.999
      13,"Pipe13",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     2.999
      14,"Pipe12",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     3.000
      15,"Pipe11",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     3.000
      16,"Pipe10",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,    -0.000,     3.000
      17,"Pipe9",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     3.000
      18,"Pipe8",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     2.998
      19,"Pipe4",             0.0,             0.0,             0.0,             0.0,             0.0,             0.0,     0.000,     0.000,     0.000,    43.580,    43.580,     0.000,     2.998
      20,"FC04.1_C",             0.6,             0.0,             0.6,             0.5,             0.0,             0.5,     1.152,     0.000,     1.152,    43.668,    42.988,     0.680,     0.681
      21,"FC01.2_R",            71.0,             0.0,            71.0,            14.4,             0.0,            14.4,     4.930,     0.000,     4.930,    42.785,    40.778,     2.008,     1.247
      22,"FC01.1_R",            47.5,             0.0,            47.5,             5.8,             0.0,             5.8,     8.141,     0.000,     8.141,    49.858,    47.396,     2.462,     0.950
