"EG02_013 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_013.tcf]","ID","Hmax","Time Hmax","dHmax","Time dHmax","Q"
     1,"RL_01",     42.4817,          1.2814,100038.01562,          0.3663,      -99999.000
     2,"RL_02",     42.3960,          1.3053,     0.00092,          0.7662,      -99999.000
