"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time (h)","SQ Pipe7 [EG02_014]","SQ Pipe6 [EG02_014]","SQ Pipe5 [EG02_014]","SQ Pipe19 [EG02_014]","SQ Pipe3 [EG02_014]","SQ Pipe2 [EG02_014]","SQ Pipe1 [EG02_014]","SQ Pipe0 [EG02_014]","SQ Pipe17 [EG02_014]","SQ Pipe16 [EG02_014]","SQ Pipe15 [EG02_014]","SQ Pipe14 [EG02_014]","SQ Pipe13 [EG02_014]","SQ Pipe12 [EG02_014]","SQ Pipe11 [EG02_014]","SQ Pipe10 [EG02_014]","SQ Pipe9 [EG02_014]","SQ Pipe8 [EG02_014]","SQ Pipe4 [EG02_014]","SQ FC04.1_C [EG02_014]","SQ FC01.2_R [EG02_014]","SQ FC01.1_R [EG02_014]"
       1,          0.000000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0002,      0.0001,      0.0001,      0.0002,      0.0002,      0.0003,      0.0004,      0.0005,      0.0002,      0.0002,      0.0002,      0.0001,      0.0003,      0.0002,      0.0002,      0.0001,      0.0001,      0.0003,      0.0002,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0007,      0.0004,      0.0004,      0.0005,      0.0006,      0.0012,      0.0017,      0.0018,      0.0005,      0.0005,      0.0005,      0.0006,      0.0010,      0.0003,      0.0006,      0.0003,      0.0009,      0.0009,      0.0003,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0010,      0.0008,      0.0009,      0.0014,      0.0014,      0.0031,      0.0037,      0.0029,      0.0013,      0.0006,      0.0013,      0.0026,      0.0033,      0.0007,      0.0011,      0.0013,      0.0022,      0.0018,      0.0008,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0017,      0.0016,      0.0019,      0.0036,      0.0028,      0.0050,      0.0057,      0.0046,      0.0045,      0.0028,      0.0025,      0.0065,      0.0069,      0.0018,      0.0019,      0.0030,      0.0049,      0.0027,      0.0018,      0.0000,      0.0102,      0.0000
       6,          0.083333,      0.0026,      0.0027,      0.0043,      0.0070,      0.0043,      0.0069,      0.0101,      0.0052,      0.0102,      0.0050,      0.0039,      0.0133,      0.0111,      0.0037,      0.0032,      0.0054,      0.0083,      0.0042,      0.0032,      0.0000,      0.0158,      0.0000
       7,          0.100000,      0.0043,      0.0050,      0.0077,      0.0116,      0.0064,      0.0091,      0.0150,      0.0048,      0.0187,      0.0137,      0.0065,      0.0209,      0.0178,      0.0070,      0.0073,      0.0101,      0.0140,      0.0077,      0.0057,      0.0000,      0.0253,      0.0000
       8,          0.116667,      0.0076,      0.0095,      0.0140,      0.0212,      0.0079,      0.0115,      0.0194,      0.0059,      0.0332,      0.0311,      0.0132,      0.0331,      0.0300,      0.0129,      0.0102,      0.0166,      0.0202,      0.0115,      0.0091,      0.0000,      0.0373,      0.0000
       9,          0.133333,      0.0112,      0.0172,      0.0232,      0.0302,      0.0103,      0.0126,      0.0263,      0.0091,      0.0521,      0.0562,      0.0237,      0.0507,      0.0471,      0.0199,      0.0220,      0.0241,      0.0276,      0.0176,      0.0133,      0.0000,      0.0535,      0.0000
      10,          0.150000,      0.0151,      0.0283,      0.0349,      0.0445,      0.0126,      0.0158,      0.0373,      0.0110,      0.0791,      0.0957,      0.0397,      0.0786,      0.0725,      0.0297,      0.0352,      0.0333,      0.0370,      0.0248,      0.0187,      0.0000,      0.0690,      0.0000
      11,          0.166667,      0.0191,      0.0434,      0.0510,      0.0610,      0.0166,      0.0203,      0.0466,      0.0114,      0.1190,      0.0857,      0.0585,      0.1127,      0.1017,      0.0411,      0.0518,      0.0452,      0.0493,      0.0320,      0.0254,      0.0000,      0.0825,      0.0000
      12,          0.183333,      0.0245,      0.0625,      0.0700,      0.0799,      0.0221,      0.0266,      0.0559,      0.0152,      0.1632,      0.1058,      0.0807,      0.1505,      0.1332,      0.0569,      0.0724,      0.0608,      0.0658,      0.0416,      0.0349,      0.0000,      0.1044,      0.0000
