"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","Time (h)","H RL_01 [EG02_014]","H RL_02 [EG02_014]"
       1,          0.000000, -99999.0000,     41.4668
       2,          0.016667,     42.8359,     41.4830
       3,          0.033333,     42.8386,     41.5015
       4,          0.050000,     42.8402,     41.5182
       5,          0.066667,     42.8421,     41.5334
       6,          0.083333,     42.8444,     41.5573
       7,          0.100000,     42.8473,     41.5737
       8,          0.116667,     42.8502,     41.5891
       9,          0.133333,     42.8533,     41.6103
      10,          0.150000,     42.8569,     41.6389
      11,          0.166667,     42.8592,     41.6602
      12,          0.183333,     42.8609,     41.6796
      13,          0.200000,     42.8621,     41.7017
      14,          0.216667,     42.8631,     41.7261
      15,          0.233333,     42.8639,     41.9509
      16,          0.250000,     42.8693,     43.0933
      17,          0.266667,     42.9006,     43.2352
      18,          0.283333,     42.9165,     43.2454
      19,          0.300000,     42.9444,     43.2589
      20,          0.316667,     42.9777,     43.2690
      21,          0.333333,     43.0078,     43.2730
      22,          0.350000,     43.0391,     43.2793
      23,          0.366667,     43.0703,     43.2895
      24,          0.383333,     43.0981,     43.2897
      25,          0.400000,     43.1255,     43.2944
      26,          0.416667,     43.1512,     43.2984
      27,          0.433333,     43.1742,     43.3022
      28,          0.450000,     43.1956,     43.3059
      29,          0.466667,     43.2147,     43.3096
      30,          0.483333,     43.2330,     43.3129
      31,          0.500000,     43.2501,     43.3151
      32,          0.516667,     43.2657,     43.3183
      33,          0.533333,     43.2809,     43.3218
      34,          0.550000,     43.2947,     43.3251
      35,          0.566667,     43.3082,     43.3294
      36,          0.583333,     43.3205,     43.3353
      37,          0.600000,     43.3323,     43.3426
      38,          0.616667,     43.3432,     43.3501
      39,          0.633333,     43.3534,     43.3581
      40,          0.650000,     43.3630,     43.3664
      41,          0.666667,     43.3721,     43.3744
      42,          0.683333,     43.3805,     43.3822
      43,          0.700000,     43.3884,     43.3898
      44,          0.716667,     43.3962,     43.3972
      45,          0.733333,     43.4034,     43.4044
      46,          0.750000,     43.4105,     43.4110
      47,          0.766667,     43.4171,     43.4176
      48,          0.783333,     43.4234,     43.4239
      49,          0.800000,     43.4296,     43.4302
      50,          0.816667,     43.4354,     43.4359
      51,          0.833333,     43.4411,     43.4415
      52,          0.850000,     43.4463,     43.4466
      53,          0.866667,     43.4514,     43.4515
      54,          0.883333,     43.4562,     43.4563
      55,          0.900000,     43.4608,     43.4611
      56,          0.916667,     43.4654,     43.4657
      57,          0.933333,     43.4696,     43.4697
      58,          0.950000,     43.4736,     43.4736
      59,          0.966667,     43.4774,     43.4774
      60,          0.983333,     43.4810,     43.4812
      61,          1.000000,     43.4845,     43.4847
      62,          1.016667,     43.4879,     43.4878
      63,          1.033333,     43.4910,     43.4909
      64,          1.050000,     43.4939,     43.4939
      65,          1.066667,     43.4968,     43.4969
      66,          1.083333,     43.4995,     43.4996
      67,          1.100000,     43.5022,     43.5022
      68,          1.116667,     43.5047,     43.5047
      69,          1.133333,     43.5071,     43.5072
      70,          1.150000,     43.5094,     43.5095
      71,          1.166667,     43.5117,     43.5117
      72,          1.183333,     43.5139,     43.5138
      73,          1.200000,     43.5159,     43.5159
      74,          1.216667,     43.5178,     43.5178
      75,          1.233333,     43.5196,     43.5197
      76,          1.250000,     43.5215,     43.5215
      77,          1.266667,     43.5233,     43.5232
      78,          1.283333,     43.5250,     43.5249
      79,          1.300000,     43.5265,     43.5265
      80,          1.316667,     43.5281,     43.5281
      81,          1.333333,     43.5297,     43.5297
      82,          1.350000,     43.5311,     43.5311
      83,          1.366667,     43.5325,     43.5325
      84,          1.383333,     43.5339,     43.5340
      85,          1.400000,     43.5353,     43.5353
      86,          1.416667,     43.5366,     43.5366
      87,          1.433333,     43.5379,     43.5379
      88,          1.450000,     43.5391,     43.5391
      89,          1.466667,     43.5404,     43.5405
      90,          1.483333,     43.5416,     43.5415
      91,          1.500000,     43.5427,     43.5427
      92,          1.516667,     43.5439,     43.5439
      93,          1.533333,     43.5450,     43.5450
      94,          1.550000,     43.5461,     43.5461
      95,          1.566667,     43.5472,     43.5471
      96,          1.583333,     43.5482,     43.5483
      97,          1.600000,     43.5492,     43.5492
      98,          1.616667,     43.5502,     43.5502
      99,          1.633333,     43.5511,     43.5511
     100,          1.650000,     43.5520,     43.5521
     101,          1.666667,     43.5530,     43.5529
     102,          1.683333,     43.5538,     43.5538
     103,          1.700000,     43.5547,     43.5546
