"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","ID","Hmax","Time Hmax","dHmax","Time dHmax","Q"
     1,"RL_01",     43.5799,          3.0000,     0.00211,          0.2510,      -99999.000
     2,"RL_02",     43.5799,          2.9991,100040.46875,          0.0002,      -99999.000
