"EG02_013 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_013.tcf]","Time (h)","Vol RL_06 [EG02_013]"
       1,          0.000000,           2.465
       2,          0.016667,           2.465
       3,          0.033333,           2.465
       4,          0.050000,           2.465
       5,          0.066667,           2.465
       6,          0.083333,           2.465
       7,          0.100000,           2.465
       8,          0.116667,           2.465
       9,          0.133333,           2.465
      10,          0.150000,           2.465
      11,          0.166667,           2.465
      12,          0.183333,           2.465
      13,          0.200000,           2.465
      14,          0.216667,           2.465
      15,          0.233333,           2.465
      16,          0.250000,           2.465
      17,          0.266667,           2.465
      18,          0.283333,           2.465
      19,          0.300000,           2.465
      20,          0.316667,           2.465
      21,          0.333333,           2.465
      22,          0.350000,           2.465
      23,          0.366667,           2.466
      24,          0.383333,           3.052
      25,          0.400000,          28.430
      26,          0.416667,         118.417
      27,          0.433333,         203.247
      28,          0.450000,         259.564
      29,          0.466667,         311.351
      30,          0.483333,         358.932
      31,          0.500000,         404.325
      32,          0.516667,         448.768
      33,          0.533333,         493.805
      34,          0.550000,         540.289
      35,          0.566667,         589.670
      36,          0.583333,         645.741
      37,          0.600000,         728.027
      38,          0.616667,         853.822
      39,          0.633333,        1005.609
      40,          0.650000,        1308.060
      41,          0.666667,        1788.945
      42,          0.683333,        2282.938
      43,          0.700000,        2730.562
      44,          0.716667,        3123.834
      45,          0.733333,        3446.592
      46,          0.750000,        3718.447
      47,          0.766667,        4030.575
      48,          0.783333,        4371.816
      49,          0.800000,        4829.430
      50,          0.816667,        5355.050
      51,          0.833333,        5867.133
      52,          0.850000,        6297.359
      53,          0.866667,        6630.844
      54,          0.883333,        6875.185
      55,          0.900000,        7057.646
      56,          0.916667,        7196.262
      57,          0.933333,        7306.887
      58,          0.950000,        7402.318
      59,          0.966667,        7490.720
      60,          0.983333,        7573.419
      61,          1.000000,        7656.777
      62,          1.016667,        7739.684
      63,          1.033333,        7825.341
      64,          1.050000,        7914.217
      65,          1.066667,        8005.437
      66,          1.083333,        8097.634
      67,          1.100000,        8189.950
      68,          1.116667,        8281.600
      69,          1.133333,        8372.012
      70,          1.150000,        8457.614
      71,          1.166667,        8533.823
      72,          1.183333,        8601.054
      73,          1.200000,        8656.238
      74,          1.216667,        8702.852
      75,          1.233333,        8738.658
      76,          1.250000,        8762.869
      77,          1.266667,        8773.318
      78,          1.283333,        8769.920
      79,          1.300000,        8752.333
      80,          1.316667,        8715.943
      81,          1.333333,        8660.940
      82,          1.350000,        8587.275
      83,          1.366667,        8501.812
      84,          1.383333,        8391.046
      85,          1.400000,        8259.776
      86,          1.416667,        8112.364
      87,          1.433333,        7948.435
      88,          1.450000,        7766.908
      89,          1.466667,        7548.409
      90,          1.483333,        7306.078
      91,          1.500000,        7061.232
      92,          1.516667,        6818.110
      93,          1.533333,        6578.543
      94,          1.550000,        6346.858
      95,          1.566667,        6127.287
      96,          1.583333,        5921.703
      97,          1.600000,        5731.309
      98,          1.616667,        5545.066
      99,          1.633333,        5367.352
     100,          1.650000,        5197.723
     101,          1.666667,        5032.108
     102,          1.683333,        4873.822
     103,          1.700000,        4721.317
     104,          1.716667,        4569.878
     105,          1.733333,        4422.197
     106,          1.750000,        4275.050
     107,          1.766667,        4125.840
     108,          1.783333,        3973.927
     109,          1.800000,        3817.422
     110,          1.816667,        3646.906
     111,          1.833333,        3421.429
     112,          1.850000,        3203.457
     113,          1.866667,        2984.982
     114,          1.883333,        2768.538
     115,          1.900000,        2561.116
     116,          1.916667,        2363.409
     117,          1.933333,        2187.902
     118,          1.950000,        2029.937
     119,          1.966667,        1892.640
     120,          1.983333,        1772.227
     121,          2.000000,        1668.804
     122,          2.016667,        1577.761
     123,          2.033334,        1499.102
     124,          2.050000,        1429.195
     125,          2.066667,        1368.093
     126,          2.083333,        1313.189
     127,          2.100000,        1264.085
     128,          2.116667,        1219.382
     129,          2.133333,        1177.352
     130,          2.150000,        1138.147
     131,          2.166667,        1100.832
     132,          2.183333,        1064.279
     133,          2.200000,        1027.702
     134,          2.216667,         991.326
     135,          2.233333,         954.953
     136,          2.250000,         919.080
     137,          2.266667,         884.289
     138,          2.283334,         852.199
     139,          2.300000,         822.933
     140,          2.316667,         796.509
     141,          2.333333,         773.401
     142,          2.350000,         752.906
     143,          2.366667,         734.880
     144,          2.383333,         719.230
     145,          2.400000,         705.402
     146,          2.416667,         693.399
     147,          2.433333,         683.250
     148,          2.450000,         673.987
     149,          2.466667,         665.119
     150,          2.483333,         656.588
     151,          2.500000,         648.504
     152,          2.516667,         640.709
     153,          2.533334,         633.096
     154,          2.550000,         625.476
     155,          2.566667,         617.827
     156,          2.583333,         610.151
     157,          2.600000,         602.334
     158,          2.616667,         594.346
     159,          2.633333,         586.157
     160,          2.650000,         577.697
     161,          2.666667,         569.139
     162,          2.683333,         560.458
     163,          2.700000,         551.807
     164,          2.716667,         543.196
     165,          2.733334,         534.941
     166,          2.750000,         526.917
     167,          2.766667,         519.110
     168,          2.783334,         511.388
     169,          2.800000,         503.741
     170,          2.816667,         496.037
     171,          2.833333,         488.246
     172,          2.850000,         480.201
     173,          2.866667,         471.941
     174,          2.883333,         463.410
     175,          2.900000,         454.628
     176,          2.916667,         445.634
     177,          2.933333,         436.397
     178,          2.950000,         426.972
     179,          2.966667,         417.350
     180,          2.983334,         407.746
     181,          3.000000,         398.077
