"EG02_013 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_013.tcf]","Time (h)","Q RL_03 [EG02_013]","Q RL_04 [EG02_013]","Q RL_05 [EG02_013]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000
      14,          0.216667,           0.000,           0.000,           0.000
      15,          0.233333,           0.000,           0.000,           0.000
      16,          0.250000,           0.000,           0.000,           0.000
      17,          0.266667,           0.000,           0.000,           0.000
      18,          0.283333,           0.000,           0.000,           0.000
      19,          0.300000,           0.000,           0.000,           0.000
      20,          0.316667,           0.000,           0.000,           0.000
      21,          0.333333,           0.000,           0.000,           0.000
      22,          0.350000,           0.000,           0.000,           0.000
      23,          0.366667,           0.000,           0.000,           0.000
      24,          0.383333,           0.000,           0.000,           0.000
      25,          0.400000,           0.077,           0.000,           0.000
      26,          0.416667,           0.810,           0.000,           0.000
      27,          0.433333,           2.409,           0.000,           0.000
      28,          0.450000,           3.352,           0.000,           0.000
      29,          0.466667,           4.171,           0.193,           0.000
      30,          0.483333,           5.043,           2.013,           0.000
      31,          0.500000,           5.984,           3.723,           0.000
      32,          0.516667,           6.991,           4.910,           0.000
      33,          0.533333,           8.082,           5.986,           0.000
      34,          0.550000,           9.320,           7.076,           0.000
      35,          0.566667,          10.732,           8.194,           0.000
      36,          0.583333,          12.435,           9.433,           0.000
      37,          0.600000,          14.386,          11.132,           0.000
      38,          0.616667,          16.682,          12.963,           3.728
      39,          0.633333,          19.201,          14.925,           8.736
      40,          0.650000,          23.637,          16.971,          11.658
      41,          0.666667,          29.782,          19.769,          13.696
      42,          0.683333,          36.430,          23.092,          15.138
      43,          0.700000,          41.463,          26.515,          16.241
      44,          0.716667,          45.379,          30.000,          17.291
      45,          0.733333,          48.275,          33.188,          18.297
      46,          0.750000,          50.819,          35.886,          19.726
      47,          0.766667,          54.561,          38.509,          23.140
      48,          0.783333,          58.977,          41.331,          28.171
      49,          0.800000,          65.482,          44.532,          33.257
      50,          0.816667,          72.833,          48.552,          37.294
      51,          0.833333,          79.594,          52.570,          40.130
      52,          0.850000,          84.825,          55.033,          42.055
      53,          0.866667,          88.882,          57.750,          43.384
      54,          0.883333,          91.884,          60.323,          44.322
      55,          0.900000,          94.020,          62.612,          44.958
      56,          0.916667,          95.361,          64.546,          45.361
      57,          0.933333,          96.150,          66.120,          45.637
      58,          0.950000,          96.574,          67.427,          45.842
      59,          0.966667,          96.812,          68.526,          45.995
      60,          0.983333,          96.787,          69.467,          46.085
      61,          1.000000,          96.738,          70.291,          46.116
      62,          1.016667,          96.481,          71.005,          46.107
      63,          1.033333,          96.193,          71.625,          46.077
      64,          1.050000,          95.833,          72.174,          45.999
      65,          1.066667,          95.416,          72.666,          45.851
      66,          1.083333,          94.918,          73.109,          45.636
      67,          1.100000,          94.340,          73.507,          45.372
      68,          1.116667,          93.719,          73.868,          45.078
      69,          1.133333,          93.045,          74.192,          44.650
      70,          1.150000,          92.267,          74.485,          44.086
      71,          1.166667,          91.297,          74.745,          43.399
      72,          1.183333,          90.192,          74.975,          42.614
      73,          1.200000,          89.040,          75.175,          41.843
      74,          1.216667,          87.887,          75.343,          41.066
      75,          1.233333,          86.758,          75.485,          40.250
      76,          1.250000,          85.564,          75.600,          39.351
      77,          1.266667,          84.313,          75.689,          38.418
      78,          1.283333,          83.089,          75.754,          37.515
      79,          1.300000,          81.855,          75.794,          36.507
      80,          1.316667,          80.512,          75.810,          35.417
      81,          1.333333,          79.117,          75.800,          34.339
      82,          1.350000,          77.674,          75.764,          33.414
      83,          1.366667,          76.412,          75.702,          32.324
      84,          1.383333,          74.870,          75.613,          31.005
      85,          1.400000,          73.339,          75.498,          29.735
      86,          1.416667,          71.840,          75.351,          28.565
      87,          1.433333,          70.400,          75.175,          27.442
      88,          1.450000,          68.896,          74.971,          25.664
      89,          1.466667,          66.811,          74.729,          23.853
      90,          1.483333,          64.735,          74.441,          22.612
      91,          1.500000,          63.074,          74.104,          21.642
      92,          1.516667,          61.754,          73.724,          20.817
      93,          1.533333,          60.640,          73.301,          20.122
      94,          1.550000,          59.761,          72.836,          19.607
      95,          1.566667,          59.080,          72.329,          19.231
      96,          1.583333,          58.564,          71.778,          18.896
      97,          1.600000,          58.144,          71.182,          18.554
      98,          1.616667,          57.558,          70.537,          18.167
      99,          1.633333,          56.984,          69.821,          17.744
     100,          1.650000,          56.383,          69.052,          17.281
     101,          1.666667,          55.627,          68.201,          16.772
     102,          1.683333,          54.917,          67.257,          16.216
     103,          1.700000,          54.250,          66.210,          15.635
     104,          1.716667,          53.393,          65.029,          15.004
     105,          1.733333,          52.485,          63.676,          14.301
     106,          1.750000,          51.528,          62.103,          13.491
     107,          1.766667,          50.513,          60.295,          12.568
     108,          1.783333,          49.361,          58.219,          11.464
     109,          1.800000,          47.937,          55.805,          10.084
     110,          1.816667,          46.251,          48.585,           8.550
     111,          1.833333,          43.674,          44.637,           7.026
     112,          1.850000,          41.420,          42.058,           5.581
     113,          1.866667,          39.195,          39.661,           4.348
     114,          1.883333,          37.047,          37.478,           3.370
     115,          1.900000,          35.072,          35.370,           2.586
     116,          1.916667,          33.154,          33.357,           1.963
     117,          1.933333,          31.496,          31.460,           1.474
     118,          1.950000,          29.940,          29.735,           1.109
     119,          1.966667,          28.532,          28.198,           0.840
     120,          1.983333,          27.211,          26.835,           0.635
     121,          2.000000,          26.081,          25.636,           0.470
     122,          2.016667,          25.036,          24.587,           0.349
     123,          2.033334,          24.148,          23.669,           0.257
     124,          2.050000,          23.331,          22.866,           0.190
     125,          2.066667,          22.609,          22.144,           0.141
     126,          2.083333,          21.947,          21.516,           0.107
     127,          2.100000,          21.338,          20.952,           0.082
     128,          2.116667,          20.764,          20.331,           0.062
     129,          2.133333,          20.203,          19.934,           0.050
     130,          2.150000,          19.649,          19.473,           0.041
     131,          2.166667,          19.100,          19.019,           0.033
     132,          2.183333,          18.545,          18.592,           0.028
     133,          2.200000,          17.980,          18.142,           0.023
     134,          2.216667,          17.425,          17.699,           0.020
     135,          2.233333,          16.863,          17.261,           0.017
     136,          2.250000,          16.296,          16.812,           0.015
     137,          2.266667,          15.740,          16.337,           0.013
     138,          2.283334,          15.223,          15.881,           0.012
     139,          2.300000,          14.746,          15.449,           0.010
     140,          2.316667,          14.313,          15.015,           0.009
     141,          2.333333,          13.920,          14.607,           0.008
     142,          2.350000,          13.566,          14.212,           0.007
     143,          2.366667,          13.239,          13.841,           0.007
     144,          2.383333,          12.935,          13.503,           0.006
     145,          2.400000,          12.639,          13.181,           0.006
     146,          2.416667,          12.360,          12.886,           0.005
     147,          2.433333,          12.092,          12.597,           0.005
     148,          2.450000,          11.837,          12.323,           0.004
     149,          2.466667,          11.595,          12.064,           0.004
     150,          2.483333,          11.368,          11.817,           0.004
     151,          2.500000,          11.151,          11.572,           0.003
     152,          2.516667,          10.943,          11.360,           0.003
     153,          2.533334,          10.735,          11.147,           0.003
     154,          2.550000,          10.526,          10.921,           0.003
     155,          2.566667,          10.310,          10.690,           0.003
     156,          2.583333,          10.092,          10.474,           0.002
     157,          2.600000,           9.870,          10.267,           0.002
     158,          2.616667,           9.646,          10.050,           0.002
     159,          2.633333,           9.422,           9.852,           0.002
     160,          2.650000,           9.195,           9.656,           0.002
     161,          2.666667,           8.971,           9.465,           0.002
     162,          2.683333,           8.748,           9.269,           0.002
     163,          2.700000,           8.534,           9.057,           0.002
     164,          2.716667,           8.320,           8.810,           0.002
     165,          2.733334,           8.114,           8.574,           0.001
     166,          2.750000,           7.912,           8.349,           0.001
     167,          2.766667,           7.720,           8.136,           0.001
     168,          2.783334,           7.530,           7.934,           0.001
     169,          2.800000,           7.342,           7.739,           0.001
     170,          2.816667,           7.153,           7.544,           0.001
     171,          2.833333,           6.961,           7.353,           0.001
     172,          2.850000,           6.766,           7.163,           0.001
     173,          2.866667,           6.567,           6.968,           0.001
     174,          2.883333,           6.364,           6.770,           0.001
     175,          2.900000,           6.157,           6.564,           0.001
     176,          2.916667,           5.947,           6.360,           0.001
     177,          2.933333,           5.734,           6.146,           0.001
     178,          2.950000,           5.523,           5.936,           0.001
     179,          2.966667,           5.309,           5.724,           0.001
     180,          2.983334,           5.100,           5.515,           0.001
     181,          3.000000,           4.890,           5.307,           0.001
