"EG02_014 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG02_014.tcf]","ID","Qmax","Time Qmax","dQmax","Time dQmax","H"
     1,"RL_03",           0.660,          1.2841,         -0.0412,          0.1956, -99999.0000
     2,"RL_04",          83.666,          1.2447,          8.0786,          0.5056, -99999.0000
     3,"RL_05",           0.848,          0.4169,         -0.0347,          0.2105, -99999.0000
