"EG05_018","Location","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf","Time","Loc1_L","Loc1_L","Loc3_L","Loc3_L","Loc2_L","Loc2_L","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P","Loc4_P","Loc4_P","Loc4_P","Loc4_P","Loc4_P"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG05\EG05_018_POMM.csv","Maximum (Extracted from Time Series)",          0.0003,          0.0000,          0.0006,          0.0000,          0.0001,          0.0000,         43.1775,         38.8351,         38.1013,          0.0262,          0.0923,         39.3402,         36.0184,         35.2869,          0.0471,          0.1156,         43.2686,         42.2619,         41.5446,          0.0060,          0.0887,         43.6047,         40.6102,         40.4115,          0.1986,          0.8000
"","Time of Maximum",          1.1500,          3.0000,          1.7000,          2.2000,          1.2000,          3.0000,          1.1667,          3.0000,          3.0000,          3.0000,          3.0000,          1.2333,          3.0000,          3.0000,          3.0000,          3.0000,          1.1667,          0.8333,          3.0000,          0.8333,          3.0000,          3.0000,        -23.1167,        -41.3500,        -23.1167,        -41.3500
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,         -0.0001,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
"","Time of Minimum",        -72.0000,        -72.0000,          1.0333,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -71.4500,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000,        -72.0000
