"EG05_016","Location","GW flow layer 1","GW flow layer 1","GW flow layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_016.tcf","Time","Loc1_L","Loc3_L","Loc2_L","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG05\EG05_016_PO.csv",        0.000000,  0.000    ,  0.000    ,  0.000    ,         38.8089,          0.0000,         35.9714,          0.0000,         42.2559,          0.0000
,        0.016667, 0.8703E-04, 0.8631E-04, 0.8131E-04,         38.8095,          0.0006,         35.9774,          0.0061,         42.2567,          0.0009
,        0.033333, 0.1773E-03, 0.1597E-03, 0.1632E-03,         38.8101,          0.0012,         35.9775,          0.0062,         42.2576,          0.0018
,        0.050000, 0.2720E-03, 0.2350E-03, 0.2471E-03,         38.8107,          0.0018,         35.9777,          0.0064,         42.2586,          0.0027
,        0.066667, 0.3694E-03, 0.3110E-03, 0.3319E-03,         38.8114,          0.0025,         35.9779,          0.0066,         42.2595,          0.0037
,        0.083333, 0.4683E-03, 0.3866E-03, 0.4167E-03,         38.8121,          0.0032,         35.9782,          0.0069,         42.2605,          0.0047
,        0.100000, 0.5976E-03, 0.4862E-03, 0.5288E-03,         38.8131,          0.0042,         35.9786,          0.0072,         42.2618,          0.0060
,        0.116667, 0.7171E-03, 0.5858E-03, 0.5986E-03,         38.8149,          0.0060,         35.9790,          0.0076,         42.2620,          0.0062
,        0.133333, 0.7234E-03, 0.6684E-03, 0.6026E-03,         38.8150,          0.0061,         35.9794,          0.0081,         42.2622,          0.0064
,        0.150000, 0.7213E-03, 0.6745E-03, 0.6048E-03,         38.8152,          0.0063,         35.9799,          0.0086,         42.2624,          0.0066
,        0.166667, 0.7090E-03, 0.6649E-03, 0.6070E-03,         38.8153,          0.0064,         35.9805,          0.0092,         42.2626,          0.0068
,        0.183333, 0.7179E-03, 0.6749E-03, 0.6092E-03,         38.8155,          0.0065,         35.9812,          0.0099,         42.2628,          0.0070
,        0.200000, 0.7263E-03, 0.6789E-03, 0.6114E-03,         38.8156,          0.0067,         35.9819,          0.0105,         42.2630,          0.0071
,        0.216667, 0.7340E-03, 0.6828E-03, 0.6136E-03,         38.8158,          0.0069,         35.9826,          0.0112,         42.2632,          0.0073
,        0.233333, 0.7412E-03, 0.6868E-03, 0.6158E-03,         38.8160,          0.0071,         35.9832,          0.0119,         42.2634,          0.0075
,        0.250000, 0.7482E-03, 0.6907E-03, 0.6180E-03,         38.8162,          0.0073,         35.9839,          0.0126,         42.2636,          0.0077
,        0.266667, 0.7546E-03, 0.6945E-03, 0.6202E-03,         38.8164,          0.0075,         35.9846,          0.0132,         42.2638,          0.0079
,        0.283333, 0.7606E-03, 0.6984E-03, 0.6224E-03,         38.8167,          0.0078,         35.9853,          0.0139,         42.2640,          0.0082
,        0.300000, 0.7662E-03, 0.7021E-03, 0.6245E-03,         38.8169,          0.0080,         35.9859,          0.0146,         42.2642,          0.0084
,        0.316667, 0.7715E-03, 0.7059E-03, 0.6267E-03,         38.8172,          0.0083,         35.9866,          0.0152,         42.2644,          0.0086
,        0.333333, 0.7765E-03, 0.7096E-03, 0.6289E-03,         38.8175,          0.0086,         35.9873,          0.0159,         42.2646,          0.0088
