"EG05_018","Location","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","Water Level","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_018.tcf","Time","Loc1_L","Loc1_L","Loc3_L","Loc3_L","Loc2_L","Loc2_L","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P","Loc4_P","Loc4_P","Loc4_P","Loc4_P","Loc4_P"
,      -71.750000,  0.000    ,  0.000    , 0.1136E-04, 0.1147E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2831,         35.9773,         35.1814,          0.0060,          0.0100,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.733330,  0.000    ,  0.000    , 0.1122E-04, 0.1223E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2770,         35.9773,         35.1820,          0.0060,          0.0107,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.716667,  0.000    ,  0.000    , 0.1105E-04, 0.1300E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2711,         35.9773,         35.1827,          0.0060,          0.0113,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.699997,  0.000    ,  0.000    , 0.1086E-04, 0.1376E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2647,         35.9773,         35.1834,          0.0060,          0.0120,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.683334,  0.000    ,  0.000    , 0.1071E-04, 0.1453E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2576,         35.9773,         35.1840,          0.0060,          0.0127,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.666664,  0.000    ,  0.000    , 0.1062E-04, 0.1530E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2497,         35.9773,         35.1847,          0.0060,          0.0133,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.650002,  0.000    ,  0.000    , 0.1010E-04, 0.1606E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2402,         35.9773,         35.1854,          0.0060,          0.0140,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.633331,  0.000    ,  0.000    , 0.9264E-05, 0.1683E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2273,         35.9773,         35.1860,          0.0060,          0.0147,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.616669,  0.000    ,  0.000    , 0.8439E-05, 0.1760E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2128,         35.9773,         35.1867,          0.0060,          0.0153,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.599998,  0.000    ,  0.000    , 0.7632E-05, 0.1836E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.2007,         35.9773,         35.1874,          0.0060,          0.0160,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.583336,  0.000    ,  0.000    , 0.6839E-05, 0.1913E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1927,         35.9773,         35.1880,          0.0060,          0.0167,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.566666,  0.000    ,  0.000    , 0.6060E-05, 0.1990E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1882,         35.9773,         35.1887,          0.0060,          0.0173,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.550003,  0.000    ,  0.000    , 0.5296E-05, 0.2066E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1858,         35.9773,         35.1894,          0.0060,          0.0180,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.533333,  0.000    ,  0.000    , 0.4544E-05, 0.2143E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1835,         35.9773,         35.1900,          0.0060,          0.0187,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.516670,  0.000    ,  0.000    , 0.3807E-05, 0.2219E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1814,         35.9773,         35.1907,          0.0060,          0.0193,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.500000,  0.000    ,  0.000    , 0.3083E-05, 0.2296E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1793,         35.9773,         35.1914,          0.0060,          0.0200,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.483330,  0.000    ,  0.000    , 0.2371E-05, 0.2373E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1774,         35.9773,         35.1920,          0.0060,          0.0207,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.466667,  0.000    ,  0.000    , 0.1672E-05, 0.2449E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1753,         35.9773,         35.1927,          0.0060,          0.0213,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.449997,  0.000    ,  0.000    , 0.8951E-06, 0.2526E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9773,         35.1934,          0.0060,          0.0220,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.433334,  0.000    ,  0.000    , 0.5793E-06, 0.2551E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9770,         35.1940,          0.0056,          0.0227,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.416664,  0.000    ,  0.000    , 0.5429E-06, 0.2535E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9766,         35.1947,          0.0053,          0.0233,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.400002,  0.000    ,  0.000    , 0.5070E-06, 0.2518E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9763,         35.1954,          0.0050,          0.0240,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.383331,  0.000    ,  0.000    , 0.4706E-06, 0.2501E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9760,         35.1960,          0.0046,          0.0247,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.366669,  0.000    ,  0.000    , 0.4341E-06, 0.2485E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9756,         35.1967,          0.0043,          0.0253,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
,      -71.349998,  0.000    ,  0.000    , 0.3980E-06, 0.2468E-07,  0.000    ,  0.000    ,         39.0108,         38.8089,         38.0089,          0.0000,          0.0000,         36.1733,         35.9753,         35.1974,          0.0040,          0.0260,         42.4578,         42.2559,         41.4559,  0.000    ,          0.0000,         40.6134,         40.4115,         39.6115,          0.0000,          0.0000
