"EG05_015","Location","GW flow layer 1","GW flow layer 1","GW flow layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_015.tcf","Time","Loc1_L","Loc3_L","Loc2_L","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG05\EG05_015_POMM.csv","Maximum (Extracted from Time Series)",          0.0000,          0.0000,          0.0000,         38.8184,          0.0094,         35.9810,          0.0096,         42.2653,          0.0095
"","Time of Maximum",          0.0000,          0.0000,          0.0000,          3.0000,          3.0000,          3.0000,          3.0000,          3.0000,          3.0000
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
"","Time of Minimum",          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
