"EG05_017","Location","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf","Time","Loc1_L","Loc1_L","Loc3_L","Loc3_L","Loc2_L","Loc2_L","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\results\EG05\EG05_017_POMM.csv","Maximum (Extracted from Time Series)",          0.0007,          0.0000,          0.0007,          0.0000,          0.0006,          0.0000,         38.8566,         38.8089,          0.0477,          0.1000,         36.0482,         35.9714,          0.0768,          0.1000,         42.2675,         42.2559,          0.0117,          0.1000
"","Time of Maximum",          0.1833,          3.0000,          1.3833,          3.0000,          0.8167,          3.0000,          3.0000,          2.5000,          3.0000,          2.5000,          3.0000,          2.4833,          3.0000,          2.4833,          3.0000,          2.5000,          3.0000,          2.5000
"","Minimum (Extracted From Time Series)",          0.0000,          0.0000,         -0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
"","Time of Minimum",          0.0000,          0.0000,          3.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
