"EG05_017","Location","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf","Time","Loc1_L","Loc1_L","Loc3_L","Loc3_L","Loc2_L","Loc2_L","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P"
,        0.350000, 0.6964E-03, 0.7921E-06, 0.6688E-03, 0.7654E-06, 0.5983E-03, 0.6985E-06,         38.8149,         38.7229,          0.0060,          0.0139,         35.9801,         35.8854,          0.0088,          0.0140,         42.2619,         42.1699,          0.0060,          0.0140
,        0.366667, 0.6976E-03, 0.8299E-06, 0.6702E-03, 0.8019E-06, 0.5983E-03, 0.7319E-06,         38.8149,         38.7235,          0.0060,          0.0146,         35.9805,         35.8860,          0.0091,          0.0147,         42.2619,         42.1705,          0.0060,          0.0147
,        0.383333, 0.6986E-03, 0.8676E-06, 0.6714E-03, 0.8384E-06, 0.5983E-03, 0.7651E-06,         38.8149,         38.7242,          0.0060,          0.0153,         35.9808,         35.8867,          0.0095,          0.0154,         42.2619,         42.1712,          0.0060,          0.0153
,        0.400000, 0.6996E-03, 0.9054E-06, 0.6728E-03, 0.8749E-06, 0.5984E-03, 0.7985E-06,         38.8149,         38.7249,          0.0060,          0.0159,         35.9812,         35.8874,          0.0098,          0.0160,         42.2619,         42.1719,          0.0060,          0.0160
,        0.416667, 0.7004E-03, 0.9432E-06, 0.6740E-03, 0.9114E-06, 0.5984E-03, 0.8317E-06,         38.8149,         38.7255,          0.0060,          0.0166,         35.9815,         35.8881,          0.0101,          0.0167,         42.2619,         42.1725,          0.0060,          0.0167
,        0.433333, 0.7011E-03, 0.9810E-06, 0.6753E-03, 0.9479E-06, 0.5984E-03, 0.8651E-06,         38.8149,         38.7262,          0.0060,          0.0173,         35.9818,         35.8887,          0.0105,          0.0174,         42.2619,         42.1732,          0.0060,          0.0173
,        0.450000, 0.7017E-03, 0.1019E-05, 0.6766E-03, 0.9844E-06, 0.5984E-03, 0.8984E-06,         38.8149,         38.7269,          0.0060,          0.0179,         35.9822,         35.8894,          0.0108,          0.0180,         42.2619,         42.1739,          0.0060,          0.0180
,        0.466667, 0.7023E-03, 0.1057E-05, 0.6778E-03, 0.1021E-05, 0.5984E-03, 0.9317E-06,         38.8149,         38.7275,          0.0060,          0.0186,         35.9825,         35.8901,          0.0112,          0.0187,         42.2619,         42.1745,          0.0060,          0.0187
,        0.483333, 0.7028E-03, 0.1094E-05, 0.6790E-03, 0.1057E-05, 0.5984E-03, 0.9650E-06,         38.8149,         38.7282,          0.0060,          0.0193,         35.9829,         35.8907,          0.0115,          0.0194,         42.2619,         42.1752,          0.0060,          0.0193
,        0.500000, 0.7032E-03, 0.1132E-05, 0.6803E-03, 0.1094E-05, 0.5985E-03, 0.9983E-06,         38.8149,         38.7289,          0.0060,          0.0200,         35.9832,         35.8914,          0.0118,          0.0200,         42.2619,         42.1759,          0.0060,          0.0200
,        0.516667, 0.7035E-03, 0.1170E-05, 0.6814E-03, 0.1130E-05, 0.5985E-03, 0.1032E-05,         38.8149,         38.7295,          0.0060,          0.0206,         35.9835,         35.8921,          0.0122,          0.0207,         42.2619,         42.1765,          0.0060,          0.0207
,        0.533333, 0.7038E-03, 0.1208E-05, 0.6826E-03, 0.1167E-05, 0.5985E-03, 0.1065E-05,         38.8149,         38.7302,          0.0060,          0.0213,         35.9839,         35.8927,          0.0125,          0.0214,         42.2619,         42.1772,          0.0060,          0.0213
,        0.550000, 0.7040E-03, 0.1246E-05, 0.6838E-03, 0.1203E-05, 0.5985E-03, 0.1098E-05,         38.8149,         38.7309,          0.0060,          0.0219,         35.9842,         35.8934,          0.0129,          0.0220,         42.2619,         42.1779,          0.0060,          0.0220
,        0.566667, 0.7042E-03, 0.1283E-05, 0.6849E-03, 0.1240E-05, 0.5985E-03, 0.1131E-05,         38.8149,         38.7315,          0.0060,          0.0226,         35.9846,         35.8941,          0.0132,          0.0227,         42.2619,         42.1785,          0.0060,          0.0227
,        0.583333, 0.7043E-03, 0.1321E-05, 0.6861E-03, 0.1276E-05, 0.5985E-03, 0.1165E-05,         38.8149,         38.7322,          0.0060,          0.0233,         35.9849,         35.8947,          0.0135,          0.0234,         42.2619,         42.1792,          0.0060,          0.0233
,        0.600000, 0.7044E-03, 0.1359E-05, 0.6872E-03, 0.1313E-05, 0.5986E-03, 0.1198E-05,         38.8149,         38.7329,          0.0060,          0.0240,         35.9852,         35.8954,          0.0139,          0.0240,         42.2619,         42.1799,          0.0060,          0.0240
,        0.616667, 0.7044E-03, 0.1397E-05, 0.6883E-03, 0.1349E-05, 0.5986E-03, 0.1231E-05,         38.8149,         38.7335,          0.0060,          0.0246,         35.9856,         35.8961,          0.0142,          0.0247,         42.2619,         42.1805,          0.0060,          0.0247
,        0.633333, 0.7044E-03, 0.1435E-05, 0.6893E-03, 0.1386E-05, 0.5986E-03, 0.1265E-05,         38.8149,         38.7342,          0.0060,          0.0253,         35.9859,         35.8967,          0.0146,          0.0254,         42.2619,         42.1812,          0.0060,          0.0253
,        0.650000, 0.7043E-03, 0.1472E-05, 0.6904E-03, 0.1422E-05, 0.5986E-03, 0.1298E-05,         38.8149,         38.7349,          0.0060,          0.0260,         35.9863,         35.8974,          0.0149,          0.0261,         42.2619,         42.1819,          0.0060,          0.0260
,        0.666667, 0.7042E-03, 0.1510E-05, 0.6914E-03, 0.1459E-05, 0.5986E-03, 0.1331E-05,         38.8149,         38.7355,          0.0060,          0.0266,         35.9866,         35.8981,          0.0152,          0.0267,         42.2619,         42.1825,          0.0060,          0.0267
,        0.683333, 0.7041E-03, 0.1548E-05, 0.6924E-03, 0.1495E-05, 0.5986E-03, 0.1365E-05,         38.8149,         38.7362,          0.0060,          0.0273,         35.9869,         35.8988,          0.0156,          0.0274,         42.2619,         42.1832,          0.0060,          0.0273
,        0.700000, 0.7039E-03, 0.1586E-05, 0.6934E-03, 0.1532E-05, 0.5986E-03, 0.1398E-05,         38.8149,         38.7369,          0.0060,          0.0280,         35.9873,         35.8994,          0.0159,          0.0281,         42.2619,         42.1839,          0.0060,          0.0280
,        0.716667, 0.7037E-03, 0.1624E-05, 0.6945E-03, 0.1568E-05, 0.5986E-03, 0.1431E-05,         38.8150,         38.7375,          0.0061,          0.0286,         35.9876,         35.9001,          0.0163,          0.0287,         42.2619,         42.1845,          0.0060,          0.0287
,        0.733333, 0.7035E-03, 0.1661E-05, 0.6954E-03, 0.1605E-05, 0.5986E-03, 0.1464E-05,         38.8150,         38.7382,          0.0061,          0.0293,         35.9880,         35.9008,          0.0166,          0.0294,         42.2619,         42.1852,          0.0060,          0.0294
,        0.750000, 0.7033E-03, 0.1699E-05, 0.6964E-03, 0.1641E-05, 0.5986E-03, 0.1498E-05,         38.8150,         38.7389,          0.0061,          0.0300,         35.9883,         35.9014,          0.0169,          0.0301,         42.2619,         42.1859,          0.0060,          0.0300
,        0.766667, 0.7030E-03, 0.1737E-05, 0.6973E-03, 0.1678E-05, 0.5986E-03, 0.1531E-05,         38.8151,         38.7395,          0.0061,          0.0306,         35.9886,         35.9021,          0.0173,          0.0307,         42.2619,         42.1865,          0.0060,          0.0307
,        0.783333, 0.7027E-03, 0.1775E-05, 0.6983E-03, 0.1714E-05, 0.5986E-03, 0.1564E-05,         38.8151,         38.7402,          0.0062,          0.0313,         35.9890,         35.9028,          0.0176,          0.0314,         42.2619,         42.1872,          0.0060,          0.0314
,        0.800000, 0.7024E-03, 0.1813E-05, 0.6992E-03, 0.1751E-05, 0.5986E-03, 0.1598E-05,         38.8152,         38.7409,          0.0062,          0.0320,         35.9893,         35.9034,          0.0180,          0.0321,         42.2619,         42.1879,          0.0060,          0.0320
,        0.816667, 0.7021E-03, 0.1850E-05, 0.7001E-03, 0.1787E-05, 0.5987E-03, 0.1631E-05,         38.8152,         38.7415,          0.0063,          0.0326,         35.9897,         35.9041,          0.0183,          0.0328,         42.2619,         42.1885,          0.0060,          0.0327
,        0.833333, 0.7017E-03, 0.1888E-05, 0.7009E-03, 0.1824E-05, 0.5986E-03, 0.1664E-05,         38.8153,         38.7422,          0.0064,          0.0333,         35.9900,         35.9048,          0.0186,          0.0334,         42.2619,         42.1892,          0.0060,          0.0334
,        0.850000, 0.7013E-03, 0.1926E-05, 0.7018E-03, 0.1860E-05, 0.5986E-03, 0.1697E-05,         38.8153,         38.7429,          0.0064,          0.0340,         35.9903,         35.9055,          0.0190,          0.0341,         42.2619,         42.1899,          0.0060,          0.0340
,        0.866667, 0.7009E-03, 0.1964E-05, 0.7027E-03, 0.1897E-05, 0.5986E-03, 0.1731E-05,         38.8154,         38.7435,          0.0065,          0.0346,         35.9907,         35.9061,          0.0193,          0.0348,         42.2619,         42.1905,          0.0060,          0.0347
