"EG05_017","Location","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW flow layer 1","GW flow layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2","GW Level Layer 1","GW Level Layer 2","GW depth layer 1","GW depth layer 2"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_017.tcf","Time","Loc1_L","Loc1_L","Loc3_L","Loc3_L","Loc2_L","Loc2_L","Loc1_P","Loc1_P","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P","Loc10_P","Loc10_P"
,        1.600000, 0.5981E-03, 0.3629E-05, 0.7102E-03, 0.3503E-05, 0.5151E-03, 0.3196E-05,         38.8221,         38.7729,          0.0132,          0.0640,         36.0060,         35.9357,          0.0346,          0.0643,         42.2619,         42.2199,          0.0060,          0.0641
,        1.616667, 0.5882E-03, 0.3667E-05, 0.7083E-03, 0.3539E-05, 0.5010E-03, 0.3229E-05,         38.8223,         38.7736,          0.0134,          0.0646,         36.0064,         35.9364,          0.0350,          0.0650,         42.2619,         42.2206,          0.0060,          0.0648
,        1.633333, 0.5783E-03, 0.3705E-05, 0.7063E-03, 0.3576E-05, 0.4870E-03, 0.3262E-05,         38.8226,         38.7742,          0.0136,          0.0653,         36.0067,         35.9370,          0.0354,          0.0657,         42.2619,         42.2213,          0.0060,          0.0654
,        1.650000, 0.5684E-03, 0.3743E-05, 0.7044E-03, 0.3612E-05, 0.4729E-03, 0.3296E-05,         38.8228,         38.7749,          0.0139,          0.0660,         36.0071,         35.9377,          0.0357,          0.0664,         42.2619,         42.2220,          0.0060,          0.0661
,        1.666667, 0.5585E-03, 0.3780E-05, 0.7025E-03, 0.3649E-05, 0.4589E-03, 0.3329E-05,         38.8230,         38.7756,          0.0141,          0.0667,         36.0074,         35.9384,          0.0361,          0.0670,         42.2619,         42.2226,          0.0060,          0.0668
,        1.683333, 0.5480E-03, 0.3818E-05, 0.7005E-03, 0.3685E-05, 0.4438E-03, 0.3362E-05,         38.8232,         38.7762,          0.0143,          0.0673,         36.0078,         35.9391,          0.0364,          0.0677,         42.2619,         42.2233,          0.0060,          0.0674
,        1.700000, 0.5374E-03, 0.3856E-05, 0.6985E-03, 0.3722E-05, 0.4287E-03, 0.3395E-05,         38.8234,         38.7769,          0.0145,          0.0680,         36.0082,         35.9397,          0.0368,          0.0684,         42.2619,         42.2240,          0.0060,          0.0681
,        1.716667, 0.5261E-03, 0.3894E-05, 0.6965E-03, 0.3758E-05, 0.4137E-03, 0.3429E-05,         38.8236,         38.7776,          0.0147,          0.0687,         36.0085,         35.9404,          0.0372,          0.0690,         42.2619,         42.2246,          0.0060,          0.0688
,        1.733333, 0.5145E-03, 0.3932E-05, 0.6946E-03, 0.3795E-05, 0.3986E-03, 0.3462E-05,         38.8239,         38.7782,          0.0150,          0.0693,         36.0089,         35.9411,          0.0375,          0.0697,         42.2619,         42.2253,          0.0060,          0.0694
,        1.750000, 0.5025E-03, 0.3970E-05, 0.6926E-03, 0.3831E-05, 0.3835E-03, 0.3495E-05,         38.8241,         38.7789,          0.0152,          0.0700,         36.0093,         35.9418,          0.0379,          0.0704,         42.2619,         42.2260,          0.0060,          0.0701
,        1.766667, 0.4886E-03, 0.4008E-05, 0.6906E-03, 0.3868E-05, 0.3666E-03, 0.3529E-05,         38.8243,         38.7796,          0.0154,          0.0707,         36.0096,         35.9424,          0.0383,          0.0711,         42.2619,         42.2266,          0.0060,          0.0708
,        1.783333, 0.4738E-03, 0.4046E-05, 0.6776E-03, 0.3904E-05, 0.3496E-03, 0.3562E-05,         38.8245,         38.7802,          0.0156,          0.0713,         36.0100,         35.9431,          0.0386,          0.0717,         42.2619,         42.2273,          0.0060,          0.0714
,        1.800000, 0.4588E-03, 0.4083E-05, 0.6581E-03, 0.3941E-05, 0.3326E-03, 0.3595E-05,         38.8248,         38.7809,          0.0159,          0.0720,         36.0103,         35.9438,          0.0390,          0.0724,         42.2619,         42.2280,          0.0060,          0.0721
,        1.816667, 0.4431E-03, 0.4121E-05, 0.6400E-03, 0.3977E-05, 0.3156E-03, 0.3628E-05,         38.8250,         38.7816,          0.0161,          0.0727,         36.0107,         35.9445,          0.0394,          0.0731,         42.2619,         42.2286,          0.0060,          0.0728
,        1.833333, 0.4272E-03, 0.4159E-05, 0.6232E-03, 0.4014E-05, 0.2987E-03, 0.3662E-05,         38.8252,         38.7822,          0.0163,          0.0733,         36.0111,         35.9451,          0.0397,          0.0738,         42.2619,         42.2293,          0.0060,          0.0734
,        1.850000, 0.4107E-03, 0.4197E-05, 0.6084E-03, 0.4049E-05, 0.2809E-03, 0.3695E-05,         38.8255,         38.7829,          0.0166,          0.0740,         36.0114,         35.9458,          0.0401,          0.0744,         42.2619,         42.2300,          0.0060,          0.0741
,        1.866667, 0.3940E-03, 0.4235E-05, 0.5950E-03, 0.4084E-05, 0.2631E-03, 0.3728E-05,         38.8257,         38.7836,          0.0168,          0.0747,         36.0118,         35.9465,          0.0405,          0.0751,         42.2619,         42.2306,          0.0060,          0.0748
,        1.883333, 0.3773E-03, 0.4273E-05, 0.5800E-03, 0.4119E-05, 0.2454E-03, 0.3762E-05,         38.8259,         38.7842,          0.0170,          0.0753,         36.0122,         35.9472,          0.0408,          0.0758,         42.2619,         42.2313,          0.0060,          0.0754
,        1.900000, 0.3606E-03, 0.4311E-05, 0.5576E-03, 0.4154E-05, 0.2276E-03, 0.3795E-05,         38.8262,         38.7849,          0.0173,          0.0760,         36.0126,         35.9478,          0.0412,          0.0765,         42.2619,         42.2320,          0.0060,          0.0761
,        1.916667, 0.3439E-03, 0.4349E-05, 0.5361E-03, 0.4189E-05, 0.2099E-03, 0.3828E-05,         38.8264,         38.7856,          0.0175,          0.0767,         36.0129,         35.9485,          0.0416,          0.0771,         42.2619,         42.2326,          0.0060,          0.0768
,        1.933333, 0.3258E-03, 0.4387E-05, 0.5143E-03, 0.4225E-05, 0.1905E-03, 0.3861E-05,         38.8267,         38.7862,          0.0177,          0.0773,         36.0133,         35.9492,          0.0419,          0.0778,         42.2619,         42.2333,          0.0060,          0.0775
,        1.950000, 0.3076E-03, 0.4424E-05, 0.4904E-03, 0.4264E-05, 0.1710E-03, 0.3895E-05,         38.8269,         38.7869,          0.0180,          0.0780,         36.0137,         35.9499,          0.0423,          0.0785,         42.2619,         42.2340,          0.0060,          0.0781
,        1.966667, 0.2894E-03, 0.4462E-05, 0.4678E-03, 0.4300E-05, 0.1515E-03, 0.3928E-05,         38.8271,         38.7876,          0.0182,          0.0787,         36.0140,         35.9505,          0.0427,          0.0792,         42.2619,         42.2346,          0.0060,          0.0788
,        1.983333, 0.2713E-03, 0.4500E-05, 0.4454E-03, 0.4337E-05, 0.1351E-03, 0.3958E-05,         38.8274,         38.7882,          0.0185,          0.0793,         36.0144,         35.9512,          0.0430,          0.0798,         42.2619,         42.2353,          0.0060,          0.0795
,        2.000000, 0.2554E-03, 0.4535E-05, 0.4205E-03, 0.4372E-05, 0.1213E-03, 0.3985E-05,         38.8276,         38.7889,          0.0187,          0.0800,         36.0148,         35.9519,          0.0434,          0.0805,         42.2619,         42.2360,          0.0060,          0.0801
,        2.016667, 0.2435E-03, 0.4564E-05, 0.3914E-03, 0.4406E-05, 0.1071E-03, 0.4011E-05,         38.8279,         38.7896,          0.0190,          0.0807,         36.0152,         35.9526,          0.0438,          0.0812,         42.2619,         42.2367,          0.0060,          0.0808
,        2.033333, 0.2354E-03, 0.4591E-05, 0.3669E-03, 0.4434E-05, 0.9306E-04, 0.4037E-05,         38.8281,         38.7902,          0.0192,          0.0813,         36.0155,         35.9532,          0.0442,          0.0819,         42.2619,         42.2373,          0.0060,          0.0815
,        2.050000, 0.2282E-03, 0.4616E-05, 0.3442E-03, 0.4459E-05, 0.8054E-04, 0.4062E-05,         38.8284,         38.7909,          0.0195,          0.0820,         36.0159,         35.9539,          0.0445,          0.0825,         42.2619,         42.2380,          0.0060,          0.0821
,        2.066667, 0.2220E-03, 0.4640E-05, 0.3218E-03, 0.4486E-05, 0.6893E-04, 0.4085E-05,         38.8286,         38.7916,          0.0197,          0.0827,         36.0163,         35.9546,          0.0449,          0.0832,         42.2619,         42.2387,          0.0060,          0.0828
,        2.083333, 0.2159E-03, 0.4664E-05, 0.2995E-03, 0.4512E-05, 0.5776E-04, 0.4108E-05,         38.8289,         38.7923,          0.0200,          0.0833,         36.0166,         35.9553,          0.0453,          0.0839,         42.2619,         42.2393,          0.0060,          0.0835
,        2.100000, 0.2096E-03, 0.4687E-05, 0.2765E-03, 0.4537E-05, 0.4788E-04, 0.4129E-05,         38.8291,         38.7929,          0.0202,          0.0840,         36.0170,         35.9559,          0.0457,          0.0846,         42.2619,         42.2400,          0.0060,          0.0841
,        2.116667, 0.2033E-03, 0.4710E-05, 0.2539E-03, 0.4563E-05, 0.4129E-04, 0.4145E-05,         38.8294,         38.7936,          0.0205,          0.0847,         36.0174,         35.9566,          0.0460,          0.0852,         42.2619,         42.2407,          0.0060,          0.0848
,        2.133333, 0.1971E-03, 0.4733E-05, 0.2316E-03, 0.4588E-05, 0.3865E-04, 0.4157E-05,         38.8296,         38.7943,          0.0207,          0.0853,         36.0178,         35.9573,          0.0464,          0.0859,         42.2619,         42.2413,          0.0060,          0.0855
,        2.150000, 0.1909E-03, 0.4756E-05, 0.2095E-03, 0.4614E-05, 0.3802E-04, 0.4168E-05,         38.8299,         38.7949,          0.0210,          0.0860,         36.0182,         35.9580,          0.0468,          0.0866,         42.2619,         42.2420,          0.0060,          0.0861
,        2.166667, 0.1849E-03, 0.4778E-05, 0.1877E-03, 0.4641E-05, 0.3758E-04, 0.4178E-05,         38.8302,         38.7956,          0.0212,          0.0867,         36.0185,         35.9586,          0.0472,          0.0873,         42.2619,         42.2427,          0.0060,          0.0868
,        2.183333, 0.1787E-03, 0.4799E-05, 0.1688E-03, 0.4662E-05, 0.3712E-04, 0.4187E-05,         38.8304,         38.7963,          0.0215,          0.0873,         36.0189,         35.9593,          0.0475,          0.0879,         42.2619,         42.2433,          0.0060,          0.0875
,        2.200000, 0.1740E-03, 0.4817E-05, 0.1502E-03, 0.4682E-05, 0.3668E-04, 0.4197E-05,         38.8307,         38.7969,          0.0218,          0.0880,         36.0193,         35.9600,          0.0479,          0.0886,         42.2619,         42.2440,          0.0060,          0.0882
,        2.216667, 0.1712E-03, 0.4832E-05, 0.1318E-03, 0.4702E-05, 0.3625E-04, 0.4206E-05,         38.8309,         38.7976,          0.0220,          0.0887,         36.0197,         35.9607,          0.0483,          0.0893,         42.2619,         42.2447,          0.0060,          0.0888
,        2.233333, 0.1692E-03, 0.4844E-05, 0.1136E-03, 0.4723E-05, 0.3583E-04, 0.4215E-05,         38.8312,         38.7983,          0.0223,          0.0893,         36.0200,         35.9613,          0.0487,          0.0900,         42.2619,         42.2454,          0.0060,          0.0895
,        2.250000, 0.1676E-03, 0.4858E-05, 0.9967E-04, 0.4735E-05, 0.3542E-04, 0.4225E-05,         38.8315,         38.7989,          0.0225,          0.0900,         36.0204,         35.9620,          0.0491,          0.0907,         42.2619,         42.2460,          0.0060,          0.0902
,        2.266667, 0.1667E-03, 0.4867E-05, 0.8454E-04, 0.4747E-05, 0.3500E-04, 0.4232E-05,         38.8317,         38.7996,          0.0228,          0.0907,         36.0208,         35.9627,          0.0494,          0.0913,         42.2619,         42.2467,          0.0060,          0.0908
,        2.283333, 0.1659E-03, 0.4879E-05, 0.6935E-04, 0.4757E-05, 0.3459E-04, 0.4239E-05,         38.8320,         38.8003,          0.0231,          0.0914,         36.0212,         35.9634,          0.0498,          0.0920,         42.2619,         42.2474,          0.0060,          0.0915
,        2.300000, 0.1652E-03, 0.4887E-05, 0.5437E-04, 0.4767E-05, 0.3419E-04, 0.4246E-05,         38.8322,         38.8009,          0.0233,          0.0920,         36.0216,         35.9640,          0.0502,          0.0927,         42.2619,         42.2480,          0.0060,          0.0922
,        2.316667, 0.1646E-03, 0.4895E-05, 0.4027E-04, 0.4776E-05, 0.3380E-04, 0.4253E-05,         38.8325,         38.8016,          0.0236,          0.0927,         36.0219,         35.9647,          0.0506,          0.0934,         42.2619,         42.2487,          0.0060,          0.0928
,        2.333333, 0.1638E-03, 0.4903E-05, 0.2956E-04, 0.4782E-05, 0.3343E-04, 0.4260E-05,         38.8328,         38.8023,          0.0239,          0.0934,         36.0223,         35.9654,          0.0510,          0.0940,         42.2619,         42.2494,          0.0060,          0.0935
,        2.350000, 0.1629E-03, 0.4910E-05, 0.2642E-04, 0.4779E-05, 0.3305E-04, 0.4265E-05,         38.8331,         38.8029,          0.0241,          0.0940,         36.0227,         35.9661,          0.0513,          0.0947,         42.2619,         42.2500,          0.0060,          0.0942
,        2.366667, 0.1619E-03, 0.4916E-05, 0.2439E-04, 0.4774E-05, 0.3268E-04, 0.4271E-05,         38.8333,         38.8036,          0.0244,          0.0947,         36.0231,         35.9668,          0.0517,          0.0954,         42.2619,         42.2507,          0.0060,          0.0948
,        2.383333, 0.1610E-03, 0.4923E-05, 0.2352E-04, 0.4769E-05, 0.3233E-04, 0.4276E-05,         38.8336,         38.8043,          0.0247,          0.0954,         36.0235,         35.9674,          0.0521,          0.0961,         42.2619,         42.2514,          0.0060,          0.0955
,        2.400000, 0.1600E-03, 0.4929E-05, 0.2329E-04, 0.4764E-05, 0.3199E-04, 0.4282E-05,         38.8339,         38.8049,          0.0250,          0.0960,         36.0238,         35.9681,          0.0525,          0.0967,         42.2619,         42.2520,          0.0060,          0.0962
,        2.416667, 0.1592E-03, 0.4936E-05, 0.2306E-04, 0.4761E-05, 0.3165E-04, 0.4288E-05,         38.8341,         38.8056,          0.0252,          0.0967,         36.0242,         35.9688,          0.0529,          0.0974,         42.2619,         42.2527,          0.0060,          0.0969
,        2.433333, 0.1585E-03, 0.4941E-05, 0.2274E-04, 0.4758E-05, 0.3134E-04, 0.4292E-05,         38.8344,         38.8063,          0.0255,          0.0974,         36.0246,         35.9695,          0.0532,          0.0981,         42.2619,         42.2534,          0.0060,          0.0975
,        2.450000, 0.1579E-03, 0.4946E-05, 0.2282E-04, 0.4755E-05, 0.3134E-04, 0.4296E-05,         38.8347,         38.8069,          0.0258,          0.0980,         36.0250,         35.9701,          0.0536,          0.0988,         42.2619,         42.2541,          0.0060,          0.0982
,        2.466667, 0.1572E-03, 0.4950E-05, 0.2280E-04, 0.4751E-05, 0.3134E-04, 0.4300E-05,         38.8350,         38.8076,          0.0261,          0.0987,         36.0254,         35.9708,          0.0540,          0.0994,         42.2619,         42.2547,          0.0060,          0.0989
,        2.483333, 0.1560E-03, 0.4962E-05, 0.2320E-04, 0.4748E-05, 0.3134E-04, 0.4304E-05,         38.8352,         38.8083,          0.0263,          0.0994,         36.0258,         35.9714,          0.0545,          0.1000,         42.2619,         42.2554,          0.0060,          0.0995
,        2.500000, 0.1602E-03, 0.4966E-05, 0.2346E-04, 0.4750E-05, 0.3144E-04, 0.4309E-05,         38.8355,         38.8089,          0.0266,          0.1000,         36.0265,         35.9714,          0.0552,          0.1000,         42.2619,         42.2559,          0.0061,          0.1000
,        2.516667, 0.1652E-03, 0.4962E-05, 0.2465E-04, 0.4745E-05, 0.3183E-04, 0.4311E-05,         38.8362,         38.8089,          0.0273,          0.1000,         36.0273,         35.9714,          0.0559,          0.1000,         42.2621,         42.2559,          0.0062,          0.1000
,        2.533333, 0.1695E-03, 0.4957E-05, 0.2559E-04, 0.4744E-05, 0.3221E-04, 0.4314E-05,         38.8368,         38.8089,          0.0279,          0.1000,         36.0280,         35.9714,          0.0566,          0.1000,         42.2623,         42.2559,          0.0064,          0.1000
,        2.550000, 0.1735E-03, 0.4958E-05, 0.2668E-04, 0.4747E-05, 0.3258E-04, 0.4317E-05,         38.8374,         38.8089,          0.0285,          0.1000,         36.0287,         35.9714,          0.0573,          0.1000,         42.2625,         42.2559,          0.0066,          0.1000
,        2.566667, 0.1771E-03, 0.4959E-05, 0.2777E-04, 0.4750E-05, 0.3296E-04, 0.4319E-05,         38.8381,         38.8089,          0.0292,          0.1000,         36.0294,         35.9714,          0.0581,          0.1000,         42.2627,         42.2559,          0.0068,          0.1000
,        2.583333, 0.1805E-03, 0.4960E-05, 0.2885E-04, 0.4753E-05, 0.3333E-04, 0.4322E-05,         38.8387,         38.8089,          0.0298,          0.1000,         36.0302,         35.9714,          0.0588,          0.1000,         42.2629,         42.2559,          0.0070,          0.1000
,        2.600000, 0.1835E-03, 0.4962E-05, 0.2991E-04, 0.4756E-05, 0.3369E-04, 0.4325E-05,         38.8394,         38.8089,          0.0305,          0.1000,         36.0309,         35.9714,          0.0595,          0.1000,         42.2631,         42.2559,          0.0072,          0.1000
,        2.616667, 0.1862E-03, 0.4963E-05, 0.3096E-04, 0.4759E-05, 0.3406E-04, 0.4327E-05,         38.8401,         38.8089,          0.0311,          0.1000,         36.0316,         35.9714,          0.0602,          0.1000,         42.2632,         42.2559,          0.0074,          0.1000
,        2.633333, 0.1887E-03, 0.4964E-05, 0.3196E-04, 0.4762E-05, 0.3442E-04, 0.4330E-05,         38.8407,         38.8089,          0.0318,          0.1000,         36.0323,         35.9714,          0.0610,          0.1000,         42.2634,         42.2559,          0.0076,          0.1000
,        2.650000, 0.1909E-03, 0.4965E-05, 0.3294E-04, 0.4765E-05, 0.3478E-04, 0.4333E-05,         38.8414,         38.8089,          0.0325,          0.1000,         36.0331,         35.9714,          0.0617,          0.1000,         42.2636,         42.2559,          0.0078,          0.1000
,        2.666667, 0.1929E-03, 0.4966E-05, 0.3381E-04, 0.4768E-05, 0.3514E-04, 0.4335E-05,         38.8421,         38.8089,          0.0332,          0.1000,         36.0338,         35.9714,          0.0624,          0.1000,         42.2638,         42.2559,          0.0079,          0.1000
,        2.683333, 0.1948E-03, 0.4967E-05, 0.3460E-04, 0.4770E-05, 0.3550E-04, 0.4337E-05,         38.8428,         38.8089,          0.0338,          0.1000,         36.0345,         35.9714,          0.0631,          0.1000,         42.2640,         42.2559,          0.0081,          0.1000
,        2.700000, 0.1964E-03, 0.4968E-05, 0.3537E-04, 0.4772E-05, 0.3585E-04, 0.4339E-05,         38.8434,         38.8089,          0.0345,          0.1000,         36.0352,         35.9714,          0.0639,          0.1000,         42.2642,         42.2559,          0.0083,          0.1000
,        2.716667, 0.1979E-03, 0.4968E-05, 0.3610E-04, 0.4774E-05, 0.3620E-04, 0.4341E-05,         38.8441,         38.8089,          0.0352,          0.1000,         36.0360,         35.9714,          0.0646,          0.1000,         42.2644,         42.2559,          0.0085,          0.1000
,        2.733333, 0.1993E-03, 0.4969E-05, 0.3678E-04, 0.4775E-05, 0.3655E-04, 0.4343E-05,         38.8448,         38.8089,          0.0359,          0.1000,         36.0367,         35.9714,          0.0653,          0.1000,         42.2646,         42.2559,          0.0087,          0.1000
,        2.750000, 0.2005E-03, 0.4970E-05, 0.3743E-04, 0.4777E-05, 0.3690E-04, 0.4345E-05,         38.8455,         38.8089,          0.0366,          0.1000,         36.0374,         35.9714,          0.0660,          0.1000,         42.2647,         42.2559,          0.0089,          0.1000
,        2.766667, 0.2015E-03, 0.4970E-05, 0.3804E-04, 0.4779E-05, 0.3724E-04, 0.4347E-05,         38.8463,         38.8089,          0.0373,          0.1000,         36.0381,         35.9714,          0.0668,          0.1000,         42.2649,         42.2559,          0.0091,          0.1000
,        2.783333, 0.2025E-03, 0.4971E-05, 0.3580E-04, 0.4780E-05, 0.3758E-04, 0.4349E-05,         38.8470,         38.8089,          0.0381,          0.1000,         36.0389,         35.9714,          0.0675,          0.1000,         42.2651,         42.2559,          0.0093,          0.1000
,        2.800000, 0.2034E-03, 0.4972E-05, 0.3150E-04, 0.4781E-05, 0.3792E-04, 0.4351E-05,         38.8477,         38.8089,          0.0388,          0.1000,         36.0396,         35.9714,          0.0682,          0.1000,         42.2653,         42.2559,          0.0094,          0.1000
,        2.816667, 0.2041E-03, 0.4972E-05, 0.2748E-04, 0.4782E-05, 0.3827E-04, 0.4353E-05,         38.8484,         38.8089,          0.0395,          0.1000,         36.0403,         35.9714,          0.0689,          0.1000,         42.2655,         42.2559,          0.0096,          0.1000
,        2.833333, 0.2048E-03, 0.4973E-05, 0.2375E-04, 0.4782E-05, 0.3862E-04, 0.4355E-05,         38.8491,         38.8089,          0.0402,          0.1000,         36.0410,         35.9714,          0.0697,          0.1000,         42.2657,         42.2559,          0.0098,          0.1000
,        2.850000, 0.2054E-03, 0.4974E-05, 0.2024E-04, 0.4783E-05, 0.3897E-04, 0.4357E-05,         38.8499,         38.8089,          0.0410,          0.1000,         36.0418,         35.9714,          0.0704,          0.1000,         42.2659,         42.2559,          0.0100,          0.1000
,        2.866667, 0.2059E-03, 0.4974E-05, 0.1694E-04, 0.4784E-05, 0.3931E-04, 0.4359E-05,         38.8506,         38.8089,          0.0417,          0.1000,         36.0425,         35.9714,          0.0711,          0.1000,         42.2661,         42.2559,          0.0102,          0.1000
,        2.883333, 0.2064E-03, 0.4975E-05, 0.1383E-04, 0.4784E-05, 0.3966E-04, 0.4361E-05,         38.8513,         38.8089,          0.0424,          0.1000,         36.0432,         35.9714,          0.0718,          0.1000,         42.2662,         42.2559,          0.0104,          0.1000
,        2.900000, 0.2068E-03, 0.4976E-05, 0.1087E-04, 0.4785E-05, 0.4000E-04, 0.4363E-05,         38.8521,         38.8089,          0.0432,          0.1000,         36.0439,         35.9714,          0.0726,          0.1000,         42.2664,         42.2559,          0.0106,          0.1000
,        2.916667, 0.2071E-03, 0.4976E-05, 0.8056E-05, 0.4786E-05, 0.4035E-04, 0.4365E-05,         38.8528,         38.8089,          0.0439,          0.1000,         36.0446,         35.9714,          0.0733,          0.1000,         42.2666,         42.2559,          0.0107,          0.1000
,        2.933333, 0.2074E-03, 0.4977E-05, 0.5388E-05, 0.4787E-05, 0.4069E-04, 0.4366E-05,         38.8536,         38.8089,          0.0447,          0.1000,         36.0454,         35.9714,          0.0740,          0.1000,         42.2668,         42.2559,          0.0109,          0.1000
,        2.950000, 0.2076E-03, 0.4978E-05, 0.2827E-05, 0.4787E-05, 0.4103E-04, 0.4368E-05,         38.8544,         38.8089,          0.0454,          0.1000,         36.0461,         35.9714,          0.0747,          0.1000,         42.2670,         42.2559,          0.0111,          0.1000
,        2.966667, 0.2078E-03, 0.4978E-05, 0.3807E-06, 0.4788E-05, 0.4138E-04, 0.4370E-05,         38.8551,         38.8089,          0.0462,          0.1000,         36.0468,         35.9714,          0.0754,          0.1000,         42.2672,         42.2559,          0.0113,          0.1000
,        2.983333, 0.2079E-03, 0.4979E-05,-0.1959E-05, 0.4789E-05, 0.4172E-04, 0.4372E-05,         38.8559,         38.8089,          0.0470,          0.1000,         36.0475,         35.9714,          0.0761,          0.1000,         42.2674,         42.2559,          0.0115,          0.1000
,        3.000000, 0.2080E-03, 0.4980E-05,-0.4217E-05, 0.4790E-05, 0.4205E-04, 0.4374E-05,         38.8566,         38.8089,          0.0477,          0.1000,         36.0482,         35.9714,          0.0768,          0.1000,         42.2675,         42.2559,          0.0117,          0.1000

