"EG05_015","Location","GW flow layer 1","GW flow layer 1","GW flow layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1","GW Level Layer 1","GW depth layer 1"
"e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG05_015.tcf","Time","Loc1_L","Loc3_L","Loc2_L","Loc1_P","Loc1_P","Loc8_P","Loc8_P","Loc10_P","Loc10_P"
,        0.700000,          0.0000,          0.0000,          0.0000,         38.8156, 0.6687E-02,         35.9782, 0.6840E-02,         42.2626, 0.6710E-02
,        0.716667,          0.0000,          0.0000,          0.0000,         38.8156, 0.6706E-02,         35.9782, 0.6859E-02,         42.2626, 0.6733E-02
,        0.733333,          0.0000,          0.0000,          0.0000,         38.8156, 0.6725E-02,         35.9782, 0.6882E-02,         42.2626, 0.6752E-02
,        0.750000,          0.0000,          0.0000,          0.0000,         38.8157, 0.6748E-02,         35.9783, 0.6901E-02,         42.2626, 0.6771E-02
,        0.766667,          0.0000,          0.0000,          0.0000,         38.8157, 0.6767E-02,         35.9783, 0.6920E-02,         42.2626, 0.6790E-02
,        0.783333,          0.0000,          0.0000,          0.0000,         38.8157, 0.6786E-02,         35.9783, 0.6939E-02,         42.2627, 0.6813E-02
,        0.800000,          0.0000,          0.0000,          0.0000,         38.8157, 0.6805E-02,         35.9783, 0.6962E-02,         42.2627, 0.6832E-02
,        0.816667,          0.0000,          0.0000,          0.0000,         38.8157, 0.6828E-02,         35.9783, 0.6981E-02,         42.2627, 0.6851E-02
,        0.833333,          0.0000,          0.0000,          0.0000,         38.8158, 0.6847E-02,         35.9784, 0.7000E-02,         42.2627, 0.6870E-02
,        0.850000,          0.0000,          0.0000,          0.0000,         38.8158, 0.6866E-02,         35.9784, 0.7019E-02,         42.2628, 0.6893E-02
,        0.866667,          0.0000,          0.0000,          0.0000,         38.8158, 0.6886E-02,         35.9784, 0.7038E-02,         42.2628, 0.6912E-02
,        0.883333,          0.0000,          0.0000,          0.0000,         38.8158, 0.6908E-02,         35.9784, 0.7061E-02,         42.2628, 0.6931E-02
,        0.900000,          0.0000,          0.0000,          0.0000,         38.8158, 0.6927E-02,         35.9784, 0.7080E-02,         42.2628, 0.6950E-02
,        0.916667,          0.0000,          0.0000,          0.0000,         38.8159, 0.6947E-02,         35.9785, 0.7099E-02,         42.2628, 0.6973E-02
,        0.933333,          0.0000,          0.0000,          0.0000,         38.8159, 0.6966E-02,         35.9785, 0.7118E-02,         42.2629, 0.6992E-02
,        0.950000,          0.0000,          0.0000,          0.0000,         38.8159, 0.6989E-02,         35.9785, 0.7141E-02,         42.2629, 0.7011E-02
,        0.966667,          0.0000,          0.0000,          0.0000,         38.8159, 0.7008E-02,         35.9785, 0.7160E-02,         42.2629, 0.7030E-02
,        0.983333,          0.0000,          0.0000,          0.0000,         38.8159, 0.7027E-02,         35.9785, 0.7179E-02,         42.2629, 0.7053E-02
,        1.000000,          0.0000,          0.0000,          0.0000,         38.8160, 0.7046E-02,         35.9786, 0.7198E-02,         42.2629, 0.7072E-02
,        1.016667,          0.0000,          0.0000,          0.0000,         38.8160, 0.7065E-02,         35.9786, 0.7221E-02,         42.2630, 0.7092E-02
,        1.033333,          0.0000,          0.0000,          0.0000,         38.8160, 0.7088E-02,         35.9786, 0.7240E-02,         42.2630, 0.7111E-02
,        1.050000,          0.0000,          0.0000,          0.0000,         38.8160, 0.7107E-02,         35.9786, 0.7259E-02,         42.2630, 0.7133E-02
,        1.066667,          0.0000,          0.0000,          0.0000,         38.8160, 0.7126E-02,         35.9786, 0.7278E-02,         42.2630, 0.7153E-02
,        1.083333,          0.0000,          0.0000,          0.0000,         38.8161, 0.7145E-02,         35.9787, 0.7301E-02,         42.2630, 0.7172E-02
,        1.100000,          0.0000,          0.0000,          0.0000,         38.8161, 0.7168E-02,         35.9787, 0.7320E-02,         42.2631, 0.7191E-02
,        1.116667,          0.0000,          0.0000,          0.0000,         38.8161, 0.7187E-02,         35.9787, 0.7339E-02,         42.2631, 0.7214E-02
,        1.133333,          0.0000,          0.0000,          0.0000,         38.8161, 0.7206E-02,         35.9787, 0.7359E-02,         42.2631, 0.7233E-02
,        1.150000,          0.0000,          0.0000,          0.0000,         38.8161, 0.7225E-02,         35.9787, 0.7381E-02,         42.2631, 0.7252E-02
,        1.166667,          0.0000,          0.0000,          0.0000,         38.8162, 0.7248E-02,         35.9788, 0.7401E-02,         42.2631, 0.7271E-02
,        1.183333,          0.0000,          0.0000,          0.0000,         38.8162, 0.7267E-02,         35.9788, 0.7420E-02,         42.2632, 0.7294E-02
,        1.200000,          0.0000,          0.0000,          0.0000,         38.8162, 0.7286E-02,         35.9788, 0.7439E-02,         42.2632, 0.7313E-02
,        1.216667,          0.0000,          0.0000,          0.0000,         38.8162, 0.7305E-02,         35.9788, 0.7462E-02,         42.2632, 0.7332E-02
