"FC01.1_R.1                          ","Node","H_","P"
"FC01.1_R.2                          ","Node","H_","P"
"FC01.2_R.1                          ","Node","H_","P"
"FC01.2_R.2                          ","Node","H_","P"
"FC04.1_C.1                          ","Node","H_","P"
"FC04.1_C.2                          ","Node","H_","P"
"OC999.8                             ","Node","H_","P"
"OC999.9                             ","Node","H_","P"
"FC01.1_R                            ","Chan [R]","Q_V_","L"
"FC01.2_R                            ","Chan [R]","Q_V_","L"
"FC04.1_C                            ","Chan [C]","Q_V_","L"
"OC_001                              ","Chan [PO]","Q_V_","L"
