"EG11_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_009.tcf]","Time(h)","F FC01.1_R [EG11_009]","F FC01.2_R [EG11_009]","F FC04.1_C [EG11_009]","F Pump_001 [EG11_009]"
      54,          0.883333,L,F,G,V
      55,          0.900000,L,F,G,V
      56,          0.916667,L,F,G,V
      57,          0.933333,L,F,G,V
      58,          0.950000,L,F,G,V
      59,          0.966667,L,F,G,V
      60,          0.983333,L,F,G,V
      61,          1.000000,L,F,G,V
      62,          1.016667,L,F,G,V
      63,          1.033333,L,F,G,V
      64,          1.050000,L,F,G,V
      65,          1.066667,L,F,G,V
      66,          1.083333,L,F,G,V
      67,          1.100000,L,F,G,V
      68,          1.116667,L,F,G,V
      69,          1.133333,L,F,G,V
      70,          1.150000,L,F,G,V
      71,          1.166667,L,F,G,V
      72,          1.183333,L,F,G,V
      73,          1.200000,L,F,G,V
      74,          1.216667,L,F,G,V
      75,          1.233333,L,F,G,V
      76,          1.250000,L,F,G,V
      77,          1.266667,L,F,G,V
      78,          1.283333,L,F,G,V
      79,          1.300000,L,F,G,V
      80,          1.316667,L,F,G,V
      81,          1.333333,L,F,G,V
      82,          1.350000,L,F,G,V
      83,          1.366667,L,F,G,V
      84,          1.383333,L,F,G,V
      85,          1.400000,L,F,G,V
      86,          1.416667,L,F,G,V
      87,          1.433333,L,F,G,V
      88,          1.450000,L,F,G,V
      89,          1.466667,L,F,G,V
      90,          1.483333,L,F,G,V
      91,          1.500000,L,F,G,V
      92,          1.516667,L,F,G,V
      93,          1.533333,L,F,G,V
      94,          1.550000,L,F,G,V
      95,          1.566667,L,F,G,V
      96,          1.583333,L,F,G,V
      97,          1.600000,L,F,G,V
      98,          1.616667,L,F,G,V
      99,          1.633333,L,F,G,V
     100,          1.650000,L,F,G,V
     101,          1.666667,L,F,G,V
     102,          1.683333,L,F,G,V
     103,          1.700000,L,F,G,V
     104,          1.716667,L,F,G,V
     105,          1.733333,L,F,G,V
     106,          1.750000,L,F,G,V
     107,          1.766667,L,F,G,V
     108,          1.783333,L,F,G,V
     109,          1.800000,L,F,G,V
     110,          1.816667,L,F,G,V
     111,          1.833333,L,F,G,V
     112,          1.850000,L,F,G,V
     113,          1.866667,L,F,G,V
     114,          1.883333,A,F,G,V
     115,          1.900000,A,F,G,V
     116,          1.916667,A,F,G,V
     117,          1.933333,A,F,G,V
     118,          1.950000,A,F,G,V
     119,          1.966667,A,F,G,V
     120,          1.983333,A,F,G,V
     121,          2.000000,A,F,G,V
     122,          2.016667,A,F,G,V
     123,          2.033334,A,F,G,V
     124,          2.050000,A,F,G,V
     125,          2.066667,A,F,G,V
     126,          2.083333,A,F,G,V
     127,          2.100000,A,F,G,V
     128,          2.116667,A,F,G,V
     129,          2.133333,A,F,G,V
     130,          2.150000,A,F,G,V
     131,          2.166667,A,F,G,V
     132,          2.183333,A,F,G,V
     133,          2.200000,A,F,G,V
     134,          2.216667,A,F,G,V
     135,          2.233333,A,F,G,V
     136,          2.250000,A,F,G,V
     137,          2.266667,A,F,G,V
     138,          2.283334,A,F,G,V
     139,          2.300000,A,F,G,V
     140,          2.316667,A,F,G,V
     141,          2.333333,A,F,G,V
     142,          2.350000,A,F,G,V
     143,          2.366667,A,F,G,V
     144,          2.383333,A,F,G,V
     145,          2.400000,A,F,G,V
     146,          2.416667,A,F,G,V
     147,          2.433333,A,F,G,V
     148,          2.450000,A,F,G,V
     149,          2.466667,A,F,G,V
     150,          2.483333,A,F,G,V
     151,          2.500000,A,F,G,V
     152,          2.516667,A,F,G,V
     153,          2.533334,A,F,G,V
     154,          2.550000,A,F,G,V
     155,          2.566667,A,F,G,D
     156,          2.583333,A,F,G,D
     157,          2.600000,A,F,G,D
     158,          2.616667,A,F,G,D
     159,          2.633333,A,F,G,D
     160,          2.650000,A,F,G,D
     161,          2.666667,A,F,G,D
     162,          2.683333,A,F,G,D
     163,          2.700000,A,F,G,D
     164,          2.716667,A,F,G,D
     165,          2.733334,A,F,G,D
     166,          2.750000,A,F,G,D
     167,          2.766667,A,F,G,D
     168,          2.783334,A,D,G,D
     169,          2.800000,A,D,G,D
     170,          2.816667,A,D,G,D
     171,          2.833333,A,J L,G,D
     172,          2.850000,A,D,G,D
     173,          2.866667,A,J,G,D
     174,          2.883333,A,J L,G,D
     175,          2.900000,A,J L,G,D
     176,          2.916667,A,J L,G,D
     177,          2.933333,A,D,G,D
     178,          2.950000,A,J L,G,D
     179,          2.966667,A,D,G,D
     180,          2.983334,A,D,G,D
     181,          3.000000,A,D,G,D
