"EG11_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_007.tcf]","Time(h)","V FC01.1 [EG11_007]","V FC01.2 [EG11_007]","V FC04.1 [EG11_007]"
       1,          0.000000,    0.000,    0.000,    0.000
       2,          0.016667,    0.000,    0.000,    0.000
       3,          0.033333,    0.000,    0.000,    0.000
       4,          0.050000,    0.000,    0.000,    0.000
       5,          0.066667,    0.000,    0.000,    0.000
       6,          0.083333,    0.000,    0.000,    0.000
       7,          0.100000,    0.000,    0.000,    0.000
       8,          0.116667,    0.000,    0.000,    0.000
       9,          0.133333,    0.000,    0.000,    0.000
      10,          0.150000,    0.000,    0.000,    0.000
      11,          0.166667,    0.000,    0.000,    0.000
      12,          0.183333,    0.000,    0.000,    0.000
      13,          0.200000,    0.000,    0.000,    0.000
      14,          0.216667,    0.000,    0.000,    0.000
      15,          0.233333,    0.000,    0.000,    0.000
      16,          0.250000,    0.000,    0.000,    0.000
      17,          0.266667,    0.000,    0.000,    0.000
      18,          0.283333,    0.000,    0.000,    0.000
      19,          0.300000,    0.000,    0.000,    0.000
      20,          0.316667,    0.000,    0.000,    0.000
      21,          0.333333,    0.000,    0.000,    0.000
      22,          0.350000,    0.562,    0.000,    0.000
      23,          0.366667,    1.396,    0.000,    0.000
      24,          0.383333,    1.882,    0.000,    0.000
      25,          0.400000,    2.224,    0.000,    0.000
      26,          0.416667,    2.507,    0.000,    0.000
      27,          0.433333,    2.729,    0.000,    0.000
      28,          0.450000,    2.940,    0.000,    0.000
      29,          0.466667,    3.136,    0.000,    0.000
      30,          0.483333,    3.318,    0.000,    0.000
      31,          0.500000,    3.485,    0.000,    0.000
      32,          0.516667,    3.636,    0.000,    0.000
      33,          0.533333,    3.830,    0.000,    0.000
      34,          0.550000,    4.052,    0.000,    0.000
      35,          0.566667,    4.275,    0.000,    0.000
      36,          0.583333,    4.483,    0.000,    0.000
      37,          0.600000,    4.673,    0.000,    0.000
      38,          0.616667,    4.832,    0.000,    0.000
      39,          0.633333,    4.958,    0.000,    0.000
      40,          0.650000,    5.072,    0.000,    0.000
      41,          0.666667,    5.172,    1.300,    0.000
      42,          0.683333,    5.254,    2.399,    0.000
      43,          0.700000,    5.270,    2.965,    0.000
      44,          0.716667,    5.263,    3.365,    0.000
      45,          0.733333,    5.257,    3.678,    0.000
      46,          0.750000,    5.250,    3.940,    0.000
      47,          0.766667,    5.245,    4.176,    0.000
      48,          0.783333,    5.240,    4.198,    0.000
      49,          0.800000,    5.237,    4.235,    0.000
      50,          0.816667,    5.234,    4.282,    0.000
      51,          0.833333,    5.231,    4.320,    0.000
      52,          0.850000,    5.230,    4.356,    0.000
      53,          0.866667,    5.228,    4.390,    0.000
      54,          0.883333,    5.227,    4.422,    0.000
      55,          0.900000,    5.226,    4.454,    0.000
      56,          0.916667,    5.225,    4.485,    0.000
      57,          0.933333,    5.225,    4.516,    0.000
      58,          0.950000,    5.224,    4.545,    0.000
      59,          0.966667,    5.224,    4.575,    0.000
      60,          0.983333,    5.224,    4.603,    0.000
      61,          1.000000,    5.224,    4.630,    0.000
      62,          1.016667,    5.224,    4.655,    0.000
      63,          1.033333,    5.224,    4.680,    0.000
      64,          1.050000,    5.224,    4.706,    0.000
      65,          1.066667,    5.224,    4.731,    0.000
      66,          1.083333,    5.225,    4.754,    0.000
      67,          1.100000,    5.226,    4.776,    0.000
      68,          1.116667,    5.226,    4.794,    0.000
      69,          1.133333,    5.227,    4.808,    0.000
      70,          1.150000,    5.228,    4.818,    0.000
      71,          1.166667,    5.228,    4.824,    0.000
      72,          1.183333,    5.229,    4.827,    0.000
      73,          1.200000,    5.230,    4.829,    0.000
      74,          1.216667,    5.231,    4.829,    0.000
      75,          1.233333,    5.232,    4.828,    0.000
      76,          1.250000,    5.234,    4.827,    0.000
      77,          1.266667,    5.233,    4.825,    0.000
      78,          1.283333,    5.232,    4.824,    0.000
      79,          1.300000,    5.232,    4.822,    0.000
      80,          1.316667,    5.232,    4.821,    0.000
      81,          1.333333,    5.230,    4.819,    0.000
      82,          1.350000,    5.227,    4.817,    0.000
      83,          1.366667,    5.223,    4.815,    0.000
      84,          1.383333,    5.197,    4.813,    0.000
      85,          1.400000,    5.169,    4.810,    0.000
      86,          1.416667,    5.140,    4.807,    0.000
      87,          1.433333,    5.108,    4.803,    0.000
      88,          1.450000,    5.076,    4.798,    0.000
      89,          1.466667,    5.043,    4.792,    0.000
      90,          1.483333,    5.008,    4.783,    0.000
      91,          1.500000,    4.973,    4.772,    0.000
      92,          1.516667,    4.937,    4.759,    0.000
      93,          1.533333,    4.892,    4.742,    0.000
      94,          1.550000,    4.847,    4.723,    0.000
      95,          1.566667,    4.803,    4.703,    0.000
      96,          1.583333,    4.759,    4.681,    0.000
      97,          1.600000,    4.708,    4.659,    0.000
      98,          1.616667,    4.662,    4.635,    0.000
      99,          1.633333,    4.621,    4.609,    0.000
     100,          1.650000,    4.583,    4.582,    0.000
     101,          1.666667,    4.547,    4.553,    0.000
     102,          1.683333,    4.514,    4.524,    0.000
     103,          1.700000,    4.475,    4.493,    0.000
     104,          1.716667,    4.434,    4.461,    0.000
     105,          1.733333,    4.395,    4.428,    0.000
     106,          1.750000,    4.354,    4.393,    0.000
     107,          1.766667,    4.316,    4.359,    0.000
     108,          1.783333,    4.281,    4.323,    0.000
     109,          1.800000,    4.249,    4.287,    0.000
     110,          1.816667,    4.220,    4.249,    0.000
     111,          1.833333,    4.193,    4.211,    0.000
     112,          1.850000,    4.168,    4.172,    0.000
     113,          1.866667,    4.145,    4.132,    0.000
     114,          1.883333,    4.124,    4.091,    0.000
     115,          1.900000,    4.104,    4.052,    0.000
     116,          1.916667,    4.084,    4.014,    0.000
     117,          1.933333,    4.065,    3.977,    0.000
     118,          1.950000,    4.048,    3.942,    0.000
     119,          1.966667,    4.031,    3.909,    0.000
     120,          1.983333,    4.015,    3.877,    0.000
     121,          2.000000,    4.000,    3.848,    0.000
     122,          2.016667,    3.985,    3.823,    0.000
     123,          2.033334,    3.969,    3.803,    0.000
     124,          2.050000,    3.952,    3.786,    0.000
     125,          2.066667,    3.933,    3.772,    0.000
     126,          2.083333,    3.914,    3.760,    0.000
     127,          2.100000,    3.893,    3.749,    0.000
     128,          2.116667,    3.870,    3.740,    0.000
     129,          2.133333,    3.844,    3.734,    0.000
     130,          2.150000,    3.813,    3.730,    0.000
     131,          2.166667,    3.782,    3.728,    0.000
     132,          2.183333,    3.748,    3.727,    0.000
     133,          2.200000,    3.717,    3.702,    0.000
     134,          2.216667,    3.690,    3.650,    0.000
     135,          2.233333,    3.665,    3.605,    0.000
     136,          2.250000,    3.643,    3.564,    0.000
     137,          2.266667,    3.621,    3.526,    0.000
     138,          2.283334,    3.600,    3.491,    0.000
     139,          2.300000,    3.579,    3.459,    0.000
     140,          2.316667,    3.558,    3.428,    0.000
     141,          2.333333,    3.537,    3.399,    0.000
     142,          2.350000,    3.516,    3.371,    0.000
     143,          2.366667,    3.496,    3.343,    0.000
     144,          2.383333,    3.477,    3.317,    0.000
     145,          2.400000,    3.459,    3.292,    0.000
     146,          2.416667,    3.441,    3.268,    0.000
     147,          2.433333,    3.425,    3.244,    0.000
     148,          2.450000,    3.406,    3.222,    0.000
     149,          2.466667,    3.387,    3.200,    0.000
     150,          2.483333,    3.367,    3.178,    0.000
     151,          2.500000,    3.346,    3.157,    0.000
     152,          2.516667,    3.324,    3.136,    0.000
     153,          2.533334,    3.301,    3.116,    0.000
     154,          2.550000,    3.277,    3.097,    0.000
     155,          2.566667,    3.253,    3.078,    0.000
     156,          2.583333,    3.228,    3.060,    0.000
     157,          2.600000,    3.201,    3.041,    0.000
     158,          2.616667,    3.176,    3.023,    0.000
     159,          2.633333,    3.151,    3.006,    0.000
     160,          2.650000,    3.127,    2.989,    0.000
     161,          2.666667,    3.104,    2.971,    0.000
     162,          2.683333,    3.080,    2.953,    0.000
     163,          2.700000,    3.056,    2.934,    0.000
     164,          2.716667,    3.030,    2.916,    0.000
     165,          2.733334,    3.002,    2.897,    0.000
     166,          2.750000,    2.974,    2.877,    0.000
     167,          2.766667,    2.945,    2.858,    0.000
     168,          2.783334,    2.913,    2.839,    0.000
     169,          2.800000,    2.881,    2.819,    0.000
     170,          2.816667,    2.846,    2.799,    0.000
     171,          2.833333,    2.811,    2.779,    0.000
     172,          2.850000,    2.773,    2.758,    0.000
     173,          2.866667,    2.735,    2.737,    0.000
     174,          2.883333,    2.696,    2.716,    0.000
     175,          2.900000,    2.656,    2.695,    0.000
     176,          2.916667,    2.615,    2.675,    0.000
     177,          2.933333,    2.574,    2.655,    0.000
     178,          2.950000,    2.533,    2.634,    0.000
     179,          2.966667,    2.493,    2.612,    0.000
     180,          2.983334,    2.455,    2.590,    0.000
     181,          3.000000,    2.416,    2.567,    0.000
