"EG11_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_012.tcf]","Time (h)","H arch_bridge.1 [EG11_012]","H arch_bridge.2 [EG11_012]","H FC01.1_R.1 [EG11_012]","H FC01.1_R.2 [EG11_012]","H FC04.1_C.1 [EG11_012]","H FC04.1_C.2 [EG11_012]"
      68,          1.116667,     41.4740,     40.8459,     49.8368,     47.3675,     43.3490,     42.7536
      69,          1.133333,     41.4823,     40.8505,     49.8305,     47.3584,     43.3490,     42.7540
      70,          1.150000,     41.4885,     40.8540,     49.8229,     47.3480,     43.3490,     42.7504
      71,          1.166667,     41.4922,     40.8562,     49.8151,     47.3366,     43.3490,     42.7490
      72,          1.183333,     41.4933,     40.8572,     49.8070,     47.3246,     43.3490,     42.7490
      73,          1.200000,     41.4916,     40.8568,     49.7979,     47.3115,     43.3490,     42.7490
      74,          1.216667,     41.4872,     40.8550,     49.7885,     47.2973,     43.3490,     42.7490
      75,          1.233333,     41.4799,     40.8518,     49.7788,     47.2826,     43.3490,     42.7490
      76,          1.250000,     41.4700,     40.8473,     49.7688,     47.2672,     43.3490,     42.7490
      77,          1.266667,     41.4575,     40.8413,     49.7583,     47.2515,     43.3490,     42.7490
      78,          1.283333,     41.4425,     40.8342,     49.7459,     47.2333,     43.3490,     42.7490
      79,          1.300000,     41.4251,     40.8258,     49.7323,     47.2122,     43.3490,     42.7490
      80,          1.316667,     41.4055,     40.8162,     49.7177,     47.1894,     43.3490,     42.7490
      81,          1.333333,     41.3837,     40.8055,     49.7024,     47.1650,     43.3490,     42.7490
      82,          1.350000,     41.3596,     40.7936,     49.6864,     47.1396,     43.3490,     42.7490
      83,          1.366667,     41.3328,     40.7804,     49.6696,     47.1130,     43.3490,     42.7490
      84,          1.383333,     41.3035,     40.7658,     49.6519,     47.0847,     43.3490,     42.7490
      85,          1.400000,     41.2716,     40.7499,     49.6332,     47.0549,     43.3490,     42.7490
      86,          1.416667,     41.2372,     40.7325,     49.6134,     47.0247,     43.3490,     42.7490
      87,          1.433333,     41.2005,     40.7139,     49.5923,     46.9922,     43.3490,     42.7490
      88,          1.450000,     41.1619,     40.6940,     49.5705,     46.9602,     43.3490,     42.7490
      89,          1.466667,     41.1211,     40.6729,     49.5475,     46.9282,     43.3490,     42.7490
      90,          1.483333,     41.0785,     40.6506,     49.5225,     46.8969,     43.3490,     42.7490
      91,          1.500000,     41.0353,     40.6263,     49.4957,     46.8647,     43.3490,     42.7490
      92,          1.516667,     40.9926,     40.6003,     49.4665,     46.8333,     43.3490,     42.7490
      93,          1.533333,     40.9499,     40.5737,     49.4346,     46.8037,     43.3490,     42.7490
      94,          1.550000,     40.9076,     40.5468,     49.3983,     46.7790,     43.3490,     42.7490
      95,          1.566667,     40.8659,     40.5200,     49.3553,     46.7539,     43.3490,     42.7490
      96,          1.583333,     40.8256,     40.4934,     49.3043,     46.7404,     43.3490,     42.7490
      97,          1.600000,     40.7865,     40.4670,     49.2459,     46.7241,     43.3490,     42.7490
      98,          1.616667,     40.7488,     40.4412,     49.1842,     46.7114,     43.3490,     42.7490
      99,          1.633333,     40.7131,     40.4161,     49.1184,     46.6986,     43.3490,     42.7490
     100,          1.650000,     40.6797,     40.3919,     49.0486,     46.6848,     43.3490,     42.7490
     101,          1.666667,     40.6492,     40.3691,     48.9737,     46.6643,     43.3490,     42.7490
     102,          1.683333,     40.6215,     40.3478,     48.8940,     46.6499,     43.3490,     42.7490
     103,          1.700000,     40.5952,     40.3274,     48.8082,     46.6305,     43.3490,     42.7490
     104,          1.716667,     40.5707,     40.3080,     48.7158,     46.6096,     43.3490,     42.7490
     105,          1.733333,     40.5483,     40.2899,     48.6173,     46.5869,     43.3490,     42.7490
     106,          1.750000,     40.5271,     40.2724,     48.5123,     46.5621,     43.3490,     42.7490
     107,          1.766667,     40.5067,     40.2558,     48.4007,     46.5341,     43.3490,     42.7490
     108,          1.783333,     40.4864,     40.2394,     48.2870,     46.5031,     43.3490,     42.7490
     109,          1.800000,     40.4659,     40.2231,     48.1716,     46.4710,     43.3490,     42.7490
     110,          1.816667,     40.4448,     40.2063,     48.0531,     46.4364,     43.3490,     42.7490
     111,          1.833333,     40.4229,     40.1889,     47.9329,     46.3989,     43.3490,     42.7490
     112,          1.850000,     40.4000,     40.1708,     47.8117,     46.3584,     43.3490,     42.7490
     113,          1.866667,     40.3756,     40.1514,     47.6916,     46.3148,     43.3490,     42.7490
     114,          1.883333,     40.3495,     40.1306,     47.5810,     46.2632,     43.3490,     42.7490
     115,          1.900000,     40.3214,     40.1080,     47.4901,     46.2067,     43.3490,     42.7490
     116,          1.916667,     40.2910,     40.0832,     47.4118,     46.1525,     43.3490,     42.7490
     117,          1.933333,     40.2584,     40.0563,     47.3454,     46.1022,     43.3490,     42.7490
     118,          1.950000,     40.2233,     40.0270,     47.2890,     46.0570,     43.3490,     42.7490
     119,          1.966667,     40.1856,     39.9955,     47.2427,     46.0202,     43.3490,     42.7490
     120,          1.983333,     40.1457,     39.9618,     47.2039,     45.9888,     43.3490,     42.7490
     121,          2.000000,     40.1037,     39.9260,     47.1710,     45.9622,     43.3490,     42.7490
     122,          2.016667,     40.0597,     39.8883,     47.1431,     45.9398,     43.3490,     42.7490
     123,          2.033334,     40.0141,     39.8488,     47.1162,     45.9195,     43.3490,     42.7490
     124,          2.050000,     39.9676,     39.8079,     47.0900,     45.9003,     43.3490,     42.7490
     125,          2.066667,     39.9203,     39.7657,     47.0634,     45.8814,     43.3490,     42.7490
     126,          2.083333,     39.8733,     39.7229,     47.0360,     45.8622,     43.3490,     42.7490
     127,          2.100000,     39.8279,     39.6813,     47.0083,     45.8426,     43.3490,     42.7490
     128,          2.116667,     39.7847,     39.6411,     46.9797,     45.8224,     43.3490,     42.7490
     129,          2.133333,     39.7447,     39.6032,     46.9490,     45.8008,     43.3490,     42.7490
     130,          2.150000,     39.7067,     39.5670,     46.9165,     45.7781,     43.3490,     42.7490
     131,          2.166667,     39.6708,     39.5327,     46.8827,     45.7537,     43.3490,     42.7490
     132,          2.183333,     39.6378,     39.5008,     46.8498,     45.7268,     43.3490,     42.7490
     133,          2.200000,     39.6074,     39.4716,     46.8155,     45.7014,     43.3490,     42.7490
     134,          2.216667,     39.5789,     39.4442,     46.7873,     45.6772,     43.3490,     42.7490
     135,          2.233333,     39.5518,     39.4181,     46.7640,     45.6560,     43.3490,     42.7490
     136,          2.250000,     39.5257,     39.3930,     46.7438,     45.6373,     43.3490,     42.7490
     137,          2.266667,     39.5001,     39.3684,     46.7264,     45.6204,     43.3490,     42.7490
     138,          2.283334,     39.4747,     39.3441,     46.7108,     45.6052,     43.3490,     42.7490
     139,          2.300000,     39.4496,     39.3201,     46.6944,     45.5908,     43.3490,     42.7490
     140,          2.316667,     39.4253,     39.2966,     46.6785,     45.5769,     43.3490,     42.7490
     141,          2.333333,     39.4010,     39.2732,     46.6610,     45.5626,     43.3490,     42.7490
     142,          2.350000,     39.3772,     39.2501,     46.6427,     45.5477,     43.3490,     42.7490
     143,          2.366667,     39.3541,     39.2274,     46.6275,     45.5340,     43.3490,     42.7490
     144,          2.383333,     39.3334,     39.2066,     46.6098,     45.5188,     43.3490,     42.7490
     145,          2.400000,     39.3137,     39.1872,     46.5940,     45.5036,     43.3490,     42.7490
     146,          2.416667,     39.2932,     39.1672,     46.5788,     45.4879,     43.3490,     42.7490
     147,          2.433333,     39.2738,     39.1479,     46.5649,     45.4741,     43.3490,     42.7490
     148,          2.450000,     39.2545,     39.1289,     46.5532,     45.4621,     43.3490,     42.7490
     149,          2.466667,     39.2360,     39.1106,     46.5408,     45.4504,     43.3490,     42.7490
     150,          2.483333,     39.2175,     39.0916,     46.5251,     45.4373,     43.3490,     42.7490
     151,          2.500000,     39.2003,     39.0743,     46.5080,     45.4226,     43.3490,     42.7490
     152,          2.516667,     39.1840,     39.0578,     46.4903,     45.4072,     43.3490,     42.7490
     153,          2.533334,     39.1678,     39.0414,     46.4722,     45.3916,     43.3490,     42.7490
     154,          2.550000,     39.1529,     39.0260,     46.4557,     45.3760,     43.3490,     42.7490
     155,          2.566667,     39.1383,     39.0108,     46.4384,     45.3606,     43.3490,     42.7490
     156,          2.583333,     39.1238,     38.9946,     46.4193,     45.3441,     43.3490,     42.7490
     157,          2.600000,     39.1094,     38.9783,     46.3987,     45.3261,     43.3490,     42.7490
     158,          2.616667,     39.0923,     38.9575,     46.3794,     45.3085,     43.3490,     42.7490
     159,          2.633333,     39.0774,     38.9408,     46.3620,     45.2916,     43.3490,     42.7490
     160,          2.650000,     39.0616,     38.9235,     46.3477,     45.2759,     43.3490,     42.7490
     161,          2.666667,     39.0466,     38.9066,     46.3311,     45.2608,     43.3490,     42.7490
     162,          2.683333,     39.0320,     38.8899,     46.3151,     45.2457,     43.3490,     42.7490
     163,          2.700000,     39.0161,     38.8718,     46.2997,     45.2308,     43.3490,     42.7490
     164,          2.716667,     39.0001,     38.8531,     46.2832,     45.2155,     43.3490,     42.7490
     165,          2.733334,     38.9849,     38.8345,     46.2654,     45.1993,     43.3490,     42.7490
     166,          2.750000,     38.9684,     38.8153,     46.2475,     45.1830,     43.3490,     42.7490
     167,          2.766667,     38.9535,     38.7976,     46.2284,     45.1660,     43.3490,     42.7490
     168,          2.783334,     38.9400,     38.7793,     46.2131,     45.1500,     43.3490,     42.7490
     169,          2.800000,     38.9235,     38.7602,     46.1915,     45.1301,     43.3490,     42.7490
     170,          2.816667,     38.9059,     38.7355,     46.1686,     45.1073,     43.3490,     42.7490
     171,          2.833333,     38.8902,     38.7135,     46.1455,     45.0837,     43.3490,     42.7490
     172,          2.850000,     38.8765,     38.6922,     46.1219,     45.0564,     43.3490,     42.7490
     173,          2.866667,     38.8655,     38.6727,     46.0978,     45.0261,     43.3490,     42.7490
     174,          2.883333,     38.8541,     38.6533,     46.0740,     44.9934,     43.3490,     42.7490
     175,          2.900000,     38.8430,     38.6328,     46.0494,     44.9573,     43.3490,     42.7490
     176,          2.916667,     38.8322,     38.6118,     46.0251,     44.9213,     43.3490,     42.7490
     177,          2.933333,     38.8234,     38.5900,     46.0001,     44.8836,     43.3490,     42.7490
     178,          2.950000,     38.8186,     38.5678,     45.9770,     44.8498,     43.3490,     42.7490
     179,          2.966667,     38.8155,     38.5467,     45.9561,     44.8198,     43.3490,     42.7490
     180,          2.983334,     38.8115,     38.5224,     45.9359,     44.7909,     43.3490,     42.7490
     181,          3.000000,     38.8140,     38.5015,     45.9153,     44.7619,     43.3490,     42.7490
