"EG11_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_011.tcf]","Time (h)","H FC01.1_R.1 [EG11_011]","H FC01.1_R.2 [EG11_011]","H FC04.1_C.1 [EG11_011]","H FC04.1_C.2 [EG11_011]","H SP_001.1 [EG11_011]","H SP_001.2 [EG11_011]"
       1,          0.000000,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
       2,          0.016667,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
       3,          0.033333,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
       4,          0.050000,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
       5,          0.066667,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
       6,          0.083333,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
       7,          0.100000,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
       8,          0.116667,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
       9,          0.133333,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
      10,          0.150000,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
      11,          0.166667,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
      12,          0.183333,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
      13,          0.200000,     45.3990,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
      14,          0.216667,     45.6237,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
      15,          0.233333,     45.7619,     44.4990,     43.3490,     42.7490,     41.9990,     41.9990
      16,          0.250000,     45.8464,     44.5575,     43.3490,     42.7490,     41.9990,     41.9990
      17,          0.266667,     45.9071,     44.6491,     43.3490,     42.7490,     41.9990,     41.9990
      18,          0.283333,     45.9555,     44.7121,     43.3490,     42.7490,     41.9990,     41.9990
      19,          0.300000,     45.9931,     44.7739,     43.3490,     42.7490,     41.9990,     41.9990
      20,          0.316667,     46.0437,     44.8294,     43.3490,     42.7490,     41.9990,     41.9990
      21,          0.333333,     46.0928,     44.8838,     43.3490,     42.7490,     41.9990,     41.9990
      22,          0.350000,     46.1405,     44.9362,     43.3490,     42.7490,     41.9990,     41.9990
      23,          0.366667,     46.1908,     44.9906,     43.3490,     42.7490,     41.9990,     41.9990
      24,          0.383333,     46.2516,     45.0556,     43.3490,     42.7490,     41.9990,     41.9990
      25,          0.400000,     46.3118,     45.1270,     43.3490,     42.7490,     41.9990,     41.9990
      26,          0.416667,     46.3793,     45.1949,     43.3490,     42.7490,     41.9990,     41.9990
      27,          0.433333,     46.4561,     45.2654,     43.3490,     42.7490,     41.9990,     41.9990
      28,          0.450000,     46.5446,     45.3376,     43.3490,     42.7490,     41.9990,     41.9990
      29,          0.466667,     46.6340,     45.4233,     43.3490,     42.7490,     41.9990,     41.9990
      30,          0.483333,     46.7579,     45.5129,     43.3490,     42.7490,     41.9990,     41.9990
      31,          0.500000,     46.8806,     45.6049,     43.3490,     42.7490,     41.9990,     41.9990
      32,          0.516667,     47.0061,     45.6978,     43.3490,     42.7490,     41.9990,     41.9990
      33,          0.533333,     47.1748,     45.8126,     43.3490,     42.7490,     41.9990,     41.9990
      34,          0.550000,     47.3955,     45.9614,     43.3490,     42.7490,     41.9990,     41.9990
      35,          0.566667,     47.6475,     46.1224,     43.3490,     42.7490,     41.9990,     41.9990
      36,          0.583333,     47.9195,     46.2529,     43.3490,     42.7490,     41.9990,     41.9990
      37,          0.600000,     48.1986,     46.3624,     43.3490,     42.7490,     41.9990,     41.9990
      38,          0.616667,     48.4590,     46.4562,     43.3490,     42.7490,     41.9990,     41.9990
      39,          0.633333,     48.6977,     46.5295,     43.3490,     42.7490,     41.9990,     41.9990
      40,          0.650000,     48.9214,     46.5914,     43.3490,     42.7490,     41.9990,     41.9990
      41,          0.666667,     49.1397,     46.6501,     43.3490,     42.7490,     41.9990,     41.9990
      42,          0.683333,     49.3516,     46.6989,     43.3490,     42.7490,     41.9990,     41.9990
      43,          0.700000,     49.5245,     46.8061,     43.3490,     42.7490,     41.9990,     41.9990
      44,          0.716667,     49.6448,     46.9560,     43.3490,     42.7490,     41.9990,     41.9990
      45,          0.733333,     49.7222,     47.0987,     43.3490,     42.7490,     41.9990,     41.9990
      46,          0.750000,     49.7705,     47.2083,     43.3490,     42.7490,     41.9990,     41.9990
      47,          0.766667,     49.8011,     47.2798,     43.3490,     42.7490,     41.9990,     41.9990
      48,          0.783333,     49.8184,     47.3204,     43.3490,     42.7490,     41.9990,     41.9990
      49,          0.800000,     49.8290,     47.3432,     43.3490,     42.7490,     42.0204,     41.9990
      50,          0.816667,     49.8365,     47.3573,     43.3490,     42.7490,     42.1589,     41.9990
      51,          0.833333,     49.8421,     47.3674,     43.3490,     42.7490,     42.2888,     41.9990
      52,          0.850000,     49.8464,     47.3752,     43.3490,     42.7490,     42.4054,     41.9990
      53,          0.866667,     49.8490,     47.3804,     43.3490,     42.7490,     42.5091,     41.9990
      54,          0.883333,     49.8508,     47.3837,     43.3490,     42.7602,     42.6001,     41.9990
      55,          0.900000,     49.8524,     47.3863,     43.3490,     42.8190,     42.6809,     41.9990
      56,          0.916667,     49.8537,     47.3884,     43.3490,     42.8697,     42.7526,     41.9990
      57,          0.933333,     49.8548,     47.3903,     43.3490,     42.9226,     42.8163,     41.9990
      58,          0.950000,     49.8551,     47.3912,     43.3490,     42.9657,     42.8740,     41.9990
      59,          0.966667,     49.8550,     47.3913,     43.3490,     43.0050,     42.9263,     41.9990
      60,          0.983333,     49.8548,     47.3910,     43.3490,     43.0935,     42.9734,     41.9990
      61,          1.000000,     49.8544,     47.3905,     43.3490,     43.1520,     43.0213,     41.9990
      62,          1.016667,     49.8538,     47.3898,     43.3490,     43.1828,     43.0698,     41.9990
      63,          1.033333,     49.8521,     47.3880,     43.3490,     43.2191,     43.1127,     41.9990
      64,          1.050000,     49.8500,     47.3852,     43.3490,     43.2537,     43.1527,     41.9990
      65,          1.066667,     49.8477,     47.3819,     43.3490,     43.2934,     43.1892,     41.9990
      66,          1.083333,     49.8452,     47.3783,     43.3490,     43.3245,     43.2245,     41.9990
