"EG11_002 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_002.tcf]","Time (h)","SQ FC04.1 [EG11_002]","SQ FC01.2 [EG11_002]","SQ FC01.1 [EG11_002]"
       1,          0.000000,      0.0000,      0.0000,      0.0000
       2,          0.016667,      0.0000,      0.0000,      0.0000
       3,          0.033333,      0.0000,      0.0000,      0.0000
       4,          0.050000,      0.0000,      0.0000,      0.0000
       5,          0.066667,      0.0000,      0.0000,      0.0000
       6,          0.083333,      0.0000,      0.0000,      0.0000
       7,          0.100000,      0.0000,      0.0000,      0.0000
       8,          0.116667,      0.0000,      0.0000,      0.0000
       9,          0.133333,      0.0000,      0.0000,      0.0000
      10,          0.150000,      0.0000,      0.0000,      0.0000
      11,          0.166667,      0.0000,      0.0000,      0.0000
      12,          0.183333,      0.0000,      0.0000,      0.0000
      13,          0.200000,      0.0000,      0.0000,      0.0000
      14,          0.216667,      0.0000,      0.0000,      0.9389
      15,          0.233333,      0.0000,      0.0000,      1.8944
      16,          0.250000,      0.0000,      0.0000,      2.5674
      17,          0.266667,      0.0000,      0.0000,      3.0813
      18,          0.283333,      0.0000,      0.0000,      3.5168
      19,          0.300000,      0.0000,      0.0000,      3.8560
      20,          0.316667,      0.0000,      0.0000,      4.3418
      21,          0.333333,      0.0000,      0.0000,      4.8433
      22,          0.350000,      0.0000,      0.0000,      5.3513
      23,          0.366667,      0.0000,      0.0000,      5.8974
      24,          0.383333,      0.0000,      0.0000,      6.5937
      25,          0.400000,      0.0000,      0.0000,      7.4196
      26,          0.416667,      0.0000,      0.0000,      8.1661
      27,          0.433333,      0.0000,      0.0000,      9.0879
      28,          0.450000,      0.0000,      0.0000,     10.2233
      29,          0.466667,      0.0000,      0.0000,     11.4843
      30,          0.483333,      0.0000,      0.0000,     13.2237
      31,          0.500000,      0.0000,      0.0000,     15.1927
      32,          0.516667,      0.0000,      0.8035,     17.1386
      33,          0.533333,      0.0000,      2.7109,     20.0416
      34,          0.550000,      0.0000,      3.7536,     24.0032
      35,          0.566667,      0.0000,      4.6748,     28.6866
      36,          0.583333,      0.0000,      5.6706,     33.3662
      37,          0.600000,      0.0000,      6.8609,     37.4206
      38,          0.616667,      0.0000,      8.4484,     42.2720
      39,          0.633333,      0.0000,     10.4642,     45.9290
      40,          0.650000,      0.0000,     12.8100,     48.4786
      41,          0.666667,      0.0000,     15.9887,     49.6582
      42,          0.683333,      0.0000,     20.3091,     50.6141
      43,          0.700000,      0.0000,     25.0078,     51.4945
      44,          0.716667,      0.0000,     29.3689,     52.1359
      45,          0.733333,      0.0000,     33.2956,     52.6102
      46,          0.750000,      0.0000,     37.2090,     52.9833
      47,          0.766667,      0.0000,     41.2119,     53.2992
      48,          0.783333,      0.0000,     45.0501,     53.4673
      49,          0.800000,      0.0000,     49.0147,     53.5278
      50,          0.816667,      0.0000,     52.8634,     53.5658
      51,          0.833333,      0.0000,     56.7125,     53.5960
      52,          0.850000,      0.0000,     60.3244,     53.6211
      53,          0.866667,      0.0000,     63.6681,     53.6333
      54,          0.883333,      0.0000,     66.5836,     53.6368
      55,          0.900000,      0.0000,     69.1495,     53.6411
      56,          0.916667,      0.0000,     71.3792,     53.6456
      57,          0.933333,      0.0000,     73.3063,     53.6492
      58,          0.950000,      0.0000,     74.9624,     53.6477
      59,          0.966667,      0.0000,     76.3738,     53.6454
      60,          0.983333,      0.0000,     77.5957,     53.6430
      61,          1.000000,      0.0000,     78.6864,     53.6408
      62,          1.016667,      0.0000,     79.6591,     53.6380
      63,          1.033333,      0.0000,     80.5073,     53.6289
      64,          1.050000,      0.0000,     81.2580,     53.6187
      65,          1.066667,      0.0000,     81.9703,     53.6064
      66,          1.083333,      0.0000,     82.6915,     53.5966
      67,          1.100000,      0.0000,     83.3647,     53.5847
      68,          1.116667,      0.0000,     83.9583,     53.5574
      69,          1.133333,      0.0000,     84.4752,     53.5152
      70,          1.150000,      0.0000,     84.9147,     53.4705
      71,          1.166667,      0.0000,     85.2756,     53.4296
      72,          1.183333,      0.0000,     85.5554,     53.3756
      73,          1.200000,      0.0000,     85.7513,     53.3115
      74,          1.216667,      0.0000,     85.8619,     53.2539
      75,          1.233333,      0.0000,     85.8878,     53.1630
      76,          1.250000,      0.0000,     85.8304,     53.0559
      77,          1.266667,      0.0000,     85.6894,     52.8967
      78,          1.283333,      0.0000,     85.4676,     52.7218
      79,          1.300000,      0.0000,     85.1684,     52.5073
      80,          1.316667,      0.0000,     84.7961,     52.2845
      81,          1.333333,      0.0000,     84.3515,     52.0448
      82,          1.350000,      0.0000,     83.8283,     51.7826
      83,          1.366667,      0.0000,     83.2212,     51.4908
      84,          1.383333,      0.0000,     82.5218,     51.1788
      85,          1.400000,      0.0000,     81.7248,     50.7945
      86,          1.416667,      0.0000,     80.8248,     50.3643
      87,          1.433333,      0.0000,     79.8243,     49.9182
      88,          1.450000,      0.0000,     78.7225,     49.3607
      89,          1.466667,      0.0000,     77.5205,     48.8186
      90,          1.483333,      0.0000,     76.2177,     48.2511
