"EG11_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_007.tcf]","Time (h)","Q FC01.1 [EG11_007]","Q FC01.2 [EG11_007]","Q FC04.1 [EG11_007]"
       1,          0.000000,           0.000,           0.000,           0.000
       2,          0.016667,           0.000,           0.000,           0.000
       3,          0.033333,           0.000,           0.000,           0.000
       4,          0.050000,           0.000,           0.000,           0.000
       5,          0.066667,           0.000,           0.000,           0.000
       6,          0.083333,           0.000,           0.000,           0.000
       7,          0.100000,           0.000,           0.000,           0.000
       8,          0.116667,           0.000,           0.000,           0.000
       9,          0.133333,           0.000,           0.000,           0.000
      10,          0.150000,           0.000,           0.000,           0.000
      11,          0.166667,           0.000,           0.000,           0.000
      12,          0.183333,           0.000,           0.000,           0.000
      13,          0.200000,           0.000,           0.000,           0.000
      14,          0.216667,           0.000,           0.000,           0.000
      15,          0.233333,           0.000,           0.000,           0.000
      16,          0.250000,           0.000,           0.000,           0.000
      17,          0.266667,           0.000,           0.000,           0.000
      18,          0.283333,           0.000,           0.000,           0.000
      19,          0.300000,           0.000,           0.000,           0.000
      20,          0.316667,           0.000,           0.000,           0.000
      21,          0.333333,           0.000,           0.000,           0.000
      22,          0.350000,           0.006,           0.000,           0.000
      23,          0.366667,           0.466,           0.000,           0.000
      24,          0.383333,           1.373,           0.000,           0.000
      25,          0.400000,           2.399,           0.000,           0.000
      26,          0.416667,           3.544,           0.000,           0.000
      27,          0.433333,           4.649,           0.000,           0.000
      28,          0.450000,           5.887,           0.000,           0.000
      29,          0.466667,           7.210,           0.000,           0.000
      30,          0.483333,           8.600,           0.000,           0.000
      31,          0.500000,          10.024,           0.000,           0.000
      32,          0.516667,          11.441,           0.000,           0.000
      33,          0.533333,          13.441,           0.000,           0.000
      34,          0.550000,          15.995,           0.000,           0.000
      35,          0.566667,          18.863,           0.000,           0.000
      36,          0.583333,          21.844,           0.000,           0.000
      37,          0.600000,          24.818,           0.000,           0.000
      38,          0.616667,          27.503,           0.000,           0.000
      39,          0.633333,          29.757,           0.000,           0.000
      40,          0.650000,          31.914,           0.000,           0.000
      41,          0.666667,          33.866,           0.376,           0.000
      42,          0.683333,          35.535,           5.267,           0.000
      43,          0.700000,          35.773,          10.892,           0.000
      44,          0.716667,          35.538,          16.514,           0.000
      45,          0.733333,          35.386,          22.000,           0.000
      46,          0.750000,          35.256,          27.408,           0.000
      47,          0.766667,          35.162,          32.943,           0.000
      48,          0.783333,          35.084,          36.252,           0.000
      49,          0.800000,          35.028,          39.875,           0.000
      50,          0.816667,          34.988,          43.444,           0.000
      51,          0.833333,          34.957,          46.667,           0.000
      52,          0.850000,          34.933,          49.544,           0.000
      53,          0.866667,          34.907,          52.082,           0.000
      54,          0.883333,          34.893,          54.316,           0.000
      55,          0.900000,          34.884,          56.291,           0.000
      56,          0.916667,          34.878,          58.047,           0.000
      57,          0.933333,          34.872,          59.606,           0.000
      58,          0.950000,          34.864,          61.004,           0.000
      59,          0.966667,          34.859,          62.277,           0.000
      60,          0.983333,          34.857,          63.448,           0.000
      61,          1.000000,          34.857,          64.517,           0.000
      62,          1.016667,          34.856,          65.497,           0.000
      63,          1.033333,          34.850,          66.421,           0.000
      64,          1.050000,          34.850,          67.357,           0.000
      65,          1.066667,          34.853,          68.253,           0.000
      66,          1.083333,          34.859,          69.079,           0.000
      67,          1.100000,          34.862,          69.841,           0.000
      68,          1.116667,          34.855,          70.552,           0.000
      69,          1.133333,          34.860,          71.192,           0.000
      70,          1.150000,          34.866,          71.766,           0.000
      71,          1.166667,          34.866,          72.272,           0.000
      72,          1.183333,          34.871,          72.704,           0.000
      73,          1.200000,          34.882,          73.068,           0.000
      74,          1.216667,          34.898,          73.357,           0.000
      75,          1.233333,          34.922,          73.579,           0.000
      76,          1.250000,          34.944,          73.738,           0.000
      77,          1.266667,          34.941,          73.837,           0.000
      78,          1.283333,          34.935,          73.881,           0.000
      79,          1.300000,          34.934,          73.875,           0.000
      80,          1.316667,          34.954,          73.825,           0.000
      81,          1.333333,          34.942,          73.731,           0.000
      82,          1.350000,          34.919,          73.590,           0.000
      83,          1.366667,          34.876,          73.403,           0.000
      84,          1.383333,          34.372,          73.178,           0.000
      85,          1.400000,          33.808,          72.915,           0.000
      86,          1.416667,          33.223,          72.614,           0.000
      87,          1.433333,          32.594,          72.274,           0.000
      88,          1.450000,          31.976,          71.894,           0.000
      89,          1.466667,          31.339,          71.474,           0.000
      90,          1.483333,          30.695,          71.015,           0.000
      91,          1.500000,          30.038,          70.515,           0.000
      92,          1.516667,          29.370,          69.972,           0.000
      93,          1.533333,          28.561,          69.383,           0.000
      94,          1.550000,          27.758,          68.750,           0.000
      95,          1.566667,          27.001,          68.070,           0.000
      96,          1.583333,          26.235,          67.354,           0.000
      97,          1.600000,          25.384,          66.602,           0.000
      98,          1.616667,          24.638,          65.806,           0.000
      99,          1.633333,          23.967,          64.958,           0.000
     100,          1.650000,          23.371,          64.066,           0.000
     101,          1.666667,          22.817,          63.132,           0.000
     102,          1.683333,          22.310,          62.153,           0.000
     103,          1.700000,          21.714,          61.133,           0.000
     104,          1.716667,          21.120,          60.069,           0.000
     105,          1.733333,          20.553,          58.964,           0.000
     106,          1.750000,          19.968,          57.820,           0.000
     107,          1.766667,          19.429,          56.646,           0.000
     108,          1.783333,          18.946,          55.442,           0.000
     109,          1.800000,          18.518,          54.203,           0.000
     110,          1.816667,          18.132,          52.914,           0.000
     111,          1.833333,          17.781,          51.581,           0.000
     112,          1.850000,          17.456,          50.204,           0.000
     113,          1.866667,          17.161,          48.786,           0.000
     114,          1.883333,          16.888,          47.315,           0.000
     115,          1.900000,          16.632,          45.824,           0.000
     116,          1.916667,          16.389,          44.322,           0.000
     117,          1.933333,          16.156,          42.811,           0.000
     118,          1.950000,          15.941,          41.301,           0.000
     119,          1.966667,          15.741,          39.786,           0.000
     120,          1.983333,          15.552,          38.270,           0.000
     121,          2.000000,          15.371,          36.763,           0.000
     122,          2.016667,          15.196,          35.276,           0.000
     123,          2.033334,          15.006,          33.835,           0.000
     124,          2.050000,          14.802,          32.445,           0.000
     125,          2.066667,          14.592,          31.094,           0.000
     126,          2.083333,          14.371,          29.805,           0.000
     127,          2.100000,          14.139,          28.552,           0.000
     128,          2.116667,          13.879,          27.355,           0.000
     129,          2.133333,          13.595,          26.250,           0.000
     130,          2.150000,          13.255,          25.218,           0.000
     131,          2.166667,          12.923,          24.270,           0.000
     132,          2.183333,          12.562,          23.394,           0.000
     133,          2.200000,          12.248,          22.459,           0.000
     134,          2.216667,          11.975,          21.466,           0.000
     135,          2.233333,          11.727,          20.622,           0.000
     136,          2.250000,          11.502,          19.882,           0.000
     137,          2.266667,          11.295,          19.207,           0.000
     138,          2.283334,          11.092,          18.600,           0.000
     139,          2.300000,          10.892,          18.048,           0.000
     140,          2.316667,          10.695,          17.536,           0.000
     141,          2.333333,          10.499,          17.061,           0.000
     142,          2.350000,          10.304,          16.604,           0.000
     143,          2.366667,          10.123,          16.164,           0.000
     144,          2.383333,           9.953,          15.750,           0.000
     145,          2.400000,           9.791,          15.366,           0.000
     146,          2.416667,           9.636,          15.003,           0.000
     147,          2.433333,           9.493,          14.657,           0.000
     148,          2.450000,           9.333,          14.327,           0.000
     149,          2.466667,           9.170,          14.006,           0.000
     150,          2.483333,           9.002,          13.698,           0.000
     151,          2.500000,           8.828,          13.399,           0.000
     152,          2.516667,           8.650,          13.114,           0.000
     153,          2.533334,           8.467,          12.841,           0.000
     154,          2.550000,           8.274,          12.582,           0.000
     155,          2.566667,           8.084,          12.331,           0.000
     156,          2.583333,           7.891,          12.088,           0.000
     157,          2.600000,           7.688,          11.845,           0.000
     158,          2.616667,           7.501,          11.621,           0.000
     159,          2.633333,           7.320,          11.400,           0.000
     160,          2.650000,           7.145,          11.185,           0.000
     161,          2.666667,           6.978,          10.966,           0.000
     162,          2.683333,           6.815,          10.745,           0.000
     163,          2.700000,           6.647,          10.519,           0.000
     164,          2.716667,           6.470,          10.297,           0.000
     165,          2.733334,           6.287,          10.074,           0.000
     166,          2.750000,           6.102,           9.853,           0.000
     167,          2.766667,           5.913,           9.634,           0.000
     168,          2.783334,           5.717,           9.415,           0.000
     169,          2.800000,           5.517,           9.197,           0.000
     170,          2.816667,           5.311,           8.980,           0.000
     171,          2.833333,           5.104,           8.764,           0.000
     172,          2.850000,           4.890,           8.544,           0.000
     173,          2.866667,           4.680,           8.325,           0.000
     174,          2.883333,           4.472,           8.109,           0.000
     175,          2.900000,           4.264,           7.899,           0.000
     176,          2.916667,           4.058,           7.697,           0.000
     177,          2.933333,           3.853,           7.499,           0.000
     178,          2.950000,           3.661,           7.300,           0.000
     179,          2.966667,           3.481,           7.094,           0.000
     180,          2.983334,           3.309,           6.887,           0.000
     181,          3.000000,           3.146,           6.682,           0.000
