"EG11_011 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_011.tcf]","Time (h)","SQ FC04.1_C [EG11_011]","SQ SP_001 [EG11_011]","SQ FC01.1_R [EG11_011]"
     114,          1.883333,      0.0504,     48.9935,     26.6954
     115,          1.900000,      0.0469,     48.3002,     25.0431
     116,          1.916667,      0.0437,     47.5837,     23.6499
     117,          1.933333,      0.0408,     46.8392,     22.4849
     118,          1.950000,      0.0381,     46.0668,     21.5155
     119,          1.966667,      0.0357,     45.2738,     20.7295
     120,          1.983333,      0.0334,     44.4619,     20.0775
     121,          2.000000,      0.0314,     43.6396,     19.5301
     122,          2.016667,      0.0294,     42.8171,     19.0688
     123,          2.033334,      0.0277,     41.9934,     18.6280
     124,          2.050000,      0.0261,     41.1760,     18.2020
     125,          2.066667,      0.0247,     40.3661,     17.7744
     126,          2.083333,      0.0233,     39.5733,     17.3406
     127,          2.100000,      0.0220,     38.7845,     16.9055
     128,          2.116667,      0.0209,     38.0117,     16.4513
     129,          2.133333,      0.0198,     37.2522,     15.9753
     130,          2.150000,      0.0188,     36.5029,     15.4756
     131,          2.166667,      0.0178,     35.7653,     14.9615
     132,          2.183333,      0.0169,     35.0380,     14.4671
     133,          2.200000,      0.0161,     34.3241,     13.9568
     134,          2.216667,      0.0153,     33.6172,     13.5402
     135,          2.233333,      0.0146,     32.9209,     13.1990
     136,          2.250000,      0.0139,     32.2278,     12.9098
     137,          2.266667,      0.0133,     31.5474,     12.6581
     138,          2.283334,      0.0127,     30.8763,     12.4355
     139,          2.300000,      0.0121,     30.2211,     12.2033
     140,          2.316667,      0.0116,     29.5766,     11.9599
     141,          2.333333,      0.0111,     28.9448,     11.7337
     142,          2.350000,      0.0106,     28.3230,     11.4823
     143,          2.366667,      0.0102,     27.7172,     11.2718
     144,          2.383333,      0.0098,     27.1225,     11.0287
     145,          2.400000,      0.0094,     26.5385,     10.8119
     146,          2.416667,      0.0090,     25.9676,     10.6100
     147,          2.433333,      0.0087,     25.4069,     10.4202
     148,          2.450000,      0.0083,     24.8612,     10.2592
     149,          2.466667,      0.0080,     24.3215,     10.0970
     150,          2.483333,      0.0077,     23.7926,      9.8894
     151,          2.500000,      0.0074,     23.2729,      9.6625
     152,          2.516667,      0.0071,     22.7726,      9.4338
     153,          2.533334,      0.0069,     22.2814,      9.1991
     154,          2.550000,      0.0066,     21.8001,      8.9880
     155,          2.566667,      0.0064,     21.3321,      8.7687
     156,          2.583333,      0.0062,     20.8785,      8.5270
     157,          2.600000,      0.0060,     20.4325,      8.2694
     158,          2.616667,      0.0057,     19.9930,      8.0311
     159,          2.633333,      0.0056,     19.5582,      7.8191
     160,          2.650000,      0.0054,     19.1353,      7.6436
     161,          2.666667,      0.0052,     18.7177,      7.4437
     162,          2.683333,      0.0050,     18.3093,      7.2565
     163,          2.700000,      0.0049,     17.9081,      7.0706
     164,          2.716667,      0.0047,     17.5115,      6.8773
     165,          2.733334,      0.0046,     17.1232,      6.6722
     166,          2.750000,      0.0044,     16.7409,      6.4674
     167,          2.766667,      0.0043,     16.3677,      6.2471
     168,          2.783334,      0.0042,     15.9998,      6.0865
     169,          2.800000,      0.0040,     15.6411,      5.8371
     170,          2.816667,      0.0039,     15.2858,      5.5846
     171,          2.833333,      0.0038,     14.9409,      5.3354
     172,          2.850000,      0.0037,     14.5996,      5.0824
     173,          2.866667,      0.0036,     14.2684,      4.8304
     174,          2.883333,      0.0035,     13.9398,      4.5865
     175,          2.900000,      0.0034,     13.6175,      4.3381
     176,          2.916667,      0.0033,     13.2997,      4.0982
     177,          2.933333,      0.0032,     12.9879,      3.8559
     178,          2.950000,      0.0031,     12.6764,      3.6324
     179,          2.966667,      0.0030,     12.3664,      3.4248
     180,          2.983334,      0.0030,     12.0628,      3.2490
     181,          3.000000,      0.0029,     11.7636,      3.0678
