"EG11_012 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_012.tcf]","Time (h)","SQ FC04.1_C [EG11_012]","SQ arch_bridge [EG11_012]","SQ FC01.1_R [EG11_012]"
     115,          1.900000,      0.0000,     37.0003,     25.0393
     116,          1.916667,      0.0000,     36.0246,     23.6456
     117,          1.933333,      0.0000,     35.0139,     22.4840
     118,          1.950000,      0.0000,     33.9418,     21.5122
     119,          1.966667,      0.0000,     32.8156,     20.7260
     120,          1.983333,      0.0000,     31.6552,     20.0742
     121,          2.000000,      0.0000,     30.4675,     19.5273
     122,          2.016667,      0.0000,     29.2550,     19.0688
     123,          2.033334,      0.0000,     28.0365,     18.6283
     124,          2.050000,      0.0000,     26.8491,     18.2030
     125,          2.066667,      0.0000,     25.6931,     17.7754
     126,          2.083333,      0.0000,     24.6043,     17.3390
     127,          2.100000,      0.0000,     23.5921,     16.9004
     128,          2.116667,      0.0000,     22.6685,     16.4506
     129,          2.133333,      0.0000,     21.8644,     15.9744
     130,          2.150000,      0.0000,     21.1129,     15.4748
     131,          2.166667,      0.0000,     20.4214,     14.9601
     132,          2.183333,      0.0000,     19.8105,     14.4655
     133,          2.200000,      0.0000,     19.2470,     13.9550
     134,          2.216667,      0.0000,     18.7210,     13.5386
     135,          2.233333,      0.0000,     18.2228,     13.1998
     136,          2.250000,      0.0000,     17.7513,     12.9077
     137,          2.266667,      0.0000,     17.2939,     12.6568
     138,          2.283334,      0.0000,     16.8317,     12.4342
     139,          2.300000,      0.0000,     16.3835,     12.2017
     140,          2.316667,      0.0000,     15.9587,     11.9778
     141,          2.333333,      0.0000,     15.5361,     11.7332
     142,          2.350000,      0.0000,     15.1389,     11.4783
     143,          2.366667,      0.0000,     14.7647,     11.2685
     144,          2.383333,      0.0000,     14.4535,     11.0249
     145,          2.400000,      0.0000,     14.1385,     10.8103
     146,          2.416667,      0.0000,     13.8074,     10.6045
     147,          2.433333,      0.0000,     13.5037,     10.4175
     148,          2.450000,      0.0000,     13.2048,     10.2599
     149,          2.466667,      0.0000,     12.9246,     10.0956
     150,          2.483333,      0.0000,     12.6683,      9.8885
     151,          2.500000,      0.0000,     12.4193,      9.6631
     152,          2.516667,      0.0000,     12.1856,      9.4326
     153,          2.533334,      0.0000,     11.9564,      9.1988
     154,          2.550000,      0.0000,     11.7536,      8.9867
     155,          2.566667,      0.0000,     11.5486,      8.7670
     156,          2.583333,      0.0000,     11.3216,      8.5266
     157,          2.600000,      0.0000,     11.1055,      8.2689
     158,          2.616667,      0.0000,     10.8894,      8.0302
     159,          2.633333,      0.0000,     10.6743,      7.8176
     160,          2.650000,      0.0000,     10.4435,      7.6434
