"EG11_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_003.tcf]","Time (h)","H FC01.1_R.1 [EG11_003]","H FC01.1_R.2 [EG11_003]","H FC01.2_R.1 [EG11_003]","H FC01.2_R.2 [EG11_003]","H FC04.1_C.1 [EG11_003]","H FC04.1_C.2 [EG11_003]"
      68,          1.116667,     49.4662,     47.3401,     42.4188,     40.6144,     43.3490,     42.8540
      69,          1.133333,     49.4574,     47.3314,     42.4500,     40.6206,     43.3490,     42.8659
      70,          1.150000,     49.4471,     47.3212,     42.4789,     40.6263,     43.3490,     42.8764
      71,          1.166667,     49.4362,     47.3099,     42.5055,     40.6315,     43.3490,     42.8870
      72,          1.183333,     49.4244,     47.2979,     42.5298,     40.6372,     43.3490,     42.8957
      73,          1.200000,     49.4119,     47.2849,     42.5512,     40.6434,     43.3490,     42.9036
      74,          1.216667,     49.3982,     47.2716,     42.5698,     40.6501,     43.3490,     42.9103
      75,          1.233333,     49.3838,     47.2570,     42.5855,     40.6570,     43.3490,     42.9164
      76,          1.250000,     49.3682,     47.2432,     42.5988,     40.6639,     43.3490,     42.9213
      77,          1.266667,     49.3519,     47.2283,     42.6095,     40.6698,     43.3490,     42.9246
      78,          1.283333,     49.3329,     47.2113,     42.6178,     40.6750,     43.3490,     42.9269
      79,          1.300000,     49.3119,     47.1919,     42.6241,     40.6793,     43.3490,     42.9282
      80,          1.316667,     49.2892,     47.1730,     42.6283,     40.6825,     43.3490,     42.9283
      81,          1.333333,     49.2634,     47.1531,     42.6305,     40.6846,     43.3490,     42.9256
      82,          1.350000,     49.2343,     47.1336,     42.6306,     40.6856,     43.3490,     42.9218
      83,          1.366667,     49.2022,     47.1129,     42.6289,     40.6854,     43.3490,     42.9169
      84,          1.383333,     49.1667,     47.0907,     42.6255,     40.6841,     43.3490,     42.9107
      85,          1.400000,     49.1296,     47.0670,     42.6206,     40.6818,     43.3490,     42.9037
      86,          1.416667,     49.0898,     47.0413,     42.6141,     40.6788,     43.3490,     42.8958
      87,          1.433333,     49.0479,     47.0137,     42.6061,     40.6750,     43.3490,     42.8858
      88,          1.450000,     49.0046,     46.9852,     42.5968,     40.6706,     43.3490,     42.8756
      89,          1.466667,     48.9596,     46.9537,     42.5859,     40.6652,     43.3490,     42.8640
      90,          1.483333,     48.9118,     46.9250,     42.5734,     40.6599,     43.3490,     42.8507
      91,          1.500000,     48.8610,     46.8958,     42.5593,     40.6543,     43.3490,     42.8372
      92,          1.516667,     48.8062,     46.8619,     42.5435,     40.6488,     43.3490,     42.8224
      93,          1.533333,     48.7506,     46.8351,     42.5261,     40.6435,     43.3490,     42.8070
      94,          1.550000,     48.6907,     46.8012,     42.5068,     40.6387,     43.3490,     42.7906
      95,          1.566667,     48.6289,     46.7574,     42.4857,     40.6345,     43.3490,     42.7737
      96,          1.583333,     48.5647,     46.7191,     42.4630,     40.6303,     43.3490,     42.7573
      97,          1.600000,     48.4960,     46.6817,     42.4384,     40.6258,     43.3490,     42.7490
      98,          1.616667,     48.4172,     46.6584,     42.4118,     40.6210,     43.3490,     42.7490
      99,          1.633333,     48.3442,     46.6260,     42.3831,     40.6158,     43.3490,     42.7490
     100,          1.650000,     48.2656,     46.5971,     42.3525,     40.6102,     43.3490,     42.7490
     101,          1.666667,     48.1891,     46.5625,     42.3202,     40.6042,     43.3490,     42.7490
     102,          1.683333,     48.1117,     46.5265,     42.2863,     40.5978,     43.3490,     42.7490
     103,          1.700000,     48.0316,     46.4888,     42.2508,     40.5911,     43.3490,     42.7490
     104,          1.716667,     47.9404,     46.4599,     42.2134,     40.5839,     43.3490,     42.7490
     105,          1.733333,     47.8485,     46.4230,     42.1740,     40.5762,     43.3490,     42.7490
     106,          1.750000,     47.7545,     46.3838,     42.1325,     40.5681,     43.3490,     42.7490
     107,          1.766667,     47.6594,     46.3415,     42.0888,     40.5593,     43.3490,     42.7490
     108,          1.783333,     47.5759,     46.2911,     42.0426,     40.5499,     43.3490,     42.7490
     109,          1.800000,     47.5066,     46.2415,     41.9937,     40.5397,     43.3490,     42.7490
     110,          1.816667,     47.4489,     46.1951,     41.9419,     40.5288,     43.3490,     42.7490
     111,          1.833333,     47.3989,     46.1546,     41.8866,     40.5169,     43.3490,     42.7490
     112,          1.850000,     47.3567,     46.1162,     41.8270,     40.5039,     43.3490,     42.7490
     113,          1.866667,     47.3210,     46.0824,     41.7626,     40.4894,     43.3490,     42.7490
     114,          1.883333,     47.2901,     46.0545,     41.6930,     40.4734,     43.3490,     42.7490
     115,          1.900000,     47.2625,     46.0292,     41.6180,     40.4555,     43.3490,     42.7490
     116,          1.916667,     47.2366,     46.0065,     41.5380,     40.4358,     43.3490,     42.7490
     117,          1.933333,     47.2118,     45.9844,     41.4527,     40.4137,     43.3490,     42.7490
     118,          1.950000,     47.1889,     45.9768,     41.3614,     40.3890,     43.3490,     42.7490
     119,          1.966667,     47.1680,     45.9560,     41.2631,     40.3611,     43.3490,     42.7490
     120,          1.983333,     47.1486,     45.9367,     41.1572,     40.3293,     43.3490,     42.7490
     121,          2.000000,     47.1302,     45.9256,     41.0428,     40.2925,     43.3490,     42.7490
     122,          2.016667,     47.1124,     45.9185,     40.9191,     40.2495,     43.3490,     42.7490
     123,          2.033334,     47.0942,     45.9066,     40.7916,     40.2011,     43.3490,     42.7490
     124,          2.050000,     47.0741,     45.8924,     40.6631,     40.1471,     43.3490,     42.7490
     125,          2.066667,     47.0515,     45.8767,     40.5336,     40.0862,     43.3490,     42.7490
     126,          2.083333,     47.0276,     45.8587,     40.4062,     40.0193,     43.3490,     42.7490
     127,          2.100000,     47.0028,     45.8384,     40.2824,     39.9485,     43.3490,     42.7490
     128,          2.116667,     46.9756,     45.8198,     40.1648,     39.8764,     43.3490,     42.7490
     129,          2.133333,     46.9461,     45.8045,     40.0547,     39.8043,     43.3490,     42.7490
     130,          2.150000,     46.9144,     45.7791,     39.9538,     39.7344,     43.3490,     42.7490
     131,          2.166667,     46.8812,     45.7573,     39.8620,     39.6681,     43.3490,     42.7490
     132,          2.183333,     46.8486,     45.7282,     39.7816,     39.6074,     43.3490,     42.7490
     133,          2.200000,     46.8146,     45.7052,     39.7127,     39.5536,     43.3490,     42.7490
     134,          2.216667,     46.7866,     45.6821,     39.6520,     39.5056,     43.3490,     42.7490
     135,          2.233333,     46.7633,     45.6611,     39.5995,     39.4634,     43.3490,     42.7490
     136,          2.250000,     46.7433,     45.6422,     39.5547,     39.4269,     43.3490,     42.7490
     137,          2.266667,     46.7259,     45.6252,     39.5148,     39.3943,     43.3490,     42.7490
     138,          2.283334,     46.7106,     45.6093,     39.4780,     39.3642,     43.3490,     42.7490
     139,          2.300000,     46.6959,     45.5954,     39.4433,     39.3358,     43.3490,     42.7490
     140,          2.316667,     46.6785,     45.5808,     39.4115,     39.3096,     43.3490,     42.7490
     141,          2.333333,     46.6603,     45.5657,     39.3810,     39.2844,     43.3490,     42.7490
     142,          2.350000,     46.6422,     45.5504,     39.3518,     39.2601,     43.3490,     42.7490
     143,          2.366667,     46.6271,     45.5364,     39.3252,     39.2374,     43.3490,     42.7490
     144,          2.383333,     46.6095,     45.5204,     39.2986,     39.2149,     43.3490,     42.7490
     145,          2.400000,     46.5934,     45.5048,     39.2746,     39.1945,     43.3490,     42.7490
     146,          2.416667,     46.5786,     45.4896,     39.2505,     39.1741,     43.3490,     42.7490
     147,          2.433333,     46.5645,     45.4758,     39.2273,     39.1543,     43.3490,     42.7490
     148,          2.450000,     46.5526,     45.4639,     39.2048,     39.1350,     43.3490,     42.7490
     149,          2.466667,     46.5406,     45.4523,     39.1836,     39.1166,     43.3490,     42.7490
     150,          2.483333,     46.5245,     45.4391,     39.1623,     39.0979,     43.3490,     42.7490
     151,          2.500000,     46.5076,     45.4244,     39.1424,     39.0805,     43.3490,     42.7490
     152,          2.516667,     46.4902,     45.4090,     39.1231,     39.0636,     43.3490,     42.7490
     153,          2.533334,     46.4720,     45.3932,     39.1045,     39.0473,     43.3490,     42.7490
     154,          2.550000,     46.4556,     45.3776,     39.0861,     39.0310,     43.3490,     42.7490
     155,          2.566667,     46.4391,     45.3626,     39.0688,     39.0155,     43.3490,     42.7490
     156,          2.583333,     46.4192,     45.3455,     39.0511,     38.9998,     43.3490,     42.7490
     157,          2.600000,     46.3984,     45.3281,     39.0350,     38.9852,     43.3490,     42.7490
     158,          2.616667,     46.3792,     45.3102,     39.0122,     38.9645,     43.3490,     42.7490
     159,          2.633333,     46.3620,     45.2933,     38.9925,     38.9469,     43.3490,     42.7490
     160,          2.650000,     46.3473,     45.2774,     38.9735,     38.9297,     43.3490,     42.7490
     161,          2.666667,     46.3312,     45.2628,     38.9542,     38.9124,     43.3490,     42.7490
     162,          2.683333,     46.3151,     45.2478,     38.9353,     38.8952,     43.3490,     42.7490
     163,          2.700000,     46.2996,     45.2327,     38.9157,     38.8774,     43.3490,     42.7490
     164,          2.716667,     46.2833,     45.2170,     38.8957,     38.8591,     43.3490,     42.7490
     165,          2.733334,     46.2656,     45.2008,     38.8760,     38.8410,     43.3490,     42.7490
     166,          2.750000,     46.2476,     45.1842,     38.8557,     38.8223,     43.3490,     42.7490
     167,          2.766667,     46.2290,     45.1671,     38.8365,     38.8044,     43.3490,     42.7490
     168,          2.783334,     46.2132,     45.1513,     38.8159,     38.7859,     43.3490,     42.7490
     169,          2.800000,     46.1913,     45.1311,     38.7961,     38.7677,     43.3490,     42.7490
     170,          2.816667,     46.1684,     45.1081,     38.7708,     38.7436,     43.3490,     42.7490
     171,          2.833333,     46.1453,     45.0843,     38.7355,     38.7438,     43.3490,     42.7490
     172,          2.850000,     46.1217,     45.0570,     38.7749,     38.6739,     43.3490,     42.7490
     173,          2.866667,     46.0977,     45.0265,     38.6959,     38.7040,     43.3490,     42.7490
     174,          2.883333,     46.0739,     44.9938,     38.6749,     38.6852,     43.3490,     42.7490
     175,          2.900000,     46.0494,     44.9576,     38.6546,     38.6649,     43.3490,     42.7490
     176,          2.916667,     46.0251,     44.9215,     38.6334,     38.6435,     43.3490,     42.7490
     177,          2.933333,     46.0011,     44.8849,     38.6682,     38.5744,     43.3490,     42.7490
     178,          2.950000,     45.9763,     44.8511,     38.5889,     38.6009,     43.3490,     42.7490
     179,          2.966667,     45.9556,     44.8204,     38.6099,     38.5453,     43.3490,     42.7490
     180,          2.983334,     45.9358,     44.7914,     38.5855,     38.5219,     43.3490,     42.7490
     181,          3.000000,     45.9173,     44.7643,     38.5750,     38.4944,     43.3490,     42.7490
