"EG11_010 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_010.tcf]","Time (h)","SQ FC04.1_C [EG11_010]","SQ SG_001 [EG11_010]","SQ FC01.1_R [EG11_010]"
     113,          1.866667,      0.0457,     34.4172,     28.4417
     114,          1.883333,      0.0981,     34.4051,     26.6972
     115,          1.900000,      0.1408,     34.3888,     25.0446
     116,          1.916667,      0.1837,     34.3686,     23.6512
     117,          1.933333,      0.2184,     34.3434,     22.4861
     118,          1.950000,      0.2422,     34.3143,     21.5163
     119,          1.966667,      0.2735,     34.2807,     20.7303
     120,          1.983333,      0.3044,     34.2438,     20.0779
     121,          2.000000,      0.3171,     34.2037,     19.5309
     122,          2.016667,      0.3274,     34.1611,     19.0697
     123,          2.033334,      0.3460,     34.1165,     18.6281
     124,          2.050000,      0.3203,     34.0701,     18.2028
     125,          2.066667,      0.3583,     34.0235,     17.7754
     126,          2.083333,      0.3751,     33.9745,     17.3409
     127,          2.100000,      0.3466,     33.9236,     16.9026
     128,          2.116667,      0.3584,     33.8711,     16.4525
     129,          2.133333,      0.3725,     33.8171,     15.9762
     130,          2.150000,      0.3841,     33.7628,     15.4763
     131,          2.166667,      0.3690,     33.7061,     14.9616
     132,          2.183333,      0.3834,     33.6480,     14.4672
     133,          2.200000,      0.3870,     33.5885,     13.9566
     134,          2.216667,      0.3853,     33.5268,     13.5404
     135,          2.233333,      0.3862,     33.4638,     13.1994
     136,          2.250000,      0.3865,     33.3985,     12.9096
     137,          2.266667,      0.3891,     33.3317,     12.6583
     138,          2.283334,      0.3819,     33.2636,     12.4361
     139,          2.300000,      0.3842,     33.1944,     12.2037
     140,          2.316667,      0.3799,     33.1241,     11.9604
     141,          2.333333,      0.3779,     33.0531,     11.7098
     142,          2.350000,      0.3786,     32.9808,     11.4623
     143,          2.366667,      0.3763,     32.9070,     11.2822
     144,          2.383333,      0.3706,     32.8323,     11.0390
