"EG11_008 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_008.tcf]","Time (h)","H FC01.1_R.1 [EG11_008]","H FC01.1_R.2 [EG11_008]","H FC01.2_R.1 [EG11_008]","H FC01.2_R.2 [EG11_008]","H FC04.1_C.1 [EG11_008]","H FC04.1_C.2 [EG11_008]","H W999.1 [EG11_008]","H W999.2 [EG11_008]"
      53,          0.866667,     49.8490,     47.3804,     41.6444,     40.0070,     43.3490,     42.7490,     42.5960,     42.5960
      54,          0.883333,     49.8508,     47.3837,     41.8062,     40.0543,     43.3490,     42.7490,     42.5960,     42.5960
      55,          0.900000,     49.8524,     47.3863,     41.9422,     40.0945,     43.3490,     42.7490,     42.5960,     42.5960
      56,          0.916667,     49.8537,     47.3884,     42.0577,     40.1281,     43.3490,     42.7490,     42.5960,     42.5960
      57,          0.933333,     49.8548,     47.3903,     42.1563,     40.1562,     43.3490,     42.7490,     42.5960,     42.5960
      58,          0.950000,     49.8551,     47.3912,     42.2423,     40.1798,     43.3490,     42.7490,     42.5960,     42.5960
      59,          0.966667,     49.8550,     47.3913,     42.3185,     40.1999,     43.3490,     42.7490,     42.5960,     42.5960
      60,          0.983333,     49.8548,     47.3910,     42.3876,     40.2172,     43.3490,     42.7490,     42.5960,     42.5960
      61,          1.000000,     49.8544,     47.3905,     42.4518,     40.2324,     43.3490,     42.7741,     42.5960,     42.5960
      62,          1.016667,     49.8538,     47.3898,     42.5110,     40.2459,     43.3490,     42.7972,     42.5960,     42.5960
      63,          1.033333,     49.8521,     47.3880,     42.5660,     40.2579,     43.3490,     42.8265,     42.6097,     42.5960
      64,          1.050000,     49.8500,     47.3852,     42.6169,     40.2735,     43.3490,     42.8908,     42.6602,     42.5960
      65,          1.066667,     49.8477,     47.3819,     42.6661,     40.3008,     43.3490,     42.9210,     42.7089,     42.5960
      66,          1.083333,     49.8452,     47.3783,     42.7098,     40.3420,     43.3490,     42.9527,     42.7528,     42.5960
      67,          1.100000,     49.8422,     47.3743,     42.7468,     40.3882,     43.3490,     42.9770,     42.7890,     42.5960
      68,          1.116667,     49.8368,     47.3675,     42.7778,     40.4345,     43.3490,     43.0023,     42.8198,     42.5960
      69,          1.133333,     49.8305,     47.3584,     42.8037,     40.4848,     43.3490,     43.0242,     42.8453,     42.5960
      70,          1.150000,     49.8229,     47.3480,     42.8249,     40.5301,     43.3490,     43.0387,     42.8661,     42.5960
      71,          1.166667,     49.8151,     47.3366,     42.8415,     40.5682,     43.3490,     43.0536,     42.8827,     42.5960
      72,          1.183333,     49.8069,     47.3246,     42.8546,     40.5992,     43.3490,     43.0627,     42.8954,     42.5960
      73,          1.200000,     49.7979,     47.3115,     42.8641,     40.6243,     43.3490,     43.0691,     42.9049,     42.5960
      74,          1.216667,     49.7885,     47.2973,     42.8710,     40.6421,     43.3490,     43.0733,     42.9116,     42.5960
      75,          1.233333,     49.7788,     47.2826,     42.8754,     40.6555,     43.3490,     43.0748,     42.9160,     42.5960
      76,          1.250000,     49.7688,     47.2671,     42.8780,     40.6640,     43.3490,     43.0743,     42.9186,     42.5960
      77,          1.266667,     49.7583,     47.2515,     42.8788,     40.6674,     43.3490,     43.0727,     42.9194,     42.5960
      78,          1.283333,     49.7459,     47.2333,     42.8783,     40.6700,     43.3490,     43.0701,     42.9189,     42.5960
      79,          1.300000,     49.7323,     47.2122,     42.8767,     40.6697,     43.3490,     43.0654,     42.9173,     42.5960
      80,          1.316667,     49.7176,     47.1894,     42.8741,     40.6670,     43.3490,     43.0607,     42.9146,     42.5960
      81,          1.333333,     49.7024,     47.1650,     42.8705,     40.6623,     43.3490,     43.0549,     42.9111,     42.5960
      82,          1.350000,     49.6864,     47.1396,     42.8661,     40.6559,     43.3490,     43.0466,     42.9067,     42.5960
      83,          1.366667,     49.6696,     47.1130,     42.8608,     40.6479,     43.3490,     43.0383,     42.9014,     42.5960
      84,          1.383333,     49.6519,     47.0847,     42.8548,     40.6384,     43.3490,     43.0299,     42.8954,     42.5960
      85,          1.400000,     49.6332,     47.0549,     42.8480,     40.6277,     43.3490,     43.0197,     42.8887,     42.5960
      86,          1.416667,     49.6134,     47.0248,     42.8408,     40.6159,     43.3490,     43.0096,     42.8815,     42.5960
      87,          1.433333,     49.5923,     46.9922,     42.8330,     40.6032,     43.3490,     42.9997,     42.8738,     42.5960
      88,          1.450000,     49.5705,     46.9602,     42.8248,     40.5897,     43.3490,     42.9886,     42.8656,     42.5960
      89,          1.466667,     49.5474,     46.9282,     42.8161,     40.5755,     43.3490,     42.9769,     42.8569,     42.5960
      90,          1.483333,     49.5225,     46.8969,     42.8069,     40.5605,     43.3490,     42.9656,     42.8479,     42.5960
      91,          1.500000,     49.4957,     46.8647,     42.7975,     40.5451,     43.3490,     42.9541,     42.8385,     42.5960
      92,          1.516667,     49.4665,     46.8332,     42.7877,     40.5293,     43.3490,     42.9428,     42.8289,     42.5960
      93,          1.533333,     49.4346,     46.8037,     42.7778,     40.5138,     43.3490,     42.9304,     42.8190,     42.5960
      94,          1.550000,     49.3983,     46.7790,     42.7677,     40.4987,     43.3490,     42.9185,     42.8090,     42.5960
      95,          1.566667,     49.3553,     46.7539,     42.7574,     40.4841,     43.3490,     42.9078,     42.7988,     42.5960
      96,          1.583333,     49.3043,     46.7405,     42.7471,     40.4698,     43.3490,     42.8958,     42.7885,     42.5960
      97,          1.600000,     49.2459,     46.7241,     42.7368,     40.4553,     43.3490,     42.8857,     42.7783,     42.5960
      98,          1.616667,     49.1842,     46.7114,     42.7269,     40.4411,     43.3490,     42.8758,     42.7685,     42.5960
      99,          1.633333,     49.1183,     46.6986,     42.7173,     40.4270,     43.3490,     42.8663,     42.7590,     42.5960
     100,          1.650000,     49.0486,     46.6848,     42.7080,     40.4136,     43.3490,     42.8575,     42.7500,     42.5960
     101,          1.666667,     48.9736,     46.6644,     42.6991,     40.4010,     43.3490,     42.8489,     42.7412,     42.5960
     102,          1.683333,     48.8940,     46.6499,     42.6904,     40.3891,     43.3490,     42.8404,     42.7326,     42.5960
