"EG11_003 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_003.tcf]","Time (h)","SQ FC04.1_C [EG11_003]","SQ FC01.2_R [EG11_003]","SQ FC01.1_R [EG11_003]"
     115,          1.900000,      0.0000,     54.0249,     21.0599
     116,          1.916667,      0.0000,     52.6082,     20.6219
     117,          1.933333,      0.0000,     51.0771,     20.2066
     118,          1.950000,      0.0000,     49.4128,     19.8244
     119,          1.966667,      0.0000,     47.5913,     19.4770
     120,          1.983333,      0.0000,     45.5960,     19.1581
     121,          2.000000,      0.0000,     43.4068,     18.8564
     122,          2.016667,      0.0000,     41.0066,     18.5656
     123,          2.033334,      0.0000,     38.5095,     18.2714
     124,          2.050000,      0.0000,     35.9999,     17.9476
     125,          2.066667,      0.0000,     33.5243,     17.5842
     126,          2.083333,      0.0000,     31.1740,     17.2046
     127,          2.100000,      0.0000,     28.9616,     16.8123
     128,          2.116667,      0.0000,     26.9148,     16.3879
     129,          2.133333,      0.0000,     25.0755,     15.9289
     130,          2.150000,      0.0000,     23.4717,     15.4425
     131,          2.166667,      0.0000,     22.0678,     14.9374
     132,          2.183333,      0.0000,     20.9143,     14.4465
     133,          2.200000,      0.0000,     19.9905,     13.9407
     134,          2.216667,      0.0000,     19.1718,     13.5285
     135,          2.233333,      0.0000,     18.4870,     13.1887
     136,          2.250000,      0.0000,     17.9106,     12.8992
     137,          2.266667,      0.0000,     17.3950,     12.6505
     138,          2.283334,      0.0000,     16.9009,     12.4314
     139,          2.300000,      0.0000,     16.4324,     12.2238
     140,          2.316667,      0.0000,     15.9984,     11.9772
     141,          2.333333,      0.0000,     15.5786,     11.7229
     142,          2.350000,      0.0000,     15.1736,     11.4712
     143,          2.366667,      0.0000,     14.8485,     11.2629
     144,          2.383333,      0.0000,     14.5002,     11.0209
     145,          2.400000,      0.0000,     14.1788,     10.8027
     146,          2.416667,      0.0000,     13.8492,     10.6026
     147,          2.433333,      0.0000,     13.5344,     10.4106
     148,          2.450000,      0.0000,     13.2361,     10.2526
     149,          2.466667,      0.0000,     12.9661,     10.0926
     150,          2.483333,      0.0000,     12.7106,      9.8806
     151,          2.500000,      0.0000,     12.4616,      9.6583
     152,          2.516667,      0.0000,     12.2195,      9.4311
     153,          2.533334,      0.0000,     11.9829,      9.1964
     154,          2.550000,      0.0000,     11.7606,      8.9867
     155,          2.566667,      0.0000,     11.5636,      8.7773
     156,          2.583333,      0.0000,     11.3504,      8.5256
     157,          2.600000,      0.0000,     11.1794,      8.2665
     158,          2.616667,      0.0000,     10.9405,      8.0289
     159,          2.633333,      0.0000,     10.7024,      7.8177
     160,          2.650000,      0.0000,     10.4782,      7.6392
     161,          2.666667,      0.0000,     10.2531,      7.4452
     162,          2.683333,      0.0000,     10.0396,      7.2531
     163,          2.700000,      0.0000,      9.8089,      7.0692
     164,          2.716667,      0.0000,      9.5860,      6.8781
     165,          2.733334,      0.0000,      9.3804,      6.6732
     166,          2.750000,      0.0000,      9.1673,      6.4657
     167,          2.766667,      0.0000,      8.9689,      6.2543
     168,          2.783334,      0.0000,      8.8109,      6.0765
     169,          2.800000,      0.0000,      8.5852,      5.8326
     170,          2.816667,      0.0000,      8.4199,      5.5811
     171,          2.833333,      0.0000,      2.7629,      5.3318
     172,          2.850000,      0.0000,     14.0946,      5.0805
     173,          2.866667,      0.0000,      2.6760,      4.8289
     174,          2.883333,      0.0000,      2.5872,      4.5846
     175,          2.900000,      0.0000,      2.5175,      4.3364
     176,          2.916667,      0.0000,      2.4462,      4.0952
     177,          2.933333,      0.0000,     12.4918,      3.8622
     178,          2.950000,      0.0000,      2.2880,      3.6254
     179,          2.966667,      0.0000,     12.0809,      3.4317
     180,          2.983334,      0.0000,     11.7050,      3.2498
     181,          3.000000,      0.0000,     12.3109,      3.0832
