"EG11_Q100_2hr_004 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_~e1~_~e2~_004.tcf]","Time (h)","SQ FC04.1_C [EG11_Q100_2hr_004]","SQ FC01.1_R [EG11_Q100_2hr_004]","SQ FC01.2_R [EG11_Q100_2hr_004]"
     113,          1.866667,      0.0000,     21.1026,     23.6415
     114,          1.883333,      0.0000,     20.9512,     23.6925
     115,          1.900000,      0.0000,     20.7999,     23.7409
     116,          1.916667,      0.0000,     20.6333,     23.7888
     117,          1.933333,      0.0000,     20.4716,     23.8349
     118,          1.950000,      0.0000,     20.3075,     23.8801
     119,          1.966667,      0.0000,     20.1446,     23.9239
     120,          1.983333,      0.0000,     19.9776,     23.9659
     121,          2.000000,      0.0000,     19.8099,     24.0057
     122,          2.016667,      0.0000,     19.6402,     24.0439
     123,          2.033334,      0.0000,     19.4606,     24.0796
     124,          2.050000,      0.0000,     19.2692,     24.1134
     125,          2.066667,      0.0000,     19.0648,     24.1172
     126,          2.083333,      0.0000,     18.8484,     24.0985
     127,          2.100000,      0.0000,     18.6096,     24.0798
     128,          2.116667,      0.0000,     18.3473,     24.0612
     129,          2.133333,      0.0000,     18.0586,     24.0429
     130,          2.150000,      0.0000,     17.7428,     24.0243
     131,          2.166667,      0.0000,     17.4016,     24.0060
     132,          2.183333,      0.0000,     17.0245,     23.9872
     133,          2.200000,      0.0000,     16.6369,     23.9683
     134,          2.216667,      0.0000,     16.2467,     23.9489
     135,          2.233333,      0.0000,     15.7537,     23.9290
     136,          2.250000,      0.0000,     15.1343,     23.9085
     137,          2.266667,      0.0000,     14.5432,     23.8869
     138,          2.283334,      0.0000,     13.9887,     23.8646
     139,          2.300000,      0.0000,     13.4742,     23.8413
     140,          2.316667,      0.0000,     13.0186,     23.8168
     141,          2.333333,      0.0000,     12.5649,     23.7910
     142,          2.350000,      0.0000,     12.1398,     23.7638
     143,          2.366667,      0.0000,     11.7677,     23.7351
     144,          2.383333,      0.0000,     11.4306,     23.7049
     145,          2.400000,      0.0000,     11.7729,     23.6733
     146,          2.416667,      0.0000,     11.3964,     23.6403
     147,          2.433333,      0.0000,     11.0797,     23.6060
     148,          2.450000,      0.0000,     10.7717,     23.5705
     149,          2.466667,      0.0000,     10.5162,     23.5334
     150,          2.483333,      0.0000,     10.2998,     23.4959
     151,          2.500000,      0.0000,     10.0423,     23.4570
     152,          2.516667,      0.0000,      9.7820,     23.4167
     153,          2.533334,      0.0000,      9.5377,     23.3750
     154,          2.550000,      0.0000,      9.2897,     23.3323
     155,          2.566667,      0.0000,      9.0158,     23.2882
     156,          2.583333,      0.0000,      8.7927,     23.2435
     157,          2.600000,      0.0000,      8.5296,     23.1975
     158,          2.616667,      0.0000,      8.2760,     23.1497
     159,          2.633333,      0.0000,      8.0390,     23.1001
     160,          2.650000,      0.0000,      7.8208,     23.0491
     161,          2.666667,      0.0000,      7.6830,     22.9969
     162,          2.683333,      0.0000,      7.4787,     22.9429
     163,          2.700000,      0.0000,      7.2831,     22.8874
     164,          2.716667,      0.0000,      7.0826,     22.8298
     165,          2.733334,      0.0000,      6.8721,     22.7706
     166,          2.750000,      0.0000,      6.6523,     22.7099
     167,          2.766667,      0.0000,      6.4233,     22.6472
     168,          2.783334,      0.0000,      6.1906,     22.5822
     169,          2.800000,      0.0000,      5.9504,     22.5155
     170,          2.816667,      0.0000,      5.7066,     22.4464
     171,          2.833333,      0.0000,      5.4533,     22.3752
     172,          2.850000,      0.0000,      5.1941,     22.3010
     173,          2.866667,      0.0000,      4.9234,     22.2242
     174,          2.883333,      0.0000,      4.6489,     22.1445
     175,          2.900000,      0.0000,      4.3914,     22.0614
     176,          2.916667,      0.0000,      4.1686,     21.9751
     177,          2.933333,      0.0000,      3.9520,     21.8851
     178,          2.950000,      0.0000,      3.7378,     21.7909
     179,          2.966667,      0.0000,      3.5812,     21.6917
     180,          2.983334,      0.0000,      3.3709,     21.5874
     181,          3.000000,      0.0000,      3.1839,     21.4458
