"EG11_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_007.tcf]","Time (h)","H FC01.1.1 [EG11_007]","H FC01.1.2 [EG11_007]","H FC01.2.1 [EG11_007]","H FC01.2.2 [EG11_007]","H FC04.1.1 [EG11_007]","H FC04.1.2 [EG11_007]"
       1,          0.000000,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
       2,          0.016667,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
       3,          0.033333,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
       4,          0.050000,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
       5,          0.066667,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
       6,          0.083333,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
       7,          0.100000,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
       8,          0.116667,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
       9,          0.133333,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      10,          0.150000,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      11,          0.166667,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      12,          0.183333,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      13,          0.200000,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      14,          0.216667,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      15,          0.233333,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      16,          0.250000,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      17,          0.266667,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      18,          0.283333,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      19,          0.300000,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      20,          0.316667,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      21,          0.333333,     47.0490,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      22,          0.350000,     47.0771,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      23,          0.366667,     47.2144,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      24,          0.383333,     47.3483,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      25,          0.400000,     47.4662,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      26,          0.416667,     47.5791,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      27,          0.433333,     47.6768,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      28,          0.450000,     47.7774,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      29,          0.466667,     47.8774,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      30,          0.483333,     47.9761,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      31,          0.500000,     48.0718,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      32,          0.516667,     48.1621,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      33,          0.533333,     48.2842,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      34,          0.550000,     48.4316,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      35,          0.566667,     48.5871,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      36,          0.583333,     48.7408,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      37,          0.600000,     48.8871,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      38,          0.616667,     49.0141,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      39,          0.633333,     49.1176,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      40,          0.650000,     49.2142,     47.0490,     39.6490,     39.6490,     44.5490,     44.5490
      41,          0.666667,     49.2996,     47.0490,     39.7891,     39.6490,     44.5490,     44.5490
      42,          0.683333,     49.3713,     47.0490,     40.1200,     39.6490,     44.5490,     44.5490
      43,          0.700000,     49.4233,     47.0874,     40.3675,     39.6490,     44.5490,     44.5490
      44,          0.716667,     49.4631,     47.1341,     40.5740,     39.6490,     44.5490,     44.5490
