"EG11_005 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_005.tcf]","Time (h)","H FC01.2_R.1 [EG11_005]","H FC01.2_R.2 [EG11_005]"
     148,          2.450000,     40.3485,     39.6277
     149,          2.466667,     40.2462,     39.5701
     150,          2.483333,     40.1456,     39.5120
     151,          2.500000,     40.0472,     39.4539
     152,          2.516667,     39.9539,     39.3977
     153,          2.533334,     39.8645,     39.3421
     154,          2.550000,     39.7792,     39.2878
     155,          2.566667,     39.7000,     39.2359
     156,          2.583333,     39.6280,     39.1871
     157,          2.600000,     39.5650,     39.1432
     158,          2.616667,     39.5111,     39.1046
     159,          2.633333,     39.4637,     39.0696
     160,          2.650000,     39.4225,     39.0391
     161,          2.666667,     39.3854,     39.0119
     162,          2.683333,     39.3522,     38.9874
     163,          2.700000,     39.3177,     38.9612
     164,          2.716667,     39.2831,     38.9362
     165,          2.733334,     39.2514,     38.9134
     166,          2.750000,     39.2220,     38.8921
     167,          2.766667,     39.1929,     38.8710
     168,          2.783334,     39.1641,     38.8501
     169,          2.800000,     39.1354,     38.8292
     170,          2.816667,     39.1087,     38.8089
     171,          2.833333,     39.0803,     38.7887
     172,          2.850000,     39.0558,     38.7697
     173,          2.866667,     39.0244,     38.7457
     174,          2.883333,     38.9917,     38.7216
     175,          2.900000,     38.9629,     38.6996
     176,          2.916667,     38.9358,     38.6787
     177,          2.933333,     38.9094,     38.6584
     178,          2.950000,     38.8818,     38.6376
     179,          2.966667,     38.8530,     38.6158
     180,          2.983334,     38.8247,     38.5942
     181,          3.000000,     38.7975,     38.5729
