"EG11_006 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_006.tcf]","Time (h)","H N1 [EG11_006]","H N2 [EG11_006]"
     149,          2.466667,     39.4516,     39.3558
     150,          2.483333,     39.3791,     39.2897
     151,          2.500000,     39.3220,     39.2362
     152,          2.516667,     39.2730,     39.1911
     153,          2.533334,     39.2317,     39.1532
     154,          2.550000,     39.1976,     39.1216
     155,          2.566667,     39.1682,     39.0943
     156,          2.583333,     39.1418,     39.0701
     157,          2.600000,     39.1179,     39.0482
     158,          2.616667,     39.0956,     39.0282
     159,          2.633333,     39.0745,     39.0093
     160,          2.650000,     39.0539,     38.9909
     161,          2.666667,     39.0341,     38.9720
     162,          2.683333,     39.0097,     38.9506
     163,          2.700000,     38.9881,     38.9313
     164,          2.716667,     38.9671,     38.9124
     165,          2.733334,     38.9464,     38.8937
     166,          2.750000,     38.9258,     38.8751
     167,          2.766667,     38.9049,     38.8561
     168,          2.783334,     38.8846,     38.8375
     169,          2.800000,     38.8652,     38.8191
     170,          2.816667,     38.8438,     38.8000
     171,          2.833333,     38.8259,     38.7826
     172,          2.850000,     38.8048,     38.7636
     173,          2.866667,     38.7771,     38.7376
     174,          2.883333,     38.7532,     38.7154
     175,          2.900000,     38.7306,     38.6940
     176,          2.916667,     38.7094,     38.6739
     177,          2.933333,     38.6883,     38.6540
     178,          2.950000,     38.6663,     38.6333
     179,          2.966667,     38.6434,     38.6117
     180,          2.983334,     38.6208,     38.5903
     181,          3.000000,     38.5990,     38.5695
