"EG11_007 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_007.tcf]","Time (h)","SQ FC04.1 [EG11_007]","SQ FC01.2 [EG11_007]","SQ FC01.1 [EG11_007]"
     115,          1.900000,      0.0000,     45.8240,     16.6316
     116,          1.916667,      0.0000,     44.3215,     16.3889
     117,          1.933333,      0.0000,     42.8113,     16.1560
     118,          1.950000,      0.0000,     41.3015,     15.9409
     119,          1.966667,      0.0000,     39.7862,     15.7412
     120,          1.983333,      0.0000,     38.2698,     15.5518
     121,          2.000000,      0.0000,     36.7631,     15.3714
     122,          2.016667,      0.0000,     35.2756,     15.1962
     123,          2.033334,      0.0000,     33.8355,     15.0062
     124,          2.050000,      0.0000,     32.4453,     14.8024
     125,          2.066667,      0.0000,     31.0936,     14.5917
     126,          2.083333,      0.0000,     29.8054,     14.3714
     127,          2.100000,      0.0000,     28.5517,     14.1392
     128,          2.116667,      0.0000,     27.3551,     13.8786
     129,          2.133333,      0.0000,     26.2495,     13.5947
     130,          2.150000,      0.0000,     25.2181,     13.2549
     131,          2.166667,      0.0000,     24.2702,     12.9233
     132,          2.183333,      0.0000,     23.3937,     12.5619
     133,          2.200000,      0.0000,     22.4586,     12.2481
     134,          2.216667,      0.0000,     21.4657,     11.9750
     135,          2.233333,      0.0000,     20.6223,     11.7274
     136,          2.250000,      0.0000,     19.8819,     11.5025
     137,          2.266667,      0.0000,     19.2075,     11.2950
     138,          2.283334,      0.0000,     18.6002,     11.0923
     139,          2.300000,      0.0000,     18.0475,     10.8922
     140,          2.316667,      0.0000,     17.5364,     10.6945
     141,          2.333333,      0.0000,     17.0613,     10.4992
     142,          2.350000,      0.0000,     16.6036,     10.3043
     143,          2.366667,      0.0000,     16.1642,     10.1228
     144,          2.383333,      0.0000,     15.7505,      9.9534
     145,          2.400000,      0.0000,     15.3662,      9.7914
     146,          2.416667,      0.0000,     15.0031,      9.6360
     147,          2.433333,      0.0000,     14.6572,      9.4932
     148,          2.450000,      0.0000,     14.3268,      9.3334
     149,          2.466667,      0.0000,     14.0060,      9.1697
     150,          2.483333,      0.0000,     13.6977,      9.0020
     151,          2.500000,      0.0000,     13.3995,      8.8276
     152,          2.516667,      0.0000,     13.1145,      8.6501
     153,          2.533334,      0.0000,     12.8412,      8.4671
     154,          2.550000,      0.0000,     12.5817,      8.2740
     155,          2.566667,      0.0000,     12.3312,      8.0838
     156,          2.583333,      0.0000,     12.0876,      7.8912
     157,          2.600000,      0.0000,     11.8450,      7.6880
     158,          2.616667,      0.0000,     11.6208,      7.5010
     159,          2.633333,      0.0000,     11.4003,      7.3200
     160,          2.650000,      0.0000,     11.1851,      7.1453
     161,          2.666667,      0.0000,     10.9656,      6.9781
     162,          2.683333,      0.0000,     10.7453,      6.8155
     163,          2.700000,      0.0000,     10.5186,      6.6465
     164,          2.716667,      0.0000,     10.2974,      6.4697
     165,          2.733334,      0.0000,     10.0736,      6.2873
     166,          2.750000,      0.0000,      9.8527,      6.1020
     167,          2.766667,      0.0000,      9.6344,      5.9128
     168,          2.783334,      0.0000,      9.4152,      5.7172
     169,          2.800000,      0.0000,      9.1965,      5.5171
     170,          2.816667,      0.0000,      8.9798,      5.3115
     171,          2.833333,      0.0000,      8.7640,      5.1036
     172,          2.850000,      0.0000,      8.5440,      4.8903
     173,          2.866667,      0.0000,      8.3252,      4.6795
     174,          2.883333,      0.0000,      8.1090,      4.4720
     175,          2.900000,      0.0000,      7.8986,      4.2643
     176,          2.916667,      0.0000,      7.6969,      4.0576
     177,          2.933333,      0.0000,      7.4987,      3.8532
     178,          2.950000,      0.0000,      7.2997,      3.6611
     179,          2.966667,      0.0000,      7.0935,      3.4812
     180,          2.983334,      0.0000,      6.8875,      3.3092
     181,          3.000000,      0.0000,      6.6815,      3.1457
