"EG11_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_009.tcf]","Time (h)","H FC01.1_R.1 [EG11_009]","H FC01.1_R.2 [EG11_009]","H FC01.2_R.1 [EG11_009]","H FC01.2_R.2 [EG11_009]","H FC04.1_C.1 [EG11_009]","H FC04.1_C.2 [EG11_009]","H OC999.8 [EG11_009]","H OC999.9 [EG11_009]"
      53,          0.866667,     49.8490,     47.3804,     41.2787,     40.2652,     43.3490,     42.7490,     42.3000,     41.3522
      54,          0.883333,     49.8509,     47.3837,     41.4518,     40.3312,     43.3490,     42.7490,     42.3000,     41.5271
      55,          0.900000,     49.8524,     47.3863,     41.5953,     40.3849,     43.3490,     42.7490,     42.3000,     41.6728
      56,          0.916667,     49.8537,     47.3884,     41.7143,     40.4272,     43.3490,     42.7490,     42.3000,     41.7940
      57,          0.933333,     49.8548,     47.3902,     41.8143,     40.4608,     43.3490,     42.7490,     42.3000,     41.8961
      58,          0.950000,     49.8551,     47.3912,     41.8989,     40.4876,     43.3490,     42.7490,     42.3000,     41.9824
      59,          0.966667,     49.8550,     47.3913,     41.9718,     40.5092,     43.3490,     42.7490,     42.3000,     42.0566
      60,          0.983333,     49.8548,     47.3911,     42.0358,     40.5270,     43.3490,     42.7490,     42.3000,     42.1217
      61,          1.000000,     49.8544,     47.3905,     42.0933,     40.5419,     43.3490,     42.7490,     42.3000,     42.1800
      62,          1.016667,     49.8538,     47.3898,     42.1452,     40.5547,     43.3490,     42.7490,     42.3024,     42.2324
      63,          1.033333,     49.8521,     47.3880,     42.1921,     40.5658,     43.3490,     42.7490,     42.3059,     42.2798
      64,          1.050000,     49.8500,     47.3852,     42.2351,     40.5755,     43.3490,     42.7683,     42.3094,     42.3231
      65,          1.066667,     49.8477,     47.3819,     42.2764,     40.5845,     43.3490,     42.8070,     42.3128,     42.3648
      66,          1.083333,     49.8452,     47.3783,     42.3172,     40.5929,     43.3490,     42.8164,     42.3161,     42.4058
      67,          1.100000,     49.8423,     47.3743,     42.3550,     40.6008,     43.3490,     42.8308,     42.3194,     42.4438
      68,          1.116667,     49.8368,     47.3675,     42.3901,     40.6079,     43.3490,     42.8416,     42.3227,     42.4792
      69,          1.133333,     49.8305,     47.3584,     42.4226,     40.6145,     43.3490,     42.8539,     42.3259,     42.5119
      70,          1.150000,     49.8229,     47.3480,     42.4528,     40.6204,     43.3490,     42.8644,     42.3291,     42.5423
      71,          1.166667,     49.8151,     47.3366,     42.4803,     40.6259,     43.3490,     42.8740,     42.3322,     42.5699
