"EG11_009 [e:\temp\TUFLOW_Example_Model_Dataset\TUFLOW\runs\EG11_009.tcf]","Time(h)","V FC01.1_R [EG11_009]","V FC01.2_R [EG11_009]","V FC04.1_C [EG11_009]","V Pump_001 [EG11_009]"
      93,          1.533333,    7.614,    4.768,    0.000,    0.014
      94,          1.550000,    7.567,    4.745,    0.000,    0.014
      95,          1.566667,    7.511,    4.719,    0.000,    0.014
      96,          1.583333,    7.444,    4.692,    0.000,    0.014
      97,          1.600000,    7.367,    4.664,    0.000,    0.014
      98,          1.616667,    7.284,    4.634,    0.000,    0.014
      99,          1.633333,    7.195,    4.603,    0.000,    0.014
     100,          1.650000,    7.099,    4.571,    0.000,    0.014
     101,          1.666667,    6.995,    4.538,    0.000,    0.014
     102,          1.683333,    6.882,    4.504,    0.000,    0.014
     103,          1.700000,    6.759,    4.469,    0.000,    0.014
     104,          1.716667,    6.624,    4.432,    0.000,    0.014
     105,          1.733333,    6.476,    4.395,    0.000,    0.014
     106,          1.750000,    6.315,    4.356,    0.000,    0.014
     107,          1.766667,    6.139,    4.315,    0.000,    0.014
     108,          1.783333,    5.955,    4.272,    0.000,    0.014
     109,          1.800000,    5.761,    4.226,    0.000,    0.014
     110,          1.816667,    5.556,    4.179,    0.000,    0.014
     111,          1.833333,    5.340,    4.128,    0.000,    0.014
     112,          1.850000,    5.112,    4.075,    0.000,    0.014
     113,          1.866667,    4.876,    4.017,    0.000,    0.014
     114,          1.883333,    3.777,    3.955,    0.000,    0.014
     115,          1.900000,    3.697,    3.887,    0.000,    0.014
     116,          1.916667,    3.628,    3.814,    0.000,    0.014
     117,          1.933333,    3.567,    3.734,    0.000,    0.014
     118,          1.950000,    3.515,    3.648,    0.000,    0.014
     119,          1.966667,    3.472,    3.554,    0.000,    0.014
     120,          1.983333,    3.435,    3.451,    0.000,    0.014
     121,          2.000000,    3.403,    3.337,    0.000,    0.014
     122,          2.016667,    3.376,    3.211,    0.000,    0.014
     123,          2.033334,    3.350,    3.072,    0.000,    0.014
     124,          2.050000,    3.324,    2.919,    0.000,    0.014
     125,          2.066667,    3.298,    2.755,    0.000,    0.014
     126,          2.083333,    3.271,    2.587,    0.000,    0.013
     127,          2.100000,    3.243,    2.415,    0.000,    0.013
     128,          2.116667,    3.214,    2.249,    0.000,    0.013
     129,          2.133333,    3.183,    2.089,    0.000,    0.013
     130,          2.150000,    3.149,    1.938,    0.000,    0.013
     131,          2.166667,    3.114,    1.797,    0.000,    0.013
     132,          2.183333,    3.079,    1.671,    0.000,    0.013
     133,          2.200000,    3.043,    1.559,    0.000,    0.013
     134,          2.216667,    3.012,    1.462,    0.000,    0.013
     135,          2.233333,    2.987,    1.383,    0.000,    0.013
     136,          2.250000,    2.965,    1.313,    0.000,    0.013
     137,          2.266667,    2.945,    1.256,    0.000,    0.013
     138,          2.283334,    2.928,    1.209,    0.000,    0.013
     139,          2.300000,    2.910,    1.168,    0.000,    0.013
     140,          2.316667,    2.892,    1.130,    0.000,    0.013
     141,          2.333333,    2.872,    1.096,    0.000,    0.013
     142,          2.350000,    2.851,    1.065,    0.000,    0.013
     143,          2.366667,    2.833,    1.037,    0.000,    0.013
     144,          2.383333,    2.813,    1.013,    0.000,    0.013
     145,          2.400000,    2.795,    0.989,    0.000,    0.013
     146,          2.416667,    2.777,    0.965,    0.000,    0.013
     147,          2.433333,    2.760,    0.942,    0.000,    0.013
     148,          2.450000,    2.746,    0.921,    0.000,    0.013
     149,          2.466667,    2.731,    0.901,    0.000,    0.013
     150,          2.483333,    2.713,    0.883,    0.000,    0.013
